index,nrLayers,nrNodes,oddsSet1,edgeDegree1,edgeDegree2,edgeDegreeCross
0,6,1749,0.445876,8.29087,4.36046,1.0657
1,6,1749,0.445876,8.29087,4.36046,1.0657
2,6,1749,0.445876,8.29087,4.36046,1.0657
3,6,1749,0.445876,8.29087,4.36046,1.0657
4,6,1749,0.445876,8.29087,4.36046,1.0657
5,4,661,0.374152,1.42067,2.65586,2.97752
6,4,661,0.374152,1.42067,2.65586,2.97752
7,4,661,0.374152,1.42067,2.65586,2.97752
8,4,661,0.374152,1.42067,2.65586,2.97752
9,4,661,0.374152,1.42067,2.65586,2.97752
10,5,1865,0.454467,6.45983,2.24878,1.23667
11,5,1865,0.454467,6.45983,2.24878,1.23667
12,5,1865,0.454467,6.45983,2.24878,1.23667
13,5,1865,0.454467,6.45983,2.24878,1.23667
14,5,1865,0.454467,6.45983,2.24878,1.23667
15,8,2261,0.449214,9.61002,2.11086,0.994735
16,8,2261,0.449214,9.61002,2.11086,0.994735
17,8,2261,0.449214,9.61002,2.11086,0.994735
18,8,2261,0.449214,9.61002,2.11086,0.994735
19,8,2261,0.449214,9.61002,2.11086,0.994735
20,8,2348,0.432898,4.20509,1.66206,2.00007
21,8,2348,0.432898,4.20509,1.66206,2.00007
22,8,2348,0.432898,4.20509,1.66206,2.00007
23,8,2348,0.432898,4.20509,1.66206,2.00007
24,8,2348,0.432898,4.20509,1.66206,2.00007
25,9,1148,0.347032,9.49807,1.57016,0.654413
26,9,1148,0.347032,9.49807,1.57016,0.654413
27,9,1148,0.347032,9.49807,1.57016,0.654413
28,9,1148,0.347032,9.49807,1.57016,0.654413
29,9,1148,0.347032,9.49807,1.57016,0.654413
30,5,1626,0.351352,2.19307,4.23577,2.26711
31,5,1626,0.351352,2.19307,4.23577,2.26711
32,5,1626,0.351352,2.19307,4.23577,2.26711
33,5,1626,0.351352,2.19307,4.23577,2.26711
34,5,1626,0.351352,2.19307,4.23577,2.26711
35,9,2485,0.408353,4.7613,1.16832,1.49131
36,9,2485,0.408353,4.7613,1.16832,1.49131
37,9,2485,0.408353,4.7613,1.16832,1.49131
38,9,2485,0.408353,4.7613,1.16832,1.49131
39,9,2485,0.408353,4.7613,1.16832,1.49131
40,8,149,0.333111,4.723,2.93956,2.09274
41,8,149,0.333111,4.723,2.93956,2.09274
42,8,149,0.333111,4.723,2.93956,2.09274
43,8,149,0.333111,4.723,2.93956,2.09274
44,8,149,0.333111,4.723,2.93956,2.09274
45,9,1514,0.377695,8.90431,3.25102,3.46439
46,9,1514,0.377695,8.90431,3.25102,3.46439
47,9,1514,0.377695,8.90431,3.25102,3.46439
48,9,1514,0.377695,8.90431,3.25102,3.46439
49,9,1514,0.377695,8.90431,3.25102,3.46439
50,7,571,0.375378,2.45303,1.79093,2.4099
51,7,571,0.375378,2.45303,1.79093,2.4099
52,7,571,0.375378,2.45303,1.79093,2.4099
53,7,571,0.375378,2.45303,1.79093,2.4099
54,7,571,0.375378,2.45303,1.79093,2.4099
55,10,2172,0.454018,6.21802,3.77899,2.08744
56,10,2172,0.454018,6.21802,3.77899,2.08744
57,10,2172,0.454018,6.21802,3.77899,2.08744
58,10,2172,0.454018,6.21802,3.77899,2.08744
59,10,2172,0.454018,6.21802,3.77899,2.08744
60,7,1600,0.45851,4.2181,5.60206,3.26232
61,7,1600,0.45851,4.2181,5.60206,3.26232
62,7,1600,0.45851,4.2181,5.60206,3.26232
63,7,1600,0.45851,4.2181,5.60206,3.26232
64,7,1600,0.45851,4.2181,5.60206,3.26232
65,7,850,0.434738,3.99946,1.47771,1.14353
66,7,850,0.434738,3.99946,1.47771,1.14353
67,7,850,0.434738,3.99946,1.47771,1.14353
68,7,850,0.434738,3.99946,1.47771,1.14353
69,7,850,0.434738,3.99946,1.47771,1.14353
70,3,1613,0.373387,5.68605,3.01125,0.843899
71,3,1613,0.373387,5.68605,3.01125,0.843899
72,3,1613,0.373387,5.68605,3.01125,0.843899
73,3,1613,0.373387,5.68605,3.01125,0.843899
74,3,1613,0.373387,5.68605,3.01125,0.843899
75,9,1034,0.481414,2.89934,5.07806,1.69049
76,9,1034,0.481414,2.89934,5.07806,1.69049
77,9,1034,0.481414,2.89934,5.07806,1.69049
78,9,1034,0.481414,2.89934,5.07806,1.69049
79,9,1034,0.481414,2.89934,5.07806,1.69049
80,7,426,0.448634,2.60705,5.65468,2.81385
81,7,426,0.448634,2.60705,5.65468,2.81385
82,7,426,0.448634,2.60705,5.65468,2.81385
83,7,426,0.448634,2.60705,5.65468,2.81385
84,7,426,0.448634,2.60705,5.65468,2.81385
85,10,1218,0.428732,7.95539,4.08752,1.40987
86,10,1218,0.428732,7.95539,4.08752,1.40987
87,10,1218,0.428732,7.95539,4.08752,1.40987
88,10,1218,0.428732,7.95539,4.08752,1.40987
89,10,1218,0.428732,7.95539,4.08752,1.40987
90,7,2448,0.390033,8.21188,4.30746,1.65927
91,7,2448,0.390033,8.21188,4.30746,1.65927
92,7,2448,0.390033,8.21188,4.30746,1.65927
93,7,2448,0.390033,8.21188,4.30746,1.65927
94,7,2448,0.390033,8.21188,4.30746,1.65927
95,9,1402,0.474562,9.79697,2.64526,2.72644
96,9,1402,0.474562,9.79697,2.64526,2.72644
97,9,1402,0.474562,9.79697,2.64526,2.72644
98,9,1402,0.474562,9.79697,2.64526,2.72644
99,9,1402,0.474562,9.79697,2.64526,2.72644
100,8,2390,0.40476,5.73842,5.46169,2.67869
101,8,2390,0.40476,5.73842,5.46169,2.67869
102,8,2390,0.40476,5.73842,5.46169,2.67869
103,8,2390,0.40476,5.73842,5.46169,2.67869
104,8,2390,0.40476,5.73842,5.46169,2.67869
105,4,1138,0.384242,1.80142,1.13703,2.196
106,4,1138,0.384242,1.80142,1.13703,2.196
107,4,1138,0.384242,1.80142,1.13703,2.196
108,4,1138,0.384242,1.80142,1.13703,2.196
109,4,1138,0.384242,1.80142,1.13703,2.196
110,3,1765,0.422095,4.25305,1.28698,1.16342
111,3,1765,0.422095,4.25305,1.28698,1.16342
112,3,1765,0.422095,4.25305,1.28698,1.16342
113,3,1765,0.422095,4.25305,1.28698,1.16342
114,3,1765,0.422095,4.25305,1.28698,1.16342
115,5,195,0.390116,1.82846,1.61538,1.08157
116,5,195,0.390116,1.82846,1.61538,1.08157
117,5,195,0.390116,1.82846,1.61538,1.08157
118,5,195,0.390116,1.82846,1.61538,1.08157
119,5,195,0.390116,1.82846,1.61538,1.08157
120,5,1222,0.329599,7.68157,5.67828,2.20072
121,5,1222,0.329599,7.68157,5.67828,2.20072
122,5,1222,0.329599,7.68157,5.67828,2.20072
123,5,1222,0.329599,7.68157,5.67828,2.20072
124,5,1222,0.329599,7.68157,5.67828,2.20072
125,10,1379,0.339974,9.64356,2.28496,0.986232
126,10,1379,0.339974,9.64356,2.28496,0.986232
127,10,1379,0.339974,9.64356,2.28496,0.986232
128,10,1379,0.339974,9.64356,2.28496,0.986232
129,10,1379,0.339974,9.64356,2.28496,0.986232
130,6,1635,0.324341,6.11782,2.15089,1.27561
131,6,1635,0.324341,6.11782,2.15089,1.27561
132,6,1635,0.324341,6.11782,2.15089,1.27561
133,6,1635,0.324341,6.11782,2.15089,1.27561
134,6,1635,0.324341,6.11782,2.15089,1.27561
135,4,425,0.398505,1.49504,1.77398,1.08688
136,4,425,0.398505,1.49504,1.77398,1.08688
137,4,425,0.398505,1.49504,1.77398,1.08688
138,4,425,0.398505,1.49504,1.77398,1.08688
139,4,425,0.398505,1.49504,1.77398,1.08688
140,5,1204,0.378957,7.61192,3.93358,0.834062
141,5,1204,0.378957,7.61192,3.93358,0.834062
142,5,1204,0.378957,7.61192,3.93358,0.834062
143,5,1204,0.378957,7.61192,3.93358,0.834062
144,5,1204,0.378957,7.61192,3.93358,0.834062
145,8,1616,0.377825,5.87238,3.48035,1.73536
146,8,1616,0.377825,5.87238,3.48035,1.73536
147,8,1616,0.377825,5.87238,3.48035,1.73536
148,8,1616,0.377825,5.87238,3.48035,1.73536
149,8,1616,0.377825,5.87238,3.48035,1.73536
150,3,2359,0.317049,4.45384,3.21308,1.89974
151,3,2359,0.317049,4.45384,3.21308,1.89974
152,3,2359,0.317049,4.45384,3.21308,1.89974
153,3,2359,0.317049,4.45384,3.21308,1.89974
154,3,2359,0.317049,4.45384,3.21308,1.89974
155,5,1535,0.434811,6.65749,5.67569,3.26983
156,5,1535,0.434811,6.65749,5.67569,3.26983
157,5,1535,0.434811,6.65749,5.67569,3.26983
158,5,1535,0.434811,6.65749,5.67569,3.26983
159,5,1535,0.434811,6.65749,5.67569,3.26983
160,10,1528,0.413196,6.91118,3.79912,2.1348
161,10,1528,0.413196,6.91118,3.79912,2.1348
162,10,1528,0.413196,6.91118,3.79912,2.1348
163,10,1528,0.413196,6.91118,3.79912,2.1348
164,10,1528,0.413196,6.91118,3.79912,2.1348
165,9,145,0.334449,4.40428,2.42081,3.29093
166,9,145,0.334449,4.40428,2.42081,3.29093
167,9,145,0.334449,4.40428,2.42081,3.29093
168,9,145,0.334449,4.40428,2.42081,3.29093
169,9,145,0.334449,4.40428,2.42081,3.29093
170,6,2205,0.418383,4.22446,1.37291,2.19887
171,6,2205,0.418383,4.22446,1.37291,2.19887
172,6,2205,0.418383,4.22446,1.37291,2.19887
173,6,2205,0.418383,4.22446,1.37291,2.19887
174,6,2205,0.418383,4.22446,1.37291,2.19887
175,8,614,0.401695,8.22939,4.66608,2.04099
176,8,614,0.401695,8.22939,4.66608,2.04099
177,8,614,0.401695,8.22939,4.66608,2.04099
178,8,614,0.401695,8.22939,4.66608,2.04099
179,8,614,0.401695,8.22939,4.66608,2.04099
180,9,2484,0.388739,8.74901,3.55028,1.73558
181,9,2484,0.388739,8.74901,3.55028,1.73558
182,9,2484,0.388739,8.74901,3.55028,1.73558
183,9,2484,0.388739,8.74901,3.55028,1.73558
184,9,2484,0.388739,8.74901,3.55028,1.73558
185,3,1007,0.442552,1.29941,4.99124,1.47082
186,3,1007,0.442552,1.29941,4.99124,1.47082
187,3,1007,0.442552,1.29941,4.99124,1.47082
188,3,1007,0.442552,1.29941,4.99124,1.47082
189,3,1007,0.442552,1.29941,4.99124,1.47082
190,7,1267,0.401499,5.16422,1.89728,1.79063
191,7,1267,0.401499,5.16422,1.89728,1.79063
192,7,1267,0.401499,5.16422,1.89728,1.79063
193,7,1267,0.401499,5.16422,1.89728,1.79063
194,7,1267,0.401499,5.16422,1.89728,1.79063
195,4,1842,0.474806,8.53669,3.9662,0.816839
196,4,1842,0.474806,8.53669,3.9662,0.816839
197,4,1842,0.474806,8.53669,3.9662,0.816839
198,4,1842,0.474806,8.53669,3.9662,0.816839
199,4,1842,0.474806,8.53669,3.9662,0.816839
200,5,556,0.463974,9.15019,1.51244,2.53716
201,5,556,0.463974,9.15019,1.51244,2.53716
202,5,556,0.463974,9.15019,1.51244,2.53716
203,5,556,0.463974,9.15019,1.51244,2.53716
204,5,556,0.463974,9.15019,1.51244,2.53716
205,9,1115,0.396415,3.73788,5.16136,1.85597
206,9,1115,0.396415,3.73788,5.16136,1.85597
207,9,1115,0.396415,3.73788,5.16136,1.85597
208,9,1115,0.396415,3.73788,5.16136,1.85597
209,9,1115,0.396415,3.73788,5.16136,1.85597
210,10,1359,0.308419,7.08768,2.73982,1.97178
211,10,1359,0.308419,7.08768,2.73982,1.97178
212,10,1359,0.308419,7.08768,2.73982,1.97178
213,10,1359,0.308419,7.08768,2.73982,1.97178
214,10,1359,0.308419,7.08768,2.73982,1.97178
215,9,1741,0.479088,8.85593,3.02064,1.42699
216,9,1741,0.479088,8.85593,3.02064,1.42699
217,9,1741,0.479088,8.85593,3.02064,1.42699
218,9,1741,0.479088,8.85593,3.02064,1.42699
219,9,1741,0.479088,8.85593,3.02064,1.42699
220,5,523,0.42988,6.89645,3.40989,2.85451
221,5,523,0.42988,6.89645,3.40989,2.85451
222,5,523,0.42988,6.89645,3.40989,2.85451
223,5,523,0.42988,6.89645,3.40989,2.85451
224,5,523,0.42988,6.89645,3.40989,2.85451
