index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,800,4654,127.239,0.0156479,1
1,6,800,4483,120.736,0.0150576,1
2,6,800,4632,130.335,0.0157459,1
3,6,800,4817,133.962,0.0166027,1
4,6,800,4787,114.508,0.0157956,1
5,6,800,4663,253.234,0.0157719,1
6,6,800,4631,240.741,0.0156287,1
7,6,800,4486,242.717,0.0162764,1
8,6,800,4656,234.139,0.0165807,1
9,6,800,4276,240.254,0.0152172,1
10,6,800,3913,199.044,0.0140229,1
11,6,800,3790,198.843,0.013823,1
12,6,800,3838,176.038,0.013872,1
13,6,800,4177,200.315,0.0142737,1
14,6,800,3921,188.345,0.0136171,1
15,6,800,706,78.7206,0.00393215,1
16,6,800,751,55.4595,0.00425456,1
17,6,800,768,63.7262,0.00410878,1
18,6,800,664,75.4293,0.00393184,1
19,6,800,725,53.3957,0.00409936,1
20,6,800,2408,195.43,0.00946156,1
21,6,800,2379,203.021,0.00910273,1
22,6,800,2412,196.798,0.00973468,1
23,6,800,2378,189.237,0.00919946,1
24,6,800,2421,210.019,0.0094011,1
25,6,800,1868,204.03,0.00773589,1
26,6,800,1857,199.244,0.00747396,1
27,6,800,1923,202.371,0.00805286,1
28,6,800,1831,181.541,0.00755463,1
29,6,800,1726,187.837,0.00727672,1
30,6,800,9092,177.617,0.0304553,1
31,6,800,9755,189.158,0.0335704,1
32,6,800,9423,165.634,0.0340222,1
33,6,800,8934,181.985,0.0301767,1
34,6,800,9850,178.855,0.0330107,1
35,6,800,4852,109.348,0.0156701,1
36,6,800,5422,109.533,0.0176595,1
37,6,800,5055,97.5156,0.0169739,1
38,6,800,5115,103.817,0.0166166,1
39,6,800,4722,118.581,0.0162512,1
40,6,800,4039,237.76,0.0138838,1
41,6,800,3715,214.173,0.0124522,1
42,6,800,3940,208.44,0.0135208,1
43,6,800,3828,230.17,0.0138622,1
44,6,800,3861,204.75,0.0135535,1
45,6,800,3274,149.475,0.0114719,1
46,6,800,3273,155.382,0.0118188,1
47,6,800,3381,125.619,0.0120674,1
48,6,800,3328,156.545,0.0120435,1
49,6,800,3196,150.814,0.0112792,1
50,6,800,3490,88.3952,0.0119697,1
51,6,800,3671,76.4135,0.012927,1
52,6,800,3378,85.217,0.0120896,1
53,6,800,3752,81.485,0.0127775,1
54,6,800,3640,95.3673,0.0127919,1
55,6,800,3692,159.806,0.0127462,1
56,6,800,3731,155.392,0.012663,1
57,6,800,3651,149.386,0.0125844,1
58,6,800,3522,162.717,0.0130816,1
59,6,800,3673,172.324,0.0136952,1
60,6,800,1889,92.1826,0.00774453,1
61,6,800,1993,106.529,0.00805144,1
62,6,800,1806,89.2927,0.00735846,1
63,6,800,1920,94.9858,0.00752487,1
64,6,800,1775,93.3618,0.00724088,1
65,6,800,10023,174.372,0.0328417,1
66,6,800,9638,164.482,0.0328941,1
67,6,800,10005,178.908,0.0325658,1
68,6,800,9778,172.466,0.0349435,1
69,6,800,10288,158.291,0.0355653,1
70,6,800,7480,242.262,0.0239336,1
71,6,800,7244,240.193,0.0248172,1
72,6,800,7312,238.928,0.0254261,1
73,6,800,7268,249.348,0.0241091,1
74,6,800,7504,228.249,0.0242864,1
75,6,800,15799,189.852,0.061189,1
76,6,800,15147,194.027,0.0612361,1
77,6,800,16020,204.135,0.075672,1
78,6,800,15690,207.143,0.053467,1
79,6,800,15283,195.811,0.0581567,1
80,6,800,5492,239.219,0.0190002,1
81,6,800,5359,229.314,0.0182711,1
82,6,800,5014,235.374,0.0169044,1
83,6,800,5398,241.395,0.017911,1
84,6,800,5507,221.897,0.0195875,1
85,6,800,9387,84.2962,0.0310007,1
86,6,800,8908,82.5525,0.0318133,1
87,6,800,9080,88.645,0.0302435,1
88,6,800,9109,99.8325,0.0307248,1
89,6,800,9193,96.7625,0.0328692,1
90,6,800,10599,181.633,0.034878,1
91,6,800,10736,183.208,0.0372486,1
92,6,800,10644,185.675,0.036282,1
93,6,800,10957,176.592,0.037837,1
94,6,800,10817,192.519,0.038556,1
95,6,800,8581,105.441,0.0296346,1
96,6,800,8779,106.739,0.0301212,1
97,6,800,9192,110.585,0.0309182,1
98,6,800,8888,109.262,0.0297069,1
99,6,800,9127,105.13,0.0313728,1
100,6,800,2191,142.028,0.00885717,1
101,6,800,2095,126.384,0.00836431,1
102,6,800,2220,130.775,0.00901077,1
103,6,800,2203,131.565,0.00864099,1
104,6,800,2252,120.736,0.00873672,1
105,6,800,6108,260.432,0.0209267,1
106,6,800,6325,240.14,0.0207975,1
107,6,800,5893,241.61,0.0194056,1
108,6,800,6408,234.004,0.0232773,1
109,6,800,6216,251.31,0.0198075,1
110,6,800,5514,83.625,0.0190213,1
111,6,800,5419,86.6158,0.0186058,1
112,6,800,5594,86.1425,0.0195297,1
113,6,800,5356,84.0213,0.0181614,1
114,6,800,5500,77.836,0.018805,1
115,6,800,8226,191.585,0.0267017,1
116,6,800,7916,156.265,0.0267483,1
117,6,800,7623,177.712,0.0245518,1
118,6,800,7828,172.419,0.0248755,1
119,6,800,7415,195.939,0.0251093,1
120,6,800,10632,125.904,0.0354164,1
121,6,800,10395,135.508,0.0339409,1
122,6,800,10146,130.033,0.0323952,1
123,6,800,10745,139.064,0.0355313,1
124,6,800,10831,132.911,0.0379902,1
125,6,800,5071,99.1162,0.0171257,1
126,6,800,5177,95.0175,0.0171993,1
127,6,800,4882,113.879,0.0169668,1
128,6,800,5078,121.335,0.0174124,1
129,6,800,5054,112.496,0.0186507,1
130,6,800,9472,119.641,0.031916,1
131,6,800,9053,110.544,0.0305839,1
132,6,800,9443,122.408,0.0319734,1
133,6,800,8895,113.277,0.0286164,1
