index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,800,4654,128.043,0.0110773,1
1,6,800,4483,121.042,0.0107602,1
2,6,800,4632,131.324,0.0114606,1
3,6,800,4817,135.145,0.0117574,1
4,6,800,4787,115.229,0.0116573,1
5,6,800,4663,253.234,0.0110406,1
6,6,800,4631,240.741,0.0114533,1
7,6,800,4486,242.717,0.0114844,1
8,6,800,4656,234.139,0.0116944,1
9,6,800,4276,240.254,0.0109409,1
10,6,800,3913,199.543,0.0103105,1
11,6,800,3790,199.344,0.00999618,1
12,6,800,3838,176.258,0.0102268,1
13,6,800,4177,200.818,0.0104078,1
14,6,800,3921,188.581,0.010273,1
15,6,800,706,91.6413,0.00350189,1
16,6,800,751,71.2324,0.00367443,1
17,6,800,768,79.5678,0.00357432,1
18,6,800,664,92.1368,0.00342086,1
19,6,800,725,66.1174,0.00356837,1
20,6,800,2408,208.047,0.00740086,1
21,6,800,2379,212.336,0.00724176,1
22,6,800,2412,203.921,0.00748187,1
23,6,800,2378,198.981,0.00722464,1
24,6,800,2421,215.249,0.00712423,1
25,6,800,1868,216.098,0.00607252,1
26,6,800,1857,208.486,0.0060829,1
27,6,800,1923,216.279,0.0062293,1
28,6,800,1831,195.467,0.00604705,1
29,6,800,1726,197.045,0.00582873,1
30,6,800,9092,177.617,0.0218602,1
31,6,800,9755,189.158,0.022179,1
32,6,800,9423,165.634,0.0224829,1
33,6,800,8934,181.985,0.0209061,1
34,6,800,9850,178.855,0.02265,1
35,6,800,4852,109.622,0.0114574,1
36,6,800,5422,109.533,0.0128597,1
37,6,800,5055,97.5156,0.0119887,1
38,6,800,5115,103.817,0.0124262,1
39,6,800,4722,118.581,0.0115044,1
40,6,800,4039,241.381,0.0102146,1
41,6,800,3715,216.068,0.0095198,1
42,6,800,3940,208.702,0.009891,1
43,6,800,3828,231.337,0.00991782,1
44,6,800,3861,205.528,0.0100287,1
45,6,800,3274,151.766,0.00856924,1
46,6,800,3273,157.972,0.00888622,1
47,6,800,3381,127.705,0.00903816,1
48,6,800,3328,158.733,0.00925845,1
49,6,800,3196,151.389,0.00853314,1
50,6,800,3490,89.7551,0.00889018,1
51,6,800,3671,77.3832,0.00966169,1
52,6,800,3378,85.8708,0.00853109,1
53,6,800,3752,81.8945,0.00926688,1
54,6,800,3640,96.8289,0.00944659,1
55,6,800,3692,161.015,0.00927926,1
56,6,800,3731,155.586,0.00953103,1
57,6,800,3651,149.95,0.00942297,1
58,6,800,3522,163.544,0.0100169,1
59,6,800,3673,172.757,0.00949132,1
60,6,800,1889,96.8231,0.00624265,1
61,6,800,1993,112.228,0.0065197,1
62,6,800,1806,93.2448,0.00583569,1
63,6,800,1920,101.537,0.00629605,1
64,6,800,1775,99.5161,0.00610043,1
65,6,800,10023,174.372,0.0245433,1
66,6,800,9638,164.482,0.0206867,1
67,6,800,10005,178.908,0.0249217,1
68,6,800,9778,172.466,0.0226431,1
69,6,800,10288,158.291,0.0234922,1
70,6,800,7480,242.262,0.0180339,1
71,6,800,7244,240.193,0.0167541,1
72,6,800,7312,238.928,0.0165511,1
73,6,800,7268,249.348,0.0168842,1
74,6,800,7504,228.249,0.0184523,1
75,6,800,15799,189.852,0.0365326,1
76,6,800,15147,194.027,0.0348775,1
77,6,800,16020,204.135,0.0404993,1
78,6,800,15690,207.143,0.0355705,1
79,6,800,15283,195.811,0.0344523,1
80,6,800,5492,239.518,0.0131249,1
81,6,800,5359,229.601,0.0126989,1
82,6,800,5014,235.374,0.0131229,1
83,6,800,5398,241.395,0.0135696,1
84,6,800,5507,221.897,0.0128606,1
85,6,800,9387,84.2962,0.0216803,1
86,6,800,8908,82.5525,0.0210123,1
87,6,800,9080,88.645,0.0208345,1
88,6,800,9109,99.8325,0.0211559,1
89,6,800,9193,96.7625,0.0213148,1
90,6,800,10599,181.633,0.0249592,1
91,6,800,10736,183.208,0.024398,1
92,6,800,10644,185.675,0.0252733,1
93,6,800,10957,176.592,0.0256963,1
94,6,800,10817,192.519,0.0259747,1
95,6,800,8581,105.441,0.0202462,1
96,6,800,8779,106.739,0.0203745,1
97,6,800,9192,110.585,0.0207985,1
98,6,800,8888,109.262,0.021568,1
99,6,800,9127,105.13,0.020102,1
100,6,800,2191,147.295,0.00657476,1
101,6,800,2095,129.564,0.00665027,1
102,6,800,2220,135.421,0.00699619,1
103,6,800,2203,137.713,0.00677541,1
104,6,800,2252,124.851,0.0070111,1
105,6,800,6108,260.432,0.0144994,1
106,6,800,6325,240.14,0.0152171,1
107,6,800,5893,241.61,0.01399,1
108,6,800,6408,234.004,0.0152454,1
109,6,800,6216,251.31,0.0147631,1
110,6,800,5514,83.7297,0.012985,1
111,6,800,5419,86.6158,0.0126918,1
112,6,800,5594,86.2503,0.0139535,1
113,6,800,5356,84.1267,0.0132085,1
114,6,800,5500,77.836,0.0131439,1
115,6,800,8226,191.585,0.018464,1
116,6,800,7916,156.265,0.0178325,1
117,6,800,7623,177.712,0.0169521,1
118,6,800,7828,172.419,0.0178735,1
119,6,800,7415,195.939,0.0169735,1
120,6,800,10632,125.904,0.023836,1
121,6,800,10395,135.508,0.0242138,1
122,6,800,10146,130.033,0.0234839,1
123,6,800,10745,139.064,0.0238182,1
124,6,800,10831,132.911,0.0260681,1
125,6,800,5071,99.4893,0.0123468,1
126,6,800,5177,95.2563,0.012248,1
127,6,800,4882,114.023,0.0121186,1
128,6,800,5078,121.639,0.0121371,1
129,6,800,5054,112.637,0.0137494,1
130,6,800,9472,119.641,0.0234385,1
131,6,800,9053,110.544,0.0208096,1
132,6,800,9443,122.408,0.0226824,1
133,6,800,8895,113.277,0.0220107,1
134,6,800,8903,115.634,0.0208586,1
135,6,800,3049,79.384,0.00821106,1
136,6,800,3415,76.557,0.00957556,1
137,6,800,3422,93.5902,0.0088698,1
138,6,800,3375,84.5613,0.00920015,1
139,6,800,3192,91.1749,0.00831651,1
140,6,800,3184,183.473,0.0081811,1
141,6,800,3243,188.159,0.00892488,1
142,6,800,3202,176.304,0.00856237,1
143,6,800,3261,197.767,0.00890844,1
144,6,800,3272,189.172,0.00844188,1
145,6,800,4998,225.644,0.0120139,1
146,6,800,5096,192.565,0.0121931,1
147,6,800,4934,192.744,0.0120148,1
148,6,800,5134,204.201,0.0121466,1
149,6,800,4947,215.886,0.011916,1
150,6,800,11621,224.166,0.0278615,1
151,6,800,12032,205.41,0.0308563,1
152,6,800,11914,221.717,0.0268682,1
153,6,800,12058,206.949,0.0276888,1
154,6,800,11522,218.068,0.0267426,1
155,6,800,7220,123.043,0.0164384,1
156,6,800,7170,120.755,0.0161681,1
157,6,800,7071,118.746,0.0174485,1
158,6,800,7192,121.491,0.0167259,1
159,6,800,6984,116.431,0.0167797,1
160,6,800,3876,116.525,0.0107443,1
161,6,800,3892,136.776,0.00980272,1
162,6,800,3623,127.339,0.00945945,1
163,6,800,3987,134.693,0.0105795,1
164,6,800,3987,129.325,0.0102525,1
165,6,800,4506,135.658,0.0111857,1
166,6,800,4587,126.899,0.0120956,1
167,6,800,4643,120.237,0.0115957,1
168,6,800,4526,124.819,0.0113642,1
169,6,800,4432,128.356,0.0114059,1
170,6,800,4971,95.1227,0.0126605,1
171,6,800,4874,77.2,0.0117098,1
172,6,800,4982,88.3847,0.0119341,1
173,6,800,4928,78.4937,0.0121788,1
174,6,800,4966,85.8166,0.0119268,1
175,6,800,8748,160.449,0.0201793,1
176,6,800,9091,168.396,0.0212983,1
177,6,800,8394,157.455,0.0211775,1
178,6,800,8813,151.88,0.0197189,1
179,6,800,8797,153.95,0.0198979,1
180,6,800,3829,196.867,0.0100136,1
181,6,800,3841,215.786,0.0107188,1
182,6,800,3759,210.729,0.00983005,1
183,6,800,3860,221.294,0.0103408,1
184,6,800,3700,232.908,0.00944706,1
185,6,800,7464,207.616,0.0185187,1
186,6,800,7492,197.296,0.017808,1
187,6,800,7586,200.471,0.0169911,1
188,6,800,7680,197.485,0.0179347,1
189,6,800,7462,219.35,0.0172353,1
190,6,800,6628,168.03,0.0156032,1
191,6,800,6480,164.167,0.0154912,1
192,6,800,6635,161.93,0.0150439,1
193,6,800,6356,200.166,0.0147539,1
194,6,800,6357,164.916,0.0145642,1
195,6,800,12061,205.991,0.027246,1
196,6,800,11845,217.86,0.0304037,1
197,6,800,11379,216.109,0.0255169,1
198,6,800,11756,200.193,0.0275843,1
199,6,800,12131,189.378,0.0272209,1
200,6,800,6507,133.105,0.0149318,1
201,6,800,6775,134.109,0.0155708,1
202,6,800,6964,145.762,0.0160547,1
203,6,800,6690,148.452,0.0162873,1
204,6,800,6760,136.069,0.0173278,1
205,6,800,7526,96.2725,0.01747,1
206,6,800,7240,115.363,0.0163996,1
207,6,800,7507,102.085,0.0174006,1
208,6,800,7491,105.655,0.0170108,1
209,6,800,7314,104.144,0.017707,1
210,6,800,9520,186.129,0.0225264,1
211,6,800,10004,184.059,0.0229681,1
212,6,800,9950,202.715,0.0219726,1
213,6,800,9835,189.915,0.0213822,1
214,6,800,9798,182.2,0.0220679,1
215,6,800,9854,197.575,0.0224004,1
216,6,800,9873,168.164,0.0227609,1
217,6,800,9626,191.616,0.0215174,1
218,6,800,10320,181.185,0.0232285,1
219,6,800,10311,187.64,0.0227721,1
220,6,800,10826,125.205,0.0255439,1
221,6,800,10494,115.573,0.0251765,1
222,6,800,10445,121.446,0.0248579,1
223,6,800,10685,114.741,0.0254479,1
224,6,800,10729,125.086,0.0239684,1
225,6,800,2714,124.174,0.00765971,1
226,6,800,2734,125.991,0.00843881,1
227,6,800,2754,143.92,0.00857076,1
228,6,800,2863,135.768,0.00813352,1
229,6,800,2599,139.609,0.00801915,1
230,6,800,12472,171.161,0.031209,1
231,6,800,12425,158.827,0.0319724,1
232,6,800,12176,165.495,0.027711,1
233,6,800,11753,168.794,0.0277511,1
234,6,800,12331,162.989,0.0311322,1
235,6,800,16711,220.488,0.0350822,1
236,6,800,16614,199.083,0.0395672,1
237,6,800,16783,211.003,0.040604,1
238,6,800,16541,238.148,0.0388676,1
239,6,800,16886,230.456,0.0446497,1
240,6,800,4115,237.48,0.0111736,1
241,6,800,3907,221.094,0.0102563,1
242,6,800,4024,224.225,0.0110582,1
243,6,800,4116,210.004,0.0109891,1
244,6,800,3932,218.642,0.0105849,1
245,6,800,5714,218.865,0.0142694,1
246,6,800,5880,225.829,0.0136363,1
247,6,800,5692,218.798,0.0134887,1
248,6,800,5605,212.029,0.0138605,1
249,6,800,5706,212.74,0.0139524,1
250,6,800,5159,248.469,0.0121914,1
251,6,800,5373,262.707,0.013228,1
252,6,800,5338,246.045,0.0123188,1
253,6,800,5417,238.286,0.0128312,1
254,6,800,5462,241.519,0.012762,1
255,6,800,9008,189.227,0.0204131,1
256,6,800,9314,196.536,0.0231792,1
257,6,800,9090,174.869,0.0207964,1
258,6,800,9277,180.324,0.0205145,1
259,6,800,8913,185.274,0.0203053,1
260,6,800,4749,105.228,0.011788,1
261,6,800,5134,101.343,0.0123185,1
262,6,800,4896,112.587,0.0118218,1
263,6,800,4845,88.6852,0.0144195,1
264,6,800,4734,92.4362,0.0122664,1
265,6,800,5435,149.929,0.0129807,1
266,6,800,5423,150.663,0.0133112,1
267,6,800,5622,165.133,0.0142109,1
268,6,800,5471,149.82,0.0127349,1
269,6,800,5054,148.69,0.01195,1
270,6,800,7271,164.589,0.0171844,1
271,6,800,7431,182.311,0.0166536,1
272,6,800,7523,165.604,0.017884,1
273,6,800,7304,168.614,0.0164242,1
274,6,800,7450,175.515,0.0188836,1
275,6,800,2787,216.445,0.00823824,1
276,6,800,2685,219.319,0.00789014,1
277,6,800,2543,221.785,0.00772936,1
278,6,800,2871,236.32,0.00795817,1
279,6,800,2719,224.172,0.00805204,1
280,6,800,4647,186.907,0.0113943,1
281,6,800,4712,187.711,0.0121173,1
282,6,800,4401,187.034,0.0105829,1
283,6,800,4497,187.79,0.0114206,1
284,6,800,4455,179.945,0.0112738,1
285,6,800,2573,104.16,0.00765633,1
286,6,800,2555,79.4457,0.00728415,1
287,6,800,2514,85.3887,0.00748428,1
288,6,800,2457,93.5764,0.00748583,1
289,6,800,2520,84.5591,0.00744686,1
290,6,800,5995,138.761,0.013947,1
291,6,800,5993,137.984,0.0140512,1
292,6,800,6278,131.931,0.0148427,1
293,6,800,6252,128.574,0.0156612,1
294,6,800,6395,133.542,0.0147821,1
295,6,800,6719,136.949,0.0164032,1
296,6,800,6793,153.462,0.0160733,1
297,6,800,6693,160.178,0.0157632,1
298,6,800,6805,164.656,0.016097,1
299,6,800,6645,178.648,0.0154423,1
300,6,800,9134,103.97,0.020648,1
301,6,800,9105,113.308,0.0216405,1
302,6,800,8474,106.351,0.0187588,1
303,6,800,9022,102.81,0.0209166,1
304,6,800,8679,116.031,0.0189911,1
305,6,800,6969,99.3942,0.0168157,1
306,6,800,6647,85.3287,0.0161316,1
307,6,800,6912,91.0289,0.0161161,1
308,6,800,6872,85.4799,0.0157945,1
309,6,800,6941,89.9688,0.0161952,1
310,6,800,1412,104.67,0.00516522,1
311,6,800,1399,96.2664,0.00504482,1
312,6,800,1311,79.4793,0.0051937,1
313,6,800,1290,85.589,0.00504513,1
314,6,800,1349,75.5633,0.00493904,1
315,6,800,4752,188.39,0.0122563,1
316,6,800,4601,171.965,0.0116981,1
317,6,800,4428,172.404,0.0107774,1
318,6,800,4388,178.098,0.0126189,1
319,6,800,4720,193.841,0.0112796,1
320,6,800,8652,118.969,0.020071,1
321,6,800,8694,114.414,0.0212421,1
322,6,800,8292,117.46,0.0199735,1
323,6,800,8239,116.264,0.0188089,1
324,6,800,8637,123.955,0.0201395,1
325,6,800,7299,96.1663,0.0166869,1
326,6,800,7583,102.501,0.017148,1
327,6,800,7140,97.6363,0.0167809,1
328,6,800,7272,99.925,0.0166077,1
329,6,800,7049,100.419,0.0165896,1
330,6,800,8649,96.41,0.0210267,1
331,6,800,9027,98.0113,0.0210782,1
332,6,800,8556,107.246,0.0202437,1
333,6,800,8974,108.515,0.0205597,1
334,6,800,9105,97.5625,0.0210871,1
335,6,800,1839,139.929,0.00600721,1
336,6,800,1966,145.162,0.00640545,1
337,6,800,1881,152.159,0.00634542,1
338,6,800,1996,159.049,0.00612314,1
339,6,800,1985,142.115,0.00635488,1
340,6,800,4411,182.575,0.0110536,1
341,6,800,4435,185.184,0.0111815,1
342,6,800,4417,182.912,0.0110675,1
343,6,800,4270,177.732,0.0104152,1
344,6,800,4194,179.411,0.0106005,1
345,6,800,4498,206.712,0.0108575,1
346,6,800,4477,199.047,0.011313,1
347,6,800,4336,202.003,0.0107086,1
348,6,800,4260,209.365,0.0107105,1
349,6,800,4378,208.34,0.0108714,1
350,6,800,1891,115.023,0.00625797,1
351,6,800,1967,98.7196,0.00631029,1
352,6,800,1978,126.46,0.00620615,1
353,6,800,1898,115.538,0.00630613,1
354,6,800,1951,100.608,0.0063446,1
355,6,800,6487,240.7,0.0154386,1
356,6,800,6193,251.535,0.0149486,1
357,6,800,6160,249.768,0.0142095,1
358,6,800,6039,261.003,0.0151082,1
359,6,800,5986,250.58,0.015626,1
360,6,800,3588,240.87,0.0089829,1
361,6,800,3783,226.123,0.00980932,1
362,6,800,3488,238.937,0.00913801,1
363,6,800,3523,233.971,0.0102189,1
364,6,800,3575,231.415,0.00904683,1
365,6,800,3881,125.978,0.0104538,1
366,6,800,3949,136.51,0.0104176,1
367,6,800,3841,117.785,0.0101752,1
368,6,800,3640,115.23,0.00914898,1
369,6,800,3795,125.549,0.00958405,1
370,6,800,2859,92.1155,0.0079621,1
371,6,800,2895,111.629,0.00773163,1
372,6,800,2854,101.061,0.00775236,1
373,6,800,2836,101.816,0.0077788,1
374,6,800,2871,113.122,0.0077668,1
375,6,800,2713,103.561,0.00765405,1
376,6,800,2892,106.604,0.0078474,1
377,6,800,3012,88.1396,0.00836464,1
378,6,800,2887,103.217,0.00796542,1
379,6,800,2739,104.368,0.00784168,1
380,6,800,3371,127.335,0.00873599,1
381,6,800,3351,143.662,0.00866038,1
382,6,800,3361,133.069,0.00849795,1
383,6,800,3318,139.917,0.0090482,1
384,6,800,3560,142.946,0.0102136,1
385,6,800,8317,166.292,0.0192381,1
386,6,800,8505,178.909,0.0186793,1
387,6,800,8472,145.754,0.0188409,1
388,6,800,8832,157.295,0.0197824,1
