index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,800,4654,54.1266,0.239308,1
1,6,800,4483,57.5556,0.22419,1
2,6,800,4632,65.5753,0.214087,1
3,6,800,4817,60.0847,0.233838,1
4,6,800,4787,55.3934,0.206831,1
5,6,800,4663,97.5227,0.249931,1
6,6,800,4631,112.4,0.21607,1
7,6,800,4486,100.705,0.279426,1
8,6,800,4656,88.5,0.216943,1
9,6,800,4276,91.9574,0.232596,1
10,6,800,3913,114.049,0.105345,1
11,6,800,3790,109.879,0.118662,1
12,6,800,3838,90.3171,0.116309,1
13,6,800,4177,101.408,0.113461,1
14,6,800,3921,123.974,0.104867,1
15,6,800,706,236.923,0.00497323,1
16,6,800,751,256.273,0.00542554,1
17,6,800,768,213.875,0.00501655,1
18,6,800,664,213.2,0.00519385,1
19,6,800,725,206.5,0.00513914,1
20,6,800,2408,176.52,0.0530937,1
21,6,800,2379,220.217,0.0528983,1
22,6,800,2412,183.964,0.0578532,1
23,6,800,2378,204,0.0508592,1
24,6,800,2421,165.067,0.0525722,1
25,6,800,1868,191.667,0.016024,1
26,6,800,1857,210.5,0.0150901,1
27,6,800,1923,193.474,0.0187695,1
28,6,800,1831,163.143,0.0139979,1
29,6,800,1726,195.056,0.0146178,1
30,6,800,9092,47.0722,0.825532,1
31,6,800,9755,49.87,0.915973,1
32,6,800,9423,45.9369,0.931348,1
33,6,800,8934,44.4492,0.913886,1
34,6,800,9850,46.0439,0.964034,1
35,6,800,4852,82.8,0.151743,1
36,6,800,5422,88.8627,0.186631,1
37,6,800,5055,77.0189,0.191128,1
38,6,800,5115,89,0.164627,1
39,6,800,4722,90.3673,0.163371,1
40,6,800,4039,117.359,0.371429,1
41,6,800,3715,151.433,0.386749,1
42,6,800,3940,110.158,0.381409,1
43,6,800,3828,119.316,0.396096,1
44,6,800,3861,130.097,0.386285,1
45,6,800,3274,91.898,0.0624396,1
46,6,800,3273,87.4038,0.0602704,1
47,6,800,3381,81.5714,0.067241,1
48,6,800,3328,107.739,0.0721565,1
49,6,800,3196,92.0435,0.0690564,1
50,6,800,3490,64.5128,0.116881,1
51,6,800,3671,57.4237,0.128498,1
52,6,800,3378,59.2881,0.158274,1
53,6,800,3752,62.6136,0.131878,1
54,6,800,3640,58.4713,0.12641,1
55,6,800,3692,101.289,0.0845352,1
56,6,800,3731,118.4,0.0857571,1
57,6,800,3651,103.575,0.0859493,1
58,6,800,3522,112.432,0.0884618,1
59,6,800,3673,116.811,0.0983682,1
60,6,800,1889,105.391,0.016306,1
61,6,800,1993,113.618,0.0187351,1
62,6,800,1806,128.812,0.0149938,1
63,6,800,1920,150.931,0.0172877,1
64,6,800,1775,131.714,0.0139248,1
65,6,800,10023,34.0423,1.23573,1
66,6,800,9638,35.8255,1.36574,1
67,6,800,10005,35.0127,1.4292,1
68,6,800,9778,36.961,1.39576,1
69,6,800,10288,34.6405,1.53809,1
70,6,800,7480,57.9231,0.6621,1
71,6,800,7244,58.3377,0.752861,1
72,6,800,7312,59.8056,0.760898,1
73,6,800,7268,62.4884,0.729717,1
74,6,800,7504,56.0563,0.699651,1
75,6,800,15799,26.7053,4.17511,1
76,6,800,15147,25.3491,4.59406,1
77,6,800,16020,25.1515,4.34233,1
78,6,800,15690,24.6963,4.75197,1
79,6,800,15283,26.5734,4.57027,1
80,6,800,5492,88.2281,1.01873,1
81,6,800,5359,93.7455,1.07361,1
82,6,800,5014,85.1091,0.806613,1
83,6,800,5398,90.3111,0.91138,1
84,6,800,5507,85.0492,1.10094,1
