index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,800,4654,128.846,0.0192153,1
1,6,800,4483,120.542,0.0195369,1
2,6,800,4632,140.15,0.0190835,1
3,6,800,4817,114.355,0.0184829,1
4,6,800,4787,125.45,0.0158916,1
5,6,800,4663,188.259,0.0208658,1
6,6,800,4631,224.8,0.0197875,1
7,6,800,4486,187.48,0.0246181,1
8,6,800,4656,180.409,0.0216495,1
9,6,800,4276,196.455,0.0230458,1
10,6,800,3913,198.625,0.0119751,1
11,6,800,3790,253.867,0.0137866,1
12,6,800,3838,172.85,0.0137563,1
13,6,800,4177,201.833,0.0144626,1
14,6,800,3921,224.333,0.0113209,1
15,6,800,706,385,0.00105811,1
16,6,800,751,352.375,0.00118662,1
17,6,800,768,261.333,0.00121973,1
18,6,800,664,290.727,0.00108194,1
19,6,800,725,247.8,0.00109965,1
20,6,800,2408,296.75,0.00783729,1
21,6,800,2379,337.667,0.00748862,1
22,6,800,2412,429,0.00814827,1
23,6,800,2378,281.077,0.00750507,1
24,6,800,2421,339,0.00756043,1
25,6,800,1868,365.909,0.00360852,1
26,6,800,1857,421,0.00324421,1
27,6,800,1923,305.273,0.00379501,1
28,6,800,1831,350,0.00317941,1
29,6,800,1726,369.778,0.00344138,1
30,6,800,9092,92.3696,0.0402561,1
31,6,800,9755,103.373,0.0448493,1
32,6,800,9423,83.6296,0.0428401,1
33,6,800,8934,86.8793,0.0483392,1
34,6,800,9850,95.6078,0.0523494,1
35,6,800,4852,175.3,0.0152757,1
36,6,800,5422,181.913,0.0173181,1
37,6,800,5055,147.24,0.0162908,1
38,6,800,5115,152.571,0.0160241,1
39,6,800,4722,179.333,0.0164506,1
40,6,800,4039,237.571,0.0323985,1
41,6,800,3715,267.235,0.0259634,1
42,6,800,3940,198.375,0.0279475,1
43,6,800,3828,230,0.0362922,1
44,6,800,3861,194.125,0.032191,1
45,6,800,3274,193.909,0.00904673,1
46,6,800,3273,176.9,0.00843725,1
47,6,800,3381,175.455,0.00882871,1
48,6,800,3328,215.458,0.00984737,1
49,6,800,3196,193.727,0.00964834,1
50,6,800,3490,110.865,0.0133587,1
51,6,800,3671,126.714,0.0142159,1
52,6,800,3378,125,0.0160671,1
53,6,800,3752,115.711,0.0137321,1
54,6,800,3640,123.958,0.0138229,1
55,6,800,3692,192.45,0.0101485,1
56,6,800,3731,189.318,0.0104105,1
57,6,800,3651,289.643,0.0117259,1
58,6,800,3522,203.1,0.0122168,1
59,6,800,3673,249.867,0.0126315,1
60,6,800,1889,190.286,0.00365459,1
61,6,800,1993,227.533,0.0036976,1
62,6,800,1806,254,0.00336162,1
63,6,800,1920,243.167,0.0036404,1
64,6,800,1775,230.238,0.00313581,1
65,6,800,10023,69.4675,0.0522381,1
66,6,800,9638,69.3611,0.0609167,1
67,6,800,10005,77.3768,0.0583041,1
68,6,800,9778,83.6765,0.0602072,1
69,6,800,10288,73.5417,0.0625206,1
70,6,800,7480,128.576,0.0473352,1
71,6,800,7244,110.5,0.0406103,1
72,6,800,7312,120.476,0.0368247,1
73,6,800,7268,131.073,0.0440874,1
74,6,800,7504,119.341,0.0386037,1
75,6,800,15799,47.9224,0.111702,1
76,6,800,15147,50.4393,0.140533,1
77,6,800,16020,48.6729,0.130476,1
78,6,800,15690,49.1455,0.132148,1
79,6,800,15283,52.6961,0.117585,1
80,6,800,5492,158.826,0.0565814,1
81,6,800,5359,193.174,0.0571819,1
82,6,800,5014,175.571,0.0578295,1
83,6,800,5398,207.316,0.0579522,1
84,6,800,5507,186.619,0.066744,1
85,6,800,9387,59.686,0.0607996,1
86,6,800,8908,55.8462,0.0572646,1
87,6,800,9080,62.0864,0.0605998,1
88,6,800,9109,61.2967,0.0582733,1
89,6,800,9193,59.0899,0.05563,1
90,6,800,10599,76.2727,0.0598272,1
91,6,800,10736,67.5909,0.059358,1
92,6,800,10644,74.6061,0.0619073,1
93,6,800,10957,71.7067,0.0561914,1
94,6,800,10817,69.8169,0.0580698,1
95,6,800,8581,82.875,0.0399192,1
96,6,800,8779,77.56,0.0408569,1
97,6,800,9192,65.2105,0.0408958,1
98,6,800,8888,80.8491,0.0452378,1
99,6,800,9127,81.2167,0.0377911,1
100,6,800,2191,284.857,0.0040157,1
101,6,800,2095,298.357,0.00442924,1
102,6,800,2220,263.267,0.00396486,1
103,6,800,2203,276.417,0.00424516,1
104,6,800,2252,252.429,0.00449073,1
105,6,800,6108,186.55,0.0476964,1
106,6,800,6325,137.838,0.0517709,1
107,6,800,5893,162.379,0.0509207,1
108,6,800,6408,132.267,0.0414573,1
109,6,800,6216,135.212,0.0428975,1
110,6,800,5514,78.2571,0.0224953,1
111,6,800,5419,81.3056,0.0248151,1
112,6,800,5594,93.8108,0.0265172,1
113,6,800,5356,84.35,0.025568,1
114,6,800,5500,87.2424,0.0260989,1
115,6,800,8226,118.289,0.0375352,1
116,6,800,7916,111.343,0.0367266,1
117,6,800,7623,103.696,0.0347361,1
118,6,800,7828,128.238,0.0391622,1
