index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,800,4654,135.379,3.756,1
1,6,800,4483,129.218,4.00708,1
2,6,800,4632,136.131,3.46616,1
3,6,800,4817,138.183,3.51617,1
4,6,800,4787,122.196,3.75799,1
5,6,800,4663,255.864,3.03726,1
6,6,800,4631,242.344,3.03134,1
7,6,800,4486,244.119,3.2301,1
8,6,800,4656,235.358,3.19365,1
9,6,800,4276,244.648,3.20374,1
10,6,800,3913,206.466,2.80006,1
11,6,800,3790,205.85,2.91587,1
12,6,800,3838,184.891,2.85181,1
13,6,800,4177,204.69,2.75813,1
14,6,800,3921,196.059,2.64284,1
15,6,800,706,231.615,1.73902,1
16,6,800,751,256.273,1.78808,1
17,6,800,768,176.652,1.7971,1
18,6,800,664,213.2,1.75891,1
19,6,800,725,151.735,1.69569,1
20,6,800,2408,209.449,2.88011,1
21,6,800,2379,216.006,2.98525,1
22,6,800,2412,210.12,2.84402,1
23,6,800,2378,204.675,2.79326,1
24,6,800,2421,226.742,2.65313,1
25,6,800,1868,219.283,2.37826,1
26,6,800,1857,215.677,2.38836,1
27,6,800,1923,217.59,2.44333,1
28,6,800,1831,207.369,2.43374,1
29,6,800,1726,210.812,2.43868,1
30,6,800,9092,179.071,5.01341,1
31,6,800,9755,189.158,3.95643,1
32,6,800,9423,167.214,4.97084,1
33,6,800,8934,184.097,5.17072,1
34,6,800,9850,178.996,4.378,1
35,6,800,4852,126.123,3.05769,1
36,6,800,5422,117.964,2.944,1
37,6,800,5055,108.48,3.19847,1
38,6,800,5115,116.524,3.13344,1
39,6,800,4722,137.719,3.25715,1
40,6,800,4039,246.558,3.97248,1
41,6,800,3715,222.325,4.49212,1
42,6,800,3940,216.643,4.27517,1
43,6,800,3828,241.819,4.29107,1
44,6,800,3861,214.819,4.38045,1
45,6,800,3274,174.053,2.93725,1
46,6,800,3273,178.984,3.09776,1
47,6,800,3381,141.371,2.91587,1
48,6,800,3328,182.807,3.04082,1
49,6,800,3196,174.792,3.07666,1
50,6,800,3490,99.9303,3.33819,1
51,6,800,3671,86.5103,3.06873,1
52,6,800,3378,96.256,3.52171,1
53,6,800,3752,88.3385,3.27632,1
54,6,800,3640,106.943,3.34957,1
55,6,800,3692,168.676,2.85619,1
56,6,800,3731,164.291,2.80081,1
57,6,800,3651,158.716,2.72551,1
58,6,800,3522,168.858,2.90671,1
59,6,800,3673,180.782,2.78021,1
60,6,800,1889,117.305,2.36504,1
61,6,800,1993,138,2.44651,1
62,6,800,1806,125.502,2.38511,1
63,6,800,1920,122.106,2.4129,1
64,6,800,1775,127.521,2.39533,1
65,6,800,10023,174.372,6.00448,1
66,6,800,9638,165.275,7.09087,1
67,6,800,10005,179.42,6.2666,1
68,6,800,9778,173.479,6.32358,1
69,6,800,10288,158.769,6.33391,1
70,6,800,7480,242.722,3.86199,1
71,6,800,7244,241.034,4.57216,1
72,6,800,7312,239.399,4.54501,1
73,6,800,7268,250.267,4.51403,1
74,6,800,7504,228.903,4.22909,1
75,6,800,15799,189.961,10.1841,1
76,6,800,15147,194.068,12.6164,1
77,6,800,16020,204.135,10.446,1
78,6,800,15690,207.284,12.4663,1
79,6,800,15283,195.86,11.7891,1
80,6,800,5492,242.005,3.38232,1
81,6,800,5359,233.202,3.77858,1
82,6,800,5014,242.86,4.15225,1
83,6,800,5398,244.407,3.52416,1
84,6,800,5507,226.757,3.40791,1
85,6,800,9387,84.6498,5.94314,1
86,6,800,8908,82.8537,5.77453,1
87,6,800,9080,89.6075,5.44502,1
88,6,800,9109,100.859,5.35071,1
89,6,800,9193,97.3123,5.9337,1
