index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,800,4654,171.715,3.66433,1
1,6,800,4483,160.167,3.85079,1
2,6,800,4632,177.986,3.78073,1
3,6,800,4817,171.668,3.64798,1
4,6,800,4787,149.42,3.56283,1
5,6,800,4663,281.448,2.93054,1
6,6,800,4631,268.209,3.1382,1
7,6,800,4486,273.57,3.36014,1
8,6,800,4656,264.191,3.06368,1
9,6,800,4276,283.226,3.40957,1
10,6,800,3913,238.923,2.71908,1
11,6,800,3790,242.76,2.90502,1
12,6,800,3838,239.864,2.72112,1
13,6,800,4177,236.061,2.78436,1
14,6,800,3921,237.423,2.70076,1
15,6,800,706,385,1.58625,1
16,6,800,751,352.375,1.61489,1
17,6,800,768,261.333,1.63661,1
18,6,800,664,295.273,1.60308,1
19,6,800,725,242.304,1.57542,1
20,6,800,2408,253.391,2.54387,1
21,6,800,2379,276,2.68986,1
22,6,800,2412,303,2.51289,1
23,6,800,2378,246.328,2.51787,1
24,6,800,2421,317.579,2.39756,1
25,6,800,1868,265.811,2.15882,1
26,6,800,1857,281.085,2.24325,1
27,6,800,1923,261.973,2.20117,1
28,6,800,1831,257.646,2.21787,1
29,6,800,1726,262.093,2.15781,1
30,6,800,9092,207.514,6.89889,1
31,6,800,9755,210.244,6.08654,1
32,6,800,9423,188.326,6.38067,1
33,6,800,8934,218.978,7.28288,1
34,6,800,9850,198.635,5.97712,1
35,6,800,4852,172.572,3.1399,1
36,6,800,5422,190.836,3.11173,1
37,6,800,5055,179.788,3.21153,1
38,6,800,5115,158.091,3.16894,1
39,6,800,4722,186.295,3.20694,1
40,6,800,4039,282.254,3.90448,1
41,6,800,3715,265.875,4.34502,1
42,6,800,3940,256.715,3.82806,1
43,6,800,3828,284.69,4.2273,1
44,6,800,3861,246.054,4.33998,1
45,6,800,3274,219.104,2.65243,1
46,6,800,3273,228.779,2.6419,1
47,6,800,3381,181.046,2.66358,1
48,6,800,3328,236.118,2.61169,1
49,6,800,3196,243.257,2.65277,1
50,6,800,3490,152.392,3.1707,1
51,6,800,3671,130.235,2.96754,1
52,6,800,3378,161.591,3.04244,1
53,6,800,3752,126.427,3.05262,1
54,6,800,3640,153.214,3.19076,1
55,6,800,3692,238.545,2.75055,1
56,6,800,3731,200.198,2.58657,1
57,6,800,3651,263.045,2.7025,1
58,6,800,3522,250.9,2.76521,1
59,6,800,3673,297.15,2.58554,1
60,6,800,1889,166.357,2.10256,1
61,6,800,1993,283.16,2.17634,1
62,6,800,1806,195.55,2.07732,1
63,6,800,1920,175.905,2.20039,1
64,6,800,1775,210.042,2.13567,1
65,6,800,10023,196.686,7.53471,1
66,6,800,9638,193.545,8.58233,1
67,6,800,10005,205.347,8.23647,1
68,6,800,9778,201.258,7.9341,1
69,6,800,10288,179.773,8.09822,1
70,6,800,7480,270.678,4.9627,1
71,6,800,7244,263.347,5.09575,1
72,6,800,7312,275.26,5.39993,1
73,6,800,7268,281.041,5.32846,1
74,6,800,7504,254.612,4.80401,1
75,6,800,15799,206.524,16.5892,1
76,6,800,15147,233.142,20.3186,1
77,6,800,16020,224.592,17.7426,1
78,6,800,15690,233.31,20.4753,1
79,6,800,15283,231.968,21.0882,1
80,6,800,5492,273.459,4.1674,1
81,6,800,5359,264.158,3.86428,1
82,6,800,5014,291.879,3.95839,1
83,6,800,5398,284.108,3.9479,1
84,6,800,5507,261.488,4.12058,1
85,6,800,9387,103.418,7.71839,1
86,6,800,8908,99.4012,7.6743,1
87,6,800,9080,117.455,7.93517,1
88,6,800,9109,120.816,7.57299,1
89,6,800,9193,113.158,7.51077,1
90,6,800,10599,207.152,8.85199,1
91,6,800,10736,201.293,8.28558,1
92,6,800,10644,208.17,8.41572,1
93,6,800,10957,192.711,7.56723,1
94,6,800,10817,215.237,9.50153,1
95,6,800,8581,130.256,6.90082,1
96,6,800,8779,121.878,6.03666,1
97,6,800,9192,124.374,5.98955,1
98,6,800,8888,131.853,6.33465,1
99,6,800,9127,133.802,5.60867,1
100,6,800,2191,247.478,2.17002,1
101,6,800,2095,200.576,2.14741,1
102,6,800,2220,222.391,2.26214,1
103,6,800,2203,243.125,2.19857,1
104,6,800,2252,235.263,2.23458,1
105,6,800,6108,301.394,4.50945,1
106,6,800,6325,272.826,4.20395,1
107,6,800,5893,287.25,4.31057,1
108,6,800,6408,263.331,4.06084,1
109,6,800,6216,280.125,4.31038,1
110,6,800,5514,100.531,3.88696,1
111,6,800,5419,108.15,4.15107,1
112,6,800,5594,102.391,3.9543,1
113,6,800,5356,109.296,3.99471,1
114,6,800,5500,93.3854,4.061,1
115,6,800,8226,216.335,5.33355,1
116,6,800,7916,175.919,5.14356,1
117,6,800,7623,201.973,5.15542,1
118,6,800,7828,205.311,5.7673,1
119,6,800,7415,234.565,5.6158,1
120,6,800,10632,166.129,9.9851,1
121,6,800,10395,186.948,10.9373,1
122,6,800,10146,171.297,10.5292,1
123,6,800,10745,182.414,10.5871,1
124,6,800,10831,177.399,10.9311,1
125,6,800,5071,132.407,3.40306,1
126,6,800,5177,115.182,3.41707,1
127,6,800,4882,156.542,3.53085,1
128,6,800,5078,181.275,3.2716,1
129,6,800,5054,146.66,3.26012,1
130,6,800,9472,143.043,6.60713,1
131,6,800,9053,136.963,6.41653,1
