index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,800,4654,134.654,19.7895,1
1,6,800,4483,127.592,21.2042,1
2,6,800,4632,136.131,19.7564,1
3,6,800,4817,138.007,26.1247,1
4,6,800,4787,121.517,22.994,1
5,6,800,4663,255.264,28.3464,1
6,6,800,4631,242.242,32.4804,1
7,6,800,4486,243.824,26.0347,1
8,6,800,4656,235.398,27.8311,1
9,6,800,4276,243.498,36.715,1
10,6,800,3913,206.889,18.1458,1
11,6,800,3790,205.633,15.9212,1
12,6,800,3838,182.371,15.1844,1
13,6,800,4177,203.967,14.3834,1
14,6,800,3921,195.539,13.7711,1
15,6,800,706,286.062,0.318,1
16,6,800,751,256.273,0.330414,1
17,6,800,768,213.875,0.365322,1
18,6,800,664,213.2,0.299065,1
19,6,800,725,206.5,0.269174,1
20,6,800,2408,208.046,6.32439,1
21,6,800,2379,220.217,5.67793,1
22,6,800,2412,208.624,6.05351,1
23,6,800,2378,209.8,6.0363,1
24,6,800,2421,225.885,6.6281,1
25,6,800,1868,218.298,2.40775,1
26,6,800,1857,215.149,2.48989,1
27,6,800,1923,217.864,2.55764,1
28,6,800,1831,206.149,2.02141,1
29,6,800,1726,215.897,2.08113,1
30,6,800,9092,178.121,71.3243,1
31,6,800,9755,189.158,74.3992,1
32,6,800,9423,166.672,124.95,1
33,6,800,8934,183.909,93.9672,1
34,6,800,9850,178.975,146.353,1
35,6,800,4852,129.514,24.8425,1
36,6,800,5422,121.866,29.4428,1
37,6,800,5055,112.648,26.2809,1
38,6,800,5115,123.186,26.6614,1
39,6,800,4722,141.212,25.5919,1
40,6,800,4039,244.87,28.582,1
41,6,800,3715,223.341,30.4469,1
42,6,800,3940,215.058,33.6496,1
43,6,800,3828,238.745,32.2743,1
44,6,800,3861,213.343,30.0631,1
45,6,800,3274,172.806,8.42861,1
46,6,800,3273,177.676,9.3722,1
47,6,800,3381,140.594,9.0227,1
48,6,800,3328,181.141,9.12715,1
49,6,800,3196,175.823,9.47141,1
50,6,800,3490,101.041,11.9923,1
51,6,800,3671,87.0861,12.4769,1
52,6,800,3378,99.4101,12.5932,1
53,6,800,3752,89.1568,13.523,1
54,6,800,3640,108.296,12.9981,1
55,6,800,3692,167.373,11.9586,1
56,6,800,3731,161.538,12.4992,1
57,6,800,3651,157.992,10.1238,1
58,6,800,3522,170.14,11.7193,1
59,6,800,3673,179.045,13.3705,1
60,6,800,1889,123.382,2.35937,1
61,6,800,1993,150.338,2.88219,1
62,6,800,1806,128.812,2.15017,1
63,6,800,1920,150.931,2.44494,1
64,6,800,1775,139.213,2.20459,1
65,6,800,10023,174.372,88.3176,1
66,6,800,9638,165.275,88.8909,1
67,6,800,10005,179.42,219.708,1
68,6,800,9778,173.451,204.055,1
69,6,800,10288,158.621,101.433,1
70,6,800,7480,242.666,43.919,1
71,6,800,7244,241.112,53.4344,1
72,6,800,7312,239.249,59.8646,1
73,6,800,7268,249.954,58.5005,1
74,6,800,7504,228.536,51.6165,1
75,6,800,15799,189.852,544.913,1
76,6,800,15147,194.068,749.282,1
77,6,800,16020,204.135,672.871,1
78,6,800,15690,207.284,233.49,1
79,6,800,15283,195.811,283.869,1
80,6,800,5492,241.342,56.0518,1
81,6,800,5359,232.254,75.305,1
82,6,800,5014,242.366,55.3201,1
83,6,800,5398,244.202,87.6951,1
84,6,800,5507,225.54,58.3909,1
85,6,800,9387,84.6263,98.8234,1
86,6,800,8908,82.7626,112.28,1
87,6,800,9080,89.7081,73.5576,1
88,6,800,9109,100.715,81.1923,1
89,6,800,9193,97.3656,90.5647,1
90,6,800,10599,182.023,108.788,1
91,6,800,10736,183.308,182.608,1
92,6,800,10644,185.675,82.5335,1
93,6,800,10957,176.815,231.387,1
94,6,800,10817,192.707,225.651,1
95,6,800,8581,105.932,70.6623,1
96,6,800,8779,107.065,67.0081,1
97,6,800,9192,110.658,76.8251,1
98,6,800,8888,109.546,75.3537,1
99,6,800,9127,105.13,72.3828,1
100,6,800,2191,165.961,3.33416,1
101,6,800,2095,154.112,3.31478,1
102,6,800,2220,153.023,3.51453,1
103,6,800,2203,160.035,3.28788,1
104,6,800,2252,186.774,3.56361,1
105,6,800,6108,261.625,92.0201,1
106,6,800,6325,240.14,46.5653,1
107,6,800,5893,243.161,51.0478,1
108,6,800,6408,235.159,65.5132,1
109,6,800,6216,252.55,69.3594,1
110,6,800,5514,84.486,32.6319,1
111,6,800,5419,87.6123,28.01,1
112,6,800,5594,87.7889,34.7905,1
113,6,800,5356,85.8302,32.7162,1
114,6,800,5500,79.3385,39.5301,1
115,6,800,8226,191.825,56.724,1
116,6,800,7916,157.444,57.3803,1
117,6,800,7623,178.52,74.8301,1
118,6,800,7828,173.068,54.0028,1
119,6,800,7415,197.166,119.88,1
120,6,800,10632,132.9,185.459,1
121,6,800,10395,143.087,130.853,1
122,6,800,10146,137.008,124.316,1
123,6,800,10745,141.897,146.228,1
124,6,800,10831,137.919,130.817,1
125,6,800,5071,100.833,21.9616,1
126,6,800,5177,96.1367,24.1159,1
127,6,800,4882,116.464,25.199,1
128,6,800,5078,124.429,20.2358,1
129,6,800,5054,115.441,21.4654,1
130,6,800,9472,119.66,107.578,1
131,6,800,9053,110.579,81.2965,1
132,6,800,9443,122.408,86.3417,1
133,6,800,8895,114.975,97.0147,1
134,6,800,8903,116.255,95.5663,1
135,6,800,3049,147.962,9.2168,1
136,6,800,3415,109.533,9.80381,1
137,6,800,3422,125.951,10.3778,1
138,6,800,3375,122.969,9.40553,1
139,6,800,3192,148.517,9.29535,1
140,6,800,3184,205.969,8.11069,1
141,6,800,3243,204.969,9.09649,1
142,6,800,3202,197.884,8.03225,1
143,6,800,3261,220.029,8.80543,1
144,6,800,3272,208.792,8.05696,1
145,6,800,4998,226.627,20.1941,1
146,6,800,5096,196.436,21.1175,1
147,6,800,4934,197.745,23.0372,1
148,6,800,5134,206.18,29.7231,1
149,6,800,4947,219.159,22.4121,1
150,6,800,11621,224.166,286.262,1
151,6,800,12032,205.41,291.905,1
152,6,800,11914,221.717,306.827,1
153,6,800,12058,206.949,122.082,1
154,6,800,11522,218.068,276.032,1
155,6,800,7220,132.232,58.5155,1
156,6,800,7170,134.625,61.2375,1
157,6,800,7071,133,57.137,1
158,6,800,7192,134.159,56.0146,1
159,6,800,6984,129.59,63.7928,1
160,6,800,3876,126.716,12.2603,1
161,6,800,3892,150.533,12.9077,1
162,6,800,3623,147.543,11.7946,1
163,6,800,3987,143.185,14.0971,1
164,6,800,3987,138.404,11.7757,1
165,6,800,4506,139.258,14.9091,1
166,6,800,4587,128.287,14.5063,1
167,6,800,4643,121.282,15.5872,1
168,6,800,4526,128.171,14.547,1
169,6,800,4432,132.798,17.3558,1
170,6,800,4971,119.303,28.7935,1
171,6,800,4874,102.342,25.8003,1
172,6,800,4982,109.095,25.9132,1
173,6,800,4928,97.1868,22.9326,1
174,6,800,4966,104.362,21.9039,1
175,6,800,8748,161.087,76.9168,1
176,6,800,9091,169.398,81.6015,1
177,6,800,8394,161.66,71.8413,1
178,6,800,8813,152.81,93.6939,1
179,6,800,8797,155.759,102.82,1
180,6,800,3829,200.943,12.2017,1
181,6,800,3841,219.038,11.081,1
182,6,800,3759,212.747,11.9651,1
183,6,800,3860,226.312,12.1726,1
184,6,800,3700,239.685,13.1822,1
185,6,800,7464,209.684,76.4996,1
186,6,800,7492,197.996,62.9692,1
187,6,800,7586,201.703,68.934,1
188,6,800,7680,198.111,54.2805,1
189,6,800,7462,220.082,64.0215,1
190,6,800,6628,168.869,36.3896,1
191,6,800,6480,164.903,43.6939,1
192,6,800,6635,161.965,31.5811,1
193,6,800,6356,200.556,30.4819,1
194,6,800,6357,166.308,44.0012,1
195,6,800,12061,205.991,100.282,1
196,6,800,11845,217.86,149.878,1
197,6,800,11379,216.109,104.571,1
198,6,800,11756,200.193,249.331,1
199,6,800,12131,189.378,112.266,1
200,6,800,6507,139.703,38.6725,1
201,6,800,6775,135.274,57.5455,1
202,6,800,6964,146.492,36.9672,1
203,6,800,6690,150.372,40.8332,1
204,6,800,6760,139.665,54.8191,1
205,6,800,7526,123.042,73.1905,1
206,6,800,7240,144.156,83.0727,1
207,6,800,7507,127.412,87.1401,1
208,6,800,7491,129.141,66.2132,1
209,6,800,7314,130.863,84.4157,1
210,6,800,9520,186.35,158.025,1
211,6,800,10004,184.289,154.118,1
212,6,800,9950,202.715,79.0229,1
213,6,800,9835,190.274,167.017,1
214,6,800,9798,182.647,119.755,1
215,6,800,9854,197.575,64.5731,1
216,6,800,9873,168.466,138.578,1
217,6,800,9626,192.178,84.8997,1
218,6,800,10320,181.189,77.8994,1
219,6,800,10311,187.64,73.5288,1
220,6,800,10826,130.255,176.582,1
221,6,800,10494,120.911,154.237,1
222,6,800,10445,129.992,154.143,1
223,6,800,10685,119.904,135.532,1
224,6,800,10729,132.648,150.074,1
225,6,800,2714,141.926,5.18395,1
226,6,800,2734,141.225,5.04041,1
227,6,800,2754,161.431,5.65767,1
228,6,800,2863,150.606,5.94298,1
229,6,800,2599,159.337,5.02197,1
230,6,800,12472,171.161,132.706,1
231,6,800,12425,158.827,358.114,1
232,6,800,12176,165.588,303.331,1
233,6,800,11753,168.945,336.729,1
234,6,800,12331,162.989,122.527,1
235,6,800,16711,220.488,740.943,1
236,6,800,16614,199.338,542.848,1
237,6,800,16783,211.267,222.985,1
238,6,800,16541,238.148,681.612,1
239,6,800,16886,230.456,322.763,1
240,6,800,4115,241.359,19.4151,1
241,6,800,3907,225.492,19.0846,1
242,6,800,4024,228.672,16.4071,1
243,6,800,4116,215.209,15.421,1
