index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,800,4654,188.887,1.63321,1
1,6,800,4483,202.013,2.10654,1
2,6,800,4632,203.25,1.87474,1
3,6,800,4817,178.832,1.72642,1
4,6,800,4787,155.796,1.52529,1
5,6,800,4663,293.783,2.02429,1
6,6,800,4631,264.988,1.94083,1
7,6,800,4486,276.978,2.07673,1
8,6,800,4656,308.852,2.16559,1
9,6,800,4276,281.361,2.43447,1
10,6,800,3913,257.25,1.48039,1
11,6,800,3790,268.733,1.9772,1
12,6,800,3838,279.375,1.80605,1
13,6,800,4177,250.085,1.34745,1
14,6,800,3921,269.932,1.32778,1
15,6,800,706,423.889,0.0219834,1
16,6,800,751,352.375,0.0291095,1
17,6,800,768,261.333,0.0315624,1
18,6,800,664,295.273,0.0219025,1
19,6,800,725,247.8,0.0203139,1
20,6,800,2408,323.674,0.874983,1
21,6,800,2379,337.667,0.758053,1
22,6,800,2412,429,0.819852,1
23,6,800,2378,302.63,0.735395,1
24,6,800,2421,374.633,0.758648,1
25,6,800,1868,369.455,0.343279,1
26,6,800,1857,444.818,0.34476,1
27,6,800,1923,313.708,0.318978,1
28,6,800,1831,378.923,0.278022,1
29,6,800,1726,369.778,0.322343,1
30,6,800,9092,237.496,4.39999,1
31,6,800,9755,208.875,4.0778,1
32,6,800,9423,185.762,4.11464,1
33,6,800,8934,217.72,5.31311,1
34,6,800,9850,205.381,5.44028,1
35,6,800,4852,217.323,2.49215,1
36,6,800,5422,272.606,2.26246,1
37,6,800,5055,223.389,2.05754,1
38,6,800,5115,200.068,2.20709,1
39,6,800,4722,223.314,2.51446,1
40,6,800,4039,292.068,2.41791,1
41,6,800,3715,316.323,2.44293,1
42,6,800,3940,268.017,2.4883,1
43,6,800,3828,287.216,2.61271,1
44,6,800,3861,266,2.93814,1
45,6,800,3274,263.623,0.885166,1
46,6,800,3273,269.68,0.915428,1
47,6,800,3381,240.731,0.820918,1
48,6,800,3328,281.863,1.08039,1
49,6,800,3196,248.125,1.09446,1
50,6,800,3490,193.303,1.35298,1
51,6,800,3671,149.044,1.26734,1
52,6,800,3378,186.607,1.69254,1
53,6,800,3752,150.373,1.18346,1
54,6,800,3640,226.489,1.31191,1
55,6,800,3692,225.403,1.24899,1
56,6,800,3731,244.636,1.28484,1
57,6,800,3651,290.55,1.34702,1
58,6,800,3522,273.969,1.59585,1
59,6,800,3673,281.878,1.48706,1
60,6,800,1889,219.674,0.359664,1
61,6,800,1993,288.87,0.414355,1
62,6,800,1806,325.471,0.34699,1
63,6,800,1920,246.667,0.339682,1
64,6,800,1775,300.114,0.311804,1
65,6,800,10023,195.073,4.6205,1
66,6,800,9638,190.763,5.64586,1
67,6,800,10005,201.933,5.16749,1
68,6,800,9778,199.268,4.88785,1
69,6,800,10288,178.555,4.78413,1
70,6,800,7480,288.433,3.42128,1
71,6,800,7244,262.143,3.69511,1
72,6,800,7312,273.934,2.78071,1
73,6,800,7268,278.552,3.69695,1
74,6,800,7504,251.439,2.95951,1
75,6,800,15799,205.733,9.78908,1
76,6,800,15147,230.07,10.9292,1
77,6,800,16020,221.528,9.85061,1
78,6,800,15690,228.562,6.19907,1
79,6,800,15283,229.226,10.5618,1
80,6,800,5492,275.875,3.43814,1
81,6,800,5359,261.04,3.96112,1
82,6,800,5014,291.298,3.92707,1
83,6,800,5398,279.68,4.41432,1
84,6,800,5507,260.64,4.1629,1
85,6,800,9387,113.938,4.59539,1
86,6,800,8908,102.315,5.98208,1
87,6,800,9080,135.632,4.79242,1
88,6,800,9109,118.487,8.41009,1
89,6,800,9193,127.679,4.56059,1
90,6,800,10599,204.715,5.28274,1
91,6,800,10736,199.848,5.5128,1
92,6,800,10644,207.379,4.94478,1
93,6,800,10957,191.092,4.63365,1
94,6,800,10817,215.326,4.74772,1
95,6,800,8581,150.642,4.24272,1
96,6,800,8779,137.789,4.07144,1
97,6,800,9192,124.868,2.95695,1
98,6,800,8888,131.486,3.44607,1
99,6,800,9127,174.383,3.20269,1
100,6,800,2191,328,0.439445,1
101,6,800,2095,330.778,0.557448,1
102,6,800,2220,318.6,0.387582,1
103,6,800,2203,297.597,0.395029,1
104,6,800,2252,304.571,0.465727,1
105,6,800,6108,299.729,4.92854,1
106,6,800,6325,275.273,4.0959,1
107,6,800,5893,286.436,4.48339,1
108,6,800,6408,279.176,3.70862,1
109,6,800,6216,278.167,4.36732,1
110,6,800,5514,128.841,2.37977,1
111,6,800,5419,124.009,2.36587,1
112,6,800,5594,163.727,2.48806,1
113,6,800,5356,145.971,2.33758,1
114,6,800,5500,141.474,2.5133,1
115,6,800,8226,222.117,3.27418,1
116,6,800,7916,179.444,3.46475,1
117,6,800,7623,200.427,3.77362,1
118,6,800,7828,202.756,3.77798,1
119,6,800,7415,230.35,5.50476,1
120,6,800,10632,156.633,4.60798,1
121,6,800,10395,192.389,5.27217,1
122,6,800,10146,160.718,5.0828,1
123,6,800,10745,179.351,3.83762,1
124,6,800,10831,184.797,4.92873,1
125,6,800,5071,153.286,1.6657,1
126,6,800,5177,145.826,1.51208,1
127,6,800,4882,170.869,2.04391,1
128,6,800,5078,217.619,1.7749,1
129,6,800,5054,162.378,2.02825,1
130,6,800,9472,148.37,4.23327,1
131,6,800,9053,166.246,6.31749,1
132,6,800,9443,167.76,4.64085,1
133,6,800,8895,154.531,5.05245,1
134,6,800,8903,175.226,5.13585,1
135,6,800,3049,198.092,1.09904,1
136,6,800,3415,191.828,1.06159,1
137,6,800,3422,291.826,1.08355,1
138,6,800,3375,294.059,1.05938,1
139,6,800,3192,230.895,1.10851,1
140,6,800,3184,276.173,0.900912,1
141,6,800,3243,271.765,0.740285,1
142,6,800,3202,312.917,0.798877,1
143,6,800,3261,271.115,0.923875,1
144,6,800,3272,339.684,0.805433,1
145,6,800,4998,328.902,2.0035,1
146,6,800,5096,251.769,1.74509,1
147,6,800,4934,239.333,1.98454,1
148,6,800,5134,238.856,1.72131,1
149,6,800,4947,261.811,2.04191,1
150,6,800,11621,246.443,7.63531,1
151,6,800,12032,226.7,6.64477,1
152,6,800,11914,244.131,5.71742,1
