index,nrLayers,nrNodes,oddsSet1,edgeDegree1,edgeDegree2,edgeDegreeCross
0,6,800,0.459374,7.50735,1.67877,2.62559
1,6,800,0.459374,7.50735,1.67877,2.62559
2,6,800,0.459374,7.50735,1.67877,2.62559
3,6,800,0.459374,7.50735,1.67877,2.62559
4,6,800,0.459374,7.50735,1.67877,2.62559
5,6,800,0.983031,6.04254,7.36989,1.04995
6,6,800,0.983031,6.04254,7.36989,1.04995
7,6,800,0.983031,6.04254,7.36989,1.04995
8,6,800,0.983031,6.04254,7.36989,1.04995
9,6,800,0.983031,6.04254,7.36989,1.04995
10,6,800,0.789997,4.45609,6.36085,1.14734
11,6,800,0.789997,4.45609,6.36085,1.14734
12,6,800,0.789997,4.45609,6.36085,1.14734
13,6,800,0.789997,4.45609,6.36085,1.14734
14,6,800,0.789997,4.45609,6.36085,1.14734
15,6,800,0.651628,0.323306,1.28901,0.461417
16,6,800,0.651628,0.323306,1.28901,0.461417
17,6,800,0.651628,0.323306,1.28901,0.461417
18,6,800,0.651628,0.323306,1.28901,0.461417
19,6,800,0.651628,0.323306,1.28901,0.461417
20,6,800,0.868359,2.31541,6.91132,0.779159
21,6,800,0.868359,2.31541,6.91132,0.779159
22,6,800,0.868359,2.31541,6.91132,0.779159
23,6,800,0.868359,2.31541,6.91132,0.779159
24,6,800,0.868359,2.31541,6.91132,0.779159
25,6,800,0.849626,1.93445,1.89431,0.870658
26,6,800,0.849626,1.93445,1.89431,0.870658
27,6,800,0.849626,1.93445,1.89431,0.870658
28,6,800,0.849626,1.93445,1.89431,0.870658
29,6,800,0.849626,1.93445,1.89431,0.870658
30,6,800,0.651332,10.0798,10.5647,3.99255
31,6,800,0.651332,10.0798,10.5647,3.99255
32,6,800,0.651332,10.0798,10.5647,3.99255
33,6,800,0.651332,10.0798,10.5647,3.99255
34,6,800,0.651332,10.0798,10.5647,3.99255
35,6,800,0.381361,4.22853,7.3126,1.40842
36,6,800,0.381361,4.22853,7.3126,1.40842
37,6,800,0.381361,4.22853,7.3126,1.40842
38,6,800,0.381361,4.22853,7.3126,1.40842
39,6,800,0.381361,4.22853,7.3126,1.40842
40,6,800,0.910995,2.69615,7.37832,2.99922
41,6,800,0.910995,2.69615,7.37832,2.99922
42,6,800,0.910995,2.69615,7.37832,2.99922
43,6,800,0.910995,2.69615,7.37832,2.99922
44,6,800,0.910995,2.69615,7.37832,2.99922
45,6,800,0.537928,5.21403,2.10977,1.12066
46,6,800,0.537928,5.21403,2.10977,1.12066
47,6,800,0.537928,5.21403,2.10977,1.12066
48,6,800,0.537928,5.21403,2.10977,1.12066
49,6,800,0.537928,5.21403,2.10977,1.12066
50,6,800,0.25039,6.1248,2.46319,1.93291
51,6,800,0.25039,6.1248,2.46319,1.93291
52,6,800,0.25039,6.1248,2.46319,1.93291
53,6,800,0.25039,6.1248,2.46319,1.93291
54,6,800,0.25039,6.1248,2.46319,1.93291
55,6,800,0.615301,2.99901,4.75882,2.07264
56,6,800,0.615301,2.99901,4.75882,2.07264
57,6,800,0.615301,2.99901,4.75882,2.07264
58,6,800,0.615301,2.99901,4.75882,2.07264
59,6,800,0.615301,2.99901,4.75882,2.07264
60,6,800,0.331502,2.62337,1.53994,0.9087
61,6,800,0.331502,2.62337,1.53994,0.9087
62,6,800,0.331502,2.62337,1.53994,0.9087
63,6,800,0.331502,2.62337,1.53994,0.9087
64,6,800,0.331502,2.62337,1.53994,0.9087
65,6,800,0.589216,11.7534,2.49754,7.20499
66,6,800,0.589216,11.7534,2.49754,7.20499
67,6,800,0.589216,11.7534,2.49754,7.20499
68,6,800,0.589216,11.7534,2.49754,7.20499
69,6,800,0.589216,11.7534,2.49754,7.20499
70,6,800,0.940429,9.769,5.74631,1.78302
71,6,800,0.940429,9.769,5.74631,1.78302
72,6,800,0.940429,9.769,5.74631,1.78302
73,6,800,0.940429,9.769,5.74631,1.78302
74,6,800,0.940429,9.769,5.74631,1.78302
75,6,800,0.753937,22.3651,3.44309,5.7764
76,6,800,0.753937,22.3651,3.44309,5.7764
77,6,800,0.753937,22.3651,3.44309,5.7764
78,6,800,0.753937,22.3651,3.44309,5.7764
79,6,800,0.753937,22.3651,3.44309,5.7764
80,6,800,0.946326,5.36507,9.41215,3.01762
81,6,800,0.946326,5.36507,9.41215,3.01762
82,6,800,0.946326,5.36507,9.41215,3.01762
83,6,800,0.946326,5.36507,9.41215,3.01762
84,6,800,0.946326,5.36507,9.41215,3.01762
85,6,800,0.276769,11.9122,8.80245,4.2051
86,6,800,0.276769,11.9122,8.80245,4.2051
87,6,800,0.276769,11.9122,8.80245,4.2051
88,6,800,0.276769,11.9122,8.80245,4.2051
89,6,800,0.276769,11.9122,8.80245,4.2051
90,6,800,0.706407,13.1899,3.43363,5.6593
91,6,800,0.706407,13.1899,3.43363,5.6593
92,6,800,0.706407,13.1899,3.43363,5.6593
93,6,800,0.706407,13.1899,3.43363,5.6593
94,6,800,0.706407,13.1899,3.43363,5.6593
95,6,800,0.353386,7.41398,8.70778,5.14867
96,6,800,0.353386,7.41398,8.70778,5.14867
