index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,600,5267,82.285,0.0177692,1
1,5,600,5267,81.815,0.0173853,1
2,5,600,5267,84.2767,0.0178219,1
3,5,600,5267,79.8567,0.0180074,1
4,5,600,5267,86.59,0.0170729,1
5,5,600,5406,89.93,0.0190406,1
6,5,600,5406,87.97,0.0175249,1
7,5,600,5406,76.7067,0.0173786,1
8,5,600,5406,80.9867,0.0177086,1
9,5,600,5406,78.7633,0.0195487,1
10,5,600,1947,73.8179,0.00726506,1
11,5,600,1947,67.1644,0.00735127,1
12,5,600,1947,74.8387,0.00742459,1
13,5,600,1947,77.3585,0.00762997,1
14,5,600,1947,77.0017,0.00731685,1
15,5,600,5164,79.5517,0.0172656,1
16,5,600,5164,80.6717,0.0174489,1
17,5,600,5164,86.085,0.0166824,1
18,5,600,5164,80.7283,0.0178184,1
19,5,600,5164,66.7917,0.0168537,1
20,5,600,1222,75.9209,0.00514723,1
21,5,600,1222,67.71,0.00517174,1
22,5,600,1222,70.6373,0.00511191,1
23,5,600,1222,68.873,0.00521802,1
24,5,600,1222,79.2443,0.0052468,1
25,5,600,2592,85.5602,0.00945128,1
26,5,600,2592,86.3255,0.00957705,1
27,5,600,2592,82.5733,0.00908646,1
28,5,600,2592,78.5509,0.00885748,1
29,5,600,2592,87.3082,0.00933929,1
30,5,600,728,54.5788,0.0036228,1
31,5,600,728,52.9682,0.00380097,1
32,5,600,728,57.8405,0.00365488,1
33,5,600,728,57.4577,0.00364912,1
34,5,600,728,53.7462,0.00364997,1
35,5,600,3357,79.8417,0.0111827,1
36,5,600,3357,89.5067,0.0116139,1
37,5,600,3357,85.6883,0.0113436,1
38,5,600,3357,85.7833,0.0115443,1
39,5,600,3357,85.1452,0.0114868,1
40,5,600,1814,83.3413,0.00712137,1
41,5,600,1814,81.8562,0.00715695,1
42,5,600,1814,89.8908,0.00707783,1
43,5,600,1814,87.1843,0.0071074,1
44,5,600,1814,78.5697,0.00695344,1
45,5,600,2513,77.9181,0.00879179,1
46,5,600,2513,82.7462,0.00885443,1
47,5,600,2513,77.3356,0.0089571,1
48,5,600,2513,80.1839,0.00913937,1
49,5,600,2513,64.7826,0.00908765,1
50,5,600,4050,86.5543,0.0137633,1
51,5,600,4050,85.9567,0.0135917,1
52,5,600,4050,74.3817,0.0137322,1
53,5,600,4050,90.2521,0.0133965,1
54,5,600,4050,76.6333,0.013674,1
55,5,600,2481,79.325,0.00899119,1
56,5,600,2481,80.1154,0.00880839,1
57,5,600,2481,75.4319,0.00876587,1
58,5,600,2481,89.53,0.00911287,1
59,5,600,2481,82.1221,0.00870552,1
60,5,600,4849,65.42,0.0172839,1
61,5,600,4849,75.7467,0.0162912,1
62,5,600,4849,84.5383,0.0166461,1
63,5,600,4849,75.3083,0.0164619,1
64,5,600,4849,89.9717,0.016123,1
65,5,600,4827,88.35,0.0159156,1
66,5,600,4827,77.7717,0.0163327,1
67,5,600,4827,70.4533,0.0165274,1
68,5,600,4827,86.24,0.0158942,1
69,5,600,4827,86.1167,0.0162375,1
70,5,600,3808,77.3983,0.0122739,1
71,5,600,3808,87.8033,0.0132593,1
72,5,600,3808,80.7546,0.0125619,1
73,5,600,3808,82.4783,0.0131906,1
74,5,600,3808,80.2487,0.0126085,1
75,5,600,3673,75.94,0.0120698,1
76,5,600,3673,88.36,0.0129302,1
77,5,600,3673,81.4217,0.0127324,1
78,5,600,3673,87.9717,0.0123556,1
79,5,600,3673,86.5133,0.012313,1
80,5,600,2338,84.5688,0.00846104,1
81,5,600,2338,73.9129,0.00860289,1
82,5,600,2338,77.9516,0.00851095,1
83,5,600,2338,84.4111,0.00839476,1
84,5,600,2338,82.2563,0.00867813,1
85,5,600,1121,71.993,0.00492775,1
86,5,600,1121,62.6756,0.00480755,1
87,5,600,1121,76.9806,0.00502561,1
88,5,600,1121,80.2415,0.00490546,1
89,5,600,1121,59.9964,0.00487271,1
90,5,600,1156,83.9283,0.00498712,1
91,5,600,1156,77.9094,0.0049885,1
92,5,600,1156,79.2123,0.00501867,1
