index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,600,5267,82.285,0.0125741,1
1,5,600,5267,81.815,0.012766,1
2,5,600,5267,84.2767,0.0126835,1
3,5,600,5267,79.8567,0.012956,1
4,5,600,5267,86.59,0.012081,1
5,5,600,5406,89.93,0.0138934,1
6,5,600,5406,87.97,0.0124557,1
7,5,600,5406,76.7067,0.0119746,1
8,5,600,5406,80.9867,0.0126167,1
9,5,600,5406,78.7633,0.0127288,1
10,5,600,1947,74.9555,0.00557363,1
11,5,600,1947,68.0782,0.00557801,1
12,5,600,1947,76.118,0.0055556,1
13,5,600,1947,78.6763,0.00552695,1
14,5,600,1947,78.044,0.00559038,1
15,5,600,5164,79.5517,0.0125661,1
16,5,600,5164,80.6717,0.0124189,1
17,5,600,5164,86.085,0.0119523,1
18,5,600,5164,80.7283,0.0118954,1
19,5,600,5164,66.7917,0.01183,1
20,5,600,1222,78.9744,0.0040915,1
21,5,600,1222,74.3764,0.0041533,1
22,5,600,1222,76.4229,0.00417985,1
23,5,600,1222,73.2664,0.00404385,1
24,5,600,1222,83.6225,0.00428756,1
25,5,600,2592,85.7035,0.0070784,1
26,5,600,2592,86.6147,0.00680207,1
27,5,600,2592,82.9883,0.00681206,1
28,5,600,2592,78.9463,0.0065196,1
29,5,600,2592,87.6017,0.00693287,1
30,5,600,728,61.856,0.00302616,1
31,5,600,728,58.265,0.0030616,1
32,5,600,728,67.0286,0.00303498,1
33,5,600,728,66.8771,0.00304754,1
34,5,600,728,63.1111,0.00305371,1
35,5,600,3357,79.8417,0.0081761,1
36,5,600,3357,89.5067,0.00844197,1
37,5,600,3357,85.8314,0.00833523,1
38,5,600,3357,85.7833,0.00872078,1
39,5,600,3357,85.1452,0.00813757,1
40,5,600,1814,83.9111,0.00533643,1
41,5,600,1814,83.6752,0.00539021,1
42,5,600,1814,90.3463,0.00537798,1
43,5,600,1814,88.8208,0.00538539,1
44,5,600,1814,79.3797,0.00531743,1
45,5,600,2513,78.1795,0.00666844,1
46,5,600,2513,83.1628,0.00678722,1
47,5,600,2513,77.5946,0.00679909,1
48,5,600,2513,80.3183,0.0066741,1
49,5,600,2513,65.1092,0.00658105,1
50,5,600,4050,86.5543,0.0101548,1
51,5,600,4050,85.9567,0.00966167,1
52,5,600,4050,74.3817,0.00987815,1
53,5,600,4050,90.2521,0.00995532,1
54,5,600,4050,76.7613,0.0098964,1
55,5,600,2481,79.7256,0.00664998,1
56,5,600,2481,80.2496,0.00656731,1
57,5,600,2481,75.6863,0.00626484,1
58,5,600,2481,89.9799,0.00661857,1
59,5,600,2481,82.1221,0.00676894,1
60,5,600,4849,65.42,0.011533,1
61,5,600,4849,75.7467,0.0113922,1
62,5,600,4849,84.5383,0.0115009,1
63,5,600,4849,75.3083,0.0115583,1
64,5,600,4849,89.9717,0.011482,1
65,5,600,4827,88.35,0.0115312,1
66,5,600,4827,77.7717,0.0118059,1
67,5,600,4827,70.4533,0.0113799,1
68,5,600,4827,86.24,0.0116498,1
69,5,600,4827,86.1167,0.0115231,1
70,5,600,3808,77.3983,0.00902132,1
71,5,600,3808,87.8033,0.0094031,1
72,5,600,3808,80.7546,0.00946099,1
73,5,600,3808,82.4783,0.00955385,1
74,5,600,3808,80.2487,0.00929518,1
75,5,600,3673,75.94,0.00892429,1
76,5,600,3673,88.36,0.00922264,1
77,5,600,3673,81.4217,0.00915993,1
78,5,600,3673,88.2659,0.00907357,1
79,5,600,3673,86.5133,0.00897821,1
80,5,600,2338,84.7109,0.00646256,1
81,5,600,2338,74.2862,0.00644585,1
82,5,600,2338,78.344,0.00639604,1
83,5,600,2338,85.7053,0.0063671,1
84,5,600,2338,82.951,0.00640779,1
85,5,600,1121,76.149,0.00398821,1
86,5,600,1121,68.8082,0.00399039,1
87,5,600,1121,82.0451,0.00386129,1
88,5,600,1121,87.4366,0.00392651,1
89,5,600,1121,63.0471,0.00383567,1
90,5,600,1156,90.7597,0.00400137,1
91,5,600,1156,82.1404,0.00396926,1
92,5,600,1156,85.0301,0.00396884,1
93,5,600,1156,76.9468,0.00404956,1
94,5,600,1156,86.0056,0.00407707,1
95,5,600,4751,82.8117,0.0108725,1
96,5,600,4751,73.5467,0.0117021,1
97,5,600,4751,83.8417,0.0114407,1
98,5,600,4751,81.6533,0.0114944,1
99,5,600,4751,76.175,0.0111896,1
100,5,600,2200,76.0118,0.00624148,1
101,5,600,2200,85.552,0.00625541,1
102,5,600,2200,87.2108,0.0061559,1
103,5,600,2200,79.9728,0.00632721,1
104,5,600,2200,80.6627,0.00610428,1
105,5,600,5764,77.325,0.0132498,1
106,5,600,5764,80.79,0.0129312,1
107,5,600,5764,86.315,0.0131041,1
108,5,600,5764,78.4533,0.0128633,1
109,5,600,5764,77.3183,0.0135701,1
110,5,600,1103,79.0283,0.00389178,1
111,5,600,1103,75.8719,0.00386515,1
112,5,600,1103,65.5985,0.00380742,1
113,5,600,1103,77.5447,0.00381418,1
114,5,600,1103,76.8443,0.00388548,1
115,5,600,1380,86.6109,0.00440536,1
116,5,600,1380,77.6637,0.00441439,1
117,5,600,1380,85.4369,0.00439976,1
118,5,600,1380,92.3817,0.0044263,1
119,5,600,1380,85.8265,0.00440063,1
120,5,600,3812,82.8013,0.0092985,1
121,5,600,3812,78.2533,0.0093831,1
122,5,600,3812,95.6767,0.00940527,1
123,5,600,3812,87.9733,0.00904381,1
124,5,600,3812,81.6177,0.00946414,1
125,5,600,4147,78.35,0.0103345,1
126,5,600,4147,66.7117,0.0100561,1
127,5,600,4147,88.5275,0.0102119,1
128,5,600,4147,84.3467,0.0104583,1
129,5,600,4147,85.3433,0.00970845,1
130,5,600,1882,73.3157,0.00555314,1
131,5,600,1882,83.0488,0.00542424,1
132,5,600,1882,81.3666,0.00542439,1
133,5,600,1882,86.2901,0.00545039,1
134,5,600,1882,84.134,0.00540916,1
135,5,600,2146,74.882,0.00618933,1
136,5,600,2146,90.054,0.00623076,1
137,5,600,2146,83.8644,0.00609436,1
138,5,600,2146,81.796,0.00600062,1
139,5,600,2146,75.4463,0.0060066,1
140,5,600,2148,79.7109,0.00612311,1
141,5,600,2148,78.2078,0.0059416,1
142,5,600,2148,87.0491,0.00584414,1
143,5,600,2148,71.1726,0.00600688,1
144,5,600,2148,78.7655,0.00608307,1
145,5,600,3512,84.5876,0.00859163,1
146,5,600,3512,76.25,0.0085891,1
147,5,600,3512,82.715,0.00863905,1
148,5,600,3512,68.9648,0.00903537,1
149,5,600,3512,88.9317,0.00870329,1
150,5,600,3344,72.1686,0.0085305,1
151,5,600,3344,94.2408,0.00835791,1
152,5,600,3344,89.2638,0.00831594,1
153,5,600,3344,86.3239,0.00861075,1
154,5,600,3344,79.6983,0.0084631,1
155,5,600,5851,90.845,0.0129389,1
156,5,600,5851,93.4333,0.0132538,1
157,5,600,5851,89.485,0.0130302,1
158,5,600,5851,86.7683,0.0130465,1
159,5,600,5851,90.5783,0.0131883,1
160,5,600,4434,71.0333,0.0107666,1
161,5,600,4434,85.7883,0.0105346,1
162,5,600,4434,78.725,0.0110729,1
163,5,600,4434,75.8683,0.0110728,1
164,5,600,4434,74.355,0.0106103,1
165,5,600,5409,78.69,0.0127645,1
166,5,600,5409,80.3033,0.0124247,1
167,5,600,5409,78.4483,0.0124788,1
168,5,600,5409,81.335,0.0123503,1
169,5,600,5409,75.785,0.0132955,1
170,5,600,5623,84.6633,0.0129212,1
171,5,600,5623,71.5333,0.0133314,1
172,5,600,5623,74.8917,0.0135056,1
173,5,600,5623,87.8733,0.0139108,1
174,5,600,5623,92.825,0.0136566,1
175,5,600,3932,73.3322,0.010229,1
176,5,600,3932,92.525,0.0100107,1
177,5,600,3932,81.6895,0.0103272,1
178,5,600,3932,90.2833,0.00990381,1
179,5,600,3932,86.1767,0.00981217,1
180,5,600,1061,62.5689,0.00379324,1
181,5,600,1061,71.4691,0.00382995,1
182,5,600,1061,84.3416,0.00375826,1
183,5,600,1061,74.7594,0.0037845,1
184,5,600,1061,79.3307,0.00372103,1
185,5,600,946,77.5316,0.00353226,1
186,5,600,946,71.442,0.00340219,1
187,5,600,946,76.4534,0.00351454,1
188,5,600,946,92.9091,0.00353685,1
189,5,600,946,74.6571,0.00345614,1
190,5,600,4386,84.995,0.0105016,1
191,5,600,4386,82.1219,0.0103506,1
192,5,600,4386,76.205,0.0105772,1
193,5,600,4386,91.1388,0.0106642,1
194,5,600,4386,77.765,0.0106905,1
195,5,600,5079,85.5117,0.0120854,1
196,5,600,5079,78.795,0.0117001,1
197,5,600,5079,80.1917,0.0123934,1
198,5,600,5079,78.0583,0.0120794,1
199,5,600,5079,91.0333,0.0119876,1
200,5,600,5923,81.5333,0.0137856,1
201,5,600,5923,90.7117,0.0134228,1
202,5,600,5923,88.7583,0.0134073,1
203,5,600,5923,74.885,0.0137181,1
204,5,600,5923,76.4983,0.013105,1
205,5,600,1585,82.8895,0.00460793,1
206,5,600,1585,87.3487,0.00488322,1
207,5,600,1585,78.5722,0.00470067,1
208,5,600,1585,80.1411,0.00483341,1
209,5,600,1585,81.117,0.00482403,1
210,5,600,3575,84.24,0.00887723,1
211,5,600,3575,87.27,0.0085037,1
212,5,600,3575,78.1669,0.00877467,1
213,5,600,3575,82.0467,0.00889561,1
214,5,600,3575,84.7659,0.00849297,1
215,5,600,2629,85.7663,0.00706146,1
216,5,600,2629,87.4756,0.00692196,1
217,5,600,2629,82.5734,0.00664629,1
218,5,600,2629,90.86,0.00689753,1
219,5,600,2629,79.8211,0.00681606,1
220,5,600,3756,82.1367,0.00946946,1
221,5,600,3756,65.07,0.00906432,1
222,5,600,3756,88.8998,0.00940745,1
223,5,600,3756,80.5833,0.00938022,1
224,5,600,3756,76.7967,0.00888194,1
225,5,600,4670,74.34,0.0111629,1
226,5,600,4670,83.5517,0.0111472,1
227,5,600,4670,94.83,0.0113625,1
228,5,600,4670,81.1983,0.0114394,1
229,5,600,4670,97.13,0.0111085,1
230,5,600,4581,79.58,0.0111953,1
231,5,600,4581,87.1417,0.0105794,1
232,5,600,4581,79.695,0.0112002,1
233,5,600,4581,73.7867,0.010646,1
234,5,600,4581,85.2433,0.0112165,1
235,5,600,3728,83.3122,0.00917401,1
236,5,600,3728,82.1667,0.00912009,1
237,5,600,3728,89.3528,0.00911736,1
238,5,600,3728,87.735,0.00934553,1
239,5,600,3728,90.4367,0.0093525,1
240,5,600,5017,93.5667,0.0119753,1
241,5,600,5017,93.3467,0.0117728,1
242,5,600,5017,83.445,0.0116671,1
243,5,600,5017,87.475,0.0119519,1
244,5,600,5017,77.8883,0.0129809,1
245,5,600,2582,69.4405,0.00687912,1
246,5,600,2582,69.6064,0.00684017,1
247,5,600,2582,71.7621,0.00679017,1
248,5,600,2582,79.5326,0.00646982,1
249,5,600,2582,88.0083,0.00661503,1
250,5,600,1191,73.3734,0.00400621,1
251,5,600,1191,86.7575,0.00397407,1
252,5,600,1191,82.1025,0.00399521,1
253,5,600,1191,69.1816,0.00404237,1
254,5,600,1191,69.656,0.00404245,1
255,5,600,3067,84.6672,0.00782106,1
256,5,600,3067,96.0783,0.00769029,1
257,5,600,3067,96.9849,0.0077583,1
258,5,600,3067,85.415,0.00781833,1
259,5,600,3067,98.2127,0.0077754,1
260,5,600,5492,80.4417,0.0126974,1
261,5,600,5492,71.9517,0.0130844,1
262,5,600,5492,91.182,0.0126862,1
263,5,600,5492,87.5867,0.0124938,1
264,5,600,5492,80.7583,0.0129272,1
265,5,600,624,67.0152,0.00279184,1
266,5,600,624,65.6197,0.00279689,1
267,5,600,624,66.8011,0.0027596,1
268,5,600,624,79.9207,0.00270192,1
269,5,600,624,73.114,0.00269737,1
270,5,600,3653,74.7291,0.00920075,1
271,5,600,3653,91.785,0.00906886,1
272,5,600,3653,87.87,0.00897566,1
273,5,600,3653,79.3933,0.00923263,1
274,5,600,3653,82.4633,0.00888382,1
275,5,600,787,74.7819,0.00317444,1
276,5,600,787,63.2344,0.00311225,1
