index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,600,5267,42.7727,0.154963,1
1,5,600,5267,51.2824,0.18804,1
2,5,600,5267,40.4578,0.170875,1
3,5,600,5267,47.973,0.15656,1
4,5,600,5267,56.3016,0.174533,1
5,5,600,5406,49.0423,0.192448,1
6,5,600,5406,45.663,0.180251,1
7,5,600,5406,39.1882,0.209526,1
8,5,600,5406,43.0513,0.176684,1
9,5,600,5406,41.8333,0.187292,1
10,5,600,1947,94.3,0.0149487,1
11,5,600,1947,71.7931,0.0151741,1
12,5,600,1947,102.217,0.0158496,1
13,5,600,1947,93.0952,0.0159558,1
14,5,600,1947,84.1875,0.014888,1
15,5,600,5164,43.5238,0.141719,1
16,5,600,5164,49.3284,0.173314,1
17,5,600,5164,50.2462,0.186452,1
18,5,600,5164,40.1071,0.171582,1
19,5,600,5164,43.5072,0.156588,1
20,5,600,1222,152.867,0.00683411,1
21,5,600,1222,113.889,0.00656646,1
22,5,600,1222,191.308,0.0066294,1
23,5,600,1222,133.5,0.0065701,1
24,5,600,1222,118.167,0.00708605,1
25,5,600,2592,69.875,0.0326226,1
26,5,600,2592,74.75,0.0301484,1
27,5,600,2592,83.0769,0.0281854,1
28,5,600,2592,75.1765,0.0292544,1
29,5,600,2592,82.9429,0.0299761,1
30,5,600,728,135.727,0.00393052,1
31,5,600,728,155.1,0.00391918,1
32,5,600,728,139,0.00396732,1
33,5,600,728,195.7,0.00415471,1
34,5,600,728,153.75,0.00400271,1
35,5,600,3357,64.7021,0.05802,1
36,5,600,3357,55.7778,0.0601438,1
37,5,600,3357,73.7778,0.0479023,1
38,5,600,3357,60.78,0.0566147,1
39,5,600,3357,61.4902,0.0576609,1
40,5,600,1814,104.28,0.0141787,1
41,5,600,1814,103.5,0.0131185,1
42,5,600,1814,105.76,0.0129569,1
43,5,600,1814,103.1,0.0136313,1
44,5,600,1814,124.526,0.0137962,1
45,5,600,2513,73.9722,0.0268862,1
46,5,600,2513,86.0294,0.0256058,1
47,5,600,2513,92.1579,0.0304523,1
48,5,600,2513,74.1818,0.0270463,1
49,5,600,2513,77.8095,0.0258645,1
50,5,600,4050,62.5385,0.0974436,1
51,5,600,4050,63.4643,0.0893997,1
52,5,600,4050,56.9839,0.0809616,1
53,5,600,4050,64.2045,0.0903162,1
54,5,600,4050,50.193,0.0850822,1
55,5,600,2481,87.4828,0.0249776,1
56,5,600,2481,78.9024,0.0274031,1
57,5,600,2481,82.8056,0.0245514,1
58,5,600,2481,81.0312,0.0285027,1
59,5,600,2481,80.4444,0.0269537,1
60,5,600,4849,45.7241,0.139569,1
61,5,600,4849,51.2625,0.15244,1
62,5,600,4849,49.589,0.129819,1
63,5,600,4849,47.4231,0.132313,1
64,5,600,4849,48.7949,0.145739,1
65,5,600,4827,50.6267,0.152453,1
66,5,600,4827,47,0.125728,1
67,5,600,4827,44.1139,0.139314,1
68,5,600,4827,51.8592,0.126631,1
69,5,600,4827,53.8904,0.142495,1
70,5,600,3808,67.2281,0.0700331,1
71,5,600,3808,59.5862,0.07828,1
72,5,600,3808,55.7037,0.0698416,1
73,5,600,3808,55.2459,0.0700889,1
74,5,600,3808,64.0192,0.0751375,1
75,5,600,3673,59.1228,0.063885,1
76,5,600,3673,59.6,0.074356,1
77,5,600,3673,61.9636,0.0692451,1
78,5,600,3673,65.25,0.0720712,1
79,5,600,3673,60.2115,0.0759324,1
80,5,600,2338,75.425,0.0225366,1
81,5,600,2338,73.2368,0.0245553,1
82,5,600,2338,89.1176,0.0211542,1
83,5,600,2338,94.9032,0.0223159,1
84,5,600,2338,74.0588,0.0216775,1
85,5,600,1121,138.571,0.00612104,1
86,5,600,1121,122.867,0.00600085,1
87,5,600,1121,125.833,0.00561097,1
88,5,600,1121,138.667,0.00634728,1
89,5,600,1121,143.562,0.00545776,1
90,5,600,1156,122.375,0.00629869,1
91,5,600,1156,133.85,0.0063059,1
92,5,600,1156,125.154,0.00635841,1
93,5,600,1156,110,0.00588409,1
94,5,600,1156,238.077,0.00632383,1
95,5,600,4751,45.0253,0.131479,1
96,5,600,4751,40.9605,0.157763,1
97,5,600,4751,49.5577,0.143502,1
98,5,600,4751,50.9636,0.123988,1
99,5,600,4751,54.3871,0.159234,1
100,5,600,2200,93.5455,0.022801,1
101,5,600,2200,90,0.01931,1
102,5,600,2200,97.5714,0.0200762,1
103,5,600,2200,89.0526,0.02302,1
104,5,600,2200,77.3571,0.020841,1
105,5,600,5764,44.3953,0.204336,1
106,5,600,5764,44.5647,0.231642,1
107,5,600,5764,48.058,0.202397,1
108,5,600,5764,49.2022,0.196961,1
109,5,600,5764,45.6528,0.188766,1
110,5,600,1103,221.556,0.00573321,1
111,5,600,1103,173.308,0.0058436,1
112,5,600,1103,155.565,0.00556628,1
113,5,600,1103,122.389,0.00552248,1
114,5,600,1103,118.286,0.00577887,1
115,5,600,1380,130.368,0.00815892,1
116,5,600,1380,97,0.00784705,1
