index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,600,5267,90.275,0.0112724,1
1,5,600,5267,95.1957,0.0141099,1
2,5,600,5267,85.45,0.0129174,1
3,5,600,5267,91.5862,0.01117,1
4,5,600,5267,110.844,0.0134996,1
5,5,600,5406,99.4857,0.013972,1
6,5,600,5406,80.2121,0.0137372,1
7,5,600,5406,75.7045,0.0146264,1
8,5,600,5406,97.1786,0.0134849,1
9,5,600,5406,83.6667,0.0127843,1
10,5,600,1947,204.667,0.00281861,1
11,5,600,1947,165,0.00304682,1
12,5,600,1947,156.733,0.00287513,1
13,5,600,1947,189.182,0.00283924,1
14,5,600,1947,152,0.00295752,1
15,5,600,5164,79.8846,0.0116014,1
16,5,600,5164,92.1429,0.0126502,1
17,5,600,5164,104.722,0.0135021,1
18,5,600,5164,90.9143,0.0131384,1
19,5,600,5164,83.3889,0.0117365,1
20,5,600,1222,229.3,0.00169447,1
21,5,600,1222,196.375,0.00165009,1
22,5,600,1222,248.7,0.00159294,1
23,5,600,1222,203.846,0.00159182,1
24,5,600,1222,217,0.00165845,1
25,5,600,2592,155.812,0.0045558,1
26,5,600,2592,195.875,0.00442117,1
27,5,600,2592,154.444,0.00419806,1
28,5,600,2592,134.526,0.00437135,1
29,5,600,2592,138.238,0.00464511,1
30,5,600,728,211.889,0.00096412,1
31,5,600,728,221.571,0.00101664,1
32,5,600,728,225.143,0.00100326,1
33,5,600,728,326.167,0.00097432,1
34,5,600,728,204.4,0.000994558,1
35,5,600,3357,143.286,0.00631249,1
36,5,600,3357,114.792,0.00699841,1
37,5,600,3357,125,0.00578269,1
38,5,600,3357,125.143,0.00678586,1
39,5,600,3357,127.842,0.00596913,1
40,5,600,1814,190.692,0.00261409,1
41,5,600,1814,188.778,0.00262722,1
42,5,600,1814,161.769,0.00288085,1
43,5,600,1814,187.455,0.00276181,1
44,5,600,1814,171,0.00275292,1
45,5,600,2513,137.917,0.00387587,1
46,5,600,2513,178.056,0.00409261,1
47,5,600,2513,180,0.0041748,1
48,5,600,2513,127.786,0.00408659,1
49,5,600,2513,172,0.00415647,1
50,5,600,4050,138,0.00910938,1
51,5,600,4050,141.19,0.00737307,1
52,5,600,4050,116.6,0.00758566,1
53,5,600,4050,105.871,0.00787848,1
54,5,600,4050,96.7692,0.00812851,1
55,5,600,2481,230.636,0.00379212,1
56,5,600,2481,270.5,0.00437961,1
57,5,600,2481,149.941,0.00387486,1
58,5,600,2481,153.8,0.0042993,1
59,5,600,2481,160.889,0.0042338,1
60,5,600,4849,80.3636,0.0107351,1
61,5,600,4849,121.037,0.0119476,1
62,5,600,4849,91.175,0.0109604,1
63,5,600,4849,113,0.011084,1
64,5,600,4849,114.25,0.0122401,1
65,5,600,4827,96.5588,0.0115544,1
66,5,600,4827,96.15,0.0105869,1
67,5,600,4827,93.1071,0.009995,1
68,5,600,4827,96.8947,0.010409,1
69,5,600,4827,93.8611,0.0103316,1
70,5,600,3808,112.706,0.00702477,1
71,5,600,3808,108,0.00763945,1
72,5,600,3808,114.429,0.00727895,1
73,5,600,3808,98.64,0.00744525,1
74,5,600,3808,144.739,0.00837219,1
75,5,600,3673,119.867,0.00676848,1
76,5,600,3673,130.577,0.00733317,1
77,5,600,3673,123.333,0.00736331,1
78,5,600,3673,111.031,0.00647011,1
79,5,600,3673,116.481,0.00701725,1
80,5,600,2338,160.867,0.00354826,1
81,5,600,2338,128.421,0.00379017,1
82,5,600,2338,172.643,0.00384973,1
83,5,600,2338,183.875,0.00379007,1
84,5,600,2338,176.333,0.00389853,1
85,5,600,1121,195.5,0.00157441,1
86,5,600,1121,204.444,0.00151413,1
87,5,600,1121,213.375,0.00154617,1
88,5,600,1121,209.833,0.00149223,1
89,5,600,1121,229.7,0.00139259,1
90,5,600,1156,275.667,0.00153239,1
91,5,600,1156,252.9,0.00162411,1
92,5,600,1156,220,0.00154086,1
93,5,600,1156,187,0.00154825,1
94,5,600,1156,343.889,0.0016201,1
95,5,600,4751,89.3684,0.0103912,1
96,5,600,4751,80.1628,0.0127773,1
97,5,600,4751,143.167,0.0114162,1
98,5,600,4751,90.6765,0.0109587,1
99,5,600,4751,109.778,0.0130833,1
100,5,600,2200,141.667,0.00385557,1
101,5,600,2200,180,0.00352483,1
102,5,600,2200,195.143,0.003413,1
103,5,600,2200,157.333,0.00417009,1
104,5,600,2200,149.059,0.00349971,1
105,5,600,5764,74.8627,0.0138847,1
106,5,600,5764,90.2973,0.0146572,1
107,5,600,5764,89.561,0.0117308,1
108,5,600,5764,82.1458,0.0120323,1
109,5,600,5764,88.7561,0.0129519,1
110,5,600,1103,332.333,0.00146575,1
111,5,600,1103,375.5,0.00145593,1
112,5,600,1103,275.231,0.00143908,1
113,5,600,1103,367.167,0.00144901,1
114,5,600,1103,218.1,0.00147574,1
115,5,600,1380,225.444,0.00188662,1
116,5,600,1380,181.818,0.00192114,1
117,5,600,1380,254.833,0.00187543,1
118,5,600,1380,233.364,0.0018616,1
119,5,600,1380,195,0.00192596,1
120,5,600,3812,84.6071,0.00784151,1
121,5,600,3812,137.769,0.00765873,1
122,5,600,3812,122.72,0.00904928,1
123,5,600,3812,114.571,0.00843184,1
124,5,600,3812,110.5,0.00666209,1
125,5,600,4147,103.542,0.0083853,1
126,5,600,4147,85.3333,0.00932852,1
127,5,600,4147,103.969,0.00982633,1
128,5,600,4147,105.324,0.00876363,1
129,5,600,4147,118.852,0.00774037,1
130,5,600,1882,173.167,0.00297059,1
131,5,600,1882,223,0.00267515,1
132,5,600,1882,277.5,0.0031144,1
133,5,600,1882,217.364,0.00281677,1
134,5,600,1882,246.5,0.00262585,1
135,5,600,2146,156.706,0.00338892,1
136,5,600,2146,184.571,0.00344778,1
137,5,600,2146,159.444,0.00340033,1
138,5,600,2146,171.688,0.00329355,1
139,5,600,2146,153.059,0.00315875,1
140,5,600,2148,201.4,0.00339169,1
141,5,600,2148,200.2,0.00342923,1
142,5,600,2148,207.231,0.00320202,1
143,5,600,2148,158.25,0.00348586,1
144,5,600,2148,203.5,0.00328971,1
145,5,600,3512,132.905,0.00723965,1
146,5,600,3512,154.111,0.00650325,1
147,5,600,3512,124.16,0.00689924,1
148,5,600,3512,126.214,0.00623398,1
149,5,600,3512,136.273,0.00762869,1
150,5,600,3344,156.421,0.00651223,1
151,5,600,3344,192.733,0.00679,1
152,5,600,3344,132.286,0.00695962,1
153,5,600,3344,121.37,0.00671011,1
154,5,600,3344,145.375,0.00725885,1
155,5,600,5851,90.325,0.0127316,1
156,5,600,5851,80.4792,0.0139388,1
157,5,600,5851,93.6129,0.0169267,1
158,5,600,5851,77.3019,0.0135746,1
159,5,600,5851,78.7755,0.012989,1
160,5,600,4434,93.625,0.0107888,1
161,5,600,4434,106.862,0.00957082,1
162,5,600,4434,90.5862,0.0103011,1
163,5,600,4434,86.2333,0.00990728,1
164,5,600,4434,98.56,0.00916897,1
165,5,600,5409,94.7143,0.012767,1
166,5,600,5409,87.575,0.0119985,1
167,5,600,5409,87.4737,0.0124812,1
168,5,600,5409,81.675,0.0123081,1
169,5,600,5409,81.7692,0.0114336,1
170,5,600,5623,86,0.0128772,1
171,5,600,5623,91.0938,0.0131984,1
172,5,600,5623,88.3333,0.0155556,1
173,5,600,5623,88.8864,0.0170889,1
174,5,600,5623,89.5238,0.0143535,1
175,5,600,3932,99,0.00833409,1
176,5,600,3932,118.444,0.00826576,1
177,5,600,3932,124.947,0.00753162,1
178,5,600,3932,153.957,0.0076001,1
179,5,600,3932,124.231,0.00881733,1
180,5,600,1061,182,0.00141752,1
181,5,600,1061,286.375,0.00143073,1
182,5,600,1061,195.1,0.00142778,1
183,5,600,1061,211.5,0.00144869,1
184,5,600,1061,346.25,0.0014529,1
185,5,600,946,252.286,0.00127846,1
186,5,600,946,234.571,0.00131852,1
187,5,600,946,225.091,0.00124864,1
188,5,600,946,276.556,0.0013211,1
189,5,600,946,270.143,0.0012939,1
190,5,600,4386,101.852,0.00958117,1
191,5,600,4386,100.486,0.00772602,1
192,5,600,4386,97.2333,0.00916298,1
193,5,600,4386,103.774,0.00832108,1
194,5,600,4386,121.25,0.00875179,1
195,5,600,5079,89.2195,0.0106885,1
196,5,600,5079,92.1212,0.0139412,1
197,5,600,5079,83.2051,0.0102342,1
198,5,600,5079,82.025,0.0113471,1
199,5,600,5079,129.241,0.0122709,1
200,5,600,5923,85.8889,0.015404,1
201,5,600,5923,94.3913,0.0139144,1
202,5,600,5923,95.1778,0.0175476,1
203,5,600,5923,72.7045,0.0146191,1
204,5,600,5923,80.7647,0.0130773,1
205,5,600,1585,186,0.00226531,1
206,5,600,1585,225.5,0.00213749,1
207,5,600,1585,192.692,0.00210757,1
208,5,600,1585,181.4,0.00213841,1
209,5,600,1585,225.889,0.00226164,1
210,5,600,3575,143.941,0.00702936,1
211,5,600,3575,114.45,0.00688846,1
212,5,600,3575,97.5455,0.00733073,1
213,5,600,3575,108.071,0.00707477,1
214,5,600,3575,118.226,0.00645388,1
215,5,600,2629,163.5,0.00426596,1
216,5,600,2629,176.4,0.00437463,1
217,5,600,2629,139.062,0.00468867,1
218,5,600,2629,123.875,0.00417332,1
219,5,600,2629,120.227,0.0044222,1
220,5,600,3756,108.739,0.00891252,1
221,5,600,3756,141.474,0.00718176,1
222,5,600,3756,97.3913,0.00740089,1
223,5,600,3756,108.433,0.00766359,1
224,5,600,3756,105.4,0.00693057,1
