index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,600,5267,82.6339,1.97987,1
1,5,600,5267,82.2388,2.00197,1
2,5,600,5267,84.7819,2.06496,1
3,5,600,5267,80.2017,1.86335,1
4,5,600,5267,86.626,1.81428,1
5,5,600,5406,90.1711,1.90304,1
6,5,600,5406,88.276,1.98698,1
7,5,600,5406,77.3024,2.04633,1
8,5,600,5406,81.1533,2.01386,1
9,5,600,5406,78.9045,2.08858,1
10,5,600,1947,81.9977,1.25782,1
11,5,600,1947,77.0861,1.27948,1
12,5,600,1947,85.5072,1.27805,1
13,5,600,1947,85.7739,1.23606,1
14,5,600,1947,86.5837,1.22417,1
15,5,600,5164,79.9256,1.95082,1
16,5,600,5164,81.6895,1.95225,1
17,5,600,5164,86.7027,1.98486,1
18,5,600,5164,81.0615,1.97353,1
19,5,600,5164,67.0421,1.85163,1
20,5,600,1222,134.789,1.12246,1
21,5,600,1222,103.944,1.1367,1
22,5,600,1222,140.641,1.12857,1
23,5,600,1222,93.6557,1.09593,1
24,5,600,1222,103.052,1.13838,1
25,5,600,2592,92.5681,1.3978,1
26,5,600,2592,92.5976,1.40227,1
27,5,600,2592,89.002,1.35031,1
28,5,600,2592,85.2393,1.39901,1
29,5,600,2592,94.0646,1.42848,1
30,5,600,728,121.429,0.958322,1
31,5,600,728,135.702,0.970126,1
32,5,600,728,107.15,0.965689,1
33,5,600,728,195.7,0.952321,1
34,5,600,728,153.75,0.934448,1
35,5,600,3357,83.3973,1.48994,1
36,5,600,3357,93.4264,1.59395,1
37,5,600,3357,87.3328,1.54177,1
38,5,600,3357,88.7015,1.5253,1
39,5,600,3357,88.3667,1.61617,1
40,5,600,1814,91.5687,1.22869,1
41,5,600,1814,94.9707,1.25346,1
42,5,600,1814,104.034,1.26415,1
43,5,600,1814,101.333,1.30355,1
44,5,600,1814,94.8232,1.24302,1
45,5,600,2513,83.0387,1.36948,1
46,5,600,2513,92.154,1.39505,1
47,5,600,2513,83.1752,1.34274,1
48,5,600,2513,84.5417,1.32094,1
49,5,600,2513,71.4635,1.30883,1
50,5,600,4050,88.2407,1.66739,1
51,5,600,4050,88.8566,1.76374,1
52,5,600,4050,76.0585,1.72089,1
53,5,600,4050,92.3659,1.72305,1
54,5,600,4050,77.8102,1.67052,1
55,5,600,2481,83.4899,1.37159,1
56,5,600,2481,88.8931,1.30812,1
57,5,600,2481,83.2513,1.3761,1
58,5,600,2481,98.1996,1.38823,1
59,5,600,2481,87.5926,1.41892,1
60,5,600,4849,65.684,1.783,1
61,5,600,4849,76.3475,1.80643,1
62,5,600,4849,87.1043,1.9533,1
63,5,600,4849,76.1164,1.8654,1
64,5,600,4849,90.3367,1.75841,1
65,5,600,4827,90.7159,1.85192,1
66,5,600,4827,78.3073,1.7142,1
67,5,600,4827,71.631,1.88719,1
68,5,600,4827,86.8422,1.89004,1
69,5,600,4827,88.1467,1.89231,1
70,5,600,3808,78.3585,1.52097,1
71,5,600,3808,89.8507,1.71012,1
72,5,600,3808,82.7972,1.56097,1
73,5,600,3808,83.6278,1.61126,1
74,5,600,3808,82.3898,1.62638,1
75,5,600,3673,77.327,1.54914,1
76,5,600,3673,89.5654,1.58523,1
77,5,600,3673,83.0433,1.55898,1
78,5,600,3673,89.8496,1.67123,1
79,5,600,3673,90.5524,1.71162,1
80,5,600,2338,91.8584,1.38282,1
81,5,600,2338,78.4586,1.31767,1
82,5,600,2338,85.0275,1.31447,1
83,5,600,2338,92.6768,1.35632,1
84,5,600,2338,90.036,1.35604,1
85,5,600,1121,107.549,1.13063,1
86,5,600,1121,99.5405,1.10543,1
87,5,600,1121,125.833,1.10632,1
88,5,600,1121,114.689,1.08623,1
89,5,600,1121,123.471,1.08936,1
90,5,600,1156,108.916,1.09807,1
91,5,600,1156,108.275,1.16991,1
92,5,600,1156,110.556,1.10313,1
93,5,600,1156,95.8547,1.09957,1
94,5,600,1156,238.077,1.12196,1
95,5,600,4751,84.0209,1.99617,1
96,5,600,4751,74.594,2.07943,1
97,5,600,4751,85.2189,1.84489,1
98,5,600,4751,81.7642,1.70421,1
