index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,600,5267,99.8636,2.83541,1
1,5,600,5267,115.891,2.86318,1
2,5,600,5267,101.501,2.51157,1
3,5,600,5267,98.4717,2.54619,1
4,5,600,5267,115.715,2.5515,1
5,5,600,5406,110.103,2.47152,1
6,5,600,5406,103.936,2.72579,1
7,5,600,5406,100.333,2.736,1
8,5,600,5406,100.989,2.50157,1
9,5,600,5406,93.0131,2.51445,1
10,5,600,1947,127.278,1.18874,1
11,5,600,1947,132,1.20622,1
12,5,600,1947,197.625,1.17341,1
13,5,600,1947,130.181,1.24239,1
14,5,600,1947,147.105,1.13684,1
15,5,600,5164,102.713,2.79985,1
16,5,600,5164,106.851,2.3333,1
17,5,600,5164,112.639,2.82334,1
18,5,600,5164,122.851,2.82253,1
19,5,600,5164,112.389,2.37028,1
20,5,600,1222,213.417,0.991285,1
21,5,600,1222,160.601,1.01047,1
22,5,600,1222,248.7,1.0431,1
23,5,600,1222,223.385,0.985511,1
24,5,600,1222,167.136,1.03858,1
25,5,600,2592,128.333,1.30265,1
26,5,600,2592,131.208,1.3869,1
27,5,600,2592,125.071,1.34347,1
28,5,600,2592,125.607,1.43204,1
29,5,600,2592,130.06,1.4283,1
30,5,600,728,211.889,0.87608,1
31,5,600,728,163.875,0.851843,1
32,5,600,728,225.143,0.876672,1
33,5,600,728,326.167,0.845548,1
34,5,600,728,192.222,0.874416,1
35,5,600,3357,135.788,1.59681,1
36,5,600,3357,123.7,1.71158,1
37,5,600,3357,140.692,1.68291,1
38,5,600,3357,119.245,1.65451,1
39,5,600,3357,120.629,1.71929,1
40,5,600,1814,150.286,1.14566,1
41,5,600,1814,153.045,1.20555,1
42,5,600,1814,147.123,1.12951,1
43,5,600,1814,182.308,1.23899,1
44,5,600,1814,176.043,1.14328,1
45,5,600,2513,158.235,1.35789,1
46,5,600,2513,159.895,1.318,1
47,5,600,2513,145.533,1.35629,1
48,5,600,2513,146.211,1.28895,1
49,5,600,2513,126.952,1.31502,1
50,5,600,4050,123.564,1.89006,1
51,5,600,4050,111.367,1.96931,1
52,5,600,4050,114.738,1.83099,1
53,5,600,4050,118.794,1.86278,1
54,5,600,4050,97.3801,1.95005,1
55,5,600,2481,272.636,1.37358,1
56,5,600,2481,157.965,1.24267,1
57,5,600,2481,119.141,1.35985,1
58,5,600,2481,138.308,1.36667,1
59,5,600,2481,116.672,1.32589,1
60,5,600,4849,84.5714,2.3599,1
61,5,600,4849,104.828,2.41153,1
62,5,600,4849,113.681,2.53773,1
63,5,600,4849,95.5679,2.26336,1
64,5,600,4849,124.132,2.38156,1
65,5,600,4827,121.143,2.46775,1
66,5,600,4827,112.475,2.51512,1
67,5,600,4827,89.5145,2.2308,1
68,5,600,4827,111.094,2.50958,1
69,5,600,4827,113.392,2.67825,1
70,5,600,3808,108.047,1.76515,1
71,5,600,3808,115.605,2.0133,1
72,5,600,3808,108.818,1.77812,1
73,5,600,3808,129.43,1.83626,1
74,5,600,3808,117.661,1.78027,1
75,5,600,3673,104.491,1.73625,1
76,5,600,3673,128.915,1.95493,1
77,5,600,3673,125.282,1.73217,1
78,5,600,3673,111.191,1.93616,1
79,5,600,3673,121.448,1.85084,1
80,5,600,2338,132.35,1.30778,1
81,5,600,2338,108.958,1.29119,1
82,5,600,2338,163.1,1.28623,1
83,5,600,2338,156.947,1.2595,1
84,5,600,2338,127.343,1.32551,1
85,5,600,1121,190,1.02692,1
86,5,600,1121,170.048,1.00316,1
87,5,600,1121,188.75,0.981807,1
88,5,600,1121,178.462,0.98516,1
89,5,600,1121,204.4,0.958734,1
90,5,600,1156,143.601,0.975237,1
91,5,600,1156,157.4,1.00477,1
92,5,600,1156,135.932,1.03794,1
93,5,600,1156,177.552,0.982738,1
94,5,600,1156,249.654,1.01843,1
95,5,600,4751,104.316,2.72883,1
96,5,600,4751,103.331,2.52487,1
97,5,600,4751,118.81,2.36373,1
98,5,600,4751,99.6821,2.24627,1
99,5,600,4751,105.569,2.38328,1
100,5,600,2200,124.818,1.3077,1
101,5,600,2200,180,1.23031,1
102,5,600,2200,132.542,1.23324,1
103,5,600,2200,132.73,1.28497,1
104,5,600,2200,134.211,1.29457,1
105,5,600,5764,94.3419,2.989,1
106,5,600,5764,104.15,3.09125,1
107,5,600,5764,113.774,2.96592,1
108,5,600,5764,96.5496,2.91927,1
109,5,600,5764,96.3864,2.80335,1
110,5,600,1103,209.314,0.956884,1
111,5,600,1103,375.5,0.979316,1
112,5,600,1103,197.5,0.963593,1
113,5,600,1103,249.667,0.959525,1
114,5,600,1103,218.1,0.946678,1
115,5,600,1380,193.077,1.09662,1
116,5,600,1380,184.606,1.02347,1
117,5,600,1380,227,1.05934,1
118,5,600,1380,233.364,1.10686,1
119,5,600,1380,199.333,1.03737,1
120,5,600,3812,107.708,2.11616,1
121,5,600,3812,113.007,1.70526,1
122,5,600,3812,160.16,1.92146,1
123,5,600,3812,129.242,1.85456,1
124,5,600,3812,106.97,1.78403,1
125,5,600,4147,108.914,1.98391,1
126,5,600,4147,88.1793,2.22028,1
127,5,600,4147,142.324,2.10374,1
128,5,600,4147,108.587,1.83892,1
129,5,600,4147,108.106,2.08104,1
130,5,600,1882,140.714,1.13299,1
131,5,600,1882,154.229,1.29013,1
132,5,600,1882,147.467,1.15445,1
133,5,600,1882,124.122,1.19835,1
134,5,600,1882,188,1.23754,1
135,5,600,2146,139.205,1.23728,1
136,5,600,2146,141.385,1.29156,1
137,5,600,2146,210.222,1.23571,1
138,5,600,2146,132.352,1.23278,1
139,5,600,2146,157.095,1.22898,1
140,5,600,2148,144.762,1.23381,1
141,5,600,2148,156.474,1.19927,1
142,5,600,2148,149.311,1.36678,1
143,5,600,2148,121.953,1.2225,1
144,5,600,2148,210.2,1.23716,1
145,5,600,3512,129.282,1.64832,1
