index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,600,5267,82.3731,14.6261,1
1,5,600,5267,81.9628,17.4296,1
2,5,600,5267,84.5333,18.2044,1
3,5,600,5267,80.1812,16.7465,1
4,5,600,5267,86.59,16.8565,1
5,5,600,5406,90.1197,16.0561,1
6,5,600,5406,88.2724,16.9941,1
7,5,600,5406,76.9481,20.397,1
8,5,600,5406,80.9867,18.1292,1
9,5,600,5406,78.8147,17.2704,1
10,5,600,1947,95.825,1.78416,1
11,5,600,1947,85.1096,1.80087,1
12,5,600,1947,114.542,1.90311,1
13,5,600,1947,94.3023,2.17264,1
14,5,600,1947,93.4153,1.95924,1
15,5,600,5164,79.7521,13.0922,1
16,5,600,5164,81.4418,14.837,1
17,5,600,5164,86.3595,18.0837,1
18,5,600,5164,80.898,18.9536,1
19,5,600,5164,67.0202,16.4653,1
20,5,600,1222,152.867,0.817766,1
21,5,600,1222,128.493,0.806021,1
22,5,600,1222,191.308,0.784204,1
23,5,600,1222,133.5,0.782447,1
24,5,600,1222,127.966,0.876432,1
25,5,600,2592,92.8429,4.03054,1
26,5,600,2592,92.8922,4.07686,1
27,5,600,2592,90.2667,3.87843,1
28,5,600,2592,85.5744,3.38211,1
29,5,600,2592,94.8434,3.55667,1
30,5,600,728,135.727,0.245134,1
31,5,600,728,155.895,0.24765,1
32,5,600,728,139,0.297971,1
33,5,600,728,195.7,0.254166,1
34,5,600,728,153.75,0.294113,1
35,5,600,3357,81.9893,7.1534,1
36,5,600,3357,92.3996,6.66166,1
37,5,600,3357,86.927,5.94177,1
38,5,600,3357,88.5166,6.11206,1
39,5,600,3357,87.0249,6.78251,1
40,5,600,1814,104.28,1.87803,1
41,5,600,1814,109.026,1.617,1
42,5,600,1814,105.76,1.68572,1
43,5,600,1814,110.033,1.80811,1
44,5,600,1814,124.526,1.8636,1
45,5,600,2513,81.6454,3.56908,1
46,5,600,2513,94.4485,3.50238,1
47,5,600,2513,92.1579,3.48207,1
48,5,600,2513,85.0023,3.17593,1
49,5,600,2513,77.8095,3.33126,1
50,5,600,4050,88.6813,10.7524,1
51,5,600,4050,88.8453,10.21,1
52,5,600,4050,75.5077,9.69566,1
53,5,600,4050,91.1466,10.8265,1
54,5,600,4050,77.4232,8.51656,1
55,5,600,2481,99.9667,3.29844,1
56,5,600,2481,91.8349,3.47972,1
57,5,600,2481,86.4,3.26526,1
58,5,600,2481,98.3698,3.426,1
59,5,600,2481,91,3.65735,1
60,5,600,4849,65.6304,12.4236,1
61,5,600,4849,76.1429,14.2266,1
62,5,600,4849,85.6531,13.5374,1
63,5,600,4849,75.8229,13.4506,1
64,5,600,4849,90.3244,12.6849,1
65,5,600,4827,90.9628,15.5017,1
66,5,600,4827,78.0932,13.5896,1
67,5,600,4827,71.1339,12.5316,1
68,5,600,4827,86.5606,14.0171,1
69,5,600,4827,87.2509,13.4864,1
70,5,600,3808,77.8879,8.24516,1
71,5,600,3808,89.666,8.37198,1
72,5,600,3808,82.5112,7.85333,1
73,5,600,3808,83.2288,8.5941,1
74,5,600,3808,81.3547,7.6651,1
75,5,600,3673,76.7618,7.19739,1
76,5,600,3673,89.1817,7.83299,1
77,5,600,3673,82.8569,6.81995,1
78,5,600,3673,89.3681,9.15898,1
79,5,600,3673,90.8541,8.11959,1
80,5,600,2338,92.4718,3.14115,1
81,5,600,2338,85.1538,3.17507,1
82,5,600,2338,89.2558,3.17814,1
83,5,600,2338,96.4627,2.89982,1
84,5,600,2338,91.6757,2.85512,1
85,5,600,1121,139.316,0.762743,1
86,5,600,1121,122.867,0.654483,1
87,5,600,1121,133.522,0.70084,1
88,5,600,1121,138.667,0.699055,1
89,5,600,1121,149,0.595511,1
90,5,600,1156,125.848,0.694646,1
91,5,600,1156,142.719,0.774067,1
92,5,600,1156,137.667,0.744258,1
93,5,600,1156,116.973,0.652961,1
94,5,600,1156,238.077,0.806258,1
95,5,600,4751,83.6558,14.8355,1
96,5,600,4751,73.8262,15.0689,1
97,5,600,4751,84.8171,14.0522,1
98,5,600,4751,81.6533,12.4794,1
99,5,600,4751,77.6943,14.3611,1
100,5,600,2200,93.5455,2.5967,1
101,5,600,2200,96.0833,2.66576,1
102,5,600,2200,102.66,2.73347,1
103,5,600,2200,89.0526,2.54412,1
104,5,600,2200,112.194,3.00964,1
105,5,600,5764,77.4615,17.6161,1
106,5,600,5764,80.79,19.0057,1
107,5,600,5764,86.7479,20.1154,1
108,5,600,5764,78.7378,17.5678,1
