index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,600,5267,131.308,0.925123,1
1,5,600,5267,130.699,1.16546,1
2,5,600,5267,114.495,1.02238,1
3,5,600,5267,107.221,0.817319,1
4,5,600,5267,145.451,1.02953,1
5,5,600,5406,148.681,0.957629,1
6,5,600,5406,125.558,1.02614,1
7,5,600,5406,108.932,0.958631,1
8,5,600,5406,120.969,0.945454,1
9,5,600,5406,102.447,0.775727,1
10,5,600,1947,213.933,0.242594,1
11,5,600,1947,174.8,0.214006,1
12,5,600,1947,166.929,0.234878,1
13,5,600,1947,192.091,0.240065,1
14,5,600,1947,180.25,0.257534,1
15,5,600,5164,111.385,0.93132,1
16,5,600,5164,137.559,0.731232,1
17,5,600,5164,123.516,0.976085,1
18,5,600,5164,135.815,1.75063,1
19,5,600,5164,131.86,0.908637,1
20,5,600,1222,233.571,0.124034,1
21,5,600,1222,205,0.106146,1
22,5,600,1222,248.7,0.107915,1
23,5,600,1222,223.385,0.108205,1
24,5,600,1222,217,0.112779,1
25,5,600,2592,155.812,0.407506,1
26,5,600,2592,195.875,0.465523,1
27,5,600,2592,190.711,0.394886,1
28,5,600,2592,157.754,0.370663,1
29,5,600,2592,176.304,0.385135,1
30,5,600,728,211.889,0.0241311,1
31,5,600,728,221.571,0.0283786,1
32,5,600,728,225.143,0.0311952,1
33,5,600,728,326.167,0.0225017,1
34,5,600,728,204.4,0.031513,1
35,5,600,3357,162.272,0.557541,1
36,5,600,3357,150.75,0.62443,1
37,5,600,3357,153.586,0.52213,1
38,5,600,3357,162.382,0.528326,1
39,5,600,3357,158.667,0.473912,1
40,5,600,1814,190.692,0.226269,1
41,5,600,1814,201.46,0.211844,1
42,5,600,1814,171.254,0.247481,1
43,5,600,1814,215.818,0.223269,1
44,5,600,1814,171.872,0.244576,1
45,5,600,2513,186.263,0.349225,1
46,5,600,2513,178.444,0.339696,1
47,5,600,2513,215,0.348223,1
48,5,600,2513,143.745,0.341063,1
49,5,600,2513,174.632,0.328038,1
50,5,600,4050,152.257,0.62567,1
51,5,600,4050,156.542,0.645759,1
52,5,600,4050,152.571,0.571621,1
53,5,600,4050,153.386,0.601639,1
54,5,600,4050,119.429,0.568624,1
55,5,600,2481,272.636,0.32317,1
56,5,600,2481,270.5,0.443224,1
57,5,600,2481,172.242,0.311287,1
58,5,600,2481,231.333,0.344493,1
59,5,600,2481,177.848,0.4663,1
60,5,600,4849,98.7273,0.700908,1
61,5,600,4849,153.593,0.926742,1
62,5,600,4849,144.481,1.42102,1
63,5,600,4849,118.424,0.902235,1
64,5,600,4849,150.739,0.821574,1
65,5,600,4827,127.284,1.01559,1
66,5,600,4827,126.038,0.807076,1
67,5,600,4827,122.311,0.744512,1
68,5,600,4827,129.66,0.896529,1
69,5,600,4827,120.877,0.982935,1
70,5,600,3808,128.571,0.598919,1
71,5,600,3808,131.745,0.649348,1
72,5,600,3808,157.481,0.525255,1
73,5,600,3808,139.651,0.533919,1
74,5,600,3808,153.426,0.638524,1
75,5,600,3673,132.221,0.581454,1
76,5,600,3673,164.958,0.570863,1
77,5,600,3673,166.029,0.566876,1
78,5,600,3673,148.449,0.614682,1
79,5,600,3673,140.345,0.583729,1
80,5,600,2338,180.235,0.287227,1
81,5,600,2338,158.304,0.339127,1
82,5,600,2338,177,0.321067,1
83,5,600,2338,228.304,0.293359,1
84,5,600,2338,183.6,0.322429,1
85,5,600,1121,219.143,0.103008,1
86,5,600,1121,223.167,0.0893755,1
87,5,600,1121,241.889,0.102952,1
88,5,600,1121,209.833,0.0869394,1
89,5,600,1121,283.1,0.0744042,1
90,5,600,1156,275.667,0.0876624,1
91,5,600,1156,259.8,0.115505,1
92,5,600,1156,227.444,0.102745,1
93,5,600,1156,201.975,0.0876268,1
94,5,600,1156,359.667,0.119924,1
95,5,600,4751,106.664,1.13314,1
96,5,600,4751,109.357,1.51419,1
97,5,600,4751,144.222,0.751257,1
98,5,600,4751,114.723,0.692668,1
99,5,600,4751,146.758,0.920344,1
100,5,600,2200,151.96,0.306011,1
101,5,600,2200,182.684,0.270083,1
102,5,600,2200,195.68,0.286305,1
103,5,600,2200,170.65,0.307419,1
104,5,600,2200,230.882,0.360114,1
105,5,600,5764,119.679,1.07088,1
106,5,600,5764,116.171,0.966879,1
107,5,600,5764,133.659,0.946444,1
108,5,600,5764,110.446,0.899333,1
109,5,600,5764,121.917,0.899471,1
110,5,600,1103,332.333,0.0871451,1
111,5,600,1103,375.5,0.0840005,1
112,5,600,1103,293.533,0.0732661,1
113,5,600,1103,367.167,0.0756083,1
114,5,600,1103,218.1,0.0940277,1
115,5,600,1380,226.227,0.128315,1
116,5,600,1380,197.909,0.130942,1
117,5,600,1380,288.045,0.134914,1
118,5,600,1380,233.364,0.147336,1
119,5,600,1380,243.467,0.149269,1
120,5,600,3812,120.964,0.711647,1
121,5,600,3812,154.833,0.543365,1
122,5,600,3812,160.16,0.995087,1
123,5,600,3812,169.72,0.620477,1
124,5,600,3812,133.833,0.510348,1
125,5,600,4147,189.281,0.687032,1
126,5,600,4147,95.0641,0.844103,1
127,5,600,4147,159.527,1.02933,1
128,5,600,4147,144.449,0.783047,1
129,5,600,4147,164.021,0.626149,1
130,5,600,1882,177.917,0.239133,1
131,5,600,1882,247.968,0.205516,1
132,5,600,1882,277.5,0.312575,1
133,5,600,1882,217.364,0.267126,1
134,5,600,1882,246.5,0.222159,1
135,5,600,2146,184,0.284392,1
136,5,600,2146,220.759,0.314658,1
137,5,600,2146,211.65,0.263774,1
138,5,600,2146,187.912,0.242862,1
139,5,600,2146,166.886,0.286904,1
140,5,600,2148,205.8,0.34039,1
141,5,600,2148,208.909,0.319291,1
142,5,600,2148,209.154,0.324087,1
143,5,600,2148,180.7,0.296035,1
144,5,600,2148,228.6,0.29314,1
145,5,600,3512,156.035,0.546561,1
146,5,600,3512,161.611,0.742431,1
147,5,600,3512,165.96,0.699289,1
148,5,600,3512,143.217,0.51517,1
149,5,600,3512,151.538,0.671002,1
150,5,600,3344,182.759,0.553488,1
151,5,600,3344,192.733,0.530013,1
152,5,600,3344,156.963,0.63373,1
153,5,600,3344,159.411,0.542305,1
154,5,600,3344,148.805,0.606211,1
155,5,600,5851,107.457,1.24761,1
156,5,600,5851,118.643,0.969336,1
157,5,600,5851,119.32,1.3718,1
158,5,600,5851,113.979,0.982978,1
159,5,600,5851,111.784,1.03008,1
160,5,600,4434,109.769,0.726075,1
161,5,600,4434,118.657,0.75024,1
162,5,600,4434,121.843,0.771515,1
163,5,600,4434,115.41,0.715125,1
164,5,600,4434,138.838,0.852028,1
165,5,600,5409,139.583,1.19485,1
166,5,600,5409,130.969,0.89133,1
167,5,600,5409,117.94,1.02045,1
168,5,600,5409,110.78,0.868632,1
169,5,600,5409,103.792,0.781028,1
