index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,450,3000,83.2422,0.0109068,1
1,6,450,3000,76.6467,0.00972237,1
2,6,450,3000,87.2756,0.0100343,1
3,6,450,3000,72.1667,0.00940284,1
4,6,450,3000,89.5889,0.0101341,1
5,24,450,3000,87.7956,0.00946826,1
6,24,450,3000,88.4644,0.00961333,1
7,24,450,3000,111.213,0.00955644,1
8,24,450,3000,83.7711,0.00942157,1
9,24,450,3000,104.693,0.00955153,1
10,10,450,3000,90.3,0.00928812,1
11,10,450,3000,83.0089,0.00969499,1
12,10,450,3000,89.8822,0.00981437,1
13,10,450,3000,91.4689,0.00934794,1
14,10,450,3000,80.2978,0.0105662,1
15,10,450,3000,68.8044,0.010288,1
16,10,450,3000,82.8711,0.00989651,1
17,10,450,3000,83.6089,0.00983789,1
18,10,450,3000,71.6489,0.00978183,1
19,10,450,3000,86.3178,0.00993146,1
20,15,450,3000,97.2644,0.0108977,1
21,15,450,3000,88.7356,0.00963617,1
22,15,450,3000,79.7178,0.0095833,1
23,15,450,3000,96.5156,0.00999068,1
24,15,450,3000,81.9022,0.00991487,1
25,23,450,3000,83.5578,0.00950296,1
26,23,450,3000,89.1733,0.00982033,1
27,23,450,3000,84.5356,0.00955534,1
28,23,450,3000,71.7622,0.00953433,1
29,23,450,3000,83.2333,0.00958264,1
30,5,450,3000,75.5911,0.00982587,1
31,5,450,3000,79.8044,0.00954542,1
32,5,450,3000,70.0222,0.00996702,1
33,5,450,3000,78.2222,0.0108399,1
34,5,450,3000,73.4022,0.00989449,1
35,20,450,3000,85.6844,0.0100412,1
36,20,450,3000,91.8044,0.00955447,1
37,20,450,3000,106.898,0.00961732,1
38,20,450,3000,71.5689,0.00974149,1
39,20,450,3000,84.2311,0.00956734,1
40,14,450,3000,84.3622,0.0103259,1
41,14,450,3000,90.0333,0.00967036,1
42,14,450,3000,81.8333,0.00992292,1
43,14,450,3000,85.5844,0.00947616,1
44,14,450,3000,82.1822,0.00922955,1
45,22,450,3000,104.189,0.00938188,1
46,22,450,3000,81.9622,0.00959445,1
47,22,450,3000,77.4244,0.00972577,1
48,22,450,3000,74.7751,0.00961967,1
49,22,450,3000,85.0622,0.00907105,1
50,24,450,3000,83.6844,0.0096061,1
51,24,450,3000,86.9222,0.00944841,1
52,24,450,3000,73.3978,0.0097975,1
53,24,450,3000,85.42,0.00951506,1
54,24,450,3000,94.6667,0.00950377,1
55,22,450,3000,76.48,0.00954915,1
56,22,450,3000,75.8311,0.00963302,1
57,22,450,3000,86.9956,0.00940258,1
58,22,450,3000,82.6689,0.00960932,1
59,22,450,3000,69.6622,0.00950969,1
60,11,450,3000,84.5489,0.00976341,1
61,11,450,3000,87.2022,0.00955428,1
62,11,450,3000,90.3933,0.0095775,1
63,11,450,3000,81.7667,0.00923209,1
64,11,450,3000,77.9822,0.00945129,1
65,13,450,3000,88.8022,0.00980788,1
66,13,450,3000,101.073,0.00941872,1
67,13,450,3000,93.1622,0.00965866,1
68,13,450,3000,87.6333,0.00954303,1
69,13,450,3000,95.9267,0.00977191,1
70,5,450,3000,76.18,0.0097759,1
71,5,450,3000,73.9689,0.00982911,1
72,5,450,3000,85.8422,0.00981613,1
73,5,450,3000,74.0756,0.00943951,1
74,5,450,3000,83.1578,0.00945916,1
75,24,450,3000,76.6267,0.00960618,1
76,24,450,3000,93.3911,0.00942363,1
77,24,450,3000,82.1667,0.00968365,1
78,24,450,3000,99.1,0.00945967,1
79,24,450,3000,86.5133,0.00935421,1
80,25,450,3000,80.6133,0.00928526,1
81,25,450,3000,85.98,0.00932842,1
82,25,450,3000,85.2667,0.00937174,1
83,25,450,3000,102.74,0.00946951,1
84,25,450,3000,88.7022,0.00940445,1
85,21,450,3000,92.42,0.00968567,1
86,21,450,3000,91.2156,0.00948996,1
87,21,450,3000,75.6756,0.00939684,1
88,21,450,3000,90.0467,0.00950056,1
89,21,450,3000,89.7956,0.00941846,1
90,20,450,3000,90.3578,0.00961544,1
91,20,450,3000,83.4022,0.00917162,1
92,20,450,3000,97.1111,0.00968414,1
93,20,450,3000,83.9956,0.00960783,1
94,20,450,3000,81.48,0.00973731,1
95,12,450,3000,93.1667,0.00909961,1
96,12,450,3000,79.1267,0.00942189,1
97,12,450,3000,78.5422,0.00950133,1
98,12,450,3000,88.2711,0.00942882,1
99,12,450,3000,100.127,0.00921153,1
100,19,450,3000,83.5756,0.00947613,1
101,19,450,3000,76.7044,0.00964133,1
102,19,450,3000,73.8533,0.00961297,1
103,19,450,3000,84.3578,0.0095558,1
104,19,450,3000,79.2089,0.00963633,1
105,4,450,3000,81.6222,0.00978362,1
106,4,450,3000,85.2689,0.0100441,1
107,4,450,3000,86.68,0.00988498,1
108,4,450,3000,85.3756,0.00970562,1
109,4,450,3000,81.5089,0.00991423,1
110,3,450,3000,72.5489,0.00943144,1
111,3,450,3000,85.9622,0.00973676,1
112,3,450,3000,74.7289,0.00998857,1
