index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,450,3000,83.2422,0.00755904,1
1,6,450,3000,76.6467,0.00720451,1
2,6,450,3000,87.2756,0.00710965,1
3,6,450,3000,72.1667,0.00714593,1
4,6,450,3000,89.5889,0.00719506,1
5,24,450,3000,87.7956,0.00699607,1
6,24,450,3000,88.4644,0.00703413,1
7,24,450,3000,111.213,0.00680239,1
8,24,450,3000,83.7711,0.00690861,1
9,24,450,3000,104.693,0.0070791,1
10,10,450,3000,90.3,0.00713642,1
11,10,450,3000,83.1938,0.00702747,1
12,10,450,3000,89.8822,0.00717837,1
13,10,450,3000,91.4689,0.00678953,1
14,10,450,3000,80.2978,0.00734878,1
15,10,450,3000,68.8044,0.00730351,1
16,10,450,3000,82.8711,0.0071357,1
17,10,450,3000,83.6089,0.0072035,1
18,10,450,3000,71.6489,0.007201,1
19,10,450,3000,86.51,0.00721089,1
20,15,450,3000,97.4811,0.00726287,1
21,15,450,3000,88.7356,0.00709268,1
22,15,450,3000,79.7178,0.00715101,1
23,15,450,3000,96.5156,0.00724238,1
24,15,450,3000,81.9022,0.00717965,1
25,23,450,3000,83.5578,0.00694616,1
26,23,450,3000,89.1733,0.00708385,1
27,23,450,3000,84.5356,0.0072438,1
28,23,450,3000,71.7622,0.00689113,1
29,23,450,3000,83.2333,0.00709598,1
30,5,450,3000,75.5911,0.00713556,1
31,5,450,3000,79.8044,0.00679407,1
32,5,450,3000,70.1782,0.00725455,1
33,5,450,3000,78.2222,0.00916639,1
34,5,450,3000,73.4022,0.00716022,1
35,20,450,3000,85.6844,0.00718882,1
36,20,450,3000,91.8044,0.00706516,1
37,20,450,3000,106.898,0.00703534,1
38,20,450,3000,71.5689,0.00726026,1
39,20,450,3000,84.4187,0.0071301,1
40,14,450,3000,84.3622,0.0069371,1
41,14,450,3000,90.0333,0.0070508,1
42,14,450,3000,82.0156,0.00724883,1
43,14,450,3000,85.5844,0.00684167,1
44,14,450,3000,82.1822,0.00687301,1
45,22,450,3000,104.422,0.00702131,1
46,22,450,3000,81.9622,0.00699201,1
47,22,450,3000,77.5969,0.00705402,1
48,22,450,3000,74.7751,0.00711063,1
49,22,450,3000,85.0622,0.00675557,1
50,24,450,3000,83.6844,0.00699367,1
51,24,450,3000,86.9222,0.00699173,1
52,24,450,3000,73.5612,0.00719146,1
53,24,450,3000,85.42,0.00696065,1
54,24,450,3000,94.6667,0.00691786,1
55,22,450,3000,76.48,0.00705828,1
56,22,450,3000,75.8311,0.0069013,1
57,22,450,3000,86.9956,0.00693649,1
58,22,450,3000,82.6689,0.00689189,1
