index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,450,3000,47.9206,0.113443,1
1,6,450,3000,49.26,0.0865187,1
2,6,450,3000,61.0923,0.0949665,1
3,6,450,3000,45.5658,0.097288,1
4,6,450,3000,56.0339,0.0809071,1
5,24,450,3000,54.4587,0.450749,1
6,24,450,3000,50.3664,0.48943,1
7,24,450,3000,59.6953,0.380523,1
8,24,450,3000,45.308,0.412292,1
9,24,450,3000,55.0779,0.464902,1
10,10,450,3000,52.0536,0.19026,1
11,10,450,3000,49.3535,0.210287,1
12,10,450,3000,64.2735,0.189774,1
13,10,450,3000,43.531,0.229177,1
14,10,450,3000,49.5238,0.216468,1
15,10,450,3000,51.1262,0.203818,1
16,10,450,3000,49.5984,0.212792,1
17,10,450,3000,51.7083,0.188864,1
18,10,450,3000,42.1964,0.239678,1
19,10,450,3000,49.453,0.151847,1
20,15,450,3000,54.9404,0.310918,1
21,15,450,3000,50.4424,0.293252,1
22,15,450,3000,49.7315,0.344174,1
23,15,450,3000,48.8614,0.295572,1
24,15,450,3000,48.9146,0.272144,1
25,23,450,3000,44.9214,0.422563,1
26,23,450,3000,49.4367,0.440242,1
27,23,450,3000,44.713,0.391413,1
28,23,450,3000,43.2321,0.43133,1
29,23,450,3000,48.6708,0.410417,1
30,5,450,3000,49.8444,0.0618669,1
31,5,450,3000,66.8033,0.0553174,1
32,5,450,3000,56.3167,0.0633736,1
33,5,450,3000,59.0938,0.0699965,1
34,5,450,3000,44.2727,0.0700927,1
35,20,450,3000,53.8367,0.401797,1
36,20,450,3000,45.6111,0.396292,1
37,20,450,3000,58.1852,0.372984,1
38,20,450,3000,41.2211,0.38292,1
39,20,450,3000,46.0619,0.386116,1
40,14,450,3000,53.5102,0.335849,1
41,14,450,3000,52.787,0.258647,1
42,14,450,3000,43.5685,0.290518,1
43,14,450,3000,41.8699,0.266944,1
44,14,450,3000,48.5535,0.327636,1
45,22,450,3000,55.9095,0.373305,1
46,22,450,3000,53.607,0.351524,1
47,22,450,3000,43.2152,0.406172,1
48,22,450,3000,41.2574,0.366487,1
49,22,450,3000,49.3702,0.301372,1
50,24,450,3000,49.8445,0.405333,1
51,24,450,3000,48.2009,0.443626,1
52,24,450,3000,45.3017,0.399294,1
53,24,450,3000,51.5347,0.429151,1
54,24,450,3000,54.0252,0.420403,1
55,22,450,3000,48.7965,0.381447,1
56,22,450,3000,44.3423,0.409198,1
57,22,450,3000,42.9076,0.379465,1
58,22,450,3000,42.1965,0.390707,1
59,22,450,3000,39.2456,0.381111,1
60,11,450,3000,49.4179,0.233047,1
61,11,450,3000,49.9839,0.252415,1
62,11,450,3000,50.6947,0.256843,1
63,11,450,3000,46.775,0.210544,1
64,11,450,3000,47.5938,0.196933,1
65,13,450,3000,48.254,0.313067,1
66,13,450,3000,50.9295,0.276543,1
67,13,450,3000,50.7746,0.183168,1
68,13,450,3000,48.669,0.266534,1
69,13,450,3000,50.709,0.271273,1
70,5,450,3000,52.6667,0.0591147,1
71,5,450,3000,57.1562,0.0558997,1
72,5,450,3000,61.0597,0.0592141,1
73,5,450,3000,51.7119,0.0546839,1
74,5,450,3000,60.04,0.0570724,1
75,24,450,3000,46.2931,0.426884,1
76,24,450,3000,50.3992,0.389026,1
77,24,450,3000,47.4108,0.429939,1
78,24,450,3000,54.8025,0.474367,1
79,24,450,3000,53.692,0.440203,1
80,25,450,3000,44.6624,0.404988,1
81,25,450,3000,49.298,0.406361,1
82,25,450,3000,54.5878,0.508039,1
83,25,450,3000,56.1762,0.43327,1
84,25,450,3000,55.7905,0.40291,1
85,21,450,3000,47.4711,0.424019,1
86,21,450,3000,48.018,0.41078,1
87,21,450,3000,47.1644,0.395642,1
88,21,450,3000,51.6465,0.359223,1
89,21,450,3000,50.632,0.397467,1
90,20,450,3000,52.1697,0.393197,1
91,20,450,3000,48.4854,0.383015,1
92,20,450,3000,54.2475,0.396676,1
93,20,450,3000,43.1279,0.33026,1
94,20,450,3000,40.7604,0.415313,1
95,12,450,3000,48.6944,0.23959,1
96,12,450,3000,47.0462,0.234739,1
97,12,450,3000,47.5969,0.260201,1
98,12,450,3000,49.1757,0.277427,1
99,12,450,3000,54.093,0.222579,1
100,19,450,3000,48.6732,0.327251,1
101,19,450,3000,43.7658,0.364079,1
102,19,450,3000,41.1406,0.371172,1
103,19,450,3000,50.9812,0.340421,1
104,19,450,3000,44.7113,0.338407,1
105,4,450,3000,64.0256,0.0336776,1
106,4,450,3000,54.7843,0.0349363,1
107,4,450,3000,65.0976,0.032884,1
108,4,450,3000,54.8182,0.0365744,1
109,4,450,3000,60.1892,0.0374,1
110,3,450,3000,64.7241,0.0168036,1
111,3,450,3000,58.5556,0.0194353,1
112,3,450,3000,58.6786,0.0189296,1
113,3,450,3000,55.973,0.0208915,1
114,3,450,3000,65.8276,0.0198037,1
115,24,450,3000,49.0289,0.402098,1
116,24,450,3000,47.1255,0.422944,1
117,24,450,3000,51.3102,0.424175,1
118,24,450,3000,42.251,0.43176,1
119,24,450,3000,44.5221,0.453853,1
120,21,450,3000,41.7883,0.384907,1
121,21,450,3000,44.9953,0.441299,1
122,21,450,3000,54.3981,0.347883,1
123,21,450,3000,44.7662,0.398684,1
124,21,450,3000,48.7295,0.389338,1
125,14,450,3000,52.0247,0.299263,1
126,14,450,3000,51.5329,0.30786,1
127,14,450,3000,53.6624,0.274966,1
128,14,450,3000,53.34,0.289328,1
129,14,450,3000,44.3862,0.256581,1
130,4,450,3000,56.1957,0.0407221,1
131,4,450,3000,61.5283,0.0347684,1
132,4,450,3000,62.8667,0.0338463,1
133,4,450,3000,58.9286,0.0353024,1
134,4,450,3000,66.027,0.0374895,1
135,19,450,3000,44.0594,0.45663,1
136,19,450,3000,54.4951,0.376966,1
137,19,450,3000,42.276,0.330929,1
138,19,450,3000,59.9641,0.367604,1
139,19,450,3000,48.5762,0.381433,1
140,16,450,3000,46.1056,0.294336,1
141,16,450,3000,52.9543,0.343434,1
142,16,450,3000,45.5455,0.311877,1
143,16,450,3000,54.5342,0.336459,1
144,16,450,3000,49.9217,0.367364,1
145,19,450,3000,44.8535,0.320056,1
146,19,450,3000,54.3069,0.407733,1
147,19,450,3000,56.0971,0.44105,1
148,19,450,3000,44.3495,0.338436,1
