index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,450,3000,100.633,0.010251,1
1,6,450,3000,105.962,0.00904179,1
2,6,450,3000,113.457,0.00900021,1
3,6,450,3000,101.853,0.00999615,1
4,6,450,3000,130.481,0.00810222,1
5,24,450,3000,92.9677,0.0608743,1
6,24,450,3000,79.3835,0.0669884,1
7,24,450,3000,89.7467,0.0571516,1
8,24,450,3000,76.7183,0.0663552,1
9,24,450,3000,85.381,0.0634874,1
10,10,450,3000,104.275,0.0188094,1
11,10,450,3000,94.5349,0.0197774,1
12,10,450,3000,115.692,0.0221986,1
13,10,450,3000,84.1579,0.0221334,1
14,10,450,3000,94.7708,0.0237052,1
15,10,450,3000,91.2105,0.0203958,1
16,10,450,3000,92.125,0.0224651,1
17,10,450,3000,97.9423,0.0227071,1
18,10,450,3000,88.3958,0.0236998,1
19,10,450,3000,86.3548,0.0180998,1
20,15,450,3000,96.863,0.0418317,1
21,15,450,3000,97.3827,0.033258,1
22,15,450,3000,89.7037,0.0416422,1
23,15,450,3000,85.8602,0.0366666,1
24,15,450,3000,83.7978,0.0388791,1
25,23,450,3000,77.1148,0.0628285,1
26,23,450,3000,84.371,0.0615257,1
27,23,450,3000,80.4016,0.0590813,1
28,23,450,3000,74.9926,0.055701,1
29,23,450,3000,83.7943,0.0546116,1
30,5,450,3000,81.4848,0.0060564,1
31,5,450,3000,119.12,0.00593772,1
32,5,450,3000,107.714,0.00611469,1
33,5,450,3000,105.056,0.00709741,1
34,5,450,3000,119.133,0.00722501,1
35,20,450,3000,90.9655,0.0516509,1
36,20,450,3000,79.5263,0.057992,1
37,20,450,3000,97.1746,0.0479018,1
38,20,450,3000,70.6975,0.0518239,1
39,20,450,3000,88.2759,0.0567839,1
40,14,450,3000,103.816,0.0361888,1
41,14,450,3000,98.9747,0.0315715,1
42,14,450,3000,73.0345,0.0353889,1
43,14,450,3000,81.8182,0.0359247,1
44,14,450,3000,88.7727,0.0377778,1
45,22,450,3000,94.6045,0.0517034,1
46,22,450,3000,91.6194,0.050452,1
47,22,450,3000,71.7887,0.0537718,1
48,22,450,3000,71.7619,0.0548414,1
49,22,450,3000,84.0149,0.0430975,1
50,24,450,3000,82.3958,0.0542974,1
51,24,450,3000,79.812,0.0688048,1
52,24,450,3000,80.3037,0.0607202,1
53,24,450,3000,85.4595,0.0688643,1
54,24,450,3000,90.7971,0.0522036,1
55,22,450,3000,89.1833,0.0587964,1
56,22,450,3000,77.7317,0.0552762,1
57,22,450,3000,72.0312,0.0518085,1
58,22,450,3000,75.8871,0.0553018,1
59,22,450,3000,69.7623,0.0500738,1
60,11,450,3000,83.8228,0.0295069,1
61,11,450,3000,92.0571,0.0243939,1
62,11,450,3000,94.3667,0.0223019,1
63,11,450,3000,99.4615,0.0235504,1
64,11,450,3000,82.4776,0.0200325,1
65,13,450,3000,86.0667,0.034011,1
66,13,450,3000,92.2857,0.0306071,1
67,13,450,3000,87.194,0.0264894,1
68,13,450,3000,89.2838,0.0327868,1
69,13,450,3000,92.3919,0.0303024,1
70,5,450,3000,120.08,0.00649907,1
71,5,450,3000,140.19,0.0061936,1
72,5,450,3000,114.968,0.00697024,1
73,5,450,3000,104.28,0.00579445,1
74,5,450,3000,120.08,0.0061571,1
75,24,450,3000,75.5816,0.0535733,1
76,24,450,3000,84.6345,0.0570829,1
77,24,450,3000,80.6642,0.0641101,1
78,24,450,3000,93.5401,0.0590645,1
79,24,450,3000,80.5329,0.0613512,1
80,25,450,3000,70.5467,0.0568411,1
81,25,450,3000,80.9216,0.058536,1
82,25,450,3000,87.3907,0.0594131,1
83,25,450,3000,90.726,0.0622519,1
84,25,450,3000,88.0584,0.065517,1
85,21,450,3000,82.8509,0.0549871,1
86,21,450,3000,79.8976,0.0511952,1
87,21,450,3000,81.9836,0.0543091,1
88,21,450,3000,90.9304,0.0485209,1
89,21,450,3000,83.0455,0.0504651,1
90,20,450,3000,90.2479,0.055535,1
91,20,450,3000,83.8942,0.0535779,1
92,20,450,3000,89.6727,0.0477153,1
93,20,450,3000,74.9688,0.0434892,1
94,20,450,3000,75.6637,0.0588967,1
95,12,450,3000,93.746,0.0293836,1
96,12,450,3000,78.3649,0.0264078,1
97,12,450,3000,81.5294,0.0232953,1
98,12,450,3000,86.9701,0.0255556,1
99,12,450,3000,83.8395,0.0257515,1
100,19,450,3000,80.3889,0.0434028,1
101,19,450,3000,76.2816,0.0492025,1
102,19,450,3000,78.3208,0.0479685,1
103,19,450,3000,83.2031,0.0453954,1
104,19,450,3000,79.4646,0.0413488,1
105,4,450,3000,128.944,0.00321088,1
106,4,450,3000,123.235,0.00361481,1
107,4,450,3000,135.952,0.0035007,1
108,4,450,3000,140.688,0.00403179,1
109,4,450,3000,115.188,0.00383742,1
110,3,450,3000,105.824,0.00201023,1
111,3,450,3000,97.3684,0.00200247,1
112,3,450,3000,125.429,0.00202665,1
113,3,450,3000,121.824,0.00209136,1
114,3,450,3000,146.846,0.00207371,1
115,24,450,3000,82.4013,0.0574179,1
116,24,450,3000,79.7214,0.0580613,1
117,24,450,3000,88.4676,0.059541,1
118,24,450,3000,68.7887,0.0590787,1
119,24,450,3000,68.7091,0.0535499,1
120,21,450,3000,70.1364,0.0537993,1
121,21,450,3000,77.5676,0.0563115,1
122,21,450,3000,86.287,0.049345,1
123,21,450,3000,82.3525,0.0603857,1
124,21,450,3000,74.1159,0.0534925,1
125,14,450,3000,104.045,0.0343219,1
126,14,450,3000,92.5443,0.0340711,1
127,14,450,3000,97.775,0.0348681,1
128,14,450,3000,107.043,0.0331733,1
129,14,450,3000,77.1889,0.028958,1
130,4,450,3000,117.476,0.00423661,1
131,4,450,3000,98.8182,0.00342065,1
