index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,450,3000,84.0093,0.826073,1
1,6,450,3000,78.816,0.922083,1
2,6,450,3000,88.7734,0.901682,1
3,6,450,3000,73.0668,0.864104,1
4,6,450,3000,92.1513,0.89747,1
5,24,450,3000,88.2068,1.52892,1
6,24,450,3000,89.1013,1.34638,1
7,24,450,3000,111.613,1.57239,1
8,24,450,3000,84.4199,1.40317,1
9,24,450,3000,106.041,1.75014,1
10,10,450,3000,91.6954,0.948603,1
11,10,450,3000,84.3096,0.904236,1
12,10,450,3000,91.4573,1.05353,1
13,10,450,3000,92.4077,0.897478,1
14,10,450,3000,81.5282,1.0739,1
15,10,450,3000,70.3387,0.987744,1
16,10,450,3000,85.0451,1.13269,1
17,10,450,3000,84.0226,1.02857,1
18,10,450,3000,72.303,0.966284,1
19,10,450,3000,87.6989,1.06947,1
20,15,450,3000,97.5964,1.08745,1
21,15,450,3000,89.2949,1.00333,1
22,15,450,3000,80.328,1.13888,1
23,15,450,3000,97.5828,1.03402,1
24,15,450,3000,82.5057,1.08429,1
25,23,450,3000,84.2175,1.45817,1
26,23,450,3000,89.2545,1.61057,1
27,23,450,3000,85.3682,1.43647,1
28,23,450,3000,72.4263,1.60725,1
29,23,450,3000,83.5314,1.80851,1
30,5,450,3000,77.535,0.899342,1
31,5,450,3000,80.6233,0.837899,1
32,5,450,3000,72.5012,0.954637,1
33,5,450,3000,81.4282,0.890997,1
34,5,450,3000,74.4296,0.890075,1
35,20,450,3000,86.4155,1.33358,1
36,20,450,3000,92.1843,1.3206,1
37,20,450,3000,109.194,1.2039,1
38,20,450,3000,72.1519,1.20962,1
39,20,450,3000,85.4462,1.37492,1
40,14,450,3000,85.5543,1.07283,1
41,14,450,3000,90.9206,0.92801,1
42,14,450,3000,82.3393,1.14685,1
43,14,450,3000,86.5841,1.04406,1
44,14,450,3000,83.2136,0.993969,1
45,22,450,3000,105.057,1.4471,1
46,22,450,3000,82.418,1.32155,1
47,22,450,3000,78.1071,1.24777,1
48,22,450,3000,75.6473,1.59039,1
49,22,450,3000,85.434,1.41184,1
50,24,450,3000,84.1932,1.43535,1
51,24,450,3000,87.213,1.49669,1
52,24,450,3000,74.2506,1.49909,1
53,24,450,3000,86.3781,1.65003,1
54,24,450,3000,95.5295,1.4649,1
55,22,450,3000,76.6419,1.38387,1
56,22,450,3000,77.4036,1.70082,1
57,22,450,3000,87.46,1.49986,1
58,22,450,3000,83.0724,1.4165,1
59,22,450,3000,70.1705,2.00627,1
60,11,450,3000,87.8825,1.15946,1
61,11,450,3000,88.1416,1.01633,1
62,11,450,3000,91.807,1.02907,1
63,11,450,3000,82.1614,0.921629,1
64,11,450,3000,79.1705,0.927419,1
65,13,450,3000,89.9977,1.06775,1
66,13,450,3000,103.27,1.03703,1
67,13,450,3000,94.6312,1.1677,1
68,13,450,3000,88.1977,0.991936,1
69,13,450,3000,97.0739,0.997817,1
70,5,450,3000,76.612,0.82619,1
71,5,450,3000,76.1375,0.926351,1
72,5,450,3000,86.8481,0.828658,1
73,5,450,3000,74.5023,0.88064,1
74,5,450,3000,87.7706,0.893985,1
75,24,450,3000,77.5705,1.43922,1
76,24,450,3000,94.0272,1.47272,1
77,24,450,3000,82.6622,1.33199,1
78,24,450,3000,99.7673,1.32731,1
79,24,450,3000,87.7068,1.55225,1
80,25,450,3000,80.8543,1.95574,1
81,25,450,3000,86.3491,1.61483,1
82,25,450,3000,85.9122,1.90509,1
83,25,450,3000,103.279,1.37918,1
84,25,450,3000,89.8161,1.7005,1
85,21,450,3000,93.1332,1.30983,1
86,21,450,3000,92.1056,1.25497,1
87,21,450,3000,75.7857,1.42524,1
88,21,450,3000,90.75,1.51887,1
89,21,450,3000,90.9048,1.29467,1
90,20,450,3000,91.1175,1.32361,1
91,20,450,3000,83.5762,1.40225,1
92,20,450,3000,97.6975,1.17624,1
93,20,450,3000,84.3014,1.23803,1
94,20,450,3000,82.4319,1.27315,1
95,12,450,3000,94.5194,0.918514,1
96,12,450,3000,80.6427,1.20848,1
97,12,450,3000,79.4068,0.979221,1
98,12,450,3000,88.7075,0.927401,1
99,12,450,3000,101.663,0.950008,1
100,19,450,3000,83.7232,1.28268,1
101,19,450,3000,78.7928,1.44006,1
102,19,450,3000,74.2624,1.24138,1
103,19,450,3000,85.2827,1.1101,1
104,19,450,3000,79.6621,1.10257,1
105,4,450,3000,82.6209,0.832703,1
106,4,450,3000,86.3701,0.80935,1
107,4,450,3000,87.9472,0.75957,1
108,4,450,3000,87.6476,0.797189,1
109,4,450,3000,85.2868,0.853174,1
110,3,450,3000,74.3799,0.728116,1
111,3,450,3000,92.239,0.769174,1
112,3,450,3000,78.9311,0.768419,1
113,3,450,3000,74.7208,0.813855,1
114,3,450,3000,87.1454,0.752523,1
115,24,450,3000,83.1009,1.76826,1
116,24,450,3000,72.1902,1.47652,1
117,24,450,3000,85.1569,1.71962,1
118,24,450,3000,83.4897,1.43268,1
119,24,450,3000,74.0426,1.43991,1
120,21,450,3000,82.3051,1.23272,1
121,21,450,3000,87.5423,1.37882,1
122,21,450,3000,106.415,1.40733,1
123,21,450,3000,72.9482,1.33138,1
124,21,450,3000,83.6532,1.25545,1
125,14,450,3000,97.0839,1.05024,1
126,14,450,3000,92.2222,1.03019,1
127,14,450,3000,78.3424,1.12257,1
128,14,450,3000,81.7778,1.13077,1
129,14,450,3000,87.4279,1.00105,1
130,4,450,3000,86.8041,0.895622,1
131,4,450,3000,81.6194,0.819194,1
132,4,450,3000,74.6517,0.811901,1
133,4,450,3000,84.551,0.78279,1
134,4,450,3000,75.0839,0.834035,1
135,19,450,3000,90.8607,1.20308,1
136,19,450,3000,115.879,1.22361,1
137,19,450,3000,74.0045,1.17,1
138,19,450,3000,92.4324,1.1017,1
139,19,450,3000,84.878,1.24506,1
140,16,450,3000,79.4478,1.33838,1
141,16,450,3000,81.8744,1.10582,1
142,16,450,3000,77.5213,1.09734,1
143,16,450,3000,87.0023,1.01589,1
144,16,450,3000,81.968,1.06509,1
145,19,450,3000,87.1057,1.26743,1
146,19,450,3000,91.6307,1.30361,1
147,19,450,3000,96.6241,1.44367,1
148,19,450,3000,86.2393,1.2382,1
149,19,450,3000,81.5927,1.19268,1
150,10,450,3000,78.0142,0.995319,1
151,10,450,3000,85.2321,1.04604,1
152,10,450,3000,84.3783,1.07786,1
153,10,450,3000,84.5352,1.05901,1
154,10,450,3000,75.9415,1.02571,1
155,12,450,3000,91.4145,1.06766,1
156,12,450,3000,82.9591,1.15751,1
157,12,450,3000,82.0833,0.977122,1
158,12,450,3000,85.3227,1.04608,1
159,12,450,3000,91.4629,1.06329,1
160,8,450,3000,84.261,0.918805,1
161,8,450,3000,88.912,0.954191,1
162,8,450,3000,79.7535,0.893717,1
163,8,450,3000,73.0137,0.945502,1
164,8,450,3000,91.9211,1.02118,1
165,6,450,3000,83.2729,0.942746,1
166,6,450,3000,88.0563,0.86919,1
167,6,450,3000,89.393,0.890092,1
168,6,450,3000,95.0093,0.838189,1
169,6,450,3000,94.5574,0.877046,1
170,20,450,3000,88.5247,1.13999,1
171,20,450,3000,99.169,1.14316,1
172,20,450,3000,92.8915,1.28378,1
173,20,450,3000,93.4406,1.21585,1
174,20,450,3000,87.6918,1.97226,1
175,8,450,3000,69.4077,0.89176,1
176,8,450,3000,78.0093,0.96398,1
177,8,450,3000,87.0185,0.90126,1
178,8,450,3000,83.4871,0.965234,1
179,8,450,3000,85.4565,0.990613,1
180,24,450,3000,85.1202,1.38273,1
181,24,450,3000,99.7752,1.50951,1
182,24,450,3000,96.9613,1.72246,1
183,24,450,3000,95.9793,1.32002,1
184,24,450,3000,88.4514,1.37285,1
185,6,450,3000,95.3116,0.920492,1
186,6,450,3000,78.9016,0.932369,1
187,6,450,3000,67.2824,0.941458,1
188,6,450,3000,89.7581,0.862286,1
189,6,450,3000,81.1277,0.984532,1
190,19,450,3000,102.479,1.29547,1
191,19,450,3000,86.1918,1.21826,1
192,19,450,3000,106.009,1.1623,1
193,19,450,3000,98.4009,1.23655,1
194,19,450,3000,89.8702,1.2513,1
195,13,450,3000,72.406,0.936649,1
196,13,450,3000,99.9753,0.963085,1
197,13,450,3000,87.9594,1.04951,1
198,13,450,3000,71.2033,1.20962,1
199,13,450,3000,83.8444,1.01116,1
200,24,450,3000,80.5465,1.5053,1
201,24,450,3000,93.7666,1.42254,1
202,24,450,3000,79.6168,1.90644,1
203,24,450,3000,83.9865,1.39003,1
204,24,450,3000,85.6545,1.59939,1
205,25,450,3000,93.9234,1.48953,1
206,25,450,3000,96.4862,1.5986,1
207,25,450,3000,81.9253,1.53152,1
208,25,450,3000,92.8394,1.55548,1
209,25,450,3000,88.8539,1.40496,1
210,13,450,3000,91.3146,1.02981,1
211,13,450,3000,94.7269,1.1323,1
212,13,450,3000,93.5273,1.14083,1
213,13,450,3000,84.7437,1.01346,1
214,13,450,3000,81.8184,0.950969,1
215,18,450,3000,75.1633,1.07061,1
216,18,450,3000,78.8207,1.12758,1
217,18,450,3000,94.2317,1.12565,1
218,18,450,3000,93.8375,1.02633,1
219,18,450,3000,84.7528,1.09363,1
220,17,450,3000,92.7364,1.02456,1
221,17,450,3000,77.911,1.13278,1
222,17,450,3000,88.0867,1.22355,1
223,17,450,3000,89.125,1.16499,1
224,17,450,3000,85.9842,0.978116,1
225,24,450,3000,94.2636,1.66032,1
226,24,450,3000,88.539,1.4319,1
227,24,450,3000,108.263,1.38634,1
228,24,450,3000,77.1886,1.35633,1
229,24,450,3000,96.5826,1.39498,1
230,18,450,3000,90.1467,1.08716,1
231,18,450,3000,86.2763,1.12759,1
232,18,450,3000,88.9885,1.07019,1
233,18,450,3000,85.0711,1.09223,1
234,18,450,3000,86.0068,1.09091,1
235,5,450,3000,100.464,0.926437,1
236,5,450,3000,93.1778,0.846914,1
237,5,450,3000,63.7026,0.85937,1
238,5,450,3000,82.4752,0.81878,1
239,5,450,3000,96.1051,0.893999,1
240,4,450,3000,85.8592,0.860075,1
241,4,450,3000,76.7631,0.804438,1
242,4,450,3000,93.2982,0.85353,1
243,4,450,3000,84.3189,0.87218,1
244,4,450,3000,81.9296,0.842348,1
245,20,450,3000,102.865,1.45009,1
246,20,450,3000,91.6292,1.30603,1
247,20,450,3000,94.4157,1.22387,1
248,20,450,3000,67.7242,1.14969,1
249,20,450,3000,72.8932,1.35628,1
250,4,450,3000,78.5257,0.786692,1
251,4,450,3000,80.7539,0.883272,1
252,4,450,3000,88.8038,0.811074,1
253,4,450,3000,82.6032,0.840065,1
254,4,450,3000,83.9009,0.848901,1
255,16,450,3000,82.0071,1.12968,1
256,16,450,3000,81.1106,1.02955,1
257,16,450,3000,82.2654,1.02117,1
258,16,450,3000,72.7946,1.03719,1
259,16,450,3000,88.9258,1.10343,1
260,14,450,3000,91.4966,1.06144,1
261,14,450,3000,79.3744,1.16702,1
262,14,450,3000,78.849,0.984469,1
263,14,450,3000,100.408,1.13552,1
264,14,450,3000,95.1044,1.00744,1
265,21,450,3000,87.0386,1.24149,1
266,21,450,3000,85.9034,1.20948,1
267,21,450,3000,92.8117,1.14256,1
268,21,450,3000,97.9167,1.22317,1
269,21,450,3000,86.3632,1.46001,1
270,23,450,3000,90.9477,1.25194,1
271,23,450,3000,78.6904,1.28767,1
272,23,450,3000,98.1779,1.40608,1
273,23,450,3000,78.1892,1.72341,1
274,23,450,3000,98.8284,1.44921,1
275,13,450,3000,90.6667,1.01586,1
276,13,450,3000,83.6147,1.00138,1
277,13,450,3000,76.1386,1.10626,1
278,13,450,3000,80.6224,1.01273,1
279,13,450,3000,80.0437,1.04327,1
280,21,450,3000,96.2078,1.58379,1
281,21,450,3000,85.7539,1.22016,1
282,21,450,3000,90.1921,1.2511,1
283,21,450,3000,90.0809,1.28346,1
284,21,450,3000,89.8449,1.32159,1
285,9,450,3000,85.4157,0.906346,1
286,9,450,3000,100.782,1.04056,1
287,9,450,3000,94.6141,0.979119,1
288,9,450,3000,82.3088,1.04763,1
289,9,450,3000,76.8912,0.941415,1
290,20,450,3000,85.7303,1.3242,1
291,20,450,3000,100.08,1.23759,1
292,20,450,3000,82.846,1.2196,1
293,20,450,3000,73.4201,1.279,1
294,20,450,3000,92.7848,1.11956,1
295,6,450,3000,84.6588,0.931604,1
296,6,450,3000,84.7264,0.915774,1
297,6,450,3000,74.3875,0.92145,1
298,6,450,3000,84,0.89507,1
299,6,450,3000,84.0646,0.997151,1
300,8,450,3000,87.5684,0.982127,1
301,8,450,3000,74.2113,0.980716,1
302,8,450,3000,83.4541,1.00456,1
303,8,450,3000,85.7935,0.890483,1
304,8,450,3000,81.2952,0.95779,1
305,13,450,3000,89.1406,0.95875,1
306,13,450,3000,89.5399,0.974074,1
307,13,450,3000,87.5799,0.966972,1
308,13,450,3000,92.3187,1.08724,1
309,13,450,3000,78.964,0.946612,1
310,24,450,3000,84.5293,1.87891,1
311,24,450,3000,77.2369,1.37201,1
312,24,450,3000,78.5336,1.60761,1
313,24,450,3000,91.3818,1.41323,1
314,24,450,3000,89.5103,1.58993,1
315,15,450,3000,88.3605,1.07133,1
316,15,450,3000,105.876,1.02794,1
317,15,450,3000,89.1716,1.02393,1
