index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,450,3000,105.241,0.932265,1
1,6,450,3000,103.107,0.925191,1
2,6,450,3000,117.339,0.924715,1
3,6,450,3000,110.17,0.991687,1
4,6,450,3000,122.32,1.04442,1
5,24,450,3000,104.227,1.08313,1
6,24,450,3000,100.607,1.2035,1
7,24,450,3000,125.921,1.20989,1
8,24,450,3000,93.7401,1.11732,1
9,24,450,3000,119.107,1.33477,1
10,10,450,3000,109.327,0.853146,1
11,10,450,3000,103.598,0.960064,1
12,10,450,3000,114.341,0.911754,1
13,10,450,3000,103.671,0.945261,1
14,10,450,3000,96.772,0.937583,1
15,10,450,3000,94.1282,0.887153,1
16,10,450,3000,103.003,1.11937,1
17,10,450,3000,98.408,0.890199,1
18,10,450,3000,88.4639,0.928457,1
19,10,450,3000,108.433,1.11384,1
20,15,450,3000,113.629,0.987012,1
21,15,450,3000,106.328,0.959884,1
22,15,450,3000,89.6505,0.959325,1
23,15,450,3000,108.109,0.978232,1
24,15,450,3000,93.0858,0.978675,1
25,23,450,3000,97.0932,1.30551,1
26,23,450,3000,100.806,1.12278,1
27,23,450,3000,97.4282,1.06995,1
28,23,450,3000,86.9359,1.2484,1
29,23,450,3000,93.7787,1.32518,1
30,5,450,3000,103.745,1.03696,1
31,5,450,3000,124.509,0.900211,1
32,5,450,3000,99.625,0.998028,1
33,5,450,3000,131.417,1.00188,1
34,5,450,3000,104.74,1.15306,1
35,20,450,3000,104.782,1.23224,1
36,20,450,3000,102.359,1.04447,1
37,20,450,3000,120.371,1.01691,1
38,20,450,3000,85.8285,1.15972,1
39,20,450,3000,100.8,1.01594,1
40,14,450,3000,98.9621,0.912666,1
41,14,450,3000,107.217,0.980016,1
42,14,450,3000,93.1486,0.948612,1
43,14,450,3000,101.623,0.969536,1
44,14,450,3000,94.8306,0.912987,1
45,22,450,3000,120.476,1.17939,1
46,22,450,3000,93.6786,1.10443,1
47,22,450,3000,89.6364,1.08442,1
48,22,450,3000,86.5972,1.15146,1
49,22,450,3000,99.9677,1.36585,1
50,24,450,3000,98.6136,1.2237,1
51,24,450,3000,95.3639,1.26601,1
52,24,450,3000,86.4806,1.45634,1
53,24,450,3000,96.9341,1.32317,1
54,24,450,3000,112.492,1.34622,1
55,22,450,3000,91.1134,1.16702,1
56,22,450,3000,91.214,1.22862,1
57,22,450,3000,94.3276,1.05111,1
58,22,450,3000,93.5484,1.04823,1
59,22,450,3000,78.3134,1.08749,1
60,11,450,3000,100.711,1.13641,1
61,11,450,3000,101.841,0.927568,1
62,11,450,3000,106.382,0.939592,1
63,11,450,3000,98.0784,0.903674,1
64,11,450,3000,97.3864,0.91617,1
65,13,450,3000,106.3,0.942636,1
66,13,450,3000,121.479,0.851741,1
67,13,450,3000,108.382,1.04657,1
68,13,450,3000,102.294,0.908641,1
69,13,450,3000,113.495,1.14967,1
70,5,450,3000,100.79,0.982045,1
71,5,450,3000,101.893,0.973248,1
72,5,450,3000,134.629,1.00102,1
73,5,450,3000,94.8264,0.991447,1
74,5,450,3000,112.716,0.988892,1
75,24,450,3000,88.3727,1.18072,1
76,24,450,3000,102.539,1.19328,1
