index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,450,3000,83.6032,6.04447,1
1,6,450,3000,78.3326,5.72501,1
2,6,450,3000,88.4134,6.85678,1
3,6,450,3000,72.9367,7.55914,1
4,6,450,3000,92.1124,5.95347,1
5,24,450,3000,88.2431,22.1203,1
6,24,450,3000,89.0248,16.348,1
7,24,450,3000,111.366,14.3329,1
8,24,450,3000,84.047,25.0667,1
9,24,450,3000,105.547,29.4219,1
10,10,450,3000,91.2153,8.59687,1
11,10,450,3000,84.0477,8.70102,1
12,10,450,3000,91.3317,8.75517,1
13,10,450,3000,92.2069,19.4348,1
14,10,450,3000,81.4824,11.5963,1
15,10,450,3000,69.9977,7.83646,1
16,10,450,3000,83.6572,10.7319,1
17,10,450,3000,84.1043,10.4259,1
18,10,450,3000,72.1261,18.3268,1
19,10,450,3000,87.7064,10.0982,1
20,15,450,3000,97.2644,12.6897,1
21,15,450,3000,89.1847,21.0984,1
22,15,450,3000,80.1471,20.4632,1
23,15,450,3000,97.3829,20.0065,1
24,15,450,3000,82.7146,12.9083,1
25,23,450,3000,84.0291,17.3126,1
26,23,450,3000,89.1733,13.1018,1
27,23,450,3000,85.2906,13.2115,1
28,23,450,3000,72.2162,13.1519,1
29,23,450,3000,83.6457,21.5024,1
30,5,450,3000,77.0024,4.86191,1
31,5,450,3000,80.6086,4.89298,1
32,5,450,3000,72.5767,5.289,1
33,5,450,3000,79.7086,6.38134,1
34,5,450,3000,73.7991,5.43994,1
35,20,450,3000,86.2805,21.1618,1
36,20,450,3000,92.1812,24.7787,1
37,20,450,3000,108.876,21.3816,1
38,20,450,3000,72.5279,10.6694,1
39,20,450,3000,85.2825,14.151,1
40,14,450,3000,85.2483,14.3471,1
41,14,450,3000,90.7652,10.8405,1
42,14,450,3000,82.1049,19.5041,1
43,14,450,3000,86.418,27.4814,1
44,14,450,3000,83.0703,14.227,1
45,22,450,3000,104.848,17.3245,1
46,22,450,3000,82.3386,25.2531,1
47,22,450,3000,77.7803,30.2529,1
48,22,450,3000,75.4864,11.5145,1
49,22,450,3000,85.434,9.98293,1
50,24,450,3000,84.2149,15.7672,1
51,24,450,3000,87.027,31.9892,1
52,24,450,3000,74.0742,20.9744,1
53,24,450,3000,86.5304,16.9657,1
54,24,450,3000,95.5068,18.4226,1
55,22,450,3000,76.5134,13.3611,1
56,22,450,3000,78.6392,14.7835,1
57,22,450,3000,87.4434,27.7139,1
58,22,450,3000,83.1059,12.2473,1
59,22,450,3000,70.0522,20.0325,1
60,11,450,3000,87.5325,15.3549,1
61,11,450,3000,88.1907,16.6324,1
62,11,450,3000,90.7713,9.99952,1
63,11,450,3000,82.0473,14.2523,1
64,11,450,3000,78.9561,8.47307,1
65,13,450,3000,89.4989,11.4797,1
66,13,450,3000,102.391,9.86094,1
67,13,450,3000,93.6855,11.1127,1
68,13,450,3000,87.8348,10.1708,1
69,13,450,3000,96.9639,21.0731,1
70,5,450,3000,76.8894,4.4048,1
71,5,450,3000,75.5366,4.61517,1
72,5,450,3000,86.6516,4.74356,1
73,5,450,3000,74.0846,4.68748,1
