index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,450,3000,114.956,0.590186,1
1,6,450,3000,121.804,0.509644,1
2,6,450,3000,140.471,0.647366,1
3,6,450,3000,121.569,0.547907,1
4,6,450,3000,163.561,0.581998,1
5,24,450,3000,113.78,2.99637,1
6,24,450,3000,111.936,2.31655,1
7,24,450,3000,129.467,1.51578,1
8,24,450,3000,100.466,3.59338,1
9,24,450,3000,120.018,4.28608,1
10,10,450,3000,128.681,1.06803,1
11,10,450,3000,114.28,1.31546,1
12,10,450,3000,138.209,1.49018,1
13,10,450,3000,102.595,1.82694,1
14,10,450,3000,111.253,1.56421,1
15,10,450,3000,108.053,1.30477,1
16,10,450,3000,117.144,1.81871,1
17,10,450,3000,136.154,1.1798,1
18,10,450,3000,106.438,1.55316,1
19,10,450,3000,116.937,1.25161,1
20,15,450,3000,118.363,2.78959,1
21,15,450,3000,114.556,2.56954,1
22,15,450,3000,102.358,3.08276,1
23,15,450,3000,113.053,2.02385,1
24,15,450,3000,103.683,2.53733,1
25,23,450,3000,101.456,2.98148,1
26,23,450,3000,103.119,2.82914,1
27,23,450,3000,99.2642,2.95247,1
28,23,450,3000,92.3624,2.89003,1
29,23,450,3000,101.14,4.15962,1
30,5,450,3000,117.859,0.379258,1
31,5,450,3000,150.16,0.337169,1
32,5,450,3000,115.929,0.400836,1
33,5,450,3000,133.663,0.507015,1
34,5,450,3000,126.875,0.514434,1
35,20,450,3000,114.87,2.47953,1
36,20,450,3000,106.351,2.51192,1
37,20,450,3000,123.196,3.3352,1
38,20,450,3000,97.6139,2.31406,1
39,20,450,3000,106.912,3.10234,1
40,14,450,3000,112.346,2.45668,1
41,14,450,3000,120.993,2.81979,1
42,14,450,3000,100.994,2.74343,1
43,14,450,3000,110.276,4.24562,1
44,14,450,3000,103.348,2.0081,1
45,22,450,3000,125.835,3.67212,1
46,22,450,3000,102.745,3.90421,1
47,22,450,3000,90.0534,3.79471,1
48,22,450,3000,94.0407,1.94253,1
49,22,450,3000,104.729,3.0248,1
50,24,450,3000,106.553,3.25596,1
51,24,450,3000,110.202,5.10347,1
52,24,450,3000,93.0281,3.08322,1
53,24,450,3000,103.417,3.50985,1
54,24,450,3000,114.463,3.30847,1
55,22,450,3000,99.4104,3.57233,1
56,22,450,3000,95.6154,2.66214,1
57,22,450,3000,91.825,4.2544,1
58,22,450,3000,93.5954,3.38117,1
59,22,450,3000,86.1345,4.17938,1
60,11,450,3000,104.184,1.97271,1
61,11,450,3000,106.594,2.33212,1
62,11,450,3000,124.346,1.56507,1
63,11,450,3000,112.542,1.73202,1
64,11,450,3000,112.382,1.53449,1
65,13,450,3000,109.147,2.16836,1
66,13,450,3000,129.926,1.30111,1
67,13,450,3000,127.304,2.60212,1
68,13,450,3000,109.796,1.35689,1
69,13,450,3000,132.667,2.11669,1
70,5,450,3000,126.6,0.296206,1
71,5,450,3000,154,0.378354,1
72,5,450,3000,143.596,0.40177,1
73,5,450,3000,125.812,0.385758,1
74,5,450,3000,137.023,0.411076,1
75,24,450,3000,94.2196,3.2523,1
76,24,450,3000,106.194,3.29401,1
77,24,450,3000,100.929,3.74495,1
78,24,450,3000,116.152,3.45582,1
79,24,450,3000,102.05,3.194,1
80,25,450,3000,92.1611,3.89487,1
81,25,450,3000,102.82,3.42987,1
82,25,450,3000,106.622,4.7525,1
83,25,450,3000,117.472,2.90425,1
84,25,450,3000,103.468,4.94921,1
85,21,450,3000,104.121,2.10621,1
86,21,450,3000,105.174,2.64177,1
87,21,450,3000,94.6114,2.6375,1
88,21,450,3000,114.741,3.3159,1
89,21,450,3000,106.801,3.58249,1
90,20,450,3000,113.495,3.96142,1
91,20,450,3000,105.031,2.95747,1
92,20,450,3000,125.214,3.585,1
93,20,450,3000,98.125,2.83765,1
94,20,450,3000,99.3745,2.31796,1
95,12,450,3000,114.123,1.75109,1
96,12,450,3000,99.0507,1.8399,1
97,12,450,3000,100.66,2.34468,1
98,12,450,3000,111.103,1.75129,1
99,12,450,3000,118.94,1.46674,1
100,19,450,3000,105.916,2.08688,1
101,19,450,3000,94.4261,2.0923,1
102,19,450,3000,90.9554,3.05288,1
103,19,450,3000,107.638,2.15377,1
104,19,450,3000,97.6179,3.49363,1
105,4,450,3000,137.746,0.229329,1
106,4,450,3000,180.885,0.218706,1
107,4,450,3000,163.883,0.206289,1
108,4,450,3000,174.98,0.23854,1
109,4,450,3000,180.44,0.227748,1
110,3,450,3000,149.909,0.120981,1
111,3,450,3000,130.567,0.123724,1
112,3,450,3000,153.348,0.135981,1
113,3,450,3000,162,0.140258,1
114,3,450,3000,198.923,0.142842,1
115,24,450,3000,99.8287,3.50011,1
116,24,450,3000,99.835,4.29695,1
117,24,450,3000,106.592,5.95839,1
118,24,450,3000,95.8872,3.18257,1
119,24,450,3000,83.5398,2.8614,1
120,21,450,3000,94.2023,2.44645,1
121,21,450,3000,105.083,4.83632,1
122,21,450,3000,120.692,2.17957,1
123,21,450,3000,89.8507,2.93996,1
124,21,450,3000,95.5918,2.28995,1
125,14,450,3000,121.012,3.36529,1
126,14,450,3000,117.329,1.70367,1
127,14,450,3000,119.605,2.28008,1
128,14,450,3000,107.043,1.48545,1
129,14,450,3000,98.4809,2.8757,1
130,4,450,3000,147.68,0.273024,1
131,4,450,3000,123.364,0.203338,1
132,4,450,3000,149.889,0.222311,1
133,4,450,3000,126.086,0.222691,1
134,4,450,3000,162.438,0.218515,1
135,19,450,3000,104.425,2.99522,1
136,19,450,3000,129.849,2.87906,1
137,19,450,3000,88.0282,1.9635,1
138,19,450,3000,122.345,3.17492,1
139,19,450,3000,103.139,2.16474,1
140,16,450,3000,92.6359,2.40251,1
141,16,450,3000,105.695,2.13411,1
142,16,450,3000,99.5217,2.20237,1
143,16,450,3000,117.604,2.87159,1
144,16,450,3000,107.684,2.56616,1
