index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1227,2500,78.7328,0.0110851,1
1,5,1227,2500,64.4835,0.0110124,1
2,5,1227,2500,69.73,0.0105582,1
3,5,1227,2500,69.2787,0.010781,1
4,5,1227,2500,67.947,0.0110482,1
5,5,1062,2500,69.3859,0.010309,1
6,5,1062,2500,77.0426,0.0108997,1
7,5,1062,2500,69.6896,0.0105487,1
8,5,1062,2500,78.1254,0.0100282,1
9,5,1062,2500,73.4962,0.0106481,1
10,5,683,2500,82.7956,0.00904966,1
11,5,683,2500,83.8225,0.009232,1
12,5,683,2500,93.5214,0.00918666,1
13,5,683,2500,79.0324,0.00897638,1
14,5,683,2500,76.3368,0.00914762,1
15,5,1322,2500,66.1463,0.011114,1
16,5,1322,2500,83.4411,0.0110549,1
17,5,1322,2500,64.8539,0.0113972,1
18,5,1322,2500,62.2253,0.0114299,1
19,5,1322,2500,71.354,0.0113071,1
20,5,1290,2500,75.3776,0.0114675,1
21,5,1290,2500,73.7816,0.0113282,1
22,5,1290,2500,65.2185,0.0108014,1
23,5,1290,2500,66.2223,0.0106584,1
24,5,1290,2500,77.2065,0.010895,1
25,5,1214,2500,73.5371,0.0106529,1
26,5,1214,2500,77.7461,0.011204,1
27,5,1214,2500,73.22,0.0115704,1
28,5,1214,2500,78.4024,0.0110759,1
29,5,1214,2500,75.8021,0.0109307,1
30,5,352,2500,71.0767,0.00795515,1
31,5,352,2500,79.9972,0.00817169,1
32,5,352,2500,91.7557,0.00826122,1
33,5,352,2500,88.75,0.00806528,1
34,5,352,2500,90.8153,0.00811903,1
35,5,577,2500,80.5278,0.00882156,1
36,5,577,2500,80.3108,0.00870595,1
37,5,577,2500,83.0745,0.00906072,1
38,5,577,2500,83.5806,0.00834758,1
39,5,577,2500,84.6383,0.00858937,1
40,5,1953,2500,55.462,0.0119861,1
41,5,1953,2500,67.499,0.013012,1
42,5,1953,2500,60.7676,0.0128482,1
43,5,1953,2500,55.0106,0.0127132,1
44,5,1953,2500,57.1603,0.012693,1
45,5,1918,2500,61.8404,0.0125005,1
46,5,1918,2500,61.3736,0.0124893,1
47,5,1918,2500,60.3457,0.0124649,1
48,5,1918,2500,60.6194,0.0124632,1
49,5,1918,2500,63.9128,0.0125645,1
50,5,1129,2500,75.049,0.0106686,1
51,5,1129,2500,76.8509,0.0103956,1
52,5,1129,2500,76.3153,0.0106839,1
53,5,1129,2500,68.6064,0.0104967,1
54,5,1129,2500,74.4236,0.0106136,1
55,5,685,2500,74.6877,0.00912328,1
56,5,685,2500,75.9194,0.00929466,1
57,5,685,2500,80.8267,0.00888491,1
58,5,685,2500,74.9224,0.00877424,1
59,5,685,2500,81.3519,0.00916206,1
60,5,1801,2500,65.8301,0.0123249,1
61,5,1801,2500,63.6854,0.0122278,1
62,5,1801,2500,60.9791,0.0121322,1
63,5,1801,2500,62.8905,0.0121786,1
64,5,1801,2500,70.4781,0.0121941,1
65,5,276,2500,68.0761,0.008016,1
66,5,276,2500,87.3768,0.00768834,1
67,5,276,2500,90.7391,0.00796174,1
68,5,276,2500,88.0616,0.00774869,1
69,5,276,2500,82.913,0.00797874,1
70,5,375,2500,85.144,0.00794135,1
71,5,375,2500,77.1738,0.00876793,1
72,5,375,2500,83.288,0.00806214,1
73,5,375,2500,104.083,0.00832655,1
