index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1227,2500,81.9838,0.00870271,1
1,5,1227,2500,68.6007,0.00881736,1
2,5,1227,2500,76.1465,0.00865399,1
3,5,1227,2500,72.5454,0.00880476,1
4,5,1227,2500,72.4025,0.00866729,1
5,5,1062,2500,71.0347,0.00813877,1
6,5,1062,2500,78.333,0.00820937,1
7,5,1062,2500,72.7134,0.00834758,1
8,5,1062,2500,81.0393,0.00823758,1
9,5,1062,2500,75.5217,0.00825969,1
10,5,683,2500,82.9175,0.00672746,1
11,5,683,2500,84.4471,0.00695166,1
12,5,683,2500,94.0773,0.00716434,1
13,5,683,2500,79.3831,0.00689535,1
14,5,683,2500,77.2455,0.00712046,1
15,5,1322,2500,69.7172,0.00900236,1
16,5,1322,2500,86.1191,0.00890783,1
17,5,1322,2500,68.5249,0.0090879,1
18,5,1322,2500,66.6545,0.00897271,1
19,5,1322,2500,74.8973,0.00910879,1
20,5,1290,2500,83.4835,0.00902306,1
21,5,1290,2500,78.7308,0.00898397,1
22,5,1290,2500,70.8306,0.0086194,1
23,5,1290,2500,69.7658,0.00857063,1
24,5,1290,2500,81.1415,0.00865597,1
25,5,1214,2500,77.4145,0.00862764,1
26,5,1214,2500,82.4109,0.00881616,1
27,5,1214,2500,77.5704,0.00912909,1
28,5,1214,2500,81.8081,0.00868433,1
29,5,1214,2500,79.73,0.00877684,1
30,5,352,2500,71.0767,0.00597412,1
31,5,352,2500,79.9972,0.00578299,1
32,5,352,2500,91.7557,0.00582266,1
33,5,352,2500,88.75,0.00595408,1
34,5,352,2500,90.8153,0.00598937,1
35,5,577,2500,80.6678,0.00663568,1
36,5,577,2500,81.014,0.0065758,1
37,5,577,2500,83.3635,0.00675296,1
38,5,577,2500,84.3112,0.00646174,1
39,5,577,2500,84.6383,0.00668541,1
40,5,1953,2500,67.3434,0.0103156,1
41,5,1953,2500,73.3601,0.0108437,1
42,5,1953,2500,70.21,0.0105733,1
43,5,1953,2500,60.284,0.0105242,1
44,5,1953,2500,63.3967,0.0103248,1
45,5,1918,2500,72.9992,0.0102355,1
46,5,1918,2500,71.4649,0.0102933,1
47,5,1918,2500,68.2207,0.0104857,1
48,5,1918,2500,68.0709,0.0103994,1
49,5,1918,2500,69.4146,0.0105169,1
50,5,1129,2500,80.1609,0.00836516,1
51,5,1129,2500,79.9773,0.00808515,1
52,5,1129,2500,79.6843,0.00823083,1
53,5,1129,2500,71.7517,0.00844828,1
54,5,1129,2500,79.0525,0.00820372,1
55,5,685,2500,74.9074,0.00681989,1
56,5,685,2500,76.8205,0.00698296,1
57,5,685,2500,81.3043,0.00688941,1
58,5,685,2500,75.4749,0.00688568,1
59,5,685,2500,81.7113,0.00708649,1
60,5,1801,2500,73.5509,0.0101378,1
61,5,1801,2500,71.7069,0.0101244,1
62,5,1801,2500,69.4758,0.00992099,1
63,5,1801,2500,69.9454,0.0101332,1
64,5,1801,2500,77.5774,0.0101074,1
65,5,276,2500,68.0761,0.00573783,1
66,5,276,2500,87.3768,0.00556981,1
67,5,276,2500,90.7391,0.0056649,1
68,5,276,2500,88.0616,0.00561309,1
69,5,276,2500,82.913,0.00568209,1
70,5,375,2500,85.144,0.00604721,1
71,5,375,2500,77.1738,0.00624978,1
72,5,375,2500,83.288,0.00569806,1
73,5,375,2500,104.083,0.00597836,1
74,5,375,2500,85.7173,0.00573364,1
75,5,1136,2500,78.2031,0.00854464,1
76,5,1136,2500,68.7898,0.00798426,1
77,5,1136,2500,80.1152,0.00826428,1
78,5,1136,2500,79.4893,0.00853004,1
79,5,1136,2500,71.8542,0.00828961,1
80,5,360,2500,85.6,0.00576832,1
81,5,360,2500,96.1361,0.0059734,1
82,5,360,2500,80.0889,0.00585188,1
83,5,360,2500,86.5083,0.0059408,1
84,5,360,2500,99.7556,0.00574302,1
85,5,843,2500,78.4279,0.00731959,1
86,5,843,2500,78.3284,0.00772585,1
87,5,843,2500,71.6176,0.00716258,1
88,5,843,2500,81.0604,0.00755499,1
89,5,843,2500,89.1256,0.00755828,1
90,5,233,2500,73.4764,0.00561427,1
91,5,233,2500,87.5236,0.00550104,1
92,5,233,2500,94.2918,0.00577072,1
93,5,233,2500,78.4678,0.00560093,1
94,5,233,2500,88.8627,0.00561771,1
95,5,216,2500,81.6389,0.00542921,1
96,5,216,2500,92.8704,0.00542068,1
97,5,216,2500,70.4306,0.00561665,1
98,5,216,2500,83.662,0.00543311,1
99,5,216,2500,70.4444,0.00553641,1
100,5,1612,2500,71.8414,0.00961844,1
101,5,1612,2500,61.4211,0.00953218,1
102,5,1612,2500,76.0039,0.00995017,1
103,5,1612,2500,71.3939,0.00987827,1
104,5,1612,2500,63.3106,0.00937724,1
105,5,641,2500,71.6211,0.00665876,1
106,5,641,2500,68.4038,0.00695117,1
107,5,641,2500,85.3133,0.00700463,1
108,5,641,2500,80.4353,0.00659752,1
109,5,641,2500,89.8166,0.00658972,1
110,5,239,2500,67.2552,0.00569282,1
111,5,239,2500,77.569,0.00537911,1
112,5,239,2500,78.7448,0.00537244,1
113,5,239,2500,90.682,0.00544025,1
114,5,239,2500,89.8828,0.00536327,1
115,5,1094,2500,80.1385,0.00841154,1
116,5,1094,2500,81.3337,0.0083042,1
117,5,1094,2500,70.789,0.00844052,1
118,5,1094,2500,77.5225,0.00807565,1
119,5,1094,2500,85.4411,0.00838331,1
120,5,491,2500,89.4827,0.0064693,1
121,5,491,2500,88.3381,0.00618126,1
122,5,491,2500,95.8286,0.00640126,1
123,5,491,2500,71.2992,0.00618971,1
124,5,491,2500,72.9141,0.00626014,1
125,5,1327,2500,73.9651,0.00906113,1
126,5,1327,2500,80.4924,0.0091085,1
127,5,1327,2500,83.6346,0.00872016,1
128,5,1327,2500,76.7541,0.00882224,1
129,5,1327,2500,64.011,0.00888261,1
130,5,964,2500,89.1795,0.00786479,1
131,5,964,2500,90.4405,0.00799235,1
132,5,964,2500,95.4862,0.00808898,1
133,5,964,2500,78.8134,0.00785986,1
134,5,964,2500,85.1351,0.0078746,1
135,5,783,2500,90.6944,0.00728374,1
136,5,783,2500,84.7281,0.00712521,1
137,5,783,2500,86.7497,0.00721875,1
138,5,783,2500,78.8382,0.00732521,1
139,5,783,2500,81.6381,0.00727893,1
140,5,611,2500,84.4356,0.00674774,1
141,5,611,2500,76.5361,0.00679793,1
142,5,611,2500,75.6881,0.00670533,1
143,5,611,2500,92.575,0.00662205,1
144,5,611,2500,73.8201,0.00688991,1
145,5,1479,2500,75.3746,0.00929972,1
146,5,1479,2500,74.2204,0.00922367,1
147,5,1479,2500,68.5831,0.00953124,1
148,5,1479,2500,73.6772,0.00920186,1
149,5,1479,2500,73.8054,0.00947284,1
150,5,520,2500,66.343,0.00655266,1
151,5,520,2500,93.7996,0.00627591,1
152,5,520,2500,86.3058,0.00661349,1
153,5,520,2500,90.1525,0.00661893,1
154,5,520,2500,85.1892,0.00672614,1
155,5,1196,2500,73.4373,0.00847491,1
156,5,1196,2500,77.7709,0.0088648,1
157,5,1196,2500,76.7476,0.00846417,1
158,5,1196,2500,71.9916,0.00821484,1
159,5,1196,2500,81.5998,0.00861182,1
160,5,1764,2500,75.3002,0.009874,1
161,5,1764,2500,77.8988,0.0101572,1
162,5,1764,2500,64.5843,0.00987832,1
163,5,1764,2500,70.1473,0.0101888,1
164,5,1764,2500,74.6096,0.0100295,1
165,5,334,2500,80.2245,0.00583598,1
166,5,334,2500,84.7066,0.00605044,1
167,5,334,2500,69.3443,0.0060478,1
168,5,334,2500,71.4192,0.00608582,1
169,5,334,2500,68.515,0.00589214,1
170,5,801,2500,78.88,0.00755927,1
171,5,801,2500,77.8376,0.00746037,1
172,5,801,2500,77.3466,0.00761716,1
173,5,801,2500,86.0076,0.00763343,1
174,5,801,2500,79.6436,0.0075944,1
175,5,1024,2500,83.7201,0.0082741,1
176,5,1024,2500,78.4419,0.00827067,1
177,5,1024,2500,80.6618,0.00808999,1
178,5,1024,2500,80.6698,0.00795493,1
179,5,1024,2500,78.1191,0.00866857,1
180,5,1648,2500,78.8701,0.0102446,1
181,5,1648,2500,68.0757,0.00979578,1
182,5,1648,2500,66.5521,0.0101397,1
183,5,1648,2500,70.1677,0.00999893,1
184,5,1648,2500,69.4446,0.0100795,1
185,5,1735,2500,81.7019,0.0101681,1
186,5,1735,2500,69.9313,0.0102404,1
187,5,1735,2500,72.3709,0.00993254,1
188,5,1735,2500,82.0884,0.00984066,1
189,5,1735,2500,67.3362,0.00988946,1
190,5,1032,2500,75.2051,0.00898032,1
191,5,1032,2500,75.7355,0.00845648,1
192,5,1032,2500,75.1374,0.00793477,1
193,5,1032,2500,86.8669,0.00820554,1
194,5,1032,2500,71.3946,0.00824412,1
195,5,477,2500,84.5577,0.00620247,1
196,5,477,2500,79,0.00655407,1
197,5,477,2500,81.6926,0.00602947,1
198,5,477,2500,80.6792,0.00652475,1
199,5,477,2500,77.6113,0.00636875,1
200,5,876,2500,80.4653,0.00764499,1
201,5,876,2500,73.4579,0.00768253,1
202,5,876,2500,93.7638,0.00754002,1
203,5,876,2500,93.2881,0.00718943,1
204,5,876,2500,80.297,0.00726023,1
205,5,933,2500,84.1823,0.00751063,1
206,5,933,2500,71.4656,0.00771005,1
207,5,933,2500,84.0259,0.00820688,1
208,5,933,2500,79.6536,0.00784964,1
209,5,933,2500,71.9279,0.00781392,1
210,5,1369,2500,74.0025,0.009301,1
211,5,1369,2500,74.1062,0.0093493,1
212,5,1369,2500,79.2355,0.00945893,1
213,5,1369,2500,68.1626,0.008889,1
214,5,1369,2500,77.3235,0.00940775,1
215,5,1881,2500,76.4302,0.0106794,1
216,5,1881,2500,75.2803,0.0104088,1
217,5,1881,2500,73.2073,0.0103207,1
218,5,1881,2500,71.8834,0.0102409,1
219,5,1881,2500,70.0668,0.0102263,1
220,5,995,2500,80.9237,0.00820827,1
221,5,995,2500,74.3591,0.00819243,1
222,5,995,2500,70.9989,0.00791331,1
223,5,995,2500,84.4066,0.00813889,1
224,5,995,2500,72.4606,0.00830233,1
225,5,401,2500,66.5436,0.00609212,1
226,5,401,2500,78.5436,0.00595645,1
227,5,401,2500,79.6375,0.00595124,1
228,5,401,2500,70.5362,0.00603129,1
229,5,401,2500,75.0299,0.00599043,1
230,5,499,2500,73.1867,0.00613127,1
231,5,499,2500,79.3876,0.00619825,1
232,5,499,2500,102.171,0.00655731,1
233,5,499,2500,88.0862,0.00608212,1
234,5,499,2500,71.4507,0.00645941,1
235,5,1357,2500,71.2111,0.00954966,1
236,5,1357,2500,75.3005,0.00896597,1
237,5,1357,2500,70.426,0.00896185,1
238,5,1357,2500,73.069,0.00946668,1
239,5,1357,2500,70.6169,0.00887894,1
240,5,1086,2500,79.5505,0.0081482,1
241,5,1086,2500,79.7598,0.00844349,1
242,5,1086,2500,80.0131,0.00809085,1
243,5,1086,2500,80.0573,0.00814077,1
244,5,1086,2500,81.3932,0.0079963,1
245,5,372,2500,91.078,0.00591853,1
246,5,372,2500,86.3253,0.00625092,1
247,5,372,2500,89.621,0.00588014,1
248,5,372,2500,94.6846,0.00619891,1
249,5,372,2500,99.1317,0.00603566,1
250,5,1628,2500,73.8574,0.00989061,1
251,5,1628,2500,73.7724,0.00985739,1
252,5,1628,2500,67.7164,0.0104086,1
253,5,1628,2500,65.5978,0.0105125,1
254,5,1628,2500,74.191,0.00996533,1
255,5,616,2500,80.4778,0.00688047,1
256,5,616,2500,73.9049,0.00670015,1
257,5,616,2500,96.0765,0.00648777,1
258,5,616,2500,76.6585,0.00667124,1
259,5,616,2500,80.5749,0.00691415,1
260,5,377,2500,70.8753,0.00591638,1
261,5,377,2500,83.3395,0.00609992,1
262,5,377,2500,68.8753,0.00604156,1
263,5,377,2500,88.8541,0.00628818,1
264,5,377,2500,88.0133,0.0061168,1
265,5,207,2500,82.8551,0.00535202,1
266,5,207,2500,82.7343,0.00529319,1
267,5,207,2500,89.9082,0.00534371,1
268,5,207,2500,98.6232,0.00536265,1
269,5,207,2500,67.3623,0.00530695,1
270,5,706,2500,86.1038,0.00721772,1
271,5,706,2500,72.5602,0.00692019,1
272,5,706,2500,85.8887,0.00718546,1
273,5,706,2500,70.3663,0.00723601,1
274,5,706,2500,87.8032,0.00693811,1
275,5,1885,2500,72.7252,0.0106921,1
276,5,1885,2500,68.2695,0.0107242,1
277,5,1885,2500,67.3406,0.0103898,1
278,5,1885,2500,69.3676,0.0112021,1
279,5,1885,2500,65.8201,0.0101944,1
280,5,914,2500,77.85,0.0075828,1
281,5,914,2500,83.2509,0.00791292,1
282,5,914,2500,77.2129,0.00773565,1
283,5,914,2500,75.4501,0.00768279,1
284,5,914,2500,75.603,0.00781543,1
285,5,451,2500,88.7339,0.00632544,1
286,5,451,2500,83.0245,0.00620274,1
287,5,451,2500,87.51,0.00613724,1
288,5,451,2500,79.5179,0.00621339,1
289,5,451,2500,79.7756,0.00619357,1
290,5,1658,2500,71.2647,0.0105695,1
291,5,1658,2500,75.2449,0.0103436,1
292,5,1658,2500,71.6909,0.0102228,1
293,5,1658,2500,80.2345,0.0100714,1
294,5,1658,2500,66.2149,0.00978361,1
295,5,1811,2500,69.6897,0.0102311,1
296,5,1811,2500,71.5991,0.01003,1
297,5,1811,2500,73.6422,0.0101594,1
298,5,1811,2500,72.3183,0.01008,1
299,5,1811,2500,71.402,0.0101834,1
300,5,474,2500,76.3652,0.0065596,1
301,5,474,2500,68.1335,0.00606109,1
302,5,474,2500,70.4905,0.00623647,1
303,5,474,2500,74.7209,0.00657393,1
304,5,474,2500,86.1737,0.00657566,1
305,5,1894,2500,78.7899,0.0102953,1
306,5,1894,2500,71.9065,0.0106441,1
307,5,1894,2500,67.5939,0.010193,1
308,5,1894,2500,78.6106,0.0101827,1
309,5,1894,2500,64.4207,0.0103624,1
310,5,873,2500,79.9025,0.00773484,1
311,5,873,2500,90.9205,0.00765573,1
312,5,873,2500,84.753,0.00746755,1
313,5,873,2500,82.0897,0.00788918,1
314,5,873,2500,82.8986,0.0074557,1
315,5,1136,2500,82.3676,0.00855902,1
316,5,1136,2500,73.4276,0.00863521,1
317,5,1136,2500,76.8788,0.00848548,1
318,5,1136,2500,81.7164,0.00863759,1
319,5,1136,2500,80.1772,0.00834487,1
320,5,1902,2500,73.3309,0.0104038,1
321,5,1902,2500,75.6677,0.0107309,1
322,5,1902,2500,66.8293,0.0104444,1
323,5,1902,2500,60.6427,0.010359,1
324,5,1902,2500,67.1132,0.0107077,1
325,5,1793,2500,69.7186,0.0102474,1
326,5,1793,2500,70.5888,0.010031,1
327,5,1793,2500,68.4319,0.0102238,1
328,5,1793,2500,76.3359,0.010561,1
329,5,1793,2500,74.5929,0.0103416,1
330,5,1272,2500,65.3885,0.00908354,1
331,5,1272,2500,82.5848,0.00931991,1
332,5,1272,2500,84.7148,0.00871322,1
333,5,1272,2500,86.5219,0.00863133,1
334,5,1272,2500,73.6365,0.00886442,1
335,5,468,2500,81.812,0.00607379,1
336,5,468,2500,69.015,0.00613607,1
337,5,468,2500,92.7281,0.00607346,1
338,5,468,2500,75.5957,0.00618936,1
339,5,468,2500,89.4818,0.00615741,1
340,5,1511,2500,78.4329,0.00954247,1
341,5,1511,2500,76.4868,0.00956816,1
342,5,1511,2500,69.1396,0.0100377,1
343,5,1511,2500,80.4101,0.00972114,1
344,5,1511,2500,75.5046,0.00946917,1
345,5,1923,2500,65.0814,0.010865,1
346,5,1923,2500,76.3403,0.0102787,1
347,5,1923,2500,79.3895,0.0104893,1
348,5,1923,2500,71.4376,0.0105554,1
349,5,1923,2500,62.0363,0.0103359,1
350,5,582,2500,85.2526,0.00692097,1
351,5,582,2500,73.4441,0.00659783,1
352,5,582,2500,83.5225,0.00656622,1
353,5,582,2500,78.3575,0.00645398,1
354,5,582,2500,62.9792,0.0065782,1
355,5,1334,2500,78.0238,0.00898581,1
356,5,1334,2500,78.1211,0.00889135,1
357,5,1334,2500,76.9872,0.00927811,1
358,5,1334,2500,76.9924,0.00884834,1
359,5,1334,2500,74.5264,0.00934722,1
360,5,793,2500,73.5373,0.00724328,1
361,5,793,2500,85.7236,0.00696561,1
362,5,793,2500,87.2454,0.00712522,1
363,5,793,2500,74.7939,0.0072294,1
364,5,793,2500,71.7201,0.00741352,1
365,5,675,2500,87.4738,0.00670752,1
366,5,675,2500,94.3904,0.00678059,1
367,5,675,2500,77.9637,0.00665558,1
368,5,675,2500,76.0451,0.00679511,1
369,5,675,2500,80.4612,0.00687856,1
370,5,415,2500,88.3792,0.0059628,1
371,5,415,2500,85.294,0.00585967,1
372,5,415,2500,81.5687,0.00615503,1
373,5,415,2500,69.2096,0.00628218,1
374,5,415,2500,88.1494,0.00659718,1
375,5,808,2500,79.2522,0.00772863,1
376,5,808,2500,87.6874,0.00721672,1
377,5,808,2500,74.0996,0.00740492,1
378,5,808,2500,75.8803,0.00739846,1
379,5,808,2500,78.6094,0.00743371,1
380,5,526,2500,71.0456,0.00625714,1
381,5,526,2500,92.9675,0.00630643,1
382,5,526,2500,75.5238,0.00655287,1
383,5,526,2500,98.4762,0.00669069,1
384,5,526,2500,102.372,0.00620421,1
385,5,1862,2500,76.066,0.0100359,1
386,5,1862,2500,80.4992,0.010267,1
387,5,1862,2500,76.1879,0.0100722,1
388,5,1862,2500,69.6601,0.0105544,1
389,5,1862,2500,73.8539,0.0105336,1
390,5,589,2500,73.2103,0.00684301,1
391,5,589,2500,76.7795,0.00689738,1
392,5,589,2500,87.3963,0.00670433,1
393,5,589,2500,77.4667,0.00663569,1
394,5,589,2500,80.2642,0.00697148,1
395,5,812,2500,91.7175,0.00750946,1
396,5,812,2500,89.7715,0.00741053,1
