index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1227,2500,122.462,0.0177179,1
1,5,1227,2500,112.133,0.0173329,1
2,5,1227,2500,137.727,0.0180618,1
3,5,1227,2500,125.438,0.0170701,1
4,5,1227,2500,172.273,0.0178124,1
5,5,1062,2500,131.762,0.0173061,1
6,5,1062,2500,121.909,0.0172833,1
7,5,1062,2500,132.609,0.0167043,1
8,5,1062,2500,124.188,0.0163493,1
9,5,1062,2500,124.524,0.0172692,1
10,5,683,2500,97.875,0.0239493,1
11,5,683,2500,89.2593,0.0215915,1
12,5,683,2500,106.649,0.0221291,1
13,5,683,2500,72.0625,0.0213875,1
14,5,683,2500,90.9667,0.0228004,1
15,5,1322,2500,180.571,0.0183929,1
16,5,1322,2500,225.5,0.0181112,1
17,5,1322,2500,194.333,0.0181144,1
18,5,1322,2500,152.071,0.0189043,1
19,5,1322,2500,184,0.0188834,1
20,5,1290,2500,131.111,0.0189257,1
21,5,1290,2500,144.25,0.0194227,1
22,5,1290,2500,155.412,0.0179382,1
23,5,1290,2500,150,0.0178659,1
24,5,1290,2500,138.684,0.0178485,1
25,5,1214,2500,144.778,0.0171389,1
26,5,1214,2500,138.667,0.018467,1
27,5,1214,2500,164.846,0.0187378,1
28,5,1214,2500,126.25,0.01714,1
29,5,1214,2500,155.625,0.0176061,1
30,5,352,2500,51.8923,0.0578847,1
31,5,352,2500,50.1096,0.0577155,1
32,5,352,2500,58.6038,0.0526005,1
33,5,352,2500,55.2982,0.0602957,1
34,5,352,2500,58.3387,0.0574125,1
35,5,577,2500,85.6471,0.0310916,1
36,5,577,2500,70.6765,0.0249268,1
37,5,577,2500,72.8293,0.029843,1
38,5,577,2500,79.9149,0.0271584,1
39,5,577,2500,66.7,0.0300868,1
40,5,1953,2500,200,0.0275767,1
41,5,1953,2500,151.75,0.0258703,1
42,5,1953,2500,147.071,0.0263675,1
43,5,1953,2500,155.077,0.0268355,1
44,5,1953,2500,148.273,0.0276182,1
45,5,1918,2500,232.5,0.0259639,1
46,5,1918,2500,201,0.027378,1
47,5,1918,2500,179,0.0273201,1
48,5,1918,2500,168.818,0.0280274,1
49,5,1918,2500,196.8,0.0271905,1
50,5,1129,2500,156.25,0.0184722,1
51,5,1129,2500,159.933,0.0168466,1
52,5,1129,2500,148.905,0.0172353,1
53,5,1129,2500,109.222,0.0171653,1
54,5,1129,2500,119.312,0.0168768,1
55,5,685,2500,90.3077,0.0238178,1
56,5,685,2500,89.3043,0.0227657,1
