index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1227,2500,199,0.00343225,1
1,5,1227,2500,210.25,0.00315682,1
2,5,1227,2500,243,0.00323185,1
3,5,1227,2500,234.1,0.00316409,1
4,5,1227,2500,210.556,0.00328156,1
5,5,1062,2500,211.615,0.00338951,1
6,5,1062,2500,211.5,0.00350746,1
7,5,1062,2500,238.692,0.003198,1
8,5,1062,2500,189.444,0.00331681,1
9,5,1062,2500,205.615,0.00347796,1
10,5,683,2500,261,0.00401562,1
11,5,683,2500,174.538,0.0036623,1
12,5,683,2500,186.083,0.00390412,1
13,5,683,2500,141.545,0.00377543,1
14,5,683,2500,181.933,0.00378183,1
15,5,1322,2500,361.143,0.00301814,1
16,5,1322,2500,451,0.00342099,1
17,5,1322,2500,304,0.0032637,1
18,5,1322,2500,236.556,0.00324865,1
19,5,1322,2500,306.667,0.00337819,1
20,5,1290,2500,337.143,0.00322415,1
21,5,1290,2500,220.462,0.00330136,1
22,5,1290,2500,240.182,0.003156,1
23,5,1290,2500,203.571,0.00328243,1
24,5,1290,2500,328.5,0.00325632,1
25,5,1214,2500,237.545,0.00318003,1
26,5,1214,2500,272.889,0.00331956,1
27,5,1214,2500,314.273,0.00338917,1
28,5,1214,2500,228.556,0.00338291,1
29,5,1214,2500,252.222,0.00326261,1
30,5,352,2500,120.464,0.00556835,1
31,5,352,2500,119.346,0.00467493,1
32,5,352,2500,113.542,0.00512116,1
33,5,352,2500,96,0.00492275,1
34,5,352,2500,106.5,0.00521981,1
35,5,577,2500,155.929,0.00479383,1
36,5,577,2500,135.812,0.00372668,1
37,5,577,2500,162.5,0.00433696,1
38,5,577,2500,176.875,0.00388559,1
39,5,577,2500,153.923,0.004441,1
40,5,1953,2500,288.889,0.00316229,1
41,5,1953,2500,294,0.00341602,1
42,5,1953,2500,227.4,0.00337773,1
43,5,1953,2500,349.4,0.00332159,1
44,5,1953,2500,253.167,0.0033329,1
45,5,1918,2500,265.714,0.00325137,1
46,5,1918,2500,344.571,0.00332215,1
47,5,1918,2500,281.286,0.00320701,1
48,5,1918,2500,232.125,0.0032099,1
49,5,1918,2500,391.833,0.00327437,1
50,5,1129,2500,250,0.00328323,1
51,5,1129,2500,222.636,0.0030827,1
52,5,1129,2500,218.25,0.00328534,1
53,5,1129,2500,200.25,0.00318968,1
54,5,1129,2500,260.625,0.00319988,1
55,5,685,2500,167.714,0.00439123,1
56,5,685,2500,160.556,0.00380442,1
57,5,685,2500,208.722,0.00412459,1
58,5,685,2500,141.062,0.0039114,1
59,5,685,2500,189.071,0.00386372,1
60,5,1801,2500,287.375,0.00324152,1
61,5,1801,2500,262.889,0.00342623,1
62,5,1801,2500,246,0.00318029,1
63,5,1801,2500,286.571,0.00318048,1
64,5,1801,2500,305,0.0033589,1
65,5,276,2500,62.325,0.00498268,1
66,5,276,2500,95.3902,0.00511819,1
67,5,276,2500,92.3947,0.00631784,1
68,5,276,2500,72.0612,0.00503014,1
69,5,276,2500,84.9189,0.00544728,1
70,5,375,2500,91.7308,0.0046188,1
71,5,375,2500,94.72,0.00485993,1
72,5,375,2500,120.719,0.00429638,1
73,5,375,2500,137.625,0.00576446,1
74,5,375,2500,148,0.0050266,1
75,5,1136,2500,238.727,0.0032168,1
76,5,1136,2500,188,0.00321184,1
77,5,1136,2500,254.3,0.00327524,1
78,5,1136,2500,236.5,0.00337782,1
79,5,1136,2500,272.857,0.00327126,1
80,5,360,2500,129.704,0.00448881,1
81,5,360,2500,94.5926,0.00496783,1
82,5,360,2500,117.542,0.00515448,1
83,5,360,2500,106.312,0.00525117,1
84,5,360,2500,115.71,0.00458259,1
85,5,843,2500,227.125,0.00354741,1
86,5,843,2500,200.917,0.00375737,1
87,5,843,2500,175.778,0.00335404,1
