index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1227,2500,123.842,5.57251,1
1,5,1227,2500,86.74,5.44628,1
2,5,1227,2500,137.286,5.44056,1
3,5,1227,2500,105.405,5.54433,1
4,5,1227,2500,93.7824,5.3952,1
5,5,1062,2500,99.36,4.10731,1
6,5,1062,2500,96.0618,3.99322,1
7,5,1062,2500,105.8,4.05627,1
8,5,1062,2500,124.188,3.96883,1
9,5,1062,2500,90.6393,4.07082,1
10,5,683,2500,93.9455,1.64889,1
11,5,683,2500,89.675,1.74204,1
12,5,683,2500,105.393,1.69064,1
13,5,683,2500,87.0953,1.70654,1
14,5,683,2500,83.75,1.66749,1
15,5,1322,2500,147.471,6.44089,1
16,5,1322,2500,128.83,6.67535,1
17,5,1322,2500,194.333,6.71667,1
18,5,1322,2500,152.071,6.32684,1
19,5,1322,2500,184,6.62211,1
20,5,1290,2500,104.872,6.14466,1
21,5,1290,2500,144.25,6.14814,1
22,5,1290,2500,129.571,6.08038,1
23,5,1290,2500,120.244,6.33764,1
24,5,1290,2500,103.242,6.36913,1
25,5,1214,2500,113.614,5.46283,1
26,5,1214,2500,101.49,5.70161,1
27,5,1214,2500,150.304,5.40387,1
28,5,1214,2500,100.633,5.52555,1
29,5,1214,2500,146.722,5.37285,1
30,5,352,2500,72.6873,0.582786,1
31,5,352,2500,81.2716,0.570759,1
32,5,352,2500,92.6036,0.50621,1
33,5,352,2500,92.9446,0.603594,1
34,5,352,2500,93.9012,0.576266,1
35,5,577,2500,84.7927,1.30595,1
36,5,577,2500,84.071,1.23599,1
37,5,577,2500,90.4977,1.3041,1
38,5,577,2500,88.2881,1.287,1
39,5,577,2500,89.897,1.3139,1
40,5,1953,2500,157.417,14.9206,1
41,5,1953,2500,146.882,15.6476,1
42,5,1953,2500,139.774,15.2605,1
43,5,1953,2500,122.24,15.1147,1
44,5,1953,2500,130.023,15.1256,1
45,5,1918,2500,103.026,14.7282,1
46,5,1918,2500,161.1,14.7904,1
47,5,1918,2500,142.5,14.3746,1
48,5,1918,2500,154.733,14.3597,1
49,5,1918,2500,159.963,14.75,1
50,5,1129,2500,115.982,4.70269,1
51,5,1129,2500,108.938,4.48056,1
52,5,1129,2500,120.13,4.63293,1
53,5,1129,2500,104.9,4.51558,1
54,5,1129,2500,97.8462,4.67154,1
55,5,685,2500,86.0455,1.73403,1
56,5,685,2500,83.9068,1.67849,1
57,5,685,2500,93.925,1.74995,1
58,5,685,2500,82.1823,1.64968,1
59,5,685,2500,90.2291,1.69971,1
60,5,1801,2500,209.615,12.7477,1
61,5,1801,2500,128.111,12.9877,1
62,5,1801,2500,137.966,12.4204,1
63,5,1801,2500,125.714,12.5925,1
64,5,1801,2500,203.333,12.7095,1
65,5,276,2500,68.4176,0.424793,1
66,5,276,2500,87.7873,0.405607,1
67,5,276,2500,90.7391,0.372966,1
68,5,276,2500,88.4925,0.365822,1
69,5,276,2500,83.1333,0.373156,1
70,5,375,2500,87.5427,0.586487,1
71,5,375,2500,77.6846,0.626852,1
72,5,375,2500,84.8418,0.613715,1
73,5,375,2500,105.518,0.581117,1
74,5,375,2500,86.9916,0.567151,1
75,5,1136,2500,99.8484,4.68178,1
76,5,1136,2500,94.2273,4.60305,1
77,5,1136,2500,102.217,4.92891,1
78,5,1136,2500,108.603,4.84987,1
79,5,1136,2500,92.9508,4.78891,1
80,5,360,2500,86.1254,0.574577,1
81,5,360,2500,97.2787,0.531169,1
82,5,360,2500,80.5788,0.577685,1
83,5,360,2500,87.8147,0.565425,1
84,5,360,2500,100.743,0.519202,1
85,5,843,2500,94.5289,2.65205,1
86,5,843,2500,87.25,2.652,1
87,5,843,2500,79.5342,2.47954,1
88,5,843,2500,93.1607,2.45999,1
89,5,843,2500,101.437,2.50354,1
90,5,233,2500,73.4764,0.267612,1
91,5,233,2500,87.5236,0.33842,1
92,5,233,2500,94.2918,0.304818,1
93,5,233,2500,79.5374,0.369096,1
94,5,233,2500,88.8627,0.328563,1
95,5,216,2500,81.7488,0.303837,1
96,5,216,2500,93.9952,0.317225,1
97,5,216,2500,70.4306,0.256692,1
98,5,216,2500,83.662,0.271485,1
99,5,216,2500,70.4444,0.30809,1
100,5,1612,2500,135.842,9.95775,1
101,5,1612,2500,102.7,9.82925,1
102,5,1612,2500,190,10.2245,1
