index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1227,2500,123.044,4.87914,1
1,5,1227,2500,112.133,4.47741,1
2,5,1227,2500,152.435,4.51056,1
3,5,1227,2500,172.765,4.54131,1
4,5,1227,2500,203,4.33935,1
5,5,1062,2500,154.042,4.2783,1
6,5,1062,2500,121.909,4.37567,1
7,5,1062,2500,136,4.0631,1
8,5,1062,2500,128.448,3.90334,1
9,5,1062,2500,124.524,4.20712,1
10,5,683,2500,102.737,3.88147,1
11,5,683,2500,91.67,3.66278,1
12,5,683,2500,106.649,3.71932,1
13,5,683,2500,87.4158,3.31826,1
14,5,683,2500,101.314,3.58203,1
15,5,1322,2500,186.611,4.60478,1
16,5,1322,2500,226,4.98403,1
17,5,1322,2500,194.333,5.13355,1
18,5,1322,2500,152.071,4.68903,1
19,5,1322,2500,186.579,5.04423,1
20,5,1290,2500,147.389,5.1758,1
21,5,1290,2500,144.25,5.14732,1
22,5,1290,2500,155.412,4.84699,1
23,5,1290,2500,150,5.51623,1
24,5,1290,2500,154.87,5.24127,1
25,5,1214,2500,172.15,4.61544,1
26,5,1214,2500,138.667,4.60706,1
27,5,1214,2500,164.846,4.55743,1
28,5,1214,2500,130.545,4.74823,1
29,5,1214,2500,159.176,4.89173,1
30,5,352,2500,72.7596,3.52603,1
31,5,352,2500,81.1424,3.9156,1
32,5,352,2500,92.1312,2.96758,1
33,5,352,2500,92.3217,3.82157,1
34,5,352,2500,93.5118,3.12875,1
35,5,577,2500,89.8369,4.0286,1
36,5,577,2500,85.144,3.40374,1
37,5,577,2500,91.039,3.47505,1
38,5,577,2500,92.2242,3.55408,1
39,5,577,2500,92.1596,3.91475,1
40,5,1953,2500,200,7.35797,1
41,5,1953,2500,151.75,8.21247,1
42,5,1953,2500,190.375,7.93306,1
43,5,1953,2500,155.674,7.90221,1
44,5,1953,2500,151.545,8.36157,1
45,5,1918,2500,232.5,8.1048,1
46,5,1918,2500,203.333,8.49732,1
47,5,1918,2500,179,8.05859,1
48,5,1918,2500,168.818,8.05459,1
49,5,1918,2500,196.8,8.15088,1
50,5,1129,2500,156.25,4.45446,1
51,5,1129,2500,159.933,4.12497,1
52,5,1129,2500,150.095,4.36406,1
53,5,1129,2500,109.222,4.17098,1
54,5,1129,2500,119.312,4.5167,1
55,5,685,2500,97.6957,3.35571,1
56,5,685,2500,96.4615,3.33063,1
57,5,685,2500,94.7165,3.68262,1
58,5,685,2500,93.7333,3.58886,1
59,5,685,2500,95.0498,3.25653,1
60,5,1801,2500,191.321,6.70312,1
61,5,1801,2500,187.071,7.3109,1
62,5,1801,2500,184.5,7.15024,1
63,5,1801,2500,144.448,6.93717,1
64,5,1801,2500,214.333,7.86824,1
65,5,276,2500,68.4176,2.323,1
66,5,276,2500,87.7873,2.66411,1
67,5,276,2500,90.7391,3.46072,1
68,5,276,2500,88.1429,3.70523,1
69,5,276,2500,83.0923,3.39209,1
70,5,375,2500,87.1003,3.08722,1
71,5,375,2500,77.4758,3.38382,1
72,5,375,2500,83.9153,2.85148,1
73,5,375,2500,105.097,3.20893,1
74,5,375,2500,86.6657,2.96839,1
75,5,1136,2500,151.733,4.41481,1
76,5,1136,2500,108.261,4.24056,1
77,5,1136,2500,121.882,4.93759,1
78,5,1136,2500,127,4.53324,1
79,5,1136,2500,125.627,4.38045,1
80,5,360,2500,85.7242,4.19114,1
81,5,360,2500,96.9599,3.67807,1
82,5,360,2500,80.4174,3.20767,1
83,5,360,2500,87.5821,3.34742,1
84,5,360,2500,100.595,3.52753,1
85,5,843,2500,118.456,3.74664,1
86,5,843,2500,115.448,4.15413,1
87,5,843,2500,89.8571,3.74606,1
88,5,843,2500,95.7436,3.41278,1
89,5,843,2500,134.379,3.62652,1
90,5,233,2500,73.4764,3.16146,1
91,5,233,2500,87.5236,3.61088,1
92,5,233,2500,94.2918,2.95404,1
