index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1227,2500,207.538,0.497976,1
1,5,1227,2500,228.417,0.399976,1
2,5,1227,2500,260.364,0.410352,1
3,5,1227,2500,250,0.438557,1
4,5,1227,2500,271.778,0.416886,1
5,5,1062,2500,219.231,0.592949,1
6,5,1062,2500,219.833,0.485254,1
7,5,1062,2500,245.846,0.523875,1
8,5,1062,2500,203.776,0.41333,1
9,5,1062,2500,205.615,0.48372,1
10,5,683,2500,261,0.407523,1
11,5,683,2500,186.778,0.361509,1
12,5,683,2500,222.941,0.436515,1
13,5,683,2500,167,0.405809,1
14,5,683,2500,209.526,0.415681,1
15,5,1322,2500,373.429,0.380312,1
16,5,1322,2500,479,0.509982,1
17,5,1322,2500,304,0.508978,1
18,5,1322,2500,255.75,0.40071,1
19,5,1322,2500,306.667,0.505528,1
20,5,1290,2500,337.143,0.4382,1
21,5,1290,2500,238.696,0.453421,1
22,5,1290,2500,244.4,0.429425,1
23,5,1290,2500,203.571,0.462259,1
24,5,1290,2500,328.5,0.456828,1
25,5,1214,2500,318.636,0.445998,1
26,5,1214,2500,272.889,0.461552,1
27,5,1214,2500,314.273,0.442645,1
28,5,1214,2500,231.667,0.458056,1
29,5,1214,2500,329.667,0.454388,1
30,5,352,2500,143.581,0.263915,1
31,5,352,2500,122.5,0.255582,1
32,5,352,2500,132.393,0.201636,1
33,5,352,2500,134.897,0.286277,1
34,5,352,2500,140.298,0.317084,1
35,5,577,2500,168.643,0.404922,1
36,5,577,2500,182.538,0.311724,1
37,5,577,2500,171.5,0.376616,1
38,5,577,2500,195.875,0.344874,1
39,5,577,2500,170.768,0.35716,1
40,5,1953,2500,288.889,0.308334,1
41,5,1953,2500,295.261,0.408448,1
42,5,1953,2500,242.857,0.372519,1
43,5,1953,2500,349.4,0.344387,1
44,5,1953,2500,270.375,0.388898,1
45,5,1918,2500,265.714,0.39304,1
46,5,1918,2500,344.571,0.426109,1
47,5,1918,2500,281.286,0.366729,1
48,5,1918,2500,232.125,0.396539,1
49,5,1918,2500,391.833,0.382684,1
50,5,1129,2500,260.111,0.42083,1
51,5,1129,2500,222.636,0.404817,1
52,5,1129,2500,218.25,0.424254,1
53,5,1129,2500,205.629,0.440737,1
54,5,1129,2500,260.625,0.463513,1
55,5,685,2500,179.5,0.503211,1
56,5,685,2500,188,0.354885,1
57,5,685,2500,209,0.386729,1
58,5,685,2500,191,0.432188,1
59,5,685,2500,189.071,0.354863,1
60,5,1801,2500,287.375,0.39892,1
61,5,1801,2500,277,0.416174,1
62,5,1801,2500,270,0.376267,1
63,5,1801,2500,287.571,0.369427,1
64,5,1801,2500,305,0.417244,1
65,5,276,2500,80.6462,0.205415,1
66,5,276,2500,121.588,0.156959,1
67,5,276,2500,109.361,0.207028,1
68,5,276,2500,100.404,0.309943,1
69,5,276,2500,131.571,0.209028,1
70,5,375,2500,135.222,0.295154,1
71,5,375,2500,97.393,0.215804,1
72,5,375,2500,144.939,0.251888,1
73,5,375,2500,188.333,0.262419,1
74,5,375,2500,148.5,0.246382,1
75,5,1136,2500,245.318,0.44558,1
76,5,1136,2500,214.5,0.442208,1
77,5,1136,2500,254.3,0.469376,1
78,5,1136,2500,242.242,0.469765,1
79,5,1136,2500,272.857,0.448453,1
80,5,360,2500,187.85,0.233444,1
81,5,360,2500,144.926,0.25499,1
82,5,360,2500,141.676,0.235265,1
83,5,360,2500,147.6,0.269777,1
84,5,360,2500,134.983,0.250846,1
85,5,843,2500,231.25,0.396019,1
86,5,843,2500,211.125,0.472921,1
87,5,843,2500,175.778,0.388692,1
