index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,108,334,179.38,0.0327851,1
1,4,108,372,188.633,0.0591244,1
2,4,108,384,129,0.0341757,1
3,4,108,361,171.274,0.119442,1
4,4,108,344,169.618,0.105072,1
5,7,257,813,134.633,5.13925,1
6,7,257,705,149.972,1.27088,1
7,7,257,679,119.212,9.24795,1
8,7,257,701,107.637,9.32102,1
9,7,257,715,138.962,1.69936,1
10,6,157,541,160.081,0.606202,1
11,6,157,560,150.195,0.55457,1
12,6,157,619,156.774,0.395592,1
13,6,157,588,125.231,0.515853,1
14,6,157,559,112.297,0.374543,1
15,3,230,706,157.938,0.371805,1
16,3,230,775,102.12,0.710094,1
17,3,230,779,120.296,7.57315,1
18,3,230,770,143.905,0.593693,1
19,3,230,793,120.206,3.60401,1
20,5,139,515,191.576,0.0959708,1
21,5,139,485,150.299,0.0875117,1
22,5,139,487,176.5,0.10515,1
23,5,139,502,124.284,0.0720281,1
24,5,139,512,105.699,0.243514,1
25,4,132,363,152.231,0.0730162,1
26,4,132,358,138.047,0.427519,1
27,4,132,326,153.622,0.31202,1
28,4,132,333,158.256,0.500693,1
29,4,132,348,141.86,0.152566,1
30,6,184,706,135.646,0.271433,1
31,6,184,702,179.76,0.414471,1
32,6,184,691,129.648,3.25946,1
33,6,184,655,128.333,1.92771,1
34,6,184,652,157.805,1.4004,1
35,4,102,268,116.817,0.141364,1
36,4,102,261,121.139,0.226467,1
37,4,102,269,82,0.226091,1
38,4,102,240,156.569,0.134777,1
39,4,102,282,109.8,0.26764,1
40,4,234,843,109.576,0.701619,1
41,4,234,855,133.461,0.608116,1
42,4,234,803,142.661,0.468868,1
43,4,234,802,124,0.215618,1
44,4,234,846,128.114,0.619351,1
45,7,190,582,193.82,4.70674,1
46,7,190,543,134.424,6.13582,1
47,7,190,565,135.509,1.26464,1
48,7,190,535,172.96,3.74585,1
49,7,190,577,189.308,0.693494,1
50,3,176,604,109.049,0.556355,1
51,3,176,622,133.562,0.554507,1
52,3,176,564,118.396,0.448548,1
53,3,176,602,180.099,0.355746,1
54,3,176,629,123.184,1.47653,1
55,6,199,680,102.468,1.43651,1
56,6,199,659,130.615,0.465237,1
57,6,199,722,126.89,0.897329,1
58,6,199,651,123.514,0.337362,1
59,6,199,683,117.593,0.405814,1
60,3,211,802,148.724,0.729839,1
61,3,211,744,140.842,0.805679,1
62,3,211,755,111.964,0.885072,1
63,3,211,779,121.15,0.776989,1
64,3,211,740,124.722,3.74833,1
65,7,100,469,85.2923,0.145136,1
66,7,100,449,132.943,0.0728054,1
67,7,100,451,107.274,0.232165,1
68,7,100,434,137.734,0.115864,1
69,7,100,457,99.1176,0.308911,1
70,7,132,479,137.395,0.412465,1
71,7,132,507,130.242,0.0567314,1
72,7,132,490,167.768,0.471529,1
73,7,132,483,157.316,0.456567,1
74,7,132,461,181.283,0.073182,1
75,5,193,361,166.632,0.413326,1
76,5,193,367,193.293,0.525016,1
77,5,193,378,162.647,0.580075,1
78,5,193,370,170.688,2.51022,1
79,5,193,409,190.824,3.50021,1
80,7,154,577,171.01,0.330642,1
81,7,154,560,146.048,0.315695,1
82,7,154,539,204.01,0.169322,1
83,7,154,569,147.829,0.321935,1
84,7,154,544,194.3,0.212956,1
85,5,119,362,185.042,0.0512082,1
86,5,119,353,97.2836,0.160596,1
87,5,119,342,183.679,0.024171,1
88,5,119,376,136.519,0.314114,1
89,5,119,372,171.258,0.030719,1
90,3,176,413,178.182,0.129667,1
91,3,176,423,209.4,0.0581853,1
92,3,176,404,214.222,0.0528439,1
93,3,176,433,202.273,0.206523,1
94,3,176,421,209,0.11621,1
95,6,136,624,188.897,0.17863,1
96,6,136,606,164.365,0.319931,1
97,6,136,593,166.765,0.317601,1
98,6,136,568,180.25,0.231074,1
99,6,136,601,160.722,0.0415898,1
100,6,161,481,136.3,0.450543,1
