index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,108,334,273.933,0.401791,1
1,4,108,372,267.286,0.274772,1
2,4,108,384,191.114,0.330565,1
3,4,108,361,307.867,0.360607,1
4,4,108,344,244.143,0.190053,1
5,7,257,813,221.375,0.956817,1
6,7,257,705,289.75,0.596203,1
7,7,257,679,237.231,0.74473,1
8,7,257,701,198.414,1.20952,1
9,7,257,715,238.87,0.414403,1
10,6,157,541,216,1.22615,1
11,6,157,560,234.958,0.841087,1
12,6,157,619,248.161,3.85486,1
13,6,157,588,184.577,0.996731,1
14,6,157,559,194.548,1.17506,1
15,3,230,706,369.9,0.174837,1
16,3,230,775,275.85,0.37321,1
17,3,230,779,278.5,0.423853,1
18,3,230,770,342.9,0.673891,1
19,3,230,793,266.2,0.457906,1
20,5,139,515,298.947,0.236,1
21,5,139,485,209,0.170758,1
22,5,139,487,251.974,0.161975,1
23,5,139,502,185.477,0.373619,1
24,5,139,512,171.382,0.332404,1
25,4,132,363,226.556,0.152735,1
26,4,132,358,253.526,0.343415,1
27,4,132,326,214.263,0.213643,1
28,4,132,333,381.545,0.156762,1
29,4,132,348,228.188,0.34017,1
30,6,184,706,190,2.7891,1
31,6,184,702,274.085,3.70035,1
32,6,184,691,190.357,4.38124,1
33,6,184,655,240.385,0.372384,1
34,6,184,652,286.143,1.32334,1
35,4,102,268,230.143,0.117684,1
36,4,102,261,205.786,0.141491,1
37,4,102,269,141.967,0.250632,1
38,4,102,240,237.714,0.172969,1
39,4,102,282,199.364,0.312539,1
40,4,234,843,242.217,1.09557,1
41,4,234,855,325.429,1.25057,1
42,4,234,803,252.45,0.664215,1
43,4,234,802,220.808,1.03849,1
44,4,234,846,228.636,1.45002,1
45,7,190,582,332.686,2.5445,1
46,7,190,543,210.263,1.0576,1
47,7,190,565,213.611,2.24459,1
48,7,190,535,245.818,3.16016,1
49,7,190,577,244.625,27.4927,1
50,3,176,604,348.3,0.18462,1
51,3,176,622,256.273,0.409375,1
52,3,176,564,349.2,0.176568,1
