index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,108,334,150.279,0.00118555,1
1,4,108,372,153.112,0.00138582,1
2,4,108,384,114.29,0.00134559,1
3,4,108,361,133.037,0.00131036,1
4,4,108,344,145.396,0.00122167,1
5,7,257,813,112.839,0.0029374,1
6,7,257,705,111.32,0.00269332,1
7,7,257,679,103.285,0.00267263,1
8,7,257,701,87.5961,0.0026554,1
9,7,257,715,108.796,0.00273517,1
10,6,157,541,136.65,0.00219017,1
11,6,157,560,139.217,0.00204276,1
12,6,157,619,142.019,0.00221388,1
13,6,157,588,106.72,0.00210987,1
14,6,157,559,106.032,0.00198459,1
15,3,230,706,93.0218,0.00259931,1
16,3,230,775,76.4474,0.00293388,1
17,3,230,779,95.7031,0.00296761,1
18,3,230,770,110.563,0.00283428,1
19,3,230,793,89.8253,0.00295938,1
20,5,139,515,123.5,0.00188146,1
21,5,139,485,103.54,0.00180476,1
22,5,139,487,108.734,0.00178391,1
23,5,139,502,79.482,0.00180708,1
24,5,139,512,76.4275,0.00176598,1
25,4,132,363,91.7863,0.00135301,1
26,4,132,358,105.984,0.00134751,1
27,4,132,326,117.654,0.00126292,1
28,4,132,333,128.408,0.00129715,1
29,4,132,348,106.961,0.00140249,1
30,6,184,706,109.837,0.0024412,1
31,6,184,702,162.87,0.00249343,1
32,6,184,691,114.511,0.00252796,1
33,6,184,655,108.847,0.00234964,1
34,6,184,652,133.668,0.00248044,1
35,4,102,268,93.0294,0.001111,1
36,4,102,261,89.3529,0.00105808,1
37,4,102,269,71.52,0.0010829,1
38,4,102,240,131.122,0.000958921,1
39,4,102,282,88.6471,0.00110257,1
40,4,234,843,91.7467,0.00312797,1
41,4,234,855,113.668,0.00311957,1
42,4,234,803,123.11,0.00325401,1
43,4,234,802,107.778,0.00291477,1
44,4,234,846,107.276,0.00300828,1
45,7,190,582,179.199,0.00219541,1
46,7,190,543,121.537,0.00211921,1
47,7,190,565,124.663,0.00213068,1
48,7,190,535,157.561,0.00200782,1
49,7,190,577,176.239,0.00218417,1
50,3,176,604,87.392,0.00229209,1
51,3,176,622,102.83,0.00235965,1
52,3,176,564,98.4104,0.00213928,1
53,3,176,602,137.383,0.00221667,1
54,3,176,629,98.2743,0.00226242,1
55,6,199,680,81.7638,0.00251516,1
56,6,199,659,100.492,0.00243452,1
57,6,199,722,97.5736,0.00255891,1
58,6,199,651,86.8535,0.00234899,1
59,6,199,683,87.803,0.00259295,1
60,3,211,802,129.777,0.00286211,1
61,3,211,744,103.571,0.00271182,1
62,3,211,755,91.3,0.00267983,1
63,3,211,779,92.4087,0.00276952,1
64,3,211,740,104.718,0.00261301,1
