index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,108,334,156.29,0.00093237,1
1,4,108,372,153.112,0.00105477,1
2,4,108,384,114.29,0.00104045,1
3,4,108,361,135.547,0.000985011,1
4,4,108,344,146.781,0.000940326,1
5,7,257,813,113.285,0.00233072,1
6,7,257,705,115.846,0.00217402,1
7,7,257,679,107.535,0.00205969,1
8,7,257,701,89.7068,0.00211117,1
9,7,257,715,112.393,0.00221068,1
10,6,157,541,139.312,0.00147359,1
11,6,157,560,141.013,0.0016022,1
12,6,157,619,142.935,0.00166627,1
13,6,157,588,107.404,0.00157807,1
14,6,157,559,106.716,0.00158244,1
15,3,230,706,93.0218,0.00199651,1
16,3,230,775,76.7841,0.00232833,1
17,3,230,779,96.1228,0.00225379,1
18,3,230,770,111.048,0.00216812,1
19,3,230,793,90.2193,0.00226187,1
20,5,139,515,123.5,0.00142318,1
21,5,139,485,105.074,0.00134973,1
22,5,139,487,110.321,0.00138967,1
23,5,139,502,80.6423,0.00131931,1
24,5,139,512,77.5515,0.00136093,1
25,4,132,363,93.9375,0.00106152,1
26,4,132,358,106.812,0.00118637,1
27,4,132,326,121.389,0.00101457,1
28,4,132,333,131.441,0.00103304,1
29,4,132,348,109.548,0.00104926,1
30,6,184,706,112.905,0.00182355,1
31,6,184,702,164.659,0.00187266,1
32,6,184,691,117.056,0.00185701,1
33,6,184,655,110.05,0.00183975,1
34,6,184,652,135.137,0.0018816,1
35,4,102,268,95.8485,0.000846618,1
36,4,102,261,91.14,0.000845656,1
37,4,102,269,73.732,0.000853992,1
38,4,102,240,131.122,0.00092673,1
39,4,102,282,89.5247,0.000860925,1
40,4,234,843,94.6396,0.00239392,1
41,4,234,855,115.157,0.00236942,1
42,4,234,803,125.308,0.00224121,1
43,4,234,802,108.249,0.00229377,1
44,4,234,846,108.681,0.00226697,1
45,7,190,582,182.137,0.0016432,1
46,7,190,543,124.179,0.00161103,1
47,7,190,565,127.344,0.00166783,1
48,7,190,535,164.603,0.00156226,1
49,7,190,577,177.182,0.00170062,1
50,3,176,604,87.392,0.00173716,1
51,3,176,622,102.83,0.00172145,1
52,3,176,564,98.9826,0.00164233,1
53,3,176,602,137.383,0.00184864,1
54,3,176,629,98.2743,0.00175763,1
55,6,199,680,83.441,0.0019349,1
56,6,199,659,102.575,0.00187564,1
57,6,199,722,100.639,0.00201768,1
58,6,199,651,88.6443,0.00184207,1
59,6,199,683,88.699,0.00193268,1
60,3,211,802,129.777,0.00218395,1
61,3,211,744,105.072,0.00208361,1
62,3,211,755,91.7368,0.00204476,1
63,3,211,779,92.4087,0.00221701,1
64,3,211,740,104.718,0.00217819,1
65,7,100,469,69.84,0.00116435,1
66,7,100,449,115.735,0.00116993,1
67,7,100,451,94.899,0.00117429,1
68,7,100,434,126.182,0.00115179,1
69,7,100,457,92.5918,0.00119912,1
70,7,132,479,132.244,0.0013243,1
71,7,132,507,117.312,0.0014267,1
72,7,132,490,144.191,0.00130898,1
73,7,132,483,144.386,0.00130533,1
74,7,132,461,158.613,0.0013007,1
75,5,193,361,116.374,0.00126114,1
76,5,193,367,146.619,0.00126839,1
77,5,193,378,111.75,0.00129707,1
78,5,193,370,143.397,0.00130277,1
79,5,193,409,138.289,0.00136735,1
80,7,154,577,129.662,0.0016875,1
81,7,154,560,123.51,0.00146284,1
82,7,154,539,158.397,0.00151536,1
83,7,154,569,112.656,0.00157553,1
84,7,154,544,161.15,0.00151423,1
85,5,119,362,144.362,0.00101786,1
86,5,119,353,79.5102,0.00106611,1
87,5,119,342,153.178,0.00100014,1
88,5,119,376,113.564,0.00113291,1
89,5,119,372,122.294,0.0011339,1
90,3,176,413,113.226,0.00134716,1
91,3,176,423,78.6959,0.00134731,1
92,3,176,404,104.277,0.00134925,1
93,3,176,433,113.69,0.00142309,1
94,3,176,421,104.45,0.00137906,1
95,6,136,624,162.731,0.00157645,1
96,6,136,606,143.41,0.00154964,1
97,6,136,593,143.843,0.00163361,1
98,6,136,568,157.474,0.00147897,1
