index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,108,334,107.55,0.0018734,1
1,4,108,372,85.0526,0.00221627,1
2,4,108,384,77.3846,0.00234259,1
3,4,108,361,97.8571,0.00210937,1
4,4,108,344,95.75,0.00191475,1
5,7,257,813,110.895,0.0105564,1
6,7,257,705,121.156,0.0066882,1
7,7,257,679,110.143,0.00632676,1
8,7,257,701,88.1053,0.00663566,1
9,7,257,715,111.219,0.00893416,1
10,6,157,541,90.6842,0.00689773,1
11,6,157,560,104,0.00718276,1
12,6,157,619,89.5106,0.0107801,1
13,6,157,588,78.2,0.00879481,1
14,6,157,559,73.6,0.00882167,1
15,3,230,706,139.667,0.00268813,1
16,3,230,775,87.5667,0.00320507,1
17,3,230,779,117.6,0.00329805,1
18,3,230,770,133.5,0.00322829,1
19,3,230,793,95.56,0.00325345,1
20,5,139,515,99.2195,0.00474324,1
21,5,139,485,94.9737,0.00436003,1
22,5,139,487,93.8529,0.00418366,1
23,5,139,502,88.8108,0.00458611,1
24,5,139,512,65.5,0.00428797,1
25,4,132,363,152.231,0.00165357,1
26,4,132,358,115.789,0.00165109,1
27,4,132,326,114.421,0.00135251,1
28,4,132,333,126.652,0.00140232,1
29,4,132,348,130.421,0.00167853,1
30,6,184,706,82.3617,0.00930563,1
31,6,184,702,111.125,0.00999344,1
32,6,184,691,86.4444,0.00955356,1
33,6,184,655,104.846,0.00751853,1
34,6,184,652,105.558,0.00809127,1
35,4,102,268,91.7368,0.00119023,1
36,4,102,261,114.571,0.00119275,1
37,4,102,269,82,0.00121739,1
38,4,102,240,103,0.00100687,1
39,4,102,282,87.6923,0.0013391,1
40,4,234,843,77.3125,0.00739923,1
41,4,234,855,73.4773,0.00721177,1
42,4,234,803,70.8222,0.00626677,1
43,4,234,802,88.1071,0.00645169,1
44,4,234,846,76.0417,0.00671989,1
45,7,190,582,109.75,0.00679228,1
46,7,190,543,96.8974,0.00483689,1
47,7,190,565,91.3939,0.00650644,1
48,7,190,535,111.5,0.0053611,1
49,7,190,577,114.167,0.00723831,1
50,3,176,604,76.3684,0.00249919,1
51,3,176,622,80.2609,0.0024973,1
52,3,176,564,116.6,0.0022336,1
53,3,176,602,117.826,0.00237214,1
54,3,176,629,85.76,0.00258816,1
55,6,199,680,77.9388,0.00792498,1
56,6,199,659,96.375,0.00887192,1
57,6,199,722,78.6667,0.0107857,1
58,6,199,651,85.5,0.00888992,1
59,6,199,683,85.0526,0.00961624,1
60,3,211,802,119.938,0.00353515,1
61,3,211,744,120.143,0.00320617,1
62,3,211,755,72.5172,0.00310247,1
63,3,211,779,84.7778,0.00335547,1
64,3,211,740,96.1364,0.00304402,1
65,7,100,469,64.0847,0.0091209,1
66,7,100,449,89.625,0.00917528,1
67,7,100,451,61.8276,0.0085408,1
68,7,100,434,85.7414,0.00736286,1
69,7,100,457,66.6066,0.00911338,1
70,7,132,479,74.0172,0.00964043,1
71,7,132,507,83.3448,0.0105178,1
72,7,132,490,102.5,0.00815984,1
73,7,132,483,80.2143,0.00902789,1
74,7,132,461,101.778,0.00908116,1
75,5,193,361,166.632,0.00152494,1
76,5,193,367,162.75,0.00161381,1
77,5,193,378,129.957,0.0017053,1
78,5,193,370,144.083,0.00161475,1
79,5,193,409,141.438,0.00186895,1
80,7,154,577,95.3922,0.0102281,1
81,7,154,560,78.8936,0.00800871,1
82,7,154,539,116.543,0.00776404,1
83,7,154,569,96.3878,0.00988619,1
84,7,154,544,122.429,0.00855936,1
85,5,119,362,89.2727,0.00402141,1
86,5,119,353,72.587,0.00350318,1
87,5,119,342,91.2439,0.0037413,1
88,5,119,376,68.0638,0.00406805,1
89,5,119,372,87.025,0.0039739,1
90,3,176,413,178.182,0.00144185,1
91,3,176,423,209.4,0.00143651,1
92,3,176,404,214.222,0.00139712,1
93,3,176,433,202.273,0.0015489,1
94,3,176,421,209,0.00154149,1
95,6,136,624,88.7458,0.0115027,1
96,6,136,606,84.4717,0.0105173,1
97,6,136,593,83.3542,0.0110438,1
98,6,136,568,91.0364,0.00940985,1
99,6,136,601,84.7091,0.0113349,1
100,6,161,481,98.5185,0.0042696,1
101,6,161,511,123.733,0.00496126,1
102,6,161,512,134.1,0.00528759,1
103,6,161,481,131.462,0.00426565,1
104,6,161,484,129.69,0.00437767,1
105,7,218,875,75.971,0.0227965,1
106,7,218,911,89.2206,0.0235857,1
107,7,218,916,76.4,0.0320698,1
108,7,218,893,92.6032,0.0241235,1
109,7,218,854,66.5147,0.0203979,1
110,4,168,475,88.4815,0.00242099,1
111,4,168,454,114.591,0.00239261,1
112,4,168,491,107.935,0.00271416,1
113,4,168,486,106.111,0.00256413,1
114,4,168,447,107.364,0.00204639,1
115,6,125,476,84.0161,0.00930771,1
116,6,125,514,78.5345,0.0103548,1
117,6,125,494,73.8,0.00882682,1
118,6,125,483,61,0.00901405,1
119,6,125,504,69.8448,0.00969281,1
120,4,203,490,151.533,0.00214599,1
121,4,203,483,140,0.00212521,1
122,4,203,507,157.385,0.00220616,1
123,4,203,519,157.923,0.00238095,1
124,4,203,495,119.077,0.00231156,1
125,4,151,527,83.5,0.00347868,1
126,4,151,504,86.4643,0.00313781,1
127,4,151,509,98.4412,0.00319231,1
128,4,151,543,86,0.00351481,1
129,4,151,498,100.926,0.00310959,1
130,5,243,1016,93.6316,0.011422,1
131,5,243,967,114.088,0.0100696,1
132,5,243,928,108.4,0.00894219,1
133,5,243,942,94.2683,0.00995429,1
134,5,243,971,106.658,0.0113176,1
135,3,230,750,94.2,0.00322158,1
136,3,230,735,114.84,0.00299757,1
137,3,230,772,117.818,0.00338076,1
138,3,230,725,107.727,0.00300059,1
139,3,230,749,110.909,0.00312018,1
140,3,177,505,118.071,0.00193633,1
141,3,177,505,97.6429,0.00188076,1
142,3,177,506,108.2,0.00191862,1
143,3,177,479,123.133,0.00181164,1
144,3,177,487,148.846,0.00173162,1
145,7,105,230,103.382,0.0017992,1
