index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,108,334,233.133,0.00042124,1
1,4,108,372,162,0.000467769,1
2,4,108,384,156.273,0.000497946,1
3,4,108,361,179.067,0.000435487,1
4,4,108,344,191.455,0.000454052,1
5,7,257,813,196.684,0.00209334,1
6,7,257,705,242.312,0.00144201,1
7,7,257,679,237.231,0.00151097,1
8,7,257,701,165.842,0.0017151,1
9,7,257,715,198.714,0.00188938,1
10,6,157,541,174.471,0.00107972,1
11,6,157,560,194.5,0.00129566,1
12,6,157,619,137.655,0.00139057,1
13,6,157,588,153,0.00132286,1
14,6,157,559,145.941,0.00129562,1
15,3,230,706,284.571,0.000632461,1
16,3,230,775,202.077,0.000694368,1
17,3,230,779,220.5,0.000710098,1
18,3,230,770,269.333,0.00069597,1
19,3,230,793,185,0.000719495,1
20,5,139,515,151.043,0.000852168,1
21,5,139,485,134.038,0.000882797,1
22,5,139,487,160.286,0.000847409,1
23,5,139,502,149.364,0.00095784,1
24,5,139,512,117.2,0.000854413,1
25,4,132,363,219.889,0.000445476,1
26,4,132,358,220,0.000438363,1
27,4,132,326,197.636,0.000422001,1
28,4,132,333,323.667,0.000381314,1
29,4,132,348,165.2,0.00044226,1
30,6,184,706,160.84,0.00164042,1
31,6,184,702,196.28,0.00175292,1
32,6,184,691,160.684,0.00168502,1
33,6,184,655,238.538,0.00138361,1
34,6,184,652,186.714,0.00152795,1
35,4,102,268,217.714,0.000364523,1
36,4,102,261,193.4,0.000343743,1
37,4,102,269,132.6,0.000360314,1
38,4,102,240,171.778,0.000319356,1
39,4,102,282,147.545,0.000365193,1
40,4,234,843,166.25,0.0010821,1
41,4,234,855,160.727,0.00112385,1
42,4,234,803,165,0.00101057,1
43,4,234,802,164.467,0.00104376,1
44,4,234,846,148.9,0.00106094,1
45,7,190,582,221.471,0.00157358,1
46,7,190,543,179.941,0.00122843,1
47,7,190,565,170.25,0.00134628,1
48,7,190,535,217.75,0.00130493,1
49,7,190,577,205.5,0.00159756,1
50,3,176,604,188.1,0.000586854,1
51,3,176,622,170.667,0.000541829,1
52,3,176,564,205.5,0.000523464,1
53,3,176,602,204.444,0.000524897,1
54,3,176,629,138.643,0.000565745,1
55,6,199,680,170.524,0.00170253,1
56,6,199,659,179.913,0.00150418,1
57,6,199,722,128.088,0.00170952,1
58,6,199,651,160.238,0.0014782,1
59,6,199,683,159.826,0.00160787,1
60,3,211,802,203.25,0.000687916,1
61,3,211,744,206.2,0.000643071,1
62,3,211,755,186,0.000643762,1
63,3,211,779,188.429,0.000657509,1
64,3,211,740,216.75,0.00064248,1
65,7,100,469,87.775,0.0015352,1
66,7,100,449,124,0.00151058,1
67,7,100,451,87.9512,0.00134925,1
68,7,100,434,115.846,0.00120983,1
69,7,100,457,100.103,0.00149625,1
70,7,132,479,159.476,0.00142143,1
71,7,132,507,150.214,0.00172881,1
72,7,132,490,154.731,0.00133183,1
73,7,132,483,133.548,0.00130511,1
74,7,132,461,176.44,0.00145555,1
75,5,193,361,241.4,0.000491121,1
76,5,193,367,229,0.000532109,1
77,5,193,378,215.111,0.000560033,1
78,5,193,370,233.364,0.000520519,1
79,5,193,409,224.455,0.000618455,1
80,7,154,577,149.667,0.00159148,1
81,7,154,560,132.15,0.00147321,1
82,7,154,539,184.35,0.00146325,1
83,7,154,569,175.074,0.00164157,1
84,7,154,544,198,0.0016125,1
85,5,119,362,149.857,0.000660454,1
86,5,119,353,107.5,0.00070593,1
87,5,119,342,140.478,0.000654403,1
88,5,119,376,120.522,0.000768109,1
89,5,119,372,120.385,0.000772096,1
90,3,176,413,392,0.000472397,1
91,3,176,423,261.75,0.000436659,1
92,3,176,404,331.833,0.000427753,1
93,3,176,433,370.833,0.00043234,1
94,3,176,421,278.667,0.000460835,1
95,6,136,624,135.571,0.00158838,1
96,6,136,606,149.233,0.00161928,1
97,6,136,593,169.56,0.00161797,1
98,6,136,568,149.333,0.00157442,1
99,6,136,601,139.333,0.00177851,1
100,6,161,481,190,0.000968329,1
101,6,161,511,240,0.0011008,1
102,6,161,512,208.235,0.0011316,1
103,6,161,481,170.9,0.000981313,1
104,6,161,484,216.167,0.00100555,1
105,7,218,875,136.312,0.00319576,1
106,7,218,911,151.333,0.00371785,1
107,7,218,916,147.622,0.00412502,1
108,7,218,893,150.703,0.00323655,1
109,7,218,854,141.44,0.0028302,1
110,4,168,475,160.8,0.000603436,1
111,4,168,454,189.417,0.000580522,1
112,4,168,491,201.357,0.00058973,1
113,4,168,486,191.636,0.000623273,1
114,4,168,447,218.111,0.000519877,1
115,6,125,476,130.357,0.00164529,1
116,6,125,514,124.167,0.00143949,1
117,6,125,494,114.917,0.00158714,1
118,6,125,483,113.586,0.00130839,1
119,6,125,504,104.4,0.00149122,1
120,4,203,490,251,0.000712062,1
121,4,203,483,267.667,0.000561476,1
122,4,203,507,257.875,0.000581895,1
123,4,203,519,274.167,0.000614918,1
124,4,203,495,237,0.000614508,1
125,4,151,527,168.5,0.000693918,1
126,4,151,504,172.714,0.000643182,1
127,4,151,509,197.818,0.000675313,1
128,4,151,543,169.471,0.00069519,1
129,4,151,498,182.118,0.000625588,1
130,5,243,1016,178.733,0.00177518,1
131,5,243,967,204.158,0.00161103,1
132,5,243,928,199.684,0.00152376,1
133,5,243,942,216.188,0.00161036,1
134,5,243,971,244,0.00178636,1
135,3,230,750,190.778,0.000675303,1
136,3,230,735,324,0.000618455,1
137,3,230,772,265.571,0.00064781,1
138,3,230,725,214.25,0.000654053,1
139,3,230,749,214,0.00063201,1
140,3,177,505,209.636,0.000472587,1
141,3,177,505,225.333,0.00055321,1
142,3,177,506,232.889,0.000465824,1
143,3,177,479,226.222,0.000440136,1
144,3,177,487,284.556,0.000455465,1
145,7,105,230,187.438,0.000512553,1
146,7,105,203,185.231,0.00042138,1
147,7,105,225,153.455,0.000596743,1
148,7,105,235,176.684,0.000485322,1
149,7,105,233,239.812,0.000540246,1
150,7,118,427,148.444,0.00141437,1
151,7,118,420,188.56,0.00114191,1
152,7,118,418,151.36,0.00168878,1
153,7,118,437,106.091,0.00128691,1
154,7,118,433,197.316,0.00131123,1
155,7,227,908,161.786,0.00309328,1
156,7,227,887,153.514,0.00298818,1
157,7,227,797,159.259,0.00237137,1
158,7,227,905,145.704,0.00269208,1
159,7,227,884,153.12,0.0028764,1
160,7,182,555,142.226,0.00137499,1
161,7,182,544,140.679,0.00133762,1
162,7,182,513,199.609,0.00112251,1
163,7,182,533,185.609,0.00131558,1
164,7,182,535,185.75,0.00139513,1
165,5,139,588,160.292,0.00114277,1
166,5,139,618,139.269,0.00110497,1
167,5,139,592,156.062,0.00113144,1
168,5,139,577,161,0.00113959,1
169,5,139,598,155.348,0.00108205,1
170,3,220,676,209.4,0.000567889,1
171,3,220,710,284.333,0.00062695,1
172,3,220,665,240.125,0.000589289,1
173,3,220,748,216.25,0.000636179,1
174,3,220,768,215.091,0.000674381,1
175,6,181,516,188.941,0.000982025,1
176,6,181,485,273.538,0.000948411,1
