index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,108,334,177.092,0.0411068,1
1,4,108,372,188.633,0.061595,1
2,4,108,384,128.753,0.0472483,1
3,4,108,361,166.134,0.0423034,1
4,4,108,344,169.618,0.0416342,1
5,7,257,813,127.724,0.225743,1
6,7,257,705,129.197,0.209752,1
7,7,257,679,114.426,0.207831,1
8,7,257,701,104.494,0.224741,1
9,7,257,715,130.659,0.226102,1
10,6,157,541,159.119,0.0926559,1
11,6,157,560,149.971,0.087143,1
12,6,157,619,156.477,0.0958658,1
13,6,157,588,123.691,0.0928011,1
14,6,157,559,111.303,0.0917125,1
15,3,230,706,139.667,0.150737,1
16,3,230,775,95.7353,0.176951,1
17,3,230,779,115.116,0.163526,1
18,3,230,770,139.618,0.167405,1
19,3,230,793,106.195,0.161822,1
20,5,139,515,191.296,0.0869245,1
21,5,139,485,149.346,0.0899283,1
22,5,139,487,175.716,0.0893615,1
23,5,139,502,124.284,0.0763358,1
24,5,139,512,102.029,0.0815583,1
25,4,132,363,152.231,0.0488158,1
26,4,132,358,133.202,0.0511873,1
27,4,132,326,140.495,0.0502035,1
28,4,132,333,155.04,0.0488671,1
29,4,132,348,134.292,0.0503529,1
30,6,184,706,132.556,0.117078,1
31,6,184,702,178.038,0.120695,1
32,6,184,691,128.653,0.117867,1
33,6,184,655,120.893,0.113109,1
34,6,184,652,156.096,0.123234,1
35,4,102,268,110.043,0.0341321,1
36,4,102,261,115.848,0.0324407,1
37,4,102,269,81.4459,0.0290765,1
38,4,102,240,155.069,0.034905,1
39,4,102,282,106.2,0.032478,1
40,4,234,843,108.451,0.238077,1
41,4,234,855,129.032,0.217807,1
42,4,234,803,142.028,0.230412,1
43,4,234,802,123.41,0.21161,1
44,4,234,846,127.461,0.214041,1
45,7,190,582,193.093,0.137144,1
46,7,190,543,132.584,0.111635,1
47,7,190,565,135.385,0.121519,1
48,7,190,535,168.784,0.118946,1
49,7,190,577,189.113,0.123622,1
