index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,108,334,242.887,0.0363939,1
1,4,108,372,240.018,0.041159,1
2,4,108,384,180.389,0.0392548,1
3,4,108,361,256.711,0.0410488,1
4,4,108,344,220.45,0.0385843,1
5,7,257,813,185.216,0.203747,1
6,7,257,705,243,0.181912,1
7,7,257,679,158.123,0.187006,1
8,7,257,701,141.567,0.187905,1
9,7,257,715,161.479,0.194031,1
10,6,157,541,206.75,0.0794518,1
11,6,157,560,194.01,0.0764543,1
12,6,157,619,203.148,0.0939024,1
13,6,157,588,162.075,0.0805896,1
14,6,157,559,151.787,0.0781312,1
15,3,230,706,369.9,0.148239,1
16,3,230,775,227.087,0.180767,1
17,3,230,779,256.132,0.165898,1
18,3,230,770,251.08,0.159716,1
19,3,230,793,186.211,0.172902,1
20,5,139,515,277.92,0.0708661,1
21,5,139,485,191.635,0.0738496,1
22,5,139,487,247.043,0.0710507,1
23,5,139,502,185.477,0.0709745,1
24,5,139,512,154.122,0.0685503,1
25,4,132,363,201.5,0.0414952,1
26,4,132,358,210.636,0.0457823,1
27,4,132,326,183.269,0.046467,1
28,4,132,333,364,0.0454331,1
29,4,132,348,188.857,0.0483655,1
30,6,184,706,175.699,0.108185,1
31,6,184,702,244.531,0.115416,1
32,6,184,691,174.774,0.11216,1
33,6,184,655,195.857,0.12002,1
34,6,184,652,221,0.121067,1
35,4,102,268,167.837,0.0277223,1
36,4,102,261,194.7,0.0280366,1
37,4,102,269,117.911,0.028211,1
38,4,102,240,207.378,0.0272937,1
39,4,102,282,199.364,0.0313601,1
40,4,234,843,185.246,0.218501,1
41,4,234,855,216.5,0.214301,1
42,4,234,803,193.584,0.200186,1
43,4,234,802,176.333,0.202392,1
44,4,234,846,177.333,0.206928,1
45,7,190,582,246.162,0.103136,1
46,7,190,543,171.755,0.102036,1
47,7,190,565,177.113,0.101678,1
48,7,190,535,227.215,0.10469,1
49,7,190,577,225.015,0.109221,1
50,3,176,604,166.789,0.0931059,1
51,3,176,622,186.284,0.106734,1
52,3,176,564,199.125,0.0939357,1
53,3,176,602,325.333,0.0959701,1
54,3,176,629,157.523,0.102931,1
55,6,199,680,166,0.133371,1
56,6,199,659,201.851,0.12846,1
57,6,199,722,221.833,0.139909,1
58,6,199,651,143.233,0.127989,1
59,6,199,683,172.288,0.137949,1
