index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,108,334,179.38,0.0487168,1
1,4,108,372,188.633,0.0517662,1
2,4,108,384,126.081,0.0449598,1
3,4,108,361,168.959,0.0518241,1
4,4,108,344,165.581,0.0543906,1
5,7,257,813,129.536,0.410248,1
6,7,257,705,140.485,0.29385,1
7,7,257,679,119.212,0.280048,1
8,7,257,701,102.295,0.293527,1
9,7,257,715,138.962,0.346546,1
10,6,157,541,155.016,0.187431,1
11,6,157,560,147.97,0.192167,1
12,6,157,619,154.634,0.253577,1
13,6,157,588,122.125,0.205488,1
14,6,157,559,110.979,0.164416,1
15,3,230,706,157.938,0.160959,1
16,3,230,775,99.3878,0.23978,1
17,3,230,779,117.6,0.212299,1
18,3,230,770,143.618,0.215465,1
19,3,230,793,109.05,0.221184,1
20,5,139,515,191.576,0.165392,1
21,5,139,485,147.456,0.132313,1
22,5,139,487,175.043,0.1185,1
23,5,139,502,124.284,0.110664,1
24,5,139,512,103.622,0.135647,1
25,4,132,363,152.231,0.0380975,1
26,4,132,358,131.921,0.0548328,1
27,4,132,326,148.67,0.0440641,1
28,4,132,333,158.256,0.0461459,1
29,4,132,348,136.515,0.0527442,1
30,6,184,706,133.045,0.293894,1
31,6,184,702,179.184,0.31216,1
32,6,184,691,126.497,0.318434,1
33,6,184,655,126.226,0.315379,1
34,6,184,652,156.455,0.256605,1
35,4,102,268,113.972,0.0274583,1
36,4,102,261,116.161,0.0276007,1
37,4,102,269,82,0.0256753,1
38,4,102,240,152.453,0.0259403,1
39,4,102,282,105.863,0.0248233,1
40,4,234,843,109.048,0.341749,1
41,4,234,855,131.382,0.357005,1
42,4,234,803,141.788,0.330638,1
43,4,234,802,122.87,0.350383,1
44,4,234,846,127.865,0.334503,1
45,7,190,582,188.094,0.206137,1
46,7,190,543,130.472,0.158799,1
47,7,190,565,133.2,0.148281,1
48,7,190,535,169.261,0.17799,1
49,7,190,577,188.894,0.20558,1
50,3,176,604,106.043,0.122873,1
51,3,176,622,127.632,0.139828,1
52,3,176,564,116.6,0.111173,1
53,3,176,602,177.557,0.128801,1
54,3,176,629,118.5,0.134744,1
55,6,199,680,101.554,0.245769,1
56,6,199,659,130.615,0.266713,1
57,6,199,722,125.567,0.360898,1
58,6,199,651,123.514,0.344222,1
59,6,199,683,117.083,0.340133,1
60,3,211,802,147.353,0.231477,1
61,3,211,744,133.745,0.191228,1
62,3,211,755,108.835,0.191835,1
63,3,211,779,118.042,0.219964,1
64,3,211,740,119.184,0.188231,1
65,7,100,469,85.2923,0.098062,1
66,7,100,449,132.943,0.119674,1
67,7,100,451,107.274,0.145299,1
68,7,100,434,137.346,0.111994,1
69,7,100,457,99.1176,0.12523,1
70,7,132,479,135.95,0.157246,1
71,7,132,507,130.242,0.132479,1
72,7,132,490,164.824,0.144171,1
73,7,132,483,155.948,0.148904,1
74,7,132,461,179.5,0.110921,1
75,5,193,361,166.632,0.0574844,1
76,5,193,367,192.28,0.0549465,1
77,5,193,378,162.647,0.0606063,1
78,5,193,370,166.853,0.0646216,1
79,5,193,409,182.044,0.0649829,1
80,7,154,577,171.01,0.204553,1
81,7,154,560,145.106,0.225406,1
82,7,154,539,203.865,0.236129,1
83,7,154,569,147.829,0.22605,1
84,7,154,544,194.3,0.23995,1
85,5,119,362,185.042,0.0822836,1
86,5,119,353,97.0147,0.0716786,1
87,5,119,342,183.679,0.0666188,1
88,5,119,376,136.329,0.0800467,1
89,5,119,372,171.258,0.082978,1
90,3,176,413,178.182,0.0685007,1
91,3,176,423,209.4,0.0738413,1
92,3,176,404,214.222,0.0676113,1
93,3,176,433,202.273,0.0735602,1
94,3,176,421,209,0.0785115,1
95,6,136,624,187.148,0.288447,1
96,6,136,606,162.8,0.214379,1
97,6,136,593,166.18,0.220275,1
98,6,136,568,180.25,0.186284,1
99,6,136,601,160.722,0.231543,1
100,6,161,481,136.3,0.112689,1
101,6,161,511,173.644,0.154663,1
102,6,161,512,165.286,0.143882,1
103,6,161,481,156.026,0.125799,1
104,6,161,484,176.618,0.135942,1
105,7,218,875,171.508,0.64951,1
106,7,218,911,174.793,0.724096,1
107,7,218,916,151.344,0.623673,1
108,7,218,893,174.559,0.690246,1
109,7,218,854,139.746,0.46973,1
110,4,168,475,132.861,0.09714,1
111,4,168,454,143.847,0.106648,1
112,4,168,491,151.208,0.0864202,1
113,4,168,486,133.756,0.0943271,1
114,4,168,447,156.785,0.0887891,1
115,6,125,476,144.238,0.188192,1
116,6,125,514,114.805,0.200162,1
117,6,125,494,105.644,0.155083,1
118,6,125,483,90.9906,0.128049,1
119,6,125,504,117.419,0.131219,1
120,4,203,490,163.25,0.0961576,1
121,4,203,483,160.333,0.100158,1
122,4,203,507,168.036,0.116733,1
123,4,203,519,177.627,0.105998,1
124,4,203,495,139.802,0.116834,1
125,4,151,527,143.389,0.113431,1
126,4,151,504,179.589,0.101471,1
127,4,151,509,178.341,0.108043,1
128,4,151,543,169.53,0.126406,1
129,4,151,498,195.709,0.101892,1
130,5,243,1016,184.805,0.521708,1
131,5,243,967,189.124,0.562368,1
132,5,243,928,175.477,0.430572,1
133,5,243,942,166.591,0.443542,1
134,5,243,971,180.581,0.482254,1
135,3,230,750,168.917,0.194681,1
136,3,230,735,189.821,0.210392,1
137,3,230,772,201.971,0.225169,1
138,3,230,725,185.846,0.198924,1
139,3,230,749,183.827,0.200392,1
140,3,177,505,147.583,0.0923724,1
141,3,177,505,133.131,0.0975524,1
142,3,177,506,165.067,0.0938751,1
143,3,177,479,124.636,0.0732886,1
144,3,177,487,184.172,0.0781194,1
145,7,105,230,137.013,0.027119,1
146,7,105,203,125.203,0.0181782,1
147,7,105,225,156.442,0.0232957,1
148,7,105,235,154.923,0.0347102,1
149,7,105,233,161.639,0.0303405,1
150,7,118,427,108.696,0.0934086,1
151,7,118,420,165.489,0.100974,1
152,7,118,418,141.272,0.0901026,1
153,7,118,437,103.247,0.117442,1
154,7,118,433,99.7632,0.106763,1
155,7,227,908,109.637,0.600739,1
156,7,227,887,134.278,0.552277,1
157,7,227,797,117.464,0.340987,1
158,7,227,905,135.635,0.651954,1
159,7,227,884,127.08,0.523753,1
160,7,182,555,141.542,0.203918,1
161,7,182,544,126.059,0.190904,1
162,7,182,513,144.513,0.163356,1
163,7,182,533,127.057,0.221945,1
164,7,182,535,135.552,0.187309,1
165,5,139,588,185.028,0.175516,1
166,5,139,618,123.313,0.148672,1
167,5,139,592,129.96,0.174235,1
168,5,139,577,123.58,0.137014,1
169,5,139,598,131.627,0.187505,1
170,3,220,676,142.061,0.168312,1
171,3,220,710,132.009,0.171428,1
172,3,220,665,135.062,0.153367,1
173,3,220,748,153.762,0.231637,1
174,3,220,768,107.8,0.187542,1
175,6,181,516,132.47,0.13551,1
176,6,181,485,127.048,0.127712,1
177,6,181,511,122.413,0.113056,1
178,6,181,474,106.2,0.0945068,1
179,6,181,494,119.165,0.126344,1
180,7,225,844,178.954,0.556446,1
181,7,225,858,158.924,0.57686,1
182,7,225,819,202.368,0.489998,1
183,7,225,861,162.39,0.518859,1
184,7,225,811,147.513,0.45385,1
185,7,237,616,124.703,0.244527,1
186,7,237,644,98.7708,0.22511,1
187,7,237,633,128.506,0.248988,1
188,7,237,643,118.836,0.26024,1
189,7,237,643,148,0.269073,1
190,5,250,908,163.476,0.479427,1
191,5,250,840,170.573,0.35266,1
192,5,250,894,156.168,0.421219,1
193,5,250,966,161.469,0.541419,1
194,5,250,891,165.104,0.434885,1
195,7,119,537,135.306,0.155981,1
196,7,119,549,156.68,0.192293,1
197,7,119,534,171,0.170711,1
198,7,119,534,159.17,0.122283,1
199,7,119,557,108.037,0.164275,1
200,6,245,772,131.346,0.31281,1
201,6,245,844,157.137,0.417983,1
202,6,245,787,139.969,0.322194,1
203,6,245,799,148.167,0.401292,1
204,6,245,839,164.222,0.449268,1
205,7,153,442,139.268,0.0979663,1
206,7,153,480,146,0.17276,1
207,7,153,454,106,0.110572,1
208,7,153,486,123.972,0.122441,1
209,7,153,464,137.298,0.139352,1
210,4,155,471,112.294,0.101802,1
211,4,155,548,175.822,0.154306,1
212,4,155,567,147.299,0.136848,1
213,4,155,582,132.697,0.136458,1
214,4,155,519,104.522,0.113172,1
215,7,132,412,118.073,0.119613,1
216,7,132,425,105.306,0.103332,1
217,7,132,458,127.956,0.113519,1
218,7,132,446,105.638,0.112484,1
219,7,132,451,135.558,0.115352,1
220,7,208,599,131.95,0.225016,1
221,7,208,595,122.111,0.244059,1
222,7,208,616,119.007,0.266653,1
223,7,208,615,131.161,0.248882,1
224,7,208,598,112.056,0.186728,1
225,4,212,491,183.833,0.0931354,1
226,4,212,482,122.308,0.120326,1
227,4,212,496,148.235,0.10813,1
228,4,212,513,127.125,0.109138,1
229,4,212,524,179.241,0.127926,1
230,3,155,580,129.163,0.112524,1
231,3,155,629,134.299,0.126372,1
232,3,155,588,143.613,0.10358,1
233,3,155,570,150.059,0.105318,1
234,3,155,605,118.279,0.10286,1
235,7,222,1125,126.937,0.904181,1
236,7,222,1133,120.058,0.815643,1
237,7,222,1128,129.15,1.02101,1
238,7,222,1080,134.887,0.95948,1
239,7,222,1108,126.405,1.00805,1
240,3,127,341,167,0.040727,1
241,3,127,322,211.556,0.0377827,1
242,3,127,380,154.382,0.059163,1
243,3,127,367,142.179,0.0411289,1
244,3,127,364,162.568,0.0450378,1
245,4,218,419,307.1,0.087709,1
246,4,218,477,199.4,0.105369,1
247,4,218,414,206.214,0.0745018,1
248,4,218,446,200.111,0.0822197,1
249,4,218,456,160.813,0.097867,1
250,7,121,567,146.773,0.257283,1
251,7,121,592,115.935,0.181796,1
252,7,121,607,113.402,0.320015,1
253,7,121,589,122.344,0.256955,1
254,7,121,624,91.1059,0.229466,1
