index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,108,334,273.933,0.0060052,1
1,4,108,372,230.431,0.00593941,1
2,4,108,384,178.455,0.00727843,1
3,4,108,361,285.522,0.0062551,1
4,4,108,344,217.833,0.0065178,1
5,7,257,813,221.375,0.0899968,1
6,7,257,705,289.75,0.0654272,1
7,7,257,679,237.231,0.0577345,1
8,7,257,701,196.634,0.0598767,1
9,7,257,715,238.87,0.0714254,1
10,6,157,541,216,0.0253988,1
11,6,157,560,232.4,0.0274339,1
12,6,157,619,218.364,0.0395516,1
13,6,157,588,172.424,0.0320336,1
14,6,157,559,169.8,0.0292126,1
15,3,230,706,306.9,0.0185534,1
16,3,230,775,275.85,0.0237599,1
17,3,230,779,251.524,0.022958,1
18,3,230,770,342.9,0.0227877,1
19,3,230,793,234.826,0.021293,1
20,5,139,515,298.947,0.0206346,1
21,5,139,485,205.409,0.0197782,1
22,5,139,487,243.516,0.0181381,1
23,5,139,502,185.477,0.0150855,1
24,5,139,512,169.086,0.019515,1
25,4,132,363,226.556,0.0075499,1
26,4,132,358,253.526,0.00789458,1
27,4,132,326,206.139,0.0067842,1
28,4,132,333,381.545,0.00741929,1
29,4,132,348,213.185,0.00735017,1
30,6,184,706,190,0.0496921,1
31,6,184,702,263.738,0.0503232,1
32,6,184,691,174.178,0.0495309,1
33,6,184,655,240.385,0.0908583,1
34,6,184,652,280.861,0.0465671,1
35,4,102,268,230.143,0.00451699,1
36,4,102,261,205.786,0.00566849,1
37,4,102,269,138.2,0.00466367,1
38,4,102,240,222.811,0.00486989,1
39,4,102,282,180.212,0.00491446,1
40,4,234,843,236.938,0.0347039,1
41,4,234,855,265.273,0.0448523,1
42,4,234,803,252.45,0.0338605,1
43,4,234,802,189.323,0.0334189,1
44,4,234,846,188.846,0.0322177,1
45,7,190,582,325.542,0.0528282,1
46,7,190,543,191.85,0.0353483,1
47,7,190,565,199.569,0.0382408,1
48,7,190,535,237.649,0.0439723,1
49,7,190,577,244.625,0.0457019,1
50,3,176,604,348.3,0.0142361,1
51,3,176,622,204.727,0.0152153,1
52,3,176,564,274.429,0.012432,1
53,3,176,602,336.185,0.0142024,1
54,3,176,629,185.385,0.0148583,1
55,6,199,680,204.067,0.0431077,1
56,6,199,659,223.911,0.046282,1
57,6,199,722,220.771,0.0534836,1
58,6,199,651,202.043,0.0641926,1
59,6,199,683,178,0.0556283,1
60,3,211,802,326.5,0.0222696,1
61,3,211,744,357.1,0.0184691,1
62,3,211,755,186.8,0.0185746,1
63,3,211,779,195.571,0.0218446,1
64,3,211,740,294.571,0.0194728,1
65,7,100,469,120.233,0.0162373,1
66,7,100,449,180.529,0.0120606,1
67,7,100,451,137.07,0.0150387,1
68,7,100,434,166.745,0.0147717,1
69,7,100,457,143.469,0.0214228,1
70,7,132,479,206.346,0.0213466,1
71,7,132,507,171.114,0.0207604,1
72,7,132,490,220.875,0.0240148,1
73,7,132,483,210.46,0.0233585,1
74,7,132,461,272.068,0.0177353,1
75,5,193,361,255.29,0.0109811,1
76,5,193,367,251.722,0.012142,1
77,5,193,378,220.4,0.0123692,1
78,5,193,370,243.077,0.0111574,1
79,5,193,409,284.267,0.0136012,1
80,7,154,577,217.808,0.0342579,1
81,7,154,560,213.339,0.0293614,1
82,7,154,539,280.425,0.0398674,1
83,7,154,569,199.098,0.0432405,1
84,7,154,544,262.982,0.0388632,1
85,5,119,362,275.906,0.00746912,1
86,5,119,353,133.5,0.00615589,1
87,5,119,342,270.436,0.00736699,1
88,5,119,376,181.833,0.0113582,1
89,5,119,372,212.902,0.0112353,1
90,3,176,413,392,0.00877119,1
91,3,176,423,261.75,0.0107098,1
92,3,176,404,340,0.0111857,1
93,3,176,433,370.833,0.0107252,1
94,3,176,421,333.353,0.0109913,1
95,6,136,624,256.467,0.0263078,1
96,6,136,606,203.919,0.027535,1
97,6,136,593,216.636,0.0247252,1
98,6,136,568,239.69,0.0214691,1
99,6,136,601,231.222,0.0283254,1
100,6,161,481,252.786,0.0228008,1
101,6,161,511,363.591,0.0251899,1
102,6,161,512,315.545,0.0259271,1
103,6,161,481,216.382,0.0246647,1
104,6,161,484,286.171,0.0255623,1
105,7,218,875,218.333,0.0892193,1
106,7,218,911,214.99,0.0725694,1
107,7,218,916,221.321,0.0963437,1
108,7,218,893,227.159,0.0690844,1
109,7,218,854,192.042,0.0734194,1
110,4,168,475,211.829,0.0143757,1
111,4,168,454,235.28,0.0139725,1
112,4,168,491,231.098,0.0120757,1
113,4,168,486,219.727,0.0120488,1
114,4,168,447,360.222,0.0136834,1
115,6,125,476,211.18,0.0256754,1
116,6,125,514,157.679,0.0228116,1
117,6,125,494,146.175,0.0231762,1
118,6,125,483,143.931,0.0198817,1
119,6,125,504,205,0.0224083,1
120,4,203,490,251.833,0.014983,1
121,4,203,483,312.583,0.0151384,1
122,4,203,507,295.444,0.0190542,1
123,4,203,519,274.167,0.0168735,1
124,4,203,495,257.448,0.0178124,1
125,4,151,527,210.889,0.0117982,1
126,4,151,504,291.172,0.0147476,1
127,4,151,509,234.688,0.013827,1
128,4,151,543,226.071,0.0142232,1
129,4,151,498,228,0.0127182,1
130,5,243,1016,288.173,0.0687197,1
131,5,243,967,261.315,0.0610724,1
132,5,243,928,254.26,0.0574015,1
133,5,243,942,265.897,0.058599,1
134,5,243,971,320.03,0.0662565,1
135,3,230,750,291.192,0.0232199,1
136,3,230,735,331.167,0.0224952,1
137,3,230,772,452.286,0.0225731,1
138,3,230,725,318.408,0.0237638,1
139,3,230,749,411.8,0.0219048,1
140,3,177,505,261.786,0.0120801,1
141,3,177,505,225.333,0.0146045,1
142,3,177,506,311,0.0135441,1
143,3,177,479,295.333,0.0100094,1
144,3,177,487,350.381,0.0120662,1
145,7,105,230,223.062,0.00878639,1
146,7,105,203,211,0.00555887,1
147,7,105,225,200.415,0.00675445,1
148,7,105,235,211.643,0.00792209,1
149,7,105,233,277.652,0.00950278,1
150,7,118,427,158.714,0.0300444,1
151,7,118,420,243.769,0.0192866,1
152,7,118,418,212.717,0.0158307,1
153,7,118,437,137.829,0.0218711,1
154,7,118,433,199.053,0.0271582,1
155,7,227,908,174.812,0.105673,1
156,7,227,887,172.943,0.0766233,1
