index,nrLayers,nrNodes,oddsSet1,edgeDegree1,edgeDegree2,edgeDegreeCross
0,4,108,0.474146,4.74098,1.5168,1.10923
1,4,108,0.474146,4.74098,1.5168,1.10923
2,4,108,0.474146,4.74098,1.5168,1.10923
3,4,108,0.474146,4.74098,1.5168,1.10923
4,4,108,0.474146,4.74098,1.5168,1.10923
5,7,257,0.397682,1.40419,2.52936,1.15543
6,7,257,0.397682,1.40419,2.52936,1.15543
7,7,257,0.397682,1.40419,2.52936,1.15543
8,7,257,0.397682,1.40419,2.52936,1.15543
9,7,257,0.397682,1.40419,2.52936,1.15543
10,6,157,0.403684,3.18987,1.742,1.98715
11,6,157,0.403684,3.18987,1.742,1.98715
12,6,157,0.403684,3.18987,1.742,1.98715
13,6,157,0.403684,3.18987,1.742,1.98715
14,6,157,0.403684,3.18987,1.742,1.98715
15,3,230,0.316148,3.92256,2.8461,1.74726
16,3,230,0.316148,3.92256,2.8461,1.74726
17,3,230,0.316148,3.92256,2.8461,1.74726
18,3,230,0.316148,3.92256,2.8461,1.74726
19,3,230,0.316148,3.92256,2.8461,1.74726
20,5,139,0.331662,4.43968,3.19984,0.755261
21,5,139,0.331662,4.43968,3.19984,0.755261
22,5,139,0.331662,4.43968,3.19984,0.755261
23,5,139,0.331662,4.43968,3.19984,0.755261
24,5,139,0.331662,4.43968,3.19984,0.755261
25,4,132,0.382847,1.53593,1.7402,1.82906
26,4,132,0.382847,1.53593,1.7402,1.82906
27,4,132,0.382847,1.53593,1.7402,1.82906
28,4,132,0.382847,1.53593,1.7402,1.82906
29,4,132,0.382847,1.53593,1.7402,1.82906
30,6,184,0.415968,3.21461,2.49982,1.62462
31,6,184,0.415968,3.21461,2.49982,1.62462
32,6,184,0.415968,3.21461,2.49982,1.62462
33,6,184,0.415968,3.21461,2.49982,1.62462
34,6,184,0.415968,3.21461,2.49982,1.62462
35,4,102,0.356937,1.42013,1.63397,1.75718
36,4,102,0.356937,1.42013,1.63397,1.75718
37,4,102,0.356937,1.42013,1.63397,1.75718
38,4,102,0.356937,1.42013,1.63397,1.75718
39,4,102,0.356937,1.42013,1.63397,1.75718
40,4,234,0.328833,5.01585,1.41403,1.94122
41,4,234,0.328833,5.01585,1.41403,1.94122
42,4,234,0.328833,5.01585,1.41403,1.94122
43,4,234,0.328833,5.01585,1.41403,1.94122
44,4,234,0.328833,5.01585,1.41403,1.94122
45,7,190,0.492045,1.40747,1.47104,1.99438
46,7,190,0.492045,1.40747,1.47104,1.99438
47,7,190,0.492045,1.40747,1.47104,1.99438
48,7,190,0.492045,1.40747,1.47104,1.99438
49,7,190,0.492045,1.40747,1.47104,1.99438
50,3,176,0.340911,4.08212,2.74961,1.78073
51,3,176,0.340911,4.08212,2.74961,1.78073
52,3,176,0.340911,4.08212,2.74961,1.78073
53,3,176,0.340911,4.08212,2.74961,1.78073
54,3,176,0.340911,4.08212,2.74961,1.78073
55,6,199,0.304587,3.53434,2.44416,1.11543
56,6,199,0.304587,3.53434,2.44416,1.11543
57,6,199,0.304587,3.53434,2.44416,1.11543
58,6,199,0.304587,3.53434,2.44416,1.11543
59,6,199,0.304587,3.53434,2.44416,1.11543
60,3,211,0.403095,4.67275,2.59949,1.8959
61,3,211,0.403095,4.67275,2.59949,1.8959
62,3,211,0.403095,4.67275,2.59949,1.8959
63,3,211,0.403095,4.67275,2.59949,1.8959
64,3,211,0.403095,4.67275,2.59949,1.8959
65,7,100,0.35182,4.24252,3.00624,1.53388
66,7,100,0.35182,4.24252,3.00624,1.53388
67,7,100,0.35182,4.24252,3.00624,1.53388
68,7,100,0.35182,4.24252,3.00624,1.53388
69,7,100,0.35182,4.24252,3.00624,1.53388
70,7,132,0.48455,4.13499,1.00554,1.40558
71,7,132,0.48455,4.13499,1.00554,1.40558
72,7,132,0.48455,4.13499,1.00554,1.40558
73,7,132,0.48455,4.13499,1.00554,1.40558
74,7,132,0.48455,4.13499,1.00554,1.40558
75,5,193,0.496294,1.29028,1.99736,0.848145
76,5,193,0.496294,1.29028,1.99736,0.848145
77,5,193,0.496294,1.29028,1.99736,0.848145
78,5,193,0.496294,1.29028,1.99736,0.848145
