index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,193,993,206.174,0.0301061,1
1,4,193,1041,275.159,0.0349134,1
2,4,193,1033,178.763,0.0347637,1
3,4,193,1067,219.211,0.0368128,1
4,4,193,973,253.818,0.0336726,1
5,10,1766,7880,219.657,13.4289,1
6,10,1766,7862,180.026,11.8995,1
7,10,1766,7879,179.319,12.7817,1
8,10,1766,7819,177.809,12.0437,1
9,10,1766,7816,239.091,13.2605,1
10,9,702,4346,151.987,2.83976,1
11,9,702,4465,147.818,2.45711,1
12,9,702,4571,155.751,2.71158,1
13,9,702,4512,163.16,2.94304,1
14,9,702,4493,153.128,2.78869,1
15,4,1474,9270,210.351,2.25437,1
16,4,1474,9292,199.896,2.35184,1
17,4,1474,9322,267.938,2.29481,1
18,4,1474,9270,157.208,2.59572,1
19,4,1474,9225,205.676,2.3359,1
20,6,512,3022,215.817,0.707821,1
21,6,512,3139,182.026,0.92044,1
22,6,512,3087,219.871,0.691474,1
23,6,512,3132,233.788,0.804358,1
24,6,512,3098,230.135,0.75766,1
25,5,447,1883,206.263,0.231398,1
26,5,447,2074,233.195,0.2173,1
27,5,447,2014,215.577,0.217458,1
28,5,447,1988,206.468,0.210043,1
29,5,447,1900,169.175,0.207444,1
30,8,990,6432,174.273,4.3451,1
31,8,990,6357,184.193,4.69319,1
32,8,990,6388,142.714,4.67032,1
33,8,990,6380,180.291,4.64237,1
34,8,990,6209,222.206,4.2663,1
35,5,124,514,155.714,0.0115714,1
36,5,124,516,137.5,0.0141757,1
37,5,124,514,130.541,0.0156426,1
38,5,124,504,189.667,0.012651,1
39,5,124,510,166.455,0.0166799,1
40,5,1517,9267,195.575,5.09055,1
41,5,1517,9268,168.705,5.19925,1
42,5,1517,9310,176.333,5.11043,1
43,5,1517,9385,149.913,4.78149,1
44,5,1517,9206,173.765,4.81338,1
45,10,1054,5168,211.642,4.97764,1
46,10,1054,5161,158.13,4.95635,1
47,10,1054,5061,206.574,4.15485,1
48,10,1054,5084,172.24,4.50279,1
49,10,1054,5045,198.755,4.14337,1
50,3,912,5219,192.958,0.520837,1
51,3,912,5224,234.37,0.489939,1
52,3,912,5082,210.405,0.48867,1
53,3,912,5144,258.97,0.499751,1
54,3,912,5258,255.314,0.502044,1
55,9,1148,6304,183.409,6.19524,1
56,9,1148,6422,178.748,6.69798,1
57,9,1148,6426,164.528,6.79812,1
58,9,1148,6382,173.973,7.15589,1
59,9,1148,6453,160.713,7.0166,1
60,3,1275,7744,255.5,0.956658,1
61,3,1275,8010,188.97,1.04251,1
62,3,1275,7765,270.389,1.01918,1
63,3,1275,7950,306.217,1.00834,1
64,3,1275,7805,191.855,0.990967,1
65,10,109,688,173.637,0.0176085,1
66,10,109,722,96.3467,0.0556846,1
67,10,109,715,161.822,0.0182418,1
68,10,109,710,124.625,0.0340096,1
