index,nrLayers,nrNodes,oddsSet1,edgeDegree1,edgeDegree2,edgeDegreeCross
0,4,193,0.474146,8.48195,2.0336,1.65484
1,4,193,0.474146,8.48195,2.0336,1.65484
2,4,193,0.474146,8.48195,2.0336,1.65484
3,4,193,0.474146,8.48195,2.0336,1.65484
4,4,193,0.474146,8.48195,2.0336,1.65484
5,10,1766,0.397682,1.80839,4.05872,1.75054
6,10,1766,0.397682,1.80839,4.05872,1.75054
7,10,1766,0.397682,1.80839,4.05872,1.75054
8,10,1766,0.397682,1.80839,4.05872,1.75054
9,10,1766,0.397682,1.80839,4.05872,1.75054
10,9,702,0.403684,5.37974,2.484,3.47338
11,9,702,0.403684,5.37974,2.484,3.47338
12,9,702,0.403684,5.37974,2.484,3.47338
13,9,702,0.403684,5.37974,2.484,3.47338
14,9,702,0.403684,5.37974,2.484,3.47338
15,4,1474,0.316148,6.84513,4.6922,2.97647
16,4,1474,0.316148,6.84513,4.6922,2.97647
17,4,1474,0.316148,6.84513,4.6922,2.97647
18,4,1474,0.316148,6.84513,4.6922,2.97647
19,4,1474,0.316148,6.84513,4.6922,2.97647
20,6,512,0.331662,7.87935,5.39969,0.921612
21,6,512,0.331662,7.87935,5.39969,0.921612
22,6,512,0.331662,7.87935,5.39969,0.921612
23,6,512,0.331662,7.87935,5.39969,0.921612
24,6,512,0.331662,7.87935,5.39969,0.921612
25,5,447,0.382847,2.07186,2.4804,3.14592
26,5,447,0.382847,2.07186,2.4804,3.14592
27,5,447,0.382847,2.07186,2.4804,3.14592
28,5,447,0.382847,2.07186,2.4804,3.14592
29,5,447,0.382847,2.07186,2.4804,3.14592
30,8,990,0.415968,5.42922,3.99965,2.72243
31,8,990,0.415968,5.42922,3.99965,2.72243
32,8,990,0.415968,5.42922,3.99965,2.72243
33,8,990,0.415968,5.42922,3.99965,2.72243
34,8,990,0.415968,5.42922,3.99965,2.72243
35,5,124,0.356937,1.84027,2.26794,2.99701
36,5,124,0.356937,1.84027,2.26794,2.99701
37,5,124,0.356937,1.84027,2.26794,2.99701
38,5,124,0.356937,1.84027,2.26794,2.99701
39,5,124,0.356937,1.84027,2.26794,2.99701
40,5,1517,0.328833,9.0317,1.82806,3.37824
41,5,1517,0.328833,9.0317,1.82806,3.37824
42,5,1517,0.328833,9.0317,1.82806,3.37824
43,5,1517,0.328833,9.0317,1.82806,3.37824
44,5,1517,0.328833,9.0317,1.82806,3.37824
45,10,1054,0.492045,1.81494,1.94207,3.48837
46,10,1054,0.492045,1.81494,1.94207,3.48837
47,10,1054,0.492045,1.81494,1.94207,3.48837
48,10,1054,0.492045,1.81494,1.94207,3.48837
49,10,1054,0.492045,1.81494,1.94207,3.48837
50,3,912,0.340911,7.16424,4.49922,3.04579
51,3,912,0.340911,7.16424,4.49922,3.04579
52,3,912,0.340911,7.16424,4.49922,3.04579
53,3,912,0.340911,7.16424,4.49922,3.04579
54,3,912,0.340911,7.16424,4.49922,3.04579
55,9,1148,0.304587,6.06869,3.88831,1.66767
56,9,1148,0.304587,6.06869,3.88831,1.66767
57,9,1148,0.304587,6.06869,3.88831,1.66767
58,9,1148,0.304587,6.06869,3.88831,1.66767
59,9,1148,0.304587,6.06869,3.88831,1.66767
60,3,1275,0.403095,8.34551,4.19898,3.28437
61,3,1275,0.403095,8.34551,4.19898,3.28437
62,3,1275,0.403095,8.34551,4.19898,3.28437
63,3,1275,0.403095,8.34551,4.19898,3.28437
64,3,1275,0.403095,8.34551,4.19898,3.28437
65,10,109,0.35182,7.48504,5.01248,2.53447
66,10,109,0.35182,7.48504,5.01248,2.53447
67,10,109,0.35182,7.48504,5.01248,2.53447
68,10,109,0.35182,7.48504,5.01248,2.53447
69,10,109,0.35182,7.48504,5.01248,2.53447
70,9,439,0.48455,7.26998,1.01107,2.2687
71,9,439,0.48455,7.26998,1.01107,2.2687
72,9,439,0.48455,7.26998,1.01107,2.2687
73,9,439,0.48455,7.26998,1.01107,2.2687
74,9,439,0.48455,7.26998,1.01107,2.2687
75,6,1086,0.496294,1.58056,2.99472,1.11401
76,6,1086,0.496294,1.58056,2.99472,1.11401
77,6,1086,0.496294,1.58056,2.99472,1.11401
78,6,1086,0.496294,1.58056,2.99472,1.11401
79,6,1086,0.496294,1.58056,2.99472,1.11401
80,9,680,0.409291,6.47832,4.85427,1.16688
81,9,680,0.409291,6.47832,4.85427,1.16688
82,9,680,0.409291,6.47832,4.85427,1.16688
83,9,680,0.409291,6.47832,4.85427,1.16688
84,9,680,0.409291,6.47832,4.85427,1.16688
85,6,306,0.305822,9.41212,1.43263,1.50184
86,6,306,0.305822,9.41212,1.43263,1.50184
87,6,306,0.305822,9.41212,1.43263,1.50184
88,6,306,0.305822,9.41212,1.43263,1.50184
89,6,306,0.305822,9.41212,1.43263,1.50184
90,3,906,0.350249,1.5599,5.82458,1.3985
91,3,906,0.350249,1.5599,5.82458,1.3985
92,3,906,0.350249,1.5599,5.82458,1.3985
93,3,906,0.350249,1.5599,5.82458,1.3985
94,3,906,0.350249,1.5599,5.82458,1.3985
95,8,484,0.463332,9.48748,3.83041,1.6941
96,8,484,0.463332,9.48748,3.83041,1.6941
97,8,484,0.463332,9.48748,3.83041,1.6941
98,8,484,0.463332,9.48748,3.83041,1.6941
99,8,484,0.463332,9.48748,3.83041,1.6941
100,8,753,0.46238,3.71802,5.63341,1.16588
101,8,753,0.46238,3.71802,5.63341,1.16588
102,8,753,0.46238,3.71802,5.63341,1.16588
103,8,753,0.46238,3.71802,5.63341,1.16588
104,8,753,0.46238,3.71802,5.63341,1.16588
105,10,1352,0.464962,9.34572,1.47101,2.58428
106,10,1352,0.464962,9.34572,1.47101,2.58428
107,10,1352,0.464962,9.34572,1.47101,2.58428
108,10,1352,0.464962,9.34572,1.47101,2.58428
109,10,1352,0.464962,9.34572,1.47101,2.58428
110,5,821,0.307102,6.09716,3.73179,1.22344
111,5,821,0.307102,6.09716,3.73179,1.22344
112,5,821,0.307102,6.09716,3.73179,1.22344
113,5,821,0.307102,6.09716,3.73179,1.22344
114,5,821,0.307102,6.09716,3.73179,1.22344
115,9,367,0.310229,8.52233,1.94334,3.05066
116,9,367,0.310229,8.52233,1.94334,3.05066
117,9,367,0.310229,8.52233,1.94334,3.05066
118,9,367,0.310229,8.52233,1.94334,3.05066
119,9,367,0.310229,8.52233,1.94334,3.05066
120,5,1194,0.348858,2.20817,4.97544,1.1125
121,5,1194,0.348858,2.20817,4.97544,1.1125
122,5,1194,0.348858,2.20817,4.97544,1.1125
123,5,1194,0.348858,2.20817,4.97544,1.1125
124,5,1194,0.348858,2.20817,4.97544,1.1125
125,5,642,0.427776,9.60444,3.46708,1.2571
126,5,642,0.427776,9.60444,3.46708,1.2571
127,5,642,0.427776,9.60444,3.46708,1.2571
128,5,642,0.427776,9.60444,3.46708,1.2571
129,5,642,0.427776,9.60444,3.46708,1.2571
130,7,1615,0.48786,9.39335,5.7177,0.846805
131,7,1615,0.48786,9.39335,5.7177,0.846805
132,7,1615,0.48786,9.39335,5.7177,0.846805
133,7,1615,0.48786,9.39335,5.7177,0.846805
134,7,1615,0.48786,9.39335,5.7177,0.846805
135,3,1480,0.468711,9.94988,2.73014,1.6229
136,3,1480,0.468711,9.94988,2.73014,1.6229
137,3,1480,0.468711,9.94988,2.73014,1.6229
138,3,1480,0.468711,9.94988,2.73014,1.6229
139,3,1480,0.468711,9.94988,2.73014,1.6229
140,3,923,0.376682,7.67917,3.55177,1.68105
141,3,923,0.376682,7.67917,3.55177,1.68105
142,3,923,0.376682,7.67917,3.55177,1.68105
143,3,923,0.376682,7.67917,3.55177,1.68105
144,3,923,0.376682,7.67917,3.55177,1.68105
145,10,159,0.374303,2.37397,1.06185,1.53292
146,10,159,0.374303,2.37397,1.06185,1.53292
