index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
685,4,230,1119,84.1176,0.00913885,1
686,4,230,1091,93.8889,0.00805294,1
687,4,230,1071,80.561,0.00718479,1
688,4,230,1058,77.775,0.00757013,1
689,4,230,1059,72.85,0.00762816,1
690,3,1406,7612,101.778,0.0589296,1
691,3,1406,7595,77.68,0.0587779,1
692,3,1406,7528,81.75,0.0578175,1
693,3,1406,7522,80.3429,0.0576204,1
694,3,1406,7648,83.871,0.0643555,1
695,10,251,2116,46.9671,0.224808,1
696,10,251,2089,48.3916,0.190604,1
697,10,251,2126,43.6966,0.219369,1
698,10,251,2166,48.9067,0.213621,1
699,10,251,2117,49.3766,0.195171,1
700,3,1498,7449,103.522,0.0557458,1
701,3,1498,7253,124.214,0.0589979,1
702,3,1498,7452,95.9,0.056754,1
703,3,1498,7184,91.0833,0.0516474,1
704,3,1498,7507,110.708,0.0551497,1
705,10,1676,5320,114.333,0.15244,1
706,10,1676,5549,114.662,0.158446,1
707,10,1676,5522,100.625,0.15314,1
708,10,1676,5455,103.344,0.161659,1
709,10,1676,5546,106.167,0.171437,1
710,7,413,2739,46.7568,0.159687,1
711,7,413,2734,50.6726,0.202387,1
712,7,413,2598,50.9,0.139837,1
713,7,413,2645,60.2526,0.147175,1
714,7,413,2613,48.3086,0.154401,1
715,6,629,3594,67.1912,0.124684,1
716,6,629,3631,62.0235,0.117579,1
717,6,629,3627,66.0595,0.125874,1
718,6,629,3691,59.6353,0.13454,1
719,6,629,3715,56.85,0.164642,1
720,6,1707,7549,73.0625,0.29112,1
721,6,1707,7481,71.6269,0.321325,1
722,6,1707,7579,62.3294,0.291688,1
723,6,1707,7491,82.8627,0.291396,1
724,6,1707,7570,66.0227,0.281562,1
725,3,1070,3848,86.7,0.0274999,1
726,3,1070,3819,82.7812,0.0273344,1
727,3,1070,3775,82.1852,0.0272613,1
728,3,1070,3824,84.8333,0.0273927,1
729,3,1070,3842,77.6364,0.0276744,1
730,5,518,1715,152.64,0.0143206,1
731,5,518,1799,135.818,0.0160994,1
732,5,518,1736,150.32,0.015646,1
733,5,518,1794,147,0.0155175,1
734,5,518,1849,162.5,0.0173253,1
735,8,734,3448,74.3378,0.0997043,1
736,8,734,3342,82.1607,0.0976237,1
737,8,734,3371,75.4487,0.0902548,1
738,8,734,3429,83.3333,0.123017,1
739,8,734,3591,84.7229,0.116117,1
740,7,1767,5251,113.152,0.0938446,1
741,7,1767,5271,117.455,0.0966869,1
742,7,1767,5311,106.914,0.107424,1
743,7,1767,5334,101.095,0.100702,1
744,7,1767,5292,116.06,0.0992309,1
745,6,121,792,53.2368,0.0169863,1
746,6,121,772,68.25,0.015249,1
747,6,121,774,66.8594,0.0159306,1
748,6,121,727,61.7671,0.0151686,1
749,6,121,760,64.2333,0.0183107,1
750,5,1193,5102,58.2763,0.144287,1
751,5,1193,5187,58.0444,0.153332,1
752,5,1193,5184,62.7021,0.152951,1
753,5,1193,5100,62.9677,0.149663,1
754,5,1193,5137,65.3208,0.140767,1
755,9,681,2355,118.727,0.082671,1
756,9,681,2404,142.926,0.084178,1
757,9,681,2406,126.833,0.0851402,1
758,9,681,2466,147.359,0.0917186,1
759,9,681,2430,122.158,0.0970473,1
760,7,221,997,76.1364,0.025828,1
