index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
685,4,230,1119,138.529,0.00134268,1
686,4,230,1091,276,0.00128513,1
687,4,230,1071,152.421,0.001217,1
688,4,230,1058,128.875,0.00126017,1
689,4,230,1059,131.706,0.00129283,1
690,3,1406,7612,189.429,0.00559426,1
691,3,1406,7595,176.545,0.00689089,1
692,3,1406,7528,183.6,0.00537824,1
693,3,1406,7522,195,0.00522742,1
694,3,1406,7648,194.231,0.00610128,1
695,10,251,2116,67.7255,0.0232406,1
696,10,251,2089,70.0481,0.0222464,1
697,10,251,2126,61.7,0.0247824,1
698,10,251,2166,66.3119,0.0236859,1
699,10,251,2117,70.8,0.0231882,1
700,3,1498,7449,200.167,0.00538054,1
701,3,1498,7253,289.833,0.00565007,1
702,3,1498,7452,192.75,0.00576796,1
703,3,1498,7184,208.875,0.00512828,1
704,3,1498,7507,193.667,0.00529834,1
705,10,1676,5320,212.97,0.0279701,1
706,10,1676,5549,255.2,0.0262811,1
707,10,1676,5522,191.545,0.0280914,1
708,10,1676,5455,185.143,0.0269284,1
709,10,1676,5546,229.696,0.029622,1
710,7,413,2739,79.36,0.0164437,1
711,7,413,2734,95.6735,0.0145806,1
712,7,413,2598,99.5424,0.014246,1
713,7,413,2645,108,0.0143839,1
714,7,413,2613,95.439,0.0152231,1
715,6,629,3594,113.341,0.0132025,1
716,6,629,3631,117.811,0.0127537,1
717,6,629,3627,114.696,0.0123733,1
718,6,629,3691,112.095,0.0126153,1
719,6,629,3715,97.3265,0.0146016,1
720,6,1707,7549,187.421,0.0262945,1
721,6,1707,7481,137.114,0.0284414,1
722,6,1707,7579,153.545,0.0273687,1
723,6,1707,7491,165.08,0.0273096,1
724,6,1707,7570,182.222,0.025369,1
725,3,1070,3848,230.75,0.00306945,1
726,3,1070,3819,225.75,0.00314501,1
727,3,1070,3775,228,0.0030545,1
728,3,1070,3824,233.3,0.00327858,1
729,3,1070,3842,209.5,0.0030371,1
730,5,518,1715,272.571,0.0026864,1
731,5,518,1799,298.8,0.00294328,1
732,5,518,1736,250.533,0.0029166,1
733,5,518,1794,264.462,0.00299433,1
734,5,518,1849,270.833,0.00304295,1
735,8,734,3448,142.69,0.014581,1
736,8,734,3342,206.3,0.0145998,1
737,8,734,3371,159.054,0.0141155,1
738,8,734,3429,165.622,0.0158375,1
739,8,734,3591,170.947,0.0159079,1
740,7,1767,5251,192.778,0.0147897,1
741,7,1767,5271,220.118,0.0148711,1
742,7,1767,5311,228.778,0.0160875,1
743,7,1767,5334,201.944,0.0158523,1
