index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
685,4,230,1119,145.556,0.227119,1
686,4,230,1091,150.818,0.211501,1
687,4,230,1071,166.099,0.229591,1
688,4,230,1058,161.169,0.24038,1
689,4,230,1059,113.552,0.22572,1
690,3,1406,7612,139.392,10.5545,1
691,3,1406,7595,144.216,10.5973,1
692,3,1406,7528,140.996,10.5381,1
693,3,1406,7522,146.752,10.6683,1
694,3,1406,7648,153.276,10.9739,1
695,10,251,2116,92.0336,0.707007,1
696,10,251,2089,100.161,0.503001,1
697,10,251,2126,88.675,0.558327,1
698,10,251,2166,91.2367,0.484302,1
699,10,251,2117,107.276,0.466324,1
700,3,1498,7449,122.04,9.76854,1
701,3,1498,7253,135.182,10.2213,1
702,3,1498,7452,116.471,9.91846,1
703,3,1498,7184,124.41,9.74623,1
704,3,1498,7507,115.79,9.88852,1
705,10,1676,5320,151.885,15.0039,1
706,10,1676,5549,154.665,14.5935,1
707,10,1676,5522,163.442,14.7465,1
708,10,1676,5455,162.184,15.0251,1
709,10,1676,5546,156.792,15.2461,1
710,7,413,2739,95.3402,0.9272,1
711,7,413,2734,101.371,1.00364,1
712,7,413,2598,97.7624,0.960321,1
713,7,413,2645,94.05,0.902913,1
714,7,413,2613,93.0408,0.960311,1
715,6,629,3594,150.175,2.90987,1
716,6,629,3631,166.21,2.9472,1
717,6,629,3627,159.051,2.72969,1
718,6,629,3691,148.139,2.89614,1
719,6,629,3715,137.167,2.78685,1
720,6,1707,7549,164.141,22.8661,1
721,6,1707,7481,162.435,22.5638,1
722,6,1707,7579,153.7,22.1139,1
723,6,1707,7491,167.253,22.8482,1
724,6,1707,7570,162.664,22.4884,1
725,3,1070,3848,165.258,6.7637,1
726,3,1070,3819,137.566,6.78983,1
727,3,1070,3775,145.096,6.6291,1
728,3,1070,3824,144.672,6.87305,1
729,3,1070,3842,146.254,6.9966,1
730,5,518,1715,142.269,0.91858,1
731,5,518,1799,128.429,0.935632,1
732,5,518,1736,132.628,0.975076,1
733,5,518,1794,121.216,0.918387,1
734,5,518,1849,133.5,0.91736,1
735,8,734,3448,141.614,2.47647,1
736,8,734,3342,142.782,2.36976,1
737,8,734,3371,125.772,2.45015,1
738,8,734,3429,161.618,2.38592,1
739,8,734,3591,149.248,2.53373,1
740,7,1767,5251,160.499,16.5218,1
741,7,1767,5271,167.389,16.1837,1
742,7,1767,5311,170.042,16.3597,1
743,7,1767,5334,157.234,16.6167,1
744,7,1767,5292,169.571,16.5334,1
745,6,121,792,95,0.0782123,1
746,6,121,772,123.643,0.0678358,1
747,6,121,774,115.713,0.0692204,1
748,6,121,727,91.0965,0.0649485,1
749,6,121,760,114.514,0.0797178,1
750,5,1193,5102,141.74,11.1071,1
751,5,1193,5187,122.405,11.032,1
752,5,1193,5184,122.759,11.1889,1
753,5,1193,5100,132.252,11.5629,1
754,5,1193,5137,122.849,11.078,1
755,9,681,2355,110.817,2.17636,1
756,9,681,2404,142.926,2.07562,1
757,9,681,2406,116.312,2.11183,1
758,9,681,2466,133.411,2.11555,1
759,9,681,2430,124.933,2.14369,1
760,7,221,997,151.778,0.295035,1
761,7,221,1035,189.826,0.315178,1
762,7,221,965,151.329,0.271899,1
763,7,221,1022,159.744,0.303607,1
764,7,221,1013,142.434,0.286038,1
765,7,763,4376,162.464,3.07559,1
766,7,763,4507,141.494,2.96876,1
767,7,763,4657,142.62,2.98169,1
768,7,763,4449,144.591,2.84679,1
769,7,763,4631,139.985,2.9333,1
770,10,1673,9593,159.312,27.4578,1
771,10,1673,9585,174.172,28.8745,1
772,10,1673,9583,164.544,26.9862,1
773,10,1673,9577,166.041,27.4734,1
774,10,1673,9405,166.941,27.7601,1
775,9,1016,5534,117.507,5.27701,1
776,9,1016,5289,107.223,5.19305,1
777,9,1016,5613,98.3213,5.3758,1
778,9,1016,5436,117.847,5.62428,1
779,9,1016,5451,110.887,5.41478,1
780,9,897,7175,118.724,5.34341,1
781,9,897,7293,131.494,5.91696,1
782,9,897,7269,120.75,5.36412,1
783,9,897,7348,121.533,5.49062,1
784,9,897,7213,114.627,5.20229,1
785,6,1438,11117,111.864,13.7399,1
786,6,1438,11317,121.457,14.5731,1
787,6,1438,11193,112.711,13.6747,1
788,6,1438,11077,113.73,13.6138,1
789,6,1438,11246,112.649,13.7071,1
790,8,349,2277,144.897,0.816702,1
791,8,349,2266,129.265,0.756912,1
792,8,349,2276,154.574,0.728753,1
793,8,349,2269,142.275,0.817535,1
794,8,349,2229,136.176,0.758668,1
795,6,1498,7727,122.474,13.3867,1
796,6,1498,7811,130.765,13.3074,1
