index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
685,4,230,1119,227.131,0.216324,1
686,4,230,1091,266.15,0.224063,1
687,4,230,1071,230.149,0.195914,1
688,4,230,1058,212.355,0.215938,1
689,4,230,1059,214.784,0.208161,1
690,3,1406,7612,224.604,11.3358,1
691,3,1406,7595,251.955,11.127,1
692,3,1406,7528,284.905,11.0245,1
693,3,1406,7522,362.238,11.0762,1
694,3,1406,7648,236.91,11.3888,1
695,10,251,2116,117.21,0.59028,1
696,10,251,2089,117.169,0.658678,1
697,10,251,2126,101.845,0.584381,1
698,10,251,2166,113.187,0.632845,1
699,10,251,2117,122.425,0.605221,1
700,3,1498,7449,211.786,11.6421,1
701,3,1498,7253,244.619,12.9153,1
702,3,1498,7452,246.556,11.752,1
703,3,1498,7184,199.25,11.5048,1
704,3,1498,7507,174.176,11.7451,1
705,10,1676,5320,196.249,12.5869,1
706,10,1676,5549,201.644,12.8003,1
707,10,1676,5522,218.294,12.4909,1
708,10,1676,5455,213.773,13.0693,1
709,10,1676,5546,206.18,12.8096,1
710,7,413,2739,123.529,0.968107,1
711,7,413,2734,134.794,0.962569,1
712,7,413,2598,132.664,0.908576,1
713,7,413,2645,137.403,0.950246,1
714,7,413,2613,121.045,0.94576,1
715,6,629,3594,197.577,2.38593,1
716,6,629,3631,213.481,2.38216,1
717,6,629,3627,215.602,2.41862,1
718,6,629,3691,192.014,2.24868,1
719,6,629,3715,181.241,2.56617,1
720,6,1707,7549,215.863,20.0951,1
721,6,1707,7481,210.943,19.1742,1
722,6,1707,7579,201.259,18.7299,1
723,6,1707,7491,214.809,19.0914,1
724,6,1707,7570,210.575,18.8486,1
725,3,1070,3848,264.979,5.96761,1
726,3,1070,3819,267.048,5.80999,1
727,3,1070,3775,209.412,5.557,1
728,3,1070,3824,272.44,5.82349,1
729,3,1070,3842,231.641,5.70431,1
730,5,518,1715,220.828,0.846676,1
731,5,518,1799,308.2,0.869124,1
732,5,518,1736,253.067,0.878273,1
733,5,518,1794,229.029,0.844972,1
734,5,518,1849,315.188,0.875799,1
735,8,734,3448,173.865,2.17626,1
736,8,734,3342,186.188,2.14886,1
737,8,734,3371,157.281,2.17251,1
738,8,734,3429,204.893,2.23131,1
739,8,734,3591,184.732,2.24506,1
740,7,1767,5251,210.89,14.1069,1
741,7,1767,5271,222.379,14.072,1
742,7,1767,5311,221.52,14.0855,1
743,7,1767,5334,209.921,14.3117,1
744,7,1767,5292,225.034,14.1946,1
745,6,121,792,129.5,0.0897365,1
746,6,121,772,155.904,0.078902,1
747,6,121,774,142.368,0.0764391,1
748,6,121,727,134.032,0.0801198,1
749,6,121,760,149.041,0.0695383,1
750,5,1193,5102,194.028,9.26888,1
751,5,1193,5187,177.719,9.53037,1
752,5,1193,5184,174.002,9.49034,1
753,5,1193,5100,179.358,9.52409,1
754,5,1193,5137,175.196,8.92367,1
755,9,681,2355,164.189,1.85939,1
756,9,681,2404,244.529,1.82081,1
757,9,681,2406,183.104,1.81963,1
758,9,681,2466,244.381,1.81489,1
759,9,681,2430,158.444,1.76369,1
760,7,221,997,208.716,0.236531,1
761,7,221,1035,255.257,0.232003,1
762,7,221,965,202.538,0.215322,1
763,7,221,1022,216.253,0.243548,1
764,7,221,1013,195.532,0.214761,1
765,7,763,4376,212.183,2.77245,1
766,7,763,4507,186.617,2.75234,1
767,7,763,4657,190.248,2.82593,1
768,7,763,4449,189.667,2.66191,1
769,7,763,4631,184.024,2.77811,1
770,10,1673,9593,192.336,20.5228,1
771,10,1673,9585,214.112,22.2963,1
772,10,1673,9583,214.477,21.5906,1
773,10,1673,9577,204.019,21.2432,1
774,10,1673,9405,208.475,21.4382,1
775,9,1016,5534,155.022,5.04601,1
776,9,1016,5289,141.569,4.6993,1
777,9,1016,5613,128.682,5.08184,1
778,9,1016,5436,154.017,5.00806,1
779,9,1016,5451,151.58,5.06953,1
780,9,897,7175,150.727,5.06367,1
781,9,897,7293,158.104,5.37205,1
782,9,897,7269,154.746,5.33378,1
783,9,897,7348,155.33,5.34687,1
784,9,897,7213,151.938,5.01591,1
785,6,1438,11117,140.235,15.1397,1
786,6,1438,11317,172.854,15.3844,1
787,6,1438,11193,141.099,15.2315,1
788,6,1438,11077,140.503,14.8912,1
789,6,1438,11246,141.625,15.3947,1
790,8,349,2277,174.004,0.705139,1
791,8,349,2266,171.193,0.653076,1
792,8,349,2276,180.87,0.69604,1
793,8,349,2269,183.109,0.712331,1
794,8,349,2229,163.128,0.681184,1
795,6,1498,7727,165.491,12.7902,1
796,6,1498,7811,174.647,13.0558,1
