index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
685,4,230,1119,146.651,0.485756,1
686,4,230,1091,152.015,0.50384,1
687,4,230,1071,164.4,0.479177,1
688,4,230,1058,161.45,0.438003,1
689,4,230,1059,116.468,0.500701,1
690,3,1406,7612,143.032,28.5166,1
691,3,1406,7595,145.27,27.2333,1
692,3,1406,7528,140.774,27.7028,1
693,3,1406,7522,150.302,26.7788,1
694,3,1406,7648,155.2,28.7099,1
695,10,251,2116,92.3014,4.80895,1
696,10,251,2089,100.157,4.69252,1
697,10,251,2126,88.5967,3.97436,1
698,10,251,2166,91.2367,4.3697,1
699,10,251,2117,107.105,4.22803,1
700,3,1498,7449,120.681,26.9803,1
701,3,1498,7253,132.632,28.7398,1
702,3,1498,7452,116.966,28.7884,1
703,3,1498,7184,123.248,26.7827,1
704,3,1498,7507,117.153,27.5716,1
705,10,1676,5320,157.765,37.5162,1
706,10,1676,5549,159.201,39.7023,1
707,10,1676,5522,168.172,39.968,1
708,10,1676,5455,168.692,41.3381,1
709,10,1676,5546,161.24,44.7683,1
710,7,413,2739,95.1521,6.18575,1
711,7,413,2734,101.588,8.59938,1
712,7,413,2598,97.9524,5.33667,1
713,7,413,2645,93.756,6.02697,1
714,7,413,2613,91.7552,7.60829,1
715,6,629,3594,153.013,10.933,1
716,6,629,3631,168.54,12.957,1
717,6,629,3627,158.332,11.1263,1
718,6,629,3691,150.342,12.6578,1
719,6,629,3715,139.217,12.8671,1
720,6,1707,7549,163.104,64.2826,1
721,6,1707,7481,161.416,77.0521,1
722,6,1707,7579,153.9,64.7215,1
723,6,1707,7491,167.32,64.9626,1
724,6,1707,7570,160.574,71.7381,1
725,3,1070,3848,163.953,9.16892,1
726,3,1070,3819,140.296,9.09561,1
727,3,1070,3775,140.792,8.75096,1
728,3,1070,3824,144.39,9.19639,1
729,3,1070,3842,141.724,8.76874,1
730,5,518,1715,152.64,1.92622,1
731,5,518,1799,143.321,2.02894,1
732,5,518,1736,167,1.84213,1
733,5,518,1794,151.6,2.04179,1
734,5,518,1849,172.022,2.37211,1
735,8,734,3448,140.49,12.3998,1
736,8,734,3342,142.204,11.4171,1
737,8,734,3371,123.798,10.2336,1
738,8,734,3429,160.356,13.0169,1
739,8,734,3591,147.219,13.5324,1
740,7,1767,5251,163.613,27.6117,1
741,7,1767,5271,169.461,28.2045,1
742,7,1767,5311,169.099,28.1486,1
743,7,1767,5334,160.26,28.227,1
744,7,1767,5292,175.512,27.8924,1
745,6,121,792,95,0.274663,1
746,6,121,772,123.643,0.259907,1
747,6,121,774,114.651,0.257836,1
748,6,121,727,91.3274,0.190492,1
749,6,121,760,114.514,0.271424,1
750,5,1193,5102,142.575,27.0477,1
751,5,1193,5187,122.303,24.7595,1
752,5,1193,5184,124.589,23.7075,1
753,5,1193,5100,131.713,26.537,1
754,5,1193,5137,122.119,25.7528,1
755,9,681,2355,134.474,8.08052,1
756,9,681,2404,142.926,9.88624,1
757,9,681,2406,134.549,8.3156,1
758,9,681,2466,148.111,7.8445,1
759,9,681,2430,140.771,9.29665,1
760,7,221,997,154.382,0.965253,1
761,7,221,1035,189.978,1.05598,1
762,7,221,965,156.226,0.762406,1
763,7,221,1022,162.455,0.821063,1
764,7,221,1013,146.795,1.02686,1
765,7,763,4376,163.629,22.0355,1
766,7,763,4507,144.114,24.3167,1
767,7,763,4657,144.913,25.8117,1
768,7,763,4449,145.68,25.0152,1
769,7,763,4631,144.53,25.3803,1
770,10,1673,9593,157.156,210.767,1
771,10,1673,9585,174.727,203.291,1
772,10,1673,9583,170.663,212.025,1
773,10,1673,9577,164.344,259.264,1
774,10,1673,9405,166.011,187.906,1
775,9,1016,5534,116.961,40.6608,1
776,9,1016,5289,108.194,38.5457,1
777,9,1016,5613,98.0861,49.3859,1
778,9,1016,5436,117.324,42.8416,1
779,9,1016,5451,109.936,37.4191,1
780,9,897,7175,118.182,81.8245,1
781,9,897,7293,132.11,93.3732,1
782,9,897,7269,120.637,99.8031,1
783,9,897,7348,121.473,90.5568,1
784,9,897,7213,115.255,74.0016,1
785,6,1438,11117,111.396,124.805,1
786,6,1438,11317,120.783,144.623,1
787,6,1438,11193,112.165,141.868,1
788,6,1438,11077,113.166,127.103,1
789,6,1438,11246,112.132,135.594,1
790,8,349,2277,144.372,7.03088,1
791,8,349,2266,128.965,4.92572,1
792,8,349,2276,154.232,5.24031,1
793,8,349,2269,142.042,5.43409,1
794,8,349,2229,134.188,4.63412,1
795,6,1498,7727,121.982,57.0759,1
796,6,1498,7811,129.939,59.604,1
797,6,1498,7808,119.255,58.9366,1
798,6,1498,7660,122.682,59.948,1
799,6,1498,7813,112.056,61.6539,1
800,4,113,611,172.149,0.131326,1
801,4,113,597,152.822,0.147819,1
802,4,113,598,93.2239,0.117874,1
803,4,113,631,114.786,0.149762,1
804,4,113,616,143.639,0.150253,1
805,10,1200,8545,94.9587,130.206,1
806,10,1200,8578,100.115,137.213,1
807,10,1200,8652,93.2735,221.805,1
808,10,1200,8529,101.107,241.611,1
809,10,1200,8504,99.7452,137.167,1
810,8,1423,5967,138.546,69.9469,1
811,8,1423,6122,134.334,73.3233,1
812,8,1423,5978,139.914,49.0816,1
813,8,1423,6142,122.442,64.2496,1
814,8,1423,5896,126.978,60.2612,1
815,4,1145,3702,196.322,9.10986,1
816,4,1145,3599,268.5,8.76832,1
817,4,1145,3608,169.25,9.3283,1
818,4,1145,3596,199.175,8.42383,1
819,4,1145,3623,304.889,8.63776,1
820,6,100,496,223.257,0.160244,1
821,6,100,494,122.361,0.14394,1
822,6,100,503,145.476,0.131045,1
823,6,100,504,198.57,0.138179,1
824,6,100,480,142.143,0.155586,1
825,3,806,3632,140.79,6.10099,1
826,3,806,3645,134.86,5.81374,1
827,3,806,3687,147.514,5.77731,1
828,3,806,3750,125.912,5.9651,1
829,3,806,3757,127.075,5.64621,1
830,8,829,4365,108.266,20.1169,1
831,8,829,4330,115.996,21.2736,1
832,8,829,4406,123.494,30.9708,1
833,8,829,4393,114.766,21.3327,1
834,8,829,4293,110.558,20.4707,1
835,10,922,6681,131.693,61.756,1
836,10,922,6706,126.465,59.9377,1
837,10,922,6504,120.629,59.9277,1
838,10,922,6617,127.504,124.72,1
839,10,922,6698,137.278,53.6162,1
840,5,1689,9276,159.8,69.4412,1
841,5,1689,9303,148.098,67.2935,1
842,5,1689,9466,159.592,73.1447,1
843,5,1689,9294,165.492,73.0536,1
844,5,1689,9256,157.566,73.4217,1
845,7,1781,7048,107.984,46.9286,1
846,7,1781,7248,97.0675,46.4064,1
847,7,1781,7119,104.669,51.8375,1
848,7,1781,7182,101.51,54.0061,1
849,7,1781,7147,109.33,54.0743,1
850,6,878,6194,145.473,49.6229,1
851,6,878,6272,127.804,41.2432,1
852,6,878,6301,128.076,45.2872,1
853,6,878,6231,137.012,43.5829,1
854,6,878,6208,133.287,47.4848,1
855,4,122,767,142.89,0.150904,1
856,4,122,800,125.398,0.176792,1
857,4,122,794,128.265,0.205472,1
858,4,122,772,118.884,0.177761,1
859,4,122,778,119.059,0.201212,1
860,10,1262,5680,138.92,50.5331,1
861,10,1262,5702,151.928,53.7162,1
862,10,1262,5648,146.494,63.6878,1
863,10,1262,5781,150.505,44.3405,1
864,10,1262,5636,135.588,53.4931,1
865,10,879,5348,123.289,45.7725,1
866,10,879,5337,143.073,82.4703,1
867,10,879,5296,144.489,72.6289,1
868,10,879,5316,134.116,47.0758,1
869,10,879,5336,128.592,63.9506,1
870,5,951,5392,130.104,21.4631,1
871,5,951,5343,121.182,20.4777,1
872,5,951,5392,120.14,21.8742,1
873,5,951,5324,133.368,21.1873,1
874,5,951,5441,125.443,22.8028,1
875,10,539,3393,99.1052,22.5704,1
876,10,539,3320,92.6527,14.6854,1
877,10,539,3358,96.144,29.6235,1
878,10,539,3371,109.428,15.4356,1
879,10,539,3459,89.5775,15.7617,1
880,9,260,2126,121.886,4.41367,1
881,9,260,2144,126.934,4.58475,1
882,9,260,2142,123.815,4.92361,1
883,9,260,2166,131.211,4.4219,1
884,9,260,2177,143.585,8.70482,1
885,7,465,1697,145.041,1.85822,1
886,7,465,1680,141.368,2.11374,1
887,7,465,1765,150.226,2.58334,1
888,7,465,1745,136.174,2.3434,1
889,7,465,1713,128.864,2.0346,1
890,5,1206,6008,116.324,27.9286,1
891,5,1206,6023,114.235,27.9859,1
892,5,1206,5860,123.592,26.9646,1
893,5,1206,5935,100.556,24.7507,1
894,5,1206,5960,113.663,27.5544,1
895,7,673,5181,101.855,31.6552,1
896,7,673,4978,106.764,27.1303,1
897,7,673,5011,110.188,27.1353,1
898,7,673,5161,121.183,31.7769,1
899,7,673,5051,110.836,30.0037,1
900,10,1173,8164,115.456,127.902,1
901,10,1173,8203,118.301,112.488,1
902,10,1173,8080,125.419,123.672,1
903,10,1173,7981,125.012,145.703,1
904,10,1173,8048,122.016,158.771,1
905,10,536,2298,175.61,8.33714,1
906,10,536,2317,186.627,8.80211,1
907,10,536,2300,198.977,9.95383,1
908,10,536,2227,191.474,11.1088,1
909,10,536,2317,176.877,8.88538,1
910,7,639,5489,142.078,39.6181,1
911,7,639,5469,127.927,39.3553,1
912,7,639,5511,131.776,38.6693,1
913,7,639,5435,127.026,29.8107,1
914,7,639,5387,125.013,34.4962,1
915,7,1235,5938,119.372,38.1658,1
916,7,1235,5784,114.294,35.2355,1
917,7,1235,5891,115.886,32.9495,1
918,7,1235,5865,114.094,33.2688,1
919,7,1235,5865,120.087,39.0666,1
920,7,951,3272,103.703,8.41422,1
921,7,951,3228,102.839,9.30765,1
922,7,951,3256,114.428,10.0335,1
