index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
1415,9,1586,9155,123.323,0.0328641,1
1416,9,1586,9219,121.418,0.0322749,1
1417,9,1586,9230,120.514,0.0332247,1
1418,9,1586,8981,120.587,0.0305202,1
1419,9,1586,9182,127.591,0.0310995,1
1420,7,1393,4899,109.127,0.0182305,1
1421,7,1393,4866,118.289,0.0180795,1
1422,7,1393,4893,116.149,0.0180309,1
1423,7,1393,4819,98.4007,0.0181442,1
1424,7,1393,4852,112.224,0.0181046,1
1425,6,157,1134,140.541,0.00353494,1
1426,6,157,1068,165.847,0.00341127,1
1427,6,157,1118,142.803,0.0034903,1
1428,6,157,1147,129.032,0.00354508,1
1429,6,157,1094,122.395,0.00375955,1
1430,5,1158,3486,101.475,0.0130576,1
1431,5,1158,3396,97.7084,0.0130892,1
1432,5,1158,3406,95.4908,0.0130779,1
1433,5,1158,3490,94.2846,0.0136742,1
1434,5,1158,3421,92.8206,0.0131498,1
1435,7,1066,7469,128.877,0.0246398,1
1436,7,1066,7524,137.704,0.023659,1
1437,7,1066,7535,137.544,0.0244802,1
1438,7,1066,7403,144.688,0.0247988,1
1439,7,1066,7552,126.625,0.0251261,1
1440,9,410,2290,132.211,0.00788301,1
1441,9,410,2345,144.337,0.00796728,1
1442,9,410,2371,135.851,0.00787322,1
1443,9,410,2307,131.317,0.00780221,1
1444,9,410,2332,134.256,0.00793417,1
1445,10,151,1072,115.854,0.00345105,1
1446,10,151,1027,114.536,0.00318398,1
1447,10,151,1046,98.7417,0.00325151,1
1448,10,151,1070,141.139,0.00325024,1
1449,10,151,1059,82.4238,0.00341866,1
1450,10,437,1893,104.311,0.00659313,1
1451,10,437,2029,126.796,0.00693406,1
1452,10,437,1850,116.219,0.00663981,1
1453,10,437,1923,117.413,0.00663553,1
1454,10,437,1946,122.785,0.00662038,1
1455,6,477,1686,105.047,0.00618435,1
1456,6,477,1739,110.376,0.00638365,1
1457,6,477,1697,119.839,0.00613997,1
1458,6,477,1797,120.06,0.00655303,1
1459,6,477,1707,98.0842,0.00621278,1
1460,9,1508,13114,123.702,0.0459365,1
1461,9,1508,13492,135.329,0.049806,1
1462,9,1508,13366,117.625,0.0470123,1
1463,9,1508,13058,115.286,0.0446082,1
1464,9,1508,13325,122.229,0.0461178,1
1465,7,405,1447,144.461,0.00528923,1
1466,7,405,1426,136.263,0.00513039,1
1467,7,405,1439,136.661,0.00523318,1
1468,7,405,1447,127.849,0.00500786,1
1469,7,405,1458,146.436,0.00521365,1
1470,7,730,4406,136.018,0.0158376,1
1471,7,730,4352,120.219,0.015044,1
1472,7,730,4401,109.018,0.0148652,1
1473,7,730,4555,126.845,0.0151545,1
1474,7,730,4471,121.268,0.0147012,1
1475,4,829,4756,87.5597,0.0159655,1
1476,4,829,4835,83.4089,0.0165379,1
1477,4,829,4804,89.4415,0.016738,1
1478,4,829,4872,97.9324,0.0167796,1
1479,4,829,4925,87.3896,0.016797,1
1480,5,1086,6040,111.153,0.0214968,1
1481,5,1086,6169,122.174,0.0243274,1
1482,5,1086,5888,115.645,0.0205551,1
1483,5,1086,6036,124.61,0.0218841,1
1484,5,1086,6129,124.586,0.0208922,1
1485,3,259,1485,113.004,0.00495821,1
1486,3,259,1486,98.9344,0.0049327,1
1487,3,259,1493,92.6718,0.00487791,1
1488,3,259,1524,113.259,0.00480996,1
1489,3,259,1503,115.127,0.00492559,1
1490,10,1654,10513,106.37,0.0385068,1
1491,10,1654,10554,115.603,0.0400306,1
1492,10,1654,10471,100.05,0.0377204,1
1493,10,1654,10664,103.785,0.0399195,1
1494,10,1654,10368,103.494,0.0364021,1
1495,6,711,3899,131.011,0.0129844,1
1496,6,711,3874,126.778,0.0129864,1
1497,6,711,3914,130.915,0.0130421,1
1498,6,711,3934,129.678,0.0137751,1
1499,6,711,3971,128.267,0.0133174,1
1500,8,341,2549,153.833,0.00842917,1
1501,8,341,2506,142.159,0.00826708,1
1502,8,341,2620,131.188,0.00876793,1
1503,8,341,2572,134.088,0.00899657,1
1504,8,341,2528,130.023,0.00807216,1
1505,9,155,998,97.4323,0.00330005,1
1506,9,155,991,94.671,0.00313603,1
1507,9,155,998,107.877,0.00316281,1
1508,9,155,1015,90.7226,0.00340464,1
1509,9,155,1021,112.626,0.00316631,1
1510,6,651,3481,125.731,0.0112974,1
1511,6,651,3523,105.002,0.011779,1
1512,6,651,3527,101.968,0.0122484,1
1513,6,651,3452,119.151,0.0113702,1
1514,6,651,3531,120.959,0.011859,1
1515,9,474,2865,100.378,0.00932014,1
1516,9,474,2987,86.0591,0.00977856,1
1517,9,474,2940,88.2279,0.0098073,1
1518,9,474,2935,98.2321,0.00951045,1
1519,9,474,2874,92.7215,0.00935653,1
1520,3,1651,6692,107.946,0.02754,1
1521,3,1651,6709,111.431,0.0276385,1
1522,3,1651,6761,96.782,0.0269425,1
1523,3,1651,6835,96.9885,0.0261062,1
1524,3,1651,6729,100.554,0.0257595,1
1525,9,358,2279,120.425,0.00736491,1
1526,9,358,2380,127.531,0.00758491,1
1527,9,358,2343,138.698,0.00772498,1
1528,9,358,2327,117.673,0.007593,1
1529,9,358,2315,131.338,0.00733027,1
1530,5,1199,7129,113.595,0.0248279,1
1531,5,1199,7374,109.865,0.027505,1
1532,5,1199,7302,114.177,0.0243993,1
1533,5,1199,7304,116.851,0.0266069,1
1534,5,1199,7375,120.202,0.0251726,1
1535,7,419,2935,94.1671,0.00973667,1
1536,7,419,2934,97.6635,0.0107388,1
1537,7,419,2785,90.864,0.0101613,1
1538,7,419,2852,87.5251,0.00936592,1
1539,7,419,2931,91.5274,0.00952935,1
1540,4,1779,7201,131.535,0.0275998,1
1541,4,1779,7081,121.508,0.0274314,1
1542,4,1779,7049,128.077,0.0262413,1
1543,4,1779,7086,133.041,0.027097,1
1544,4,1779,7140,132.741,0.0282594,1
1545,5,1410,10682,123.228,0.0371513,1
1546,5,1410,10566,108.461,0.0358804,1
1547,5,1410,10520,116.453,0.0369665,1
1548,5,1410,10592,104.55,0.0357039,1
1549,5,1410,10436,114.63,0.0360797,1
1550,3,1585,7591,121.543,0.0277873,1
1551,3,1585,7683,115.04,0.0275784,1
1552,3,1585,7640,116.43,0.028037,1
1553,3,1585,7602,112.453,0.0276259,1
1554,3,1585,7585,126.54,0.0281425,1
1555,9,1176,5830,136.586,0.0203603,1
1556,9,1176,5981,124.037,0.021401,1
1557,9,1176,5781,125.459,0.0196186,1
1558,9,1176,5954,131.769,0.0204419,1
1559,9,1176,5941,129.599,0.0203211,1
1560,6,1119,7606,95.5844,0.0281577,1
1561,6,1119,7517,98.1135,0.026058,1
1562,6,1119,7805,84.3387,0.0275357,1
1563,6,1119,7664,98.0456,0.0256896,1
1564,6,1119,7630,96.0232,0.0269858,1
1565,7,245,1546,112.396,0.00491414,1
1566,7,245,1614,129.8,0.00504158,1
1567,7,245,1547,106.257,0.00495373,1
1568,7,245,1610,102.588,0.00493016,1
1569,7,245,1621,107.322,0.00517793,1
1570,9,1229,3698,119.87,0.0151618,1
1571,9,1229,3751,119.39,0.0154012,1
1572,9,1229,3774,121.505,0.0149086,1
1573,9,1229,3771,111.163,0.0142563,1
1574,9,1229,3650,122.265,0.0145427,1
1575,10,695,5002,142.485,0.0175525,1
1576,10,695,5028,140.692,0.0171702,1
1577,10,695,5094,129.678,0.0171037,1
1578,10,695,5014,125.249,0.0167743,1
1579,10,695,5158,132.203,0.0159455,1
1580,8,1561,11848,130.153,0.0405388,1
1581,8,1561,11757,124.332,0.040147,1
1582,8,1561,11846,121.534,0.040918,1
1583,8,1561,11823,129.58,0.0405123,1
1584,8,1561,11768,132.782,0.0473236,1
1585,10,915,6362,114.464,0.022165,1
1586,10,915,6429,102.554,0.0210703,1
1587,10,915,6320,112.774,0.0210677,1
1588,10,915,6396,116.057,0.0213379,1
1589,10,915,6312,118.172,0.0215694,1
1590,8,181,1245,157.331,0.00401257,1
1591,8,181,1294,131.094,0.00389732,1
1592,8,181,1266,93.9337,0.00402975,1
1593,8,181,1301,135.707,0.00401598,1
1594,8,181,1274,143.547,0.00410024,1
1595,10,1065,8819,103.24,0.0309472,1
1596,10,1065,8711,92.9746,0.0323113,1
1597,10,1065,8906,95.0056,0.0283045,1
1598,10,1065,8867,105.396,0.0289082,1
1599,10,1065,8922,90.8601,0.0277622,1
1600,3,1395,7761,129.822,0.026738,1
1601,3,1395,7566,125.229,0.0274692,1
1602,3,1395,7547,132.407,0.0293393,1
1603,3,1395,7552,123.933,0.0283968,1
1604,3,1395,7772,130.455,0.0299662,1
1605,9,1099,5294,111.92,0.0190018,1
1606,9,1099,5281,121.252,0.0187345,1
1607,9,1099,5237,116.613,0.0180679,1
1608,9,1099,5319,106.814,0.0195257,1
1609,9,1099,5203,113.224,0.0178422,1
1610,7,463,1470,102.483,0.00540763,1
1611,7,463,1540,115.449,0.00555016,1
