index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
1415,9,1586,9155,123.401,0.0236589,1
1416,9,1586,9219,121.494,0.0227431,1
1417,9,1586,9230,120.666,0.0243747,1
1418,9,1586,8981,120.664,0.0227519,1
1419,9,1586,9182,127.832,0.0230387,1
1420,7,1393,4899,109.84,0.0137372,1
1421,7,1393,4866,120.373,0.013653,1
1422,7,1393,4893,117.078,0.0138626,1
1423,7,1393,4819,99.3331,0.0135924,1
1424,7,1393,4852,113.618,0.0138731,1
1425,6,157,1134,140.541,0.00264957,1
1426,6,157,1068,165.847,0.00242521,1
1427,6,157,1118,142.803,0.00261951,1
1428,6,157,1147,129.032,0.00273132,1
1429,6,157,1094,122.395,0.00249814,1
1430,5,1158,3486,103.374,0.0100412,1
1431,5,1158,3396,99.5388,0.0101141,1
1432,5,1158,3406,97.6223,0.0102275,1
1433,5,1158,3490,95.5395,0.0102969,1
1434,5,1158,3421,94.7268,0.0101469,1
1435,7,1066,7469,128.877,0.017947,1
1436,7,1066,7524,137.834,0.0178778,1
1437,7,1066,7535,137.932,0.0185326,1
1438,7,1066,7403,145.096,0.0179149,1
1439,7,1066,7552,126.863,0.0181531,1
1440,9,410,2290,133.52,0.00570849,1
1441,9,410,2345,144.689,0.00569523,1
1442,9,410,2371,137.19,0.00574806,1
1443,9,410,2307,132.938,0.00561232,1
1444,9,410,2332,134.914,0.00576748,1
1445,10,151,1072,115.854,0.00245146,1
1446,10,151,1027,114.536,0.00242653,1
1447,10,151,1046,98.7417,0.0024778,1
1448,10,151,1070,141.139,0.00242589,1
1449,10,151,1059,82.4238,0.00237753,1
1450,10,437,1893,105.275,0.00493486,1
1451,10,437,2029,127.674,0.00519443,1
1452,10,437,1850,117.03,0.00485911,1
1453,10,437,1923,118.5,0.00499812,1
1454,10,437,1946,124.206,0.00505821,1
1455,6,477,1686,106.628,0.00453136,1
1456,6,477,1739,110.845,0.00478934,1
1457,6,477,1697,120.863,0.00477777,1
