index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
1415,9,1586,9155,191.412,12.0918,1
1416,9,1586,9219,183.881,12.1529,1
1417,9,1586,9230,194.167,12.3665,1
1418,9,1586,8981,168.664,11.8868,1
1419,9,1586,9182,195.432,11.6557,1
1420,7,1393,4899,271.551,3.34442,1
1421,7,1393,4866,302.19,3.77617,1
1422,7,1393,4893,364.25,3.48623,1
1423,7,1393,4819,302.227,3.25795,1
1424,7,1393,4852,329.441,3.77796,1
1425,6,157,1134,228.253,0.0565354,1
1426,6,157,1068,223.866,0.0668305,1
1427,6,157,1118,204.551,0.0705181,1
1428,6,157,1147,174.513,0.0605535,1
1429,6,157,1094,158.019,0.0608387,1
1430,5,1158,3486,242.418,0.920086,1
1431,5,1158,3396,300.636,0.809274,1
1432,5,1158,3406,230.92,0.894802,1
1433,5,1158,3490,240.423,0.857727,1
1434,5,1158,3421,271,0.854107,1
1435,7,1066,7469,168.571,4.83145,1
1436,7,1066,7524,184.011,4.92471,1
1437,7,1066,7535,202.494,4.90742,1
1438,7,1066,7403,203.158,5.2736,1
1439,7,1066,7552,191.292,4.99938,1
1440,9,410,2290,189.4,1.08051,1
1441,9,410,2345,181.838,0.708166,1
1442,9,410,2371,178.529,0.617722,1
1443,9,410,2307,216.362,0.832877,1
1444,9,410,2332,171.731,0.656904,1
1445,10,151,1072,129.642,0.0447058,1
1446,10,151,1027,149.196,0.0852449,1
1447,10,151,1046,111.374,0.103781,1
1448,10,151,1070,161.339,0.0354498,1
1449,10,151,1059,112.442,0.0518958,1
1450,10,437,1893,178.707,0.721,1
1451,10,437,2029,184.039,0.932384,1
1452,10,437,1850,188.646,0.663396,1
1453,10,437,1923,197.89,0.650071,1
1454,10,437,1946,212.466,0.779959,1
1455,6,477,1686,203.085,0.30364,1
1456,6,477,1739,253.143,0.272874,1
1457,6,477,1697,256.154,0.296127,1
1458,6,477,1797,178.608,0.288285,1
1459,6,477,1707,190.979,0.2846,1
1460,9,1508,13114,170.815,22.2435,1
1461,9,1508,13492,157.604,22.9037,1
1462,9,1508,13366,156.016,21.4494,1
1463,9,1508,13058,173.575,21.9542,1
1464,9,1508,13325,141.683,22.9272,1
1465,7,405,1447,311.688,0.302186,1
1466,7,405,1426,244.14,0.232612,1
1467,7,405,1439,267.306,0.26263,1
1468,7,405,1447,209.22,0.238204,1
1469,7,405,1458,305.632,0.275875,1
1470,7,730,4406,182.261,1.8881,1
1471,7,730,4352,196.079,2.10839,1
1472,7,730,4401,163.257,2.0051,1
1473,7,730,4555,170.421,1.97859,1
1474,7,730,4471,162.827,2.01658,1
1475,4,829,4756,206.538,0.679458,1
1476,4,829,4835,190.222,0.760192,1
1477,4,829,4804,191.776,0.705563,1
1478,4,829,4872,170.645,0.686883,1
1479,4,829,4925,176.095,0.757822,1
1480,5,1086,6040,203.708,1.96754,1
1481,5,1086,6169,276.057,2.0456,1
1482,5,1086,5888,265.447,1.96197,1
1483,5,1086,6036,279.24,2.02264,1
1484,5,1086,6129,266.5,2.04971,1
1485,3,259,1485,239.755,0.0427713,1
1486,3,259,1486,219.156,0.0431398,1
1487,3,259,1493,226.182,0.0382455,1
1488,3,259,1524,204.051,0.0412517,1
1489,3,259,1503,273.885,0.041906,1
1490,10,1654,10513,153.21,26.6646,1
1491,10,1654,10554,143.062,28.7918,1
1492,10,1654,10471,136.131,28.0973,1
1493,10,1654,10664,153.006,25.9053,1
1494,10,1654,10368,155.062,27.0371,1
1495,6,711,3899,228.421,1.12324,1
1496,6,711,3874,200.985,1.10961,1
1497,6,711,3914,207.959,1.14675,1
1498,6,711,3934,193.811,1.20177,1
1499,6,711,3971,185.608,1.15109,1
1500,8,341,2549,210.304,0.407556,1
1501,8,341,2506,180.381,0.472376,1
1502,8,341,2620,178.984,0.545184,1
1503,8,341,2572,175.42,0.980263,1
1504,8,341,2528,168.492,0.454859,1
1505,9,155,998,131.263,0.0646601,1
1506,9,155,991,125.578,0.0563678,1
1507,9,155,998,148.448,0.0559975,1
1508,9,155,1015,135.233,0.0880441,1
1509,9,155,1021,147.747,0.0977144,1
1510,6,651,3481,283.453,1.01936,1
1511,6,651,3523,212.773,0.987772,1
1512,6,651,3527,180.224,1.09152,1
1513,6,651,3452,178.842,0.993378,1
1514,6,651,3531,196.528,1.14866,1
1515,9,474,2865,165.075,1.33551,1
1516,9,474,2987,135.49,1.23912,1
1517,9,474,2940,117.494,1.40684,1
1518,9,474,2935,163.359,1.0837,1
1519,9,474,2874,132.902,1.16919,1
1520,3,1651,6692,262,1.16436,1
1521,3,1651,6709,295.5,1.21477,1
1522,3,1651,6761,264.6,1.13212,1
1523,3,1651,6835,296.304,1.20255,1
1524,3,1651,6729,299.364,1.18942,1
1525,9,358,2279,144.013,0.647106,1
1526,9,358,2380,163.211,0.651198,1
1527,9,358,2343,174.348,0.737281,1
1528,9,358,2327,141.093,0.570306,1
1529,9,358,2315,160.368,0.616426,1
1530,5,1199,7129,199.586,2.82454,1
1531,5,1199,7374,196.619,2.66232,1
1532,5,1199,7302,215.278,2.84641,1
1533,5,1199,7304,176.565,2.77611,1
1534,5,1199,7375,201.588,2.78909,1
1535,7,419,2935,129.681,0.673758,1
1536,7,419,2934,166.809,0.74613,1
1537,7,419,2785,114.892,0.803673,1
1538,7,419,2852,137.403,0.684858,1
1539,7,419,2931,136.908,0.774388,1
1540,4,1779,7201,271.167,2.26972,1
1541,4,1779,7081,298.059,2.20988,1
1542,4,1779,7049,409.875,2.11846,1
1543,4,1779,7086,315.886,2.22637,1
1544,4,1779,7140,407.143,2.20532,1
1545,5,1410,10682,199.341,5.02695,1
1546,5,1410,10566,180.369,4.91827,1
1547,5,1410,10520,214.925,4.51023,1
1548,5,1410,10592,193.9,4.7312,1
1549,5,1410,10436,190.033,5.10542,1
1550,3,1585,7591,326.053,1.3008,1
1551,3,1585,7683,419.571,1.27673,1
1552,3,1585,7640,261.139,1.28677,1
1553,3,1585,7602,271.889,1.2119,1
1554,3,1585,7585,236.857,1.27327,1
1555,9,1176,5830,197.144,6.1091,1
1556,9,1176,5981,269.417,6.0339,1
1557,9,1176,5781,197.402,6.58914,1
1558,9,1176,5954,260.524,6.41581,1
1559,9,1176,5941,221.205,6.8329,1
1560,6,1119,7606,147.123,4.04367,1
1561,6,1119,7517,171.504,3.89188,1
1562,6,1119,7805,139.035,4.55001,1
1563,6,1119,7664,154.779,4.02872,1
1564,6,1119,7630,187.295,4.11777,1
1565,7,245,1546,157.178,0.153889,1
1566,7,245,1614,188.414,0.233652,1
1567,7,245,1547,147.977,0.13833,1
1568,7,245,1610,155.85,0.246262,1
1569,7,245,1621,148.368,0.178741,1
1570,9,1229,3698,255,2.92737,1
1571,9,1229,3751,193.902,3.14787,1
1572,9,1229,3774,228.826,2.76544,1
1573,9,1229,3771,204.414,2.39331,1
1574,9,1229,3650,302,2.53929,1
1575,10,695,5002,185.548,3.04659,1
1576,10,695,5028,190.246,4.14744,1
1577,10,695,5094,155.798,3.41568,1
1578,10,695,5014,179.905,3.1724,1
1579,10,695,5158,175.789,3.64744,1
