index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,193,993,126.151,0.00328925,1
1,4,193,1041,158.457,0.00352006,1
2,4,193,1033,116.472,0.00345382,1
3,4,193,1067,141.365,0.00349505,1
4,4,193,973,141.42,0.00334898,1
5,10,1766,7880,111.721,0.0272782,1
6,10,1766,7862,100.308,0.0291474,1
7,10,1766,7879,109.471,0.0285819,1
8,10,1766,7819,108.456,0.0290555,1
9,10,1766,7816,113.257,0.0269635,1
10,9,702,4346,115.068,0.0136982,1
11,9,702,4465,123.348,0.0142063,1
12,9,702,4571,130.38,0.0146613,1
13,9,702,4512,117.264,0.0146618,1
14,9,702,4493,113.029,0.0143596,1
15,4,1474,9270,92.0366,0.0317452,1
16,4,1474,9292,100.72,0.0314071,1
17,4,1474,9322,97.9117,0.0313497,1
18,4,1474,9270,93.6255,0.0308715,1
19,4,1474,9225,95.4315,0.0332692,1
20,6,512,3022,110.246,0.0095757,1
21,6,512,3139,105.293,0.0099506,1
22,6,512,3087,101.088,0.0103982,1
23,6,512,3132,102.736,0.0101287,1
24,6,512,3098,91.041,0.0103126,1
25,5,447,1883,105.489,0.00625946,1
26,5,447,2074,120.195,0.00720441,1
27,5,447,2014,121.016,0.00714375,1
28,5,447,1988,138.875,0.00678623,1
29,5,447,1900,101.081,0.00656937,1
30,8,990,6432,121.778,0.0212891,1
31,8,990,6357,123.88,0.0217372,1
32,8,990,6388,110.585,0.0207817,1
33,8,990,6380,121.109,0.0219517,1
34,8,990,6209,115.708,0.0203388,1
35,5,124,514,105.427,0.00169375,1
36,5,124,516,96.9113,0.00172203,1
37,5,124,514,88.1371,0.00215222,1
38,5,124,504,118.54,0.00173131,1
39,5,124,510,79.6911,0.0016712,1
40,5,1517,9267,101.783,0.0314859,1
41,5,1517,9268,93.5716,0.0331205,1
42,5,1517,9310,97.8915,0.033975,1
43,5,1517,9385,97.2108,0.032715,1
44,5,1517,9206,91.7303,0.0323646,1
45,10,1054,5168,143.221,0.01781,1
46,10,1054,5161,127.848,0.0179845,1
47,10,1054,5061,137.859,0.0167184,1
48,10,1054,5084,132.613,0.0174497,1
49,10,1054,5045,142.454,0.0177353,1
50,3,912,5219,108.479,0.018572,1
51,3,912,5224,97.5044,0.0181992,1
52,3,912,5082,103.482,0.0182249,1
53,3,912,5144,106.279,0.0172127,1
54,3,912,5258,113.925,0.0178405,1
55,9,1148,6304,88.4373,0.0209481,1
