index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,193,993,135.957,0.00130416,1
1,4,193,1041,123.708,0.00149059,1
2,4,193,1033,122,0.00139347,1
3,4,193,1067,128.379,0.00147079,1
4,4,193,973,174,0.00132456,1
5,10,1766,7880,155.143,0.055963,1
6,10,1766,7862,168.389,0.0483808,1
7,10,1766,7879,160.722,0.0526351,1
8,10,1766,7819,155.324,0.0472212,1
9,10,1766,7816,192.217,0.051686,1
10,9,702,4346,115.95,0.0414421,1
11,9,702,4465,115.413,0.0363647,1
12,9,702,4571,108.741,0.0381215,1
13,9,702,4512,96.75,0.0376482,1
14,9,702,4493,107.64,0.0371926,1
15,4,1474,9270,131.792,0.012893,1
16,4,1474,9292,149.059,0.012803,1
17,4,1474,9322,149.136,0.0122256,1
18,4,1474,9270,119.12,0.0124533,1
19,4,1474,9225,115.625,0.0132682,1
20,6,512,3022,117.405,0.00985509,1
21,6,512,3139,135.902,0.0113527,1
22,6,512,3087,136.758,0.0105868,1
23,6,512,3132,125.974,0.0104392,1
24,6,512,3098,139.086,0.00990729,1
25,5,447,1883,178.467,0.00390331,1
26,5,447,2074,180.235,0.0035999,1
27,5,447,2014,153,0.00371872,1
28,5,447,1988,168.5,0.00332141,1
29,5,447,1900,142.36,0.00378781,1
30,8,990,6432,139.705,0.0383643,1
31,8,990,6357,113.636,0.0444854,1
32,8,990,6388,119.224,0.0370898,1
33,8,990,6380,117.128,0.0413349,1
34,8,990,6209,145.143,0.0422854,1
35,5,124,514,119,0.000857238,1
36,5,124,516,120,0.000830036,1
37,5,124,514,96.7619,0.000999588,1
38,5,124,504,146.692,0.000877776,1
39,5,124,510,108.222,0.000973939,1
40,5,1517,9267,116.172,0.0358996,1
41,5,1517,9268,121.591,0.036731,1
42,5,1517,9310,111.969,0.0365333,1
43,5,1517,9385,118.619,0.0328002,1
44,5,1517,9206,103.5,0.0311889,1
45,10,1054,5168,162.077,0.0329236,1
46,10,1054,5161,141.139,0.0351727,1
47,10,1054,5061,150.25,0.0321844,1
48,10,1054,5084,161.297,0.0328946,1
49,10,1054,5045,153.256,0.0340174,1
50,3,912,5219,135,0.00374623,1
51,3,912,5224,148.176,0.00365198,1
52,3,912,5082,190.667,0.00357961,1
53,3,912,5144,158.643,0.00364987,1
54,3,912,5258,164.727,0.00364298,1
55,9,1148,6304,129.66,0.0561551,1
56,9,1148,6422,133.857,0.0525375,1
57,9,1148,6426,110.922,0.0591444,1
58,9,1148,6382,145.923,0.050734,1
59,9,1148,6453,116.443,0.0528834,1
60,3,1275,7744,171.909,0.00633787,1
61,3,1275,8010,145.455,0.00559866,1
62,3,1275,7765,148.833,0.00561348,1
63,3,1275,7950,148.545,0.00544185,1
64,3,1275,7805,139.8,0.00540898,1
65,10,109,688,112.449,0.00254845,1
66,10,109,722,83.6716,0.00388394,1
67,10,109,715,109.792,0.00281743,1
68,10,109,710,88.4035,0.00286471,1
69,10,109,676,89.8154,0.00322942,1
70,9,439,2577,111.532,0.0240082,1
71,9,439,2525,114.488,0.0240149,1
72,9,439,2572,116.627,0.0247008,1
73,9,439,2566,99.9318,0.0204824,1
74,9,439,2613,120.137,0.0253103,1
75,6,1086,3092,283.143,0.00629435,1
76,6,1086,3051,255.6,0.00587413,1
77,6,1086,2998,289.583,0.00583143,1
78,6,1086,3055,287.308,0.00560401,1
79,6,1086,3072,441.222,0.00640652,1
80,9,680,4026,123.255,0.0266264,1
81,9,680,4108,129.163,0.0280245,1
82,9,680,4083,121.483,0.0259628,1
83,9,680,4201,132.383,0.0337571,1
84,9,680,4080,124.125,0.0311361,1
85,6,306,1424,90.2759,0.00630248,1
86,6,306,1413,75.8542,0.00654031,1
87,6,306,1456,104.5,0.00616857,1
88,6,306,1455,80.5,0.00741879,1
89,6,306,1433,96.2857,0.00676789,1
90,3,906,3464,409.75,0.00278819,1
91,3,906,3502,587,0.00281308,1
92,3,906,3373,356.429,0.00269425,1
93,3,906,3585,389.429,0.00291247,1
94,3,906,3411,409.6,0.00287204,1
95,8,484,3491,101,0.0266559,1
96,8,484,3509,96.9365,0.0327793,1
97,8,484,3503,92.4706,0.0298168,1
98,8,484,3407,116.391,0.0271714,1
99,8,484,3492,95.7703,0.0259853,1
100,8,753,3812,204.633,0.0187805,1
101,8,753,3921,181.172,0.01801,1
102,8,753,3900,178.75,0.0174233,1
103,8,753,3794,219.8,0.0191661,1
104,8,753,3826,165.706,0.0175581,1
105,10,1352,9565,91.0667,0.155167,1
106,10,1352,9345,95.5753,0.151298,1
107,10,1352,9540,95.5455,0.146101,1
108,10,1352,9546,93.8472,0.155817,1
109,10,1352,9474,97.6479,0.162368,1
110,5,821,3773,162.962,0.00760941,1
111,5,821,3707,139.421,0.00804452,1
112,5,821,3746,133.85,0.00771345,1
113,5,821,3787,160.864,0.00815014,1
114,5,821,3668,125.217,0.00795208,1
115,9,367,2380,66.3659,0.0278203,1
116,9,367,2478,69.5,0.0292452,1
117,9,367,2374,79.4545,0.0276489,1
118,9,367,2431,63.8625,0.0325269,1
119,9,367,2497,77.1207,0.0298537,1
120,5,1194,4838,267.077,0.00858191,1
121,5,1194,4901,238.545,0.00866276,1
122,5,1194,4981,227.4,0.00902929,1
123,5,1194,4886,223.267,0.00860726,1
124,5,1194,4801,435.375,0.00892476,1
125,5,642,3814,104.692,0.010594,1
126,5,642,3823,126.486,0.00908134,1
127,5,642,3771,113.565,0.0104776,1
128,5,642,3828,119.727,0.00992635,1
129,5,642,3786,115.559,0.0099057,1
130,7,1615,11507,123.684,0.0725888,1
131,7,1615,11668,107.857,0.0821747,1
132,7,1615,11592,123.429,0.0680894,1
133,7,1615,11589,133.615,0.0673871,1
134,7,1615,11520,118.413,0.0652544,1
135,3,1480,7818,182.375,0.00557346,1
136,3,1480,7575,213,0.00560871,1
137,3,1480,7787,191.4,0.00569334,1
138,3,1480,7604,182.4,0.00543168,1
139,3,1480,7798,362,0.00565953,1
140,3,923,4148,252.571,0.00312967,1
141,3,923,4080,181.6,0.00313389,1
142,3,923,4112,226.75,0.00319387,1
143,3,923,4173,200.375,0.00317539,1
144,3,923,4228,213.2,0.00315087,1
145,10,159,491,188.419,0.00227711,1
146,10,159,487,169.622,0.00228162,1
147,10,159,497,164.933,0.00246959,1
148,10,159,480,106.258,0.00196933,1
149,10,159,489,95.2051,0.00272416,1
150,9,299,1765,95.9365,0.0117882,1
151,9,299,1779,101.274,0.0129526,1
152,9,299,1751,92.0339,0.0136707,1
153,9,299,1753,92.3469,0.0131331,1
154,9,299,1700,100.031,0.0110872,1
155,9,1447,9454,120.477,0.0880256,1
156,9,1447,9390,121.311,0.0913024,1
157,9,1447,9482,109.348,0.0791017,1
158,9,1447,9530,128.786,0.0808857,1
159,9,1447,9661,118.673,0.0951951,1
160,9,968,4354,135.386,0.0309839,1
161,9,968,4344,135.974,0.0270818,1
162,9,968,4468,159,0.0276738,1
163,9,968,4417,126.455,0.0295191,1
164,9,968,4457,167.61,0.0270408,1
165,6,519,3795,122.625,0.0150875,1
166,6,519,3791,132,0.0152748,1
167,6,519,3850,120.375,0.0144011,1
168,6,519,3865,114.488,0.0148278,1
169,6,519,3985,109.75,0.0155857,1
170,3,1372,7163,181.333,0.0052736,1
171,3,1372,7295,174.1,0.00522706,1
172,3,1372,7236,209.6,0.00556855,1
173,3,1372,7169,183.4,0.0050384,1
174,3,1372,7230,175.667,0.00532671,1
175,8,961,4248,154.862,0.0178389,1
176,8,961,4384,143.079,0.0191691,1
177,8,961,4416,161.071,0.0194849,1
178,8,961,4364,173.545,0.0192655,1
179,8,961,4345,168.704,0.0201436,1
180,10,1430,9130,120.521,0.112599,1
181,10,1430,9055,112.643,0.124748,1
182,10,1430,9004,113.603,0.111284,1
183,10,1430,9105,117.661,0.115066,1
184,10,1430,9029,122.147,0.121743,1
185,10,1554,6402,149.55,0.0406181,1
186,10,1554,6399,148.595,0.0452643,1
187,10,1554,6369,171.686,0.0424434,1
188,10,1554,6321,158.154,0.038464,1
189,10,1554,6384,155.821,0.0444559,1
190,7,1687,10627,149.077,0.0535911,1
191,7,1687,10634,162.875,0.0527372,1
192,7,1687,10581,129.216,0.0523021,1
193,7,1687,10648,152.394,0.0523218,1
194,7,1687,10527,147.794,0.0543434,1
195,10,308,2555,98.439,0.0225223,1
196,10,308,2548,100.576,0.0256331,1
197,10,308,2537,86.2561,0.020673,1
198,10,308,2579,96.2703,0.0241231,1
199,10,308,2522,92.4615,0.0218038,1
200,8,1638,9423,160.828,0.0515336,1
201,8,1638,9278,154.9,0.0478295,1
202,8,1638,9378,165.273,0.0509753,1
203,8,1638,9531,163.829,0.0516582,1
204,8,1638,9468,162.621,0.049386,1
205,10,668,3225,116.551,0.0314491,1
206,10,668,3225,116.152,0.0331624,1
207,10,668,3171,118.47,0.029007,1
208,10,668,3225,113.877,0.0316079,1
209,10,668,3243,109.982,0.0310157,1
210,4,681,3808,131.125,0.00550285,1
211,4,681,3661,117.208,0.00535968,1
212,4,681,3830,121.478,0.00530212,1
213,4,681,3780,147.16,0.00522884,1
214,4,681,3780,142.125,0.00541911,1
215,9,440,2269,135.628,0.0181629,1
216,9,440,2340,114.235,0.020047,1
217,9,440,2316,113.607,0.0150432,1
218,9,440,2278,141.521,0.0138045,1
219,9,440,2254,105.783,0.0159599,1
220,9,1248,5562,145.135,0.0384971,1
