index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,193,993,149.05,0.18834,1
1,4,193,1041,181.027,0.241733,1
2,4,193,1033,135.088,0.223133,1
3,4,193,1067,159.644,0.22838,1
4,4,193,973,161.544,0.212154,1
5,10,1766,7880,117.006,16.0759,1
6,10,1766,7862,107.366,16.2652,1
7,10,1766,7879,116.224,16.3604,1
8,10,1766,7819,116.069,16.6042,1
9,10,1766,7816,120.45,16.7395,1
10,9,702,4346,117.793,2.47215,1
11,9,702,4465,126.138,2.54835,1
12,9,702,4571,134.234,2.7477,1
13,9,702,4512,120.801,2.70743,1
14,9,702,4493,114.869,2.5275,1
15,4,1474,9270,95.8283,11.7192,1
16,4,1474,9292,104.866,12.0119,1
17,4,1474,9322,101.711,11.9536,1
18,4,1474,9270,99.5076,11.5913,1
19,4,1474,9225,99.016,11.5183,1
20,6,512,3022,158.247,1.6658,1
21,6,512,3139,139.772,1.63127,1
22,6,512,3087,133.448,1.55688,1
23,6,512,3132,141.402,1.56007,1
24,6,512,3098,124.587,1.55094,1
25,5,447,1883,113.181,0.689595,1
26,5,447,2074,125.866,0.729602,1
27,5,447,2014,127.842,0.706373,1
28,5,447,1988,145.791,0.717229,1
29,5,447,1900,111.341,0.722948,1
30,8,990,6432,124.657,5.18286,1
31,8,990,6357,126.774,4.79326,1
32,8,990,6388,113.438,5.04829,1
33,8,990,6380,124.778,5.03133,1
34,8,990,6209,118.153,5.06649,1
35,5,124,514,111.686,0.0512695,1
36,5,124,516,104.202,0.0497049,1
37,5,124,514,91.2881,0.0520584,1
38,5,124,504,124.646,0.0505996,1
39,5,124,510,84.1827,0.0544474,1
40,5,1517,9267,106.638,15.5765,1
41,5,1517,9268,98.3745,16.3605,1
42,5,1517,9310,102.522,16.9599,1
43,5,1517,9385,101.833,16.2831,1
44,5,1517,9206,95.7724,15.7605,1
45,10,1054,5168,148.338,5.2226,1
46,10,1054,5161,131.901,5.24007,1
47,10,1054,5061,141.672,5.11483,1
48,10,1054,5084,137.867,5.21927,1
49,10,1054,5045,146.866,5.06626,1
50,3,912,5219,114.001,3.98031,1
51,3,912,5224,103.127,4.02201,1
52,3,912,5082,110.422,3.69411,1
53,3,912,5144,114.682,3.81683,1
54,3,912,5258,122.849,3.89917,1
55,9,1148,6304,100.542,7.31575,1
56,9,1148,6422,109.711,7.3983,1
57,9,1148,6426,104.163,7.44126,1
58,9,1148,6382,111.736,7.31712,1
59,9,1148,6453,107.278,7.13523,1
60,3,1275,7744,121.468,8.46789,1
61,3,1275,8010,114.931,8.18683,1
62,3,1275,7765,138.078,8.55254,1
63,3,1275,7950,121.322,8.74168,1
64,3,1275,7805,118.179,8.26597,1
65,10,109,688,141.38,0.0885955,1
66,10,109,722,78.7982,0.104765,1
67,10,109,715,146.96,0.103353,1
68,10,109,710,111.574,0.0897833,1
69,10,109,676,108.837,0.0980265,1
70,9,439,2577,152.058,1.11987,1
71,9,439,2525,141.699,1.16584,1
72,9,439,2572,169.217,1.22468,1
73,9,439,2566,111.763,1.13855,1
74,9,439,2613,143.663,1.21425,1
75,6,1086,3092,158.56,4.61968,1
76,6,1086,3051,140.016,4.49163,1
77,6,1086,2998,145.007,4.5329,1
78,6,1086,3055,132.597,4.54399,1
79,6,1086,3072,183.652,4.51534,1
80,9,680,4026,142.149,2.59841,1
81,9,680,4108,111.488,2.45946,1
82,9,680,4083,136.062,2.60472,1
83,9,680,4201,128.922,2.66993,1
84,9,680,4080,130.235,2.73512,1
85,6,306,1424,101.076,0.655841,1
86,6,306,1413,117.656,0.723536,1
87,6,306,1456,126.467,0.705047,1
88,6,306,1455,104.267,0.720459,1
89,6,306,1433,106.509,0.666427,1
90,3,906,3464,135.661,2.85131,1
91,3,906,3502,132.363,2.91712,1
92,3,906,3373,126.071,2.84078,1
93,3,906,3585,161.769,2.90265,1
94,3,906,3411,163.333,2.87477,1
95,8,484,3491,147.685,1.63299,1
96,8,484,3509,152.585,1.64983,1
97,8,484,3503,137.423,1.54989,1
98,8,484,3407,140.725,1.65982,1
99,8,484,3492,153.275,1.65798,1
100,8,753,3812,144.002,2.48116,1
101,8,753,3921,137.609,2.59086,1
102,8,753,3900,137.656,2.45934,1
103,8,753,3794,150.32,2.5817,1
104,8,753,3826,130.065,2.44326,1
105,10,1352,9565,136.673,13.4387,1
106,10,1352,9345,128.879,13.9132,1
107,10,1352,9540,141.225,13.8379,1
108,10,1352,9546,123.547,13.6338,1
109,10,1352,9474,136.691,14.0827,1
110,5,821,3773,135.031,3.27992,1
111,5,821,3707,121.579,3.21836,1
112,5,821,3746,115.524,3.07212,1
113,5,821,3787,103.785,3.1172,1
114,5,821,3668,109.223,3.1497,1
115,9,367,2380,93.8538,0.999242,1
116,9,367,2478,83.1971,0.931216,1
117,9,367,2374,89.9783,0.991309,1
118,9,367,2431,84.3924,0.959818,1
119,9,367,2497,100.377,0.900415,1
120,5,1194,4838,127.431,5.86195,1
121,5,1194,4901,116.951,5.89132,1
122,5,1194,4981,114.501,5.97172,1
123,5,1194,4886,111.798,5.99512,1
124,5,1194,4801,117.031,5.83117,1
125,5,642,3814,137.631,2.71013,1
126,5,642,3823,152.695,2.79078,1
127,5,642,3771,146.815,2.89415,1
128,5,642,3828,133.403,2.75634,1
129,5,642,3786,147.19,2.98623,1
130,7,1615,11507,190.357,24.2373,1
131,7,1615,11668,157.712,23.5711,1
132,7,1615,11592,158.361,24.0587,1
133,7,1615,11589,173.441,23.3979,1
134,7,1615,11520,173.686,23.0509,1
135,3,1480,7818,149.944,13.7584,1
136,3,1480,7575,157.335,13.8522,1
137,3,1480,7787,164.336,14.4329,1
138,3,1480,7604,154.808,14.2646,1
139,3,1480,7798,147.894,13.6792,1
140,3,923,4148,135.733,4.14833,1
141,3,923,4080,129.577,3.97521,1
142,3,923,4112,115.578,3.91799,1
143,3,923,4173,143.539,4.24018,1
144,3,923,4228,125.326,3.98287,1
145,10,159,491,144.669,0.101797,1
146,10,159,487,158.664,0.0896621,1
147,10,159,497,136.524,0.108357,1
148,10,159,480,108.955,0.0946109,1
149,10,159,489,103.201,0.103074,1
150,9,299,1765,98,0.445797,1
151,9,299,1779,93.1413,0.438381,1
152,9,299,1751,101.222,0.415833,1
153,9,299,1753,100.593,0.447114,1
154,9,299,1700,91.8432,0.403322,1
155,9,1447,9454,121.196,12.1567,1
156,9,1447,9390,121.412,11.6799,1
157,9,1447,9482,110.713,11.8184,1
158,9,1447,9530,123.671,11.7008,1
159,9,1447,9661,126.121,12.1462,1
160,9,968,4354,123.598,4.73054,1
161,9,968,4344,143.739,4.90725,1
162,9,968,4468,146.36,4.83731,1
163,9,968,4417,118.182,4.89064,1
164,9,968,4457,144.472,4.86938,1
165,6,519,3795,142.205,1.47434,1
166,6,519,3791,158.092,1.49396,1
167,6,519,3850,134.094,1.34568,1
168,6,519,3865,152.156,1.46248,1
169,6,519,3985,139.051,1.40038,1
170,3,1372,7163,109.225,10.912,1
171,3,1372,7295,122.696,11.4005,1
172,3,1372,7236,108.044,10.9126,1
173,3,1372,7169,115.732,11.1836,1
174,3,1372,7230,121.717,11.9082,1
175,8,961,4248,110.03,4.07169,1
176,8,961,4384,118.197,4.05602,1
177,8,961,4416,125.118,4.26186,1
178,8,961,4364,118.017,4.12527,1
179,8,961,4345,107.024,4.20109,1
180,10,1430,9130,158.231,15.38,1
181,10,1430,9055,156.068,15.2685,1
182,10,1430,9004,148.769,15.1912,1
183,10,1430,9105,146.486,15.1783,1
184,10,1430,9029,157.777,15.1518,1
185,10,1554,6402,110.6,12.1017,1
186,10,1554,6399,119.482,12.5382,1
187,10,1554,6369,113.549,12.316,1
188,10,1554,6321,116.571,12.2864,1
189,10,1554,6384,118.439,12.2359,1
190,7,1687,10627,157.417,20.007,1
191,7,1687,10634,152.21,19.1281,1
192,7,1687,10581,157.322,20.5465,1
193,7,1687,10648,160.808,19.8109,1
194,7,1687,10527,156.815,19.7241,1
195,10,308,2555,137.663,0.555336,1
196,10,308,2548,140.694,0.576796,1
197,10,308,2537,122.054,0.508554,1
198,10,308,2579,147.714,0.560468,1
199,10,308,2522,131.414,0.486499,1
200,8,1638,9423,118.616,14.2718,1
201,8,1638,9278,134.467,14.5395,1
202,8,1638,9378,124.775,14.0564,1
203,8,1638,9531,122.609,14.2134,1
204,8,1638,9468,127.609,14.1629,1
205,10,668,3225,119.89,2.30999,1
206,10,668,3225,121.1,2.3224,1
207,10,668,3171,115.96,2.37302,1
208,10,668,3225,111.903,2.32566,1
209,10,668,3243,113.138,2.30214,1
210,4,681,3808,103.01,2.54617,1
211,4,681,3661,133.051,2.50578,1
212,4,681,3830,108.562,2.52316,1
213,4,681,3780,117.177,2.54766,1
214,4,681,3780,109.079,2.55286,1
215,9,440,2269,107.376,0.896022,1
216,9,440,2340,103.208,0.877103,1
217,9,440,2316,93.9722,0.884332,1
218,9,440,2278,120.297,0.859889,1
219,9,440,2254,89.5401,0.864555,1
220,9,1248,5562,116.825,8.05977,1
221,9,1248,5529,116.935,7.94722,1
222,9,1248,5449,117.913,8.26512,1
223,9,1248,5482,111.469,8.09907,1
