index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,193,993,199.39,0.176851,1
1,4,193,1041,265.921,0.204545,1
2,4,193,1033,189.831,0.203725,1
3,4,193,1067,206.539,0.206601,1
4,4,193,973,206.067,0.177505,1
5,10,1766,7880,196.136,14.7489,1
6,10,1766,7862,137.576,14.653,1
7,10,1766,7879,145.599,15.2018,1
8,10,1766,7819,145.551,15.066,1
9,10,1766,7816,159.842,14.8893,1
10,9,702,4346,139.665,2.37977,1
11,9,702,4465,146.704,2.54474,1
12,9,702,4571,157.343,2.55495,1
13,9,702,4512,140.086,2.52038,1
14,9,702,4493,134.191,2.48484,1
15,4,1474,9270,156.549,13.4283,1
16,4,1474,9292,175.758,13.5652,1
17,4,1474,9322,144.407,13.6328,1
18,4,1474,9270,157.975,12.6763,1
19,4,1474,9225,169.784,13.3177,1
20,6,512,3022,210.643,1.45061,1
21,6,512,3139,189.323,1.37154,1
22,6,512,3087,187.005,1.38643,1
23,6,512,3132,194.136,1.30509,1
24,6,512,3098,187.416,1.25634,1
25,5,447,1883,155.408,0.663733,1
26,5,447,2074,182.333,0.768479,1
27,5,447,2014,170.722,0.708073,1
28,5,447,1988,195.868,0.707357,1
29,5,447,1900,149.344,0.718096,1
30,8,990,6432,157.925,4.87693,1
31,8,990,6357,159.891,4.96573,1
32,8,990,6388,139.445,4.998,1
33,8,990,6380,149.205,4.86289,1
34,8,990,6209,148.446,4.81155,1
35,5,124,514,149.055,0.048457,1
36,5,124,516,128.203,0.0493708,1
37,5,124,514,116.159,0.0693044,1
38,5,124,504,168.041,0.0549456,1
39,5,124,510,119.254,0.0560049,1
40,5,1517,9267,141.425,15.9031,1
41,5,1517,9268,138.428,16.3681,1
42,5,1517,9310,136.91,16.0563,1
43,5,1517,9385,147.065,17.0406,1
44,5,1517,9206,130.551,16.6475,1
45,10,1054,5168,180.382,4.72746,1
46,10,1054,5161,155.513,4.62797,1
47,10,1054,5061,168.447,4.79594,1
48,10,1054,5084,160.476,5.06434,1
49,10,1054,5045,171.795,4.7145,1
50,3,912,5219,169.551,4.6823,1
51,3,912,5224,233.059,4.94541,1
52,3,912,5082,211.07,4.49003,1
53,3,912,5144,206.655,4.6254,1
54,3,912,5258,208.107,4.53266,1
55,9,1148,6304,138.757,6.44924,1
56,9,1148,6422,147.75,6.72432,1
57,9,1148,6426,148.494,6.60141,1
58,9,1148,6382,150.833,6.59652,1
59,9,1148,6453,151.957,6.69497,1
60,3,1275,7744,246.783,10.2613,1
61,3,1275,8010,207.136,10.5195,1
62,3,1275,7765,207.819,10.0977,1
63,3,1275,7950,172.973,10.4615,1
64,3,1275,7805,266.381,10.0637,1
65,10,109,688,175.494,0.113765,1
66,10,109,722,95.2162,0.105844,1
67,10,109,715,161.822,0.0933061,1
68,10,109,710,123.945,0.0992382,1
69,10,109,676,131.934,0.0836559,1
70,9,439,2577,177.187,1.01618,1
71,9,439,2525,174.227,1.07832,1
72,9,439,2572,200.457,1.07784,1
73,9,439,2566,134.963,1.06615,1
74,9,439,2613,170.041,1.02021,1
75,6,1086,3092,261.188,4.1614,1
76,6,1086,3051,191.571,4.10726,1
77,6,1086,2998,310.654,4.18315,1
78,6,1086,3055,238.143,4.18761,1
79,6,1086,3072,278.062,4.1253,1
80,9,680,4026,188.659,2.14933,1
81,9,680,4108,148.442,2.22287,1
82,9,680,4083,177.166,2.14679,1
83,9,680,4201,162.014,2.21423,1
84,9,680,4080,173.82,2.19454,1
85,6,306,1424,142.879,0.508825,1
86,6,306,1413,155.877,0.640464,1
87,6,306,1456,176.643,0.615773,1
88,6,306,1455,142.831,0.59891,1
89,6,306,1433,147.662,0.608764,1
90,3,906,3464,279.3,3.07078,1
91,3,906,3502,286.25,3.15184,1
92,3,906,3373,264.8,3.11414,1
93,3,906,3585,284.355,3.30045,1
94,3,906,3411,248.077,3.0939,1
95,8,484,3491,187.653,1.5226,1
96,8,484,3509,188.863,1.49371,1
97,8,484,3503,179.118,1.53656,1
98,8,484,3407,190.993,1.48457,1
99,8,484,3492,192.601,1.46353,1
100,8,753,3812,188.811,2.332,1
101,8,753,3921,174.135,2.4189,1
102,8,753,3900,182,2.28977,1
103,8,753,3794,198.924,2.24349,1
104,8,753,3826,168.396,2.22267,1
105,10,1352,9565,161.335,12.7711,1
106,10,1352,9345,155.786,12.8417,1
107,10,1352,9540,166.346,13.0632,1
108,10,1352,9546,147.308,12.9257,1
109,10,1352,9474,165.695,12.9506,1
110,5,821,3773,197.811,2.92494,1
111,5,821,3707,172.728,2.99705,1
112,5,821,3746,192.667,2.84762,1
113,5,821,3787,159.895,2.9522,1
114,5,821,3668,156.229,2.85956,1
115,9,367,2380,113.054,0.945969,1
116,9,367,2478,101.802,0.958485,1
117,9,367,2374,115.36,0.871158,1
118,9,367,2431,103.402,0.93456,1
119,9,367,2497,125.171,0.972434,1
120,5,1194,4838,274.353,5.73818,1
121,5,1194,4901,197.3,5.91654,1
122,5,1194,4981,169.016,5.83674,1
123,5,1194,4886,211.857,5.69515,1
124,5,1194,4801,191.552,5.94835,1
125,5,642,3814,184.813,2.42359,1
126,5,642,3823,214.5,2.47804,1
127,5,642,3771,204.145,2.59158,1
128,5,642,3828,178.704,2.55301,1
129,5,642,3786,196.605,2.49541,1
130,7,1615,11507,234.462,19.6343,1
131,7,1615,11668,198.748,19.7223,1
132,7,1615,11592,201.602,19.4791,1
133,7,1615,11589,217.96,19.1635,1
134,7,1615,11520,213.833,19.3515,1
135,3,1480,7818,236.986,13.7595,1
136,3,1480,7575,239.118,13.4305,1
137,3,1480,7787,324.879,13.9214,1
138,3,1480,7604,248.808,13.8312,1
139,3,1480,7798,233.5,13.4472,1
140,3,923,4148,253.571,4.16604,1
141,3,923,4080,246.957,4.03072,1
142,3,923,4112,226.333,3.90055,1
143,3,923,4173,264.408,4.21496,1
144,3,923,4228,224.286,3.95505,1
145,10,159,491,189.517,0.0841941,1
146,10,159,487,191.082,0.073947,1
147,10,159,497,186.125,0.0882418,1
148,10,159,480,139.32,0.0941382,1
149,10,159,489,123.991,0.0982923,1
150,9,299,1765,120.952,0.408614,1
151,9,299,1779,118.688,0.420952,1
152,9,299,1751,126.748,0.409236,1
153,9,299,1753,124.03,0.372955,1
154,9,299,1700,111.255,0.385265,1
155,9,1447,9454,143.831,11.5992,1
156,9,1447,9390,143.094,11.3676,1
157,9,1447,9482,136.463,11.5754,1
158,9,1447,9530,147.901,11.354,1
159,9,1447,9661,147.45,11.8032,1
160,9,968,4354,172.752,3.9744,1
161,9,968,4344,198.02,4.0114,1
162,9,968,4468,213.012,4.05841,1
163,9,968,4417,175.78,3.98753,1
164,9,968,4457,186.316,3.99516,1
165,6,519,3795,177.926,1.45437,1
166,6,519,3791,191.607,1.46114,1
167,6,519,3850,170.415,1.53275,1
168,6,519,3865,192.963,1.53842,1
169,6,519,3985,176.352,1.65044,1
170,3,1372,7163,222.457,11.825,1
171,3,1372,7295,226.577,12.0462,1
172,3,1372,7236,210.833,11.5524,1
173,3,1372,7169,244.536,11.5436,1
174,3,1372,7230,207.704,11.7149,1
175,8,961,4248,145.786,3.8183,1
176,8,961,4384,157.194,3.82449,1
177,8,961,4416,153.186,3.91759,1
178,8,961,4364,152.026,3.83629,1
179,8,961,4345,189.436,3.774,1
180,10,1430,9130,196.649,12.8654,1
181,10,1430,9055,190.957,13.3258,1
182,10,1430,9004,187.004,12.876,1
183,10,1430,9105,184.024,12.929,1
184,10,1430,9029,195.191,12.7722,1
185,10,1554,6402,140.977,11.325,1
186,10,1554,6399,149.541,11.3436,1
187,10,1554,6369,144.725,11.17,1
188,10,1554,6321,148.818,11.0495,1
189,10,1554,6384,150.749,11.1746,1
190,7,1687,10627,207.262,17.1808,1
191,7,1687,10634,198.073,16.8124,1
192,7,1687,10581,204.212,17.0347,1
193,7,1687,10648,208.93,17.2596,1
194,7,1687,10527,208.348,17.5915,1
195,10,308,2555,159.591,0.576415,1
196,10,308,2548,160.241,0.592355,1
197,10,308,2537,138.357,0.537867,1
198,10,308,2579,164.626,0.642847,1
199,10,308,2522,154.013,0.542538,1
200,8,1638,9423,145.909,13.2544,1
201,8,1638,9278,163.094,13.5665,1
202,8,1638,9378,156.959,13.6414,1
203,8,1638,9531,149.659,13.4036,1
204,8,1638,9468,156.83,13.4591,1
205,10,668,3225,147.679,2.08257,1
206,10,668,3225,147.463,2.10194,1
207,10,668,3171,142.715,2.01945,1
208,10,668,3225,145.164,2.10222,1
209,10,668,3243,144.142,2.13565,1
210,4,681,3808,178.108,2.66362,1
211,4,681,3661,180.673,2.56856,1
212,4,681,3830,158.905,2.62095,1
213,4,681,3780,285.12,2.56967,1
214,4,681,3780,151.501,2.62785,1
215,9,440,2269,146.185,0.767812,1
216,9,440,2340,133.822,0.828501,1
217,9,440,2316,127.201,0.787644,1
218,9,440,2278,155.363,0.763446,1
219,9,440,2254,127.45,0.785105,1
220,9,1248,5562,148.137,7.27763,1
221,9,1248,5529,163.17,7.15181,1
222,9,1248,5449,149.3,7.51199,1
223,9,1248,5482,142.226,7.39558,1
224,9,1248,5492,153.88,7.09128,1
225,4,1293,4702,239.37,6.66261,1
226,4,1293,4683,233.625,6.73894,1
227,4,1293,4646,277.818,6.60386,1
228,4,1293,4704,266.519,6.73339,1
229,4,1293,4788,248.182,6.7384,1
230,4,685,4834,213.479,3.07874,1
231,4,685,4799,156.977,2.99386,1
232,4,685,4824,147.989,3.00093,1
233,4,685,4842,138.555,2.99031,1
234,4,685,4943,170.157,3.08778,1
235,9,1389,12431,140.753,13.2192,1
236,9,1389,12474,152.107,14.1129,1
237,9,1389,12593,139.876,14.2005,1
238,9,1389,12421,148.154,13.7109,1
239,9,1389,12485,151.163,14.1395,1
240,3,389,1661,347.833,0.538914,1
241,3,389,1720,389.833,0.584206,1
242,3,389,1710,233.155,0.605574,1
243,3,389,1700,269.719,0.578566,1
244,3,389,1743,333.516,0.584222,1
245,5,1356,4263,360.182,7.34337,1
246,5,1356,4401,287.667,7.6624,1
247,5,1356,4257,242.205,7.30023,1
248,5,1356,4354,214.423,7.44054,1
249,5,1356,4299,306.455,7.40719,1
250,10,327,2809,115.46,1.10004,1
251,10,327,2799,114.179,1.05774,1
252,10,327,2792,123.121,0.963309,1
253,10,327,2807,96.6826,0.861534,1
254,10,327,2762,116.804,1.25291,1
255,6,1301,8612,171.926,11.2452,1
256,6,1301,8723,141.8,11.3638,1
257,6,1301,8826,164.454,11.4959,1
258,6,1301,8892,151.658,11.3385,1
259,6,1301,8722,169.93,11.3364,1
260,3,754,3819,267.455,2.93533,1
261,3,754,3777,264.483,2.83777,1
262,3,754,3775,232.885,3.02347,1
263,3,754,3872,255.818,3.1837,1
264,3,754,3863,286.633,3.22661,1
265,10,1510,4713,182.441,9.31361,1
266,10,1510,4758,161.661,9.27187,1
267,10,1510,4861,174.529,9.29909,1
268,10,1510,4899,164.376,9.52305,1
269,10,1510,4866,166.488,9.52792,1
270,8,1330,7216,165.667,8.05164,1
271,8,1330,7327,153.377,8.18762,1
272,8,1330,7195,154.509,8.28915,1
273,8,1330,7252,164.317,8.27415,1
274,8,1330,7247,158.523,8.34962,1
275,9,1707,9330,161.426,18.737,1
276,9,1707,9321,174.471,17.6986,1
277,9,1707,9436,168.69,18.2821,1
