index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,193,993,149.068,0.366579,1
1,4,193,1041,180.993,0.439306,1
2,4,193,1033,134.986,0.460102,1
3,4,193,1067,158.35,0.444003,1
4,4,193,973,159.822,0.448659,1
5,10,1766,7880,115.782,84.1765,1
6,10,1766,7862,106.357,76.4534,1
7,10,1766,7879,115.151,81.762,1
8,10,1766,7819,114.515,75.5429,1
9,10,1766,7816,121.642,81.72,1
10,9,702,4346,117.367,38.0988,1
11,9,702,4465,125.27,37.4073,1
12,9,702,4571,133.342,52.827,1
13,9,702,4512,120.767,22.0538,1
14,9,702,4493,114.617,37.0209,1
15,4,1474,9270,95.7103,48.5925,1
16,4,1474,9292,105.081,49.9683,1
17,4,1474,9322,101.944,49.239,1
18,4,1474,9270,100.119,48.4529,1
19,4,1474,9225,98.6836,48.0347,1
20,6,512,3022,159.674,8.17483,1
21,6,512,3139,140.68,9.2409,1
22,6,512,3087,137.186,7.79246,1
23,6,512,3132,143.804,8.94256,1
24,6,512,3098,130.272,8.07764,1
25,5,447,1883,116.692,1.78967,1
26,5,447,2074,125.893,2.38808,1
27,5,447,2014,126.686,2.17257,1
28,5,447,1988,145.195,2.24628,1
29,5,447,1900,109.288,1.80773,1
30,8,990,6432,124.295,55.3746,1
31,8,990,6357,125.987,41.8757,1
32,8,990,6388,112.964,51.0169,1
33,8,990,6380,123.922,65.4084,1
34,8,990,6209,117.876,41.6762,1
35,5,124,514,111.813,0.0973324,1
36,5,124,516,101.2,0.110077,1
37,5,124,514,91.2881,0.116229,1
38,5,124,504,122.273,0.10094,1
39,5,124,510,84.463,0.103998,1
40,5,1517,9267,106.328,79.1663,1
41,5,1517,9268,98.1947,77.3117,1
42,5,1517,9310,101.87,84.3932,1
43,5,1517,9385,101.723,85.319,1
44,5,1517,9206,95.3397,83.0899,1
45,10,1054,5168,146.775,33.3915,1
46,10,1054,5161,130.133,43.4669,1
47,10,1054,5061,140.153,46.3723,1
48,10,1054,5084,136.256,43.0032,1
49,10,1054,5045,145.1,25.8125,1
50,3,912,5219,113.026,12.3945,1
51,3,912,5224,101.945,12.1714,1
52,3,912,5082,110.185,11.0116,1
53,3,912,5144,115.883,10.8801,1
54,3,912,5258,120.852,11.2921,1
55,9,1148,6304,100.516,49.4184,1
56,9,1148,6422,110.716,59.2265,1
57,9,1148,6426,105.611,68.784,1
58,9,1148,6382,111.319,66.5606,1
59,9,1148,6453,108.355,58.5887,1
60,3,1275,7744,120.005,26.7171,1
61,3,1275,8010,114.946,27.1945,1
62,3,1275,7765,136.775,27.2402,1
63,3,1275,7950,120.801,26.7857,1
64,3,1275,7805,117.591,26.5222,1
65,10,109,688,141.38,0.165182,1
66,10,109,722,78.7982,0.233085,1
67,10,109,715,146.96,0.207627,1
68,10,109,710,111.574,0.194915,1
69,10,109,676,109.366,0.2803,1
70,9,439,2577,150.696,7.78017,1
71,9,439,2525,141.174,7.242,1
72,9,439,2572,169.886,8.62606,1
73,9,439,2566,111.864,7.48363,1
74,9,439,2613,143.229,12.5182,1
75,6,1086,3092,158.56,7.17653,1
76,6,1086,3051,154.353,6.60988,1
77,6,1086,2998,162.932,6.13143,1
78,6,1086,3055,158.357,6.57349,1
79,6,1086,3072,183.652,6.88234,1
80,9,680,4026,144.829,28.8632,1
81,9,680,4108,111.465,22.9728,1
82,9,680,4083,138.652,27.3572,1
83,9,680,4201,128.49,25.3346,1
84,9,680,4080,131.246,27.1185,1
85,6,306,1424,103.561,1.96194,1
86,6,306,1413,118.247,1.63815,1
87,6,306,1456,125.814,1.76412,1
88,6,306,1455,104.732,2.13925,1
89,6,306,1433,104.287,1.91683,1
90,3,906,3464,159.455,6.27335,1
91,3,906,3502,200.944,6.10247,1
92,3,906,3373,280.75,5.93708,1
93,3,906,3585,195.111,6.28537,1
94,3,906,3411,178.162,5.68682,1
95,8,484,3491,148.108,17.6756,1
96,8,484,3509,150.709,18.8148,1
97,8,484,3503,137.399,14.5691,1
