index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,79,221,147.97,0.0890219,1
1,5,79,223,83.5161,0.0990074,1
2,5,79,247,170.882,0.0827429,1
3,5,79,224,98.6042,0.193358,1
4,5,79,216,218.308,0.0341314,1
5,6,58,108,175.03,0.062823,1
6,6,58,97,157.357,0.0217918,1
7,6,58,101,226.033,0.0195636,1
8,6,58,95,90.625,0.0252726,1
9,6,58,110,154.543,0.0217671,1
10,3,106,457,158.263,0.123809,1
11,3,106,453,127.5,0.105721,1
12,3,106,482,113.5,0.0505324,1
13,3,106,498,119.127,0.334228,1
14,3,106,470,105.579,0.179053,1
15,8,154,382,130.082,0.331403,1
16,8,154,366,99.9375,1.00161,1
17,8,154,346,145.212,0.461589,1
18,8,154,377,201.397,0.296005,1
19,8,154,371,151.495,0.320601,1
20,5,152,917,108.879,1.61228,1
21,5,152,886,113.496,0.112598,1
22,5,152,894,166.317,0.626191,1
23,5,152,927,149.609,0.429848,1
24,5,152,930,112.521,0.210004,1
25,8,141,450,133.411,0.535597,1
26,8,141,458,126.565,0.224888,1
27,8,141,434,144.906,0.211247,1
28,8,141,454,201.734,0.41767,1
29,8,141,470,122.192,0.521186,1
30,4,117,661,133.678,0.145776,1
31,4,117,679,197.96,0.0623815,1
32,4,117,662,111.27,0.0495617,1
33,4,117,675,143.766,0.228775,1
34,4,117,676,157.409,0.0418723,1
35,5,193,931,114.426,0.481358,1
36,5,193,939,96.5579,1.49188,1
37,5,193,933,118.41,2.29288,1
38,5,193,949,97.3673,0.97218,1
39,5,193,1000,78.0849,2.96096,1
40,7,50,57,129.875,0.0140939,1
41,7,50,54,218.542,0.0226669,1
42,7,50,64,203.542,0.0183461,1
43,7,50,61,133.87,0.0117995,1
44,7,50,51,135.688,0.0161834,1
45,3,92,369,156.483,0.120373,1
46,3,92,352,192.14,0.138786,1
47,3,92,349,218.073,0.0815375,1
48,3,92,386,123.559,0.0943355,1
49,3,92,353,206.447,0.1683,1
50,6,153,515,118.741,0.263639,1
51,6,153,525,171.74,0.389559,1
52,6,153,488,131,0.267047,1
53,6,153,528,145.178,0.267527,1
54,6,153,509,153.027,0.37345,1
55,5,116,372,144.055,0.182115,1
56,5,116,410,152.87,0.231942,1
57,5,116,360,172.014,0.243128,1
58,5,116,378,240.9,0.120709,1
59,5,116,389,199.481,0.0318135,1
60,3,134,862,114.143,0.367353,1
61,3,134,857,115.987,0.192061,1
62,3,134,822,124.962,0.482271,1
63,3,134,846,140.061,0.460309,1
64,3,134,854,149.634,0.33226,1
65,8,171,657,156.139,0.75562,1
66,8,171,713,127.543,0.480353,1
67,8,171,749,159.959,0.436879,1
68,8,171,706,148.411,0.666782,1
69,8,171,721,144.88,1.09811,1
70,7,118,368,202.267,0.213544,1
71,7,118,346,204.175,0.0655915,1
72,7,118,344,231.836,0.192727,1
73,7,118,390,152.529,0.415652,1
74,7,118,362,169.862,0.189862,1
75,8,160,561,144.517,1.44152,1
76,8,160,539,150.933,0.539562,1
77,8,160,528,170.433,0.62105,1
78,8,160,538,189.217,0.374601,1
79,8,160,518,141.462,4.10493,1
80,6,75,162,88.0278,0.108961,1
81,6,75,161,96.2093,0.0792921,1
82,6,75,166,70.8148,0.0781184,1
83,6,75,177,106.08,0.0535255,1
84,6,75,180,146.593,0.0508621,1
85,4,133,698,115.155,0.0948159,1
86,4,133,689,153.583,0.254888,1
87,4,133,734,135.714,0.421358,1
88,4,133,697,108.02,0.714972,1
89,4,133,703,127.75,0.299473,1
90,8,68,104,205.684,0.0347729,1
91,8,68,140,83.4255,0.0976481,1
92,8,68,121,179.636,0.0800969,1
93,8,68,122,148.029,0.0735336,1
94,8,68,100,136.304,0.0323437,1
95,6,167,765,155.453,0.588302,1
96,6,167,831,153.455,0.726779,1
97,6,167,836,135.707,3.136,1
98,6,167,777,157.667,0.706717,1
99,6,167,818,152.468,0.451164,1
100,8,59,71,120,0.016624,1
101,8,59,51,45,0.00964278,1
102,8,59,73,137.333,0.0249064,1
103,8,59,68,95.9,0.023606,1
104,8,59,80,107.381,0.0279924,1
105,4,192,1409,116.935,0.19308,1
106,4,192,1400,101.019,0.078416,1
107,4,192,1482,106.234,0.338075,1
108,4,192,1429,136.063,0.403499,1
109,4,192,1436,97.8036,0.543054,1
110,6,98,241,163.158,0.0927925,1
111,6,98,226,131.184,0.121288,1
112,6,98,193,207.02,0.0912519,1
