index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,79,221,207.667,0.397473,1
1,5,79,223,142.615,0.0766141,1
2,5,79,247,283.375,0.0728067,1
3,5,79,224,138.257,0.104186,1
4,5,79,216,341.857,0.0418069,1
5,6,58,108,242.706,0.0464124,1
6,6,58,97,275.375,0.0193617,1
7,6,58,101,349.579,0.0645294,1
8,6,58,95,116.846,0.0205214,1
9,6,58,110,230.476,0.0357165,1
10,3,106,457,239.667,0.19237,1
11,3,106,453,215.786,0.154108,1
12,3,106,482,222.778,0.0742219,1
13,3,106,498,234,0.148375,1
14,3,106,470,265.444,0.0859145,1
15,8,154,382,219.16,0.693405,1
16,8,154,366,148.741,1.56511,1
17,8,154,346,203.761,0.406642,1
18,8,154,377,282.259,0.170452,1
19,8,154,371,206.4,0.484322,1
20,5,152,917,155.475,2.17652,1
21,5,152,886,165.971,2.67053,1
22,5,152,894,216.713,1.19691,1
23,5,152,927,235.545,1.63057,1
24,5,152,930,175.915,2.55317,1
25,8,141,450,243,0.223006,1
26,8,141,458,200.63,0.322142,1
27,8,141,434,280.2,0.168539,1
28,8,141,454,296.8,0.285793,1
29,8,141,470,191.698,0.4455,1
30,4,117,661,187.114,0.306963,1
31,4,117,679,358.6,0.355576,1
32,4,117,662,158.797,0.996211,1
33,4,117,675,201.481,0.371691,1
34,4,117,676,212.951,0.538424,1
35,5,193,931,213.714,0.231618,1
36,5,193,939,202.652,0.651006,1
37,5,193,933,196.978,0.837037,1
38,5,193,949,212.545,0.594438,1
39,5,193,1000,149.395,1.20541,1
40,7,50,57,159.846,0.011763,1
41,7,50,54,290.385,0.0139443,1
42,7,50,64,313.615,0.0224407,1
43,7,50,61,162.952,0.0148109,1
44,7,50,51,180.917,0.0150848,1
45,3,92,369,287.88,0.225187,1
46,3,92,352,407.643,0.145487,1
47,3,92,349,274.2,0.150269,1
48,3,92,386,214.267,0.168991,1
49,3,92,353,312.25,0.0938302,1
50,6,153,515,236,0.205095,1
51,6,153,525,293.167,0.40666,1
52,6,153,488,203.65,0.24374,1
53,6,153,528,272.533,0.212815,1
54,6,153,509,242.5,0.25683,1
55,5,116,372,180.413,0.459999,1
56,5,116,410,192.4,0.41624,1
57,5,116,360,307.474,0.229708,1
58,5,116,378,298.245,0.224402,1
59,5,116,389,249.322,0.168164,1
60,3,134,862,182.381,0.352587,1
61,3,134,857,229.762,0.166458,1
62,3,134,822,267.519,0.384087,1
63,3,134,846,308.125,0.314511,1
64,3,134,854,364.917,0.124408,1
65,8,171,657,244.98,0.704959,1
66,8,171,713,176.561,6.91896,1
67,8,171,749,225.742,1.01023,1
68,8,171,706,206.095,1.08624,1
69,8,171,721,251.206,2.85789,1
70,7,118,368,286.696,0.246836,1
71,7,118,346,280.971,0.197627,1
72,7,118,344,328.056,0.170682,1
73,7,118,390,252.206,0.284842,1
74,7,118,362,229.167,0.180578,1
75,8,160,561,236.585,1.10604,1
76,8,160,539,246.905,0.506288,1
77,8,160,528,276.345,0.368326,1
78,8,160,538,259.778,0.935831,1
79,8,160,518,261.85,0.584003,1
80,6,75,162,150.067,0.0700723,1
81,6,75,161,147.579,0.0646316,1
82,6,75,166,120.438,0.0637575,1
83,6,75,177,169.091,0.0605328,1
84,6,75,180,249.375,0.0799251,1
85,4,133,698,168.351,0.79572,1
86,4,133,689,305.4,0.638729,1
87,4,133,734,206.111,0.302525,1
88,4,133,697,156.59,0.786885,1
89,4,133,703,226.069,0.510532,1
90,8,68,104,266.133,0.0312814,1
91,8,68,140,150.5,0.101214,1
92,8,68,121,279.312,0.0658301,1
93,8,68,122,214.6,0.0634446,1
94,8,68,100,186.353,0.0516283,1
95,6,167,765,240.263,0.623168,1
96,6,167,831,220.462,0.747785,1
97,6,167,836,215.429,0.63914,1
98,6,167,777,272.152,1.93181,1
99,6,167,818,216.75,0.554526,1
100,8,59,71,160.667,0.0151401,1
101,8,59,51,49.5,0.0168419,1
102,8,59,73,192.267,0.0224343,1
103,8,59,68,191.6,0.0208235,1
104,8,59,80,150.333,0.027031,1
105,4,192,1409,176.976,0.936907,1
106,4,192,1400,164.106,1.29896,1
107,4,192,1482,240.939,0.58207,1
108,4,192,1429,258.895,1.26886,1
109,4,192,1436,151.49,0.96629,1
110,6,98,241,244.267,0.120502,1
111,6,98,226,195.375,0.114313,1
112,6,98,193,334.909,0.124019,1
113,6,98,219,158.115,0.102539,1
114,6,98,200,245.619,0.0822173,1
115,4,67,147,176.2,0.0160115,1
116,4,67,163,194.263,0.117606,1
117,4,67,164,243.846,0.0364977,1
118,4,67,151,292.875,0.0225484,1
119,4,67,167,328.143,0.0324498,1
120,6,129,386,205.632,0.260766,1
121,6,129,335,216.469,0.583581,1
122,6,129,372,201.708,0.568027,1
123,6,129,351,293.522,0.134045,1
124,6,129,360,275.25,0.3592,1
125,6,154,549,238.529,0.361395,1
126,6,154,487,299.615,0.271169,1
127,6,154,494,284.04,0.334077,1
128,6,154,502,311.038,0.440353,1
129,6,154,503,236.171,0.303518,1
130,7,145,376,231.083,0.194063,1
131,7,145,372,308.077,0.155101,1
132,7,145,391,271.375,0.266226,1
133,7,145,392,192.525,0.188489,1
134,7,145,379,223.66,0.247392,1
135,5,117,526,192.381,0.251193,1
136,5,117,550,171.833,0.122005,1
137,5,117,549,179.167,0.247158,1
138,5,117,531,143.053,0.120263,1
139,5,117,545,178.875,0.24281,1
140,3,59,157,205.611,0.0547902,1
141,3,59,140,253.167,0.0204648,1
142,3,59,161,239.75,0.0247865,1
143,3,59,145,218.444,0.0291009,1
144,3,59,159,254.375,0.0462695,1
145,4,182,1631,218.683,7.7632,1
146,4,182,1667,167.969,2.40316,1
147,4,182,1639,211.064,7.19026,1
148,4,182,1681,166.532,8.1843,1
149,4,182,1669,214.5,12.6535,1
150,5,192,990,192.684,1.81618,1
151,5,192,973,234.86,0.99458,1
152,5,192,996,199.732,4.23685,1
153,5,192,956,200.897,4.31337,1
154,5,192,940,162.729,1.78366,1
155,6,114,353,189.056,0.317046,1
156,6,114,342,282.895,0.318583,1
157,6,114,376,233.209,0.302704,1
158,6,114,340,241.045,0.232169,1
159,6,114,334,273.643,0.199605,1
160,3,98,397,310.071,0.157217,1
161,3,98,435,190.143,0.272558,1
162,3,98,414,196.625,0.31142,1
163,3,98,431,205.588,0.179836,1
164,3,98,430,285.333,0.162774,1
165,4,154,855,209.467,0.369174,1
166,4,154,867,258.286,0.101058,1
167,4,154,860,134.75,0.133442,1
168,4,154,884,124.16,0.161493,1
169,4,154,864,199,0.0978393,1
170,3,155,793,256.2,0.17397,1
171,3,155,880,184.579,0.208367,1
172,3,155,789,259.727,0.230286,1
