index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,79,221,107.936,0.00081342,1
1,5,79,223,60.141,0.000795115,1
2,5,79,247,118.114,0.000864157,1
3,5,79,224,75.3117,0.000809613,1
4,5,79,216,75.7763,0.00079244,1
5,6,58,108,126.145,0.000476327,1
6,6,58,97,95.8182,0.000410302,1
7,6,58,101,137.105,0.000420641,1
8,6,58,95,54.9231,0.000432915,1
9,6,58,110,113.518,0.000442283,1
10,3,106,457,96.3396,0.00150574,1
11,3,106,453,91.1132,0.00152801,1
12,3,106,482,76.5943,0.00158424,1
13,3,106,498,99.1604,0.00163756,1
14,3,106,470,82.434,0.00154242,1
15,8,154,382,90.4865,0.00147837,1
16,8,154,366,73.5065,0.00141752,1
17,8,154,346,112.04,0.00140643,1
18,8,154,377,129.649,0.00141438,1
19,8,154,371,114.549,0.00142168,1
20,5,152,917,105.553,0.00291922,1
21,5,152,886,108.974,0.00277596,1
22,5,152,894,156.059,0.00282569,1
23,5,152,927,128.757,0.00299367,1
24,5,152,930,105.632,0.00292584,1
25,8,141,450,98.539,0.00159007,1
26,8,141,458,82.0643,0.00160663,1
27,8,141,434,91.5571,0.00153918,1
28,8,141,454,120.546,0.00159868,1
29,8,141,470,81.4286,0.00163256,1
30,4,117,661,119.795,0.00209713,1
31,4,117,679,185.897,0.0021543,1
32,4,117,662,103.205,0.00208063,1
33,4,117,675,141.957,0.00215145,1
34,4,117,676,147.299,0.00211697,1
35,5,193,931,69.3368,0.00309963,1
36,5,193,939,83.1554,0.00309413,1
37,5,193,933,96.2344,0.00310144,1
38,5,193,949,70.4041,0.00315284,1
39,5,193,1000,65.1503,0.00325943,1
40,7,50,57,83,0.000288029,1
41,7,50,54,188.344,0.00026779,1
42,7,50,64,166.737,0.000301364,1
43,7,50,61,118,0.000275125,1
44,7,50,51,108.733,0.000258232,1
45,3,92,369,120.923,0.00126442,1
46,3,92,352,145.293,0.00119495,1
47,3,92,349,147.626,0.00122361,1
48,3,92,386,101.25,0.00126067,1
49,3,92,353,148.12,0.00117739,1
50,6,153,515,79.8421,0.00180789,1
51,6,153,525,134.366,0.00181391,1
52,6,153,488,90.9605,0.00174561,1
53,6,153,528,99.2148,0.00187802,1
54,6,153,509,95.7386,0.00178494,1
55,5,116,372,105.07,0.0013122,1
56,5,116,410,119.149,0.00139811,1
57,5,116,360,127.833,0.00127191,1
58,5,116,378,189.407,0.00139033,1
59,5,116,389,157.812,0.00135291,1
60,3,134,862,80.5522,0.00270013,1
61,3,134,857,85.7164,0.00267863,1
62,3,134,822,100.448,0.00262949,1
63,3,134,846,113.701,0.0026487,1
64,3,134,854,113.187,0.00264452,1
65,8,171,657,123.333,0.00223157,1
66,8,171,713,104.544,0.00254162,1
67,8,171,749,133.865,0.00248049,1
68,8,171,706,116.064,0.00235419,1
69,8,171,721,113.83,0.0024066,1
70,7,118,368,122.593,0.0013398,1
71,7,118,346,121.686,0.00123909,1
72,7,118,344,139.602,0.00125412,1
73,7,118,390,115.12,0.00135378,1
74,7,118,362,113.12,0.00128455,1
75,8,160,561,118.988,0.0019522,1
76,8,160,539,133.969,0.00195927,1
77,8,160,528,118.013,0.0018557,1
78,8,160,538,161.541,0.00188191,1
79,8,160,518,127.51,0.00182791,1
80,6,75,162,68.0137,0.000667893,1
81,6,75,161,81.0685,0.000618539,1
82,6,75,166,47.2667,0.000640501,1
83,6,75,177,55.8133,0.000664366,1
84,6,75,180,75.7747,0.00068229,1
85,4,133,698,112.985,0.0022487,1
86,4,133,689,134.579,0.00223636,1
87,4,133,734,127.504,0.00237159,1
88,4,133,697,99,0.00230157,1
89,4,133,703,115.391,0.00226534,1
90,8,68,104,118.656,0.000457412,1
91,8,68,140,69.2985,0.000557282,1
92,8,68,121,135.955,0.000523237,1
93,8,68,122,108.848,0.000500484,1
94,8,68,100,78.254,0.00045097,1
95,6,167,765,137.725,0.00258283,1
96,6,167,831,142.341,0.00268432,1
97,6,167,836,127.407,0.00268298,1
98,6,167,777,135.904,0.00257219,1
99,6,167,818,132.802,0.00266677,1
100,8,59,71,63.9697,0.000326022,1
101,8,59,51,34.1111,0.000274964,1
102,8,59,73,111.229,0.000350178,1
103,8,59,68,84.2979,0.00033585,1
104,8,59,80,56.4364,0.000396906,1
105,4,192,1409,78.0208,0.00452999,1
106,4,192,1400,77.0885,0.00430724,1
107,4,192,1482,74.1615,0.0045751,1
108,4,192,1429,96.3229,0.00453962,1
109,4,192,1436,62.7604,0.00463829,1
110,6,98,241,101.653,0.000913582,1
111,6,98,226,88.2,0.000865459,1
112,6,98,193,134.783,0.000790396,1
113,6,98,219,78.3146,0.000844931,1
114,6,98,200,96.8804,0.000828589,1
115,4,67,147,39.1639,0.000583261,1
116,4,67,163,117.121,0.000607508,1
117,4,67,164,91.8615,0.000611746,1
118,4,67,151,70.3846,0.000605635,1
119,4,67,167,105.515,0.000625372,1
120,6,129,386,104.945,0.00143429,1
121,6,129,335,132.16,0.00124117,1
122,6,129,372,110.93,0.00134145,1
123,6,129,351,126.532,0.00131685,1
124,6,129,360,125.899,0.00129769,1
125,6,154,549,130.137,0.00192392,1
126,6,154,487,143.51,0.00189063,1
127,6,154,494,122.727,0.00176054,1
128,6,154,502,164.322,0.00178615,1
129,6,154,503,138.993,0.00178341,1
130,7,145,376,107.306,0.00145657,1
131,7,145,372,110.929,0.00141028,1
132,7,145,391,123.615,0.00144174,1
133,7,145,392,79.3958,0.00148715,1
134,7,145,379,109.833,0.00142171,1
135,5,117,526,91.9828,0.0017154,1
136,5,117,550,75.2586,0.00197193,1
137,5,117,549,75.4872,0.00180718,1
138,5,117,531,60.4188,0.00186983,1
139,5,117,545,80.0256,0.00182311,1
140,3,59,157,121.175,0.000605163,1
141,3,59,140,51.7759,0.000535691,1
142,3,59,161,116.772,0.000589804,1
143,3,59,145,93.2712,0.000546742,1
144,3,59,159,139.746,0.000598771,1
145,4,182,1631,151.604,0.0052815,1
146,4,182,1667,112.764,0.00597361,1
147,4,182,1639,127.973,0.00505564,1
148,4,182,1681,120.703,0.00528527,1
149,4,182,1669,149.203,0.00522997,1
150,5,192,990,115.219,0.00336126,1
151,5,192,973,141.49,0.00321105,1
152,5,192,996,115.062,0.00333785,1
153,5,192,956,126.534,0.00316243,1
154,5,192,940,113.847,0.00314495,1
155,6,114,353,120.513,0.00136681,1
156,6,114,342,164.737,0.00133331,1
157,6,114,376,129.518,0.00134364,1
158,6,114,340,144.351,0.00125714,1
159,6,114,334,112.553,0.00119798,1
160,3,98,397,136.969,0.00137706,1
161,3,98,435,109.806,0.00146974,1
162,3,98,414,111.316,0.00139714,1
163,3,98,431,111.163,0.00142769,1
164,3,98,430,109,0.00145366,1
165,4,154,855,82.8247,0.00274901,1
166,4,154,867,64.7013,0.0027764,1
167,4,154,860,50.1234,0.00274185,1
168,4,154,884,50.5195,0.00291462,1
169,4,154,864,63.6104,0.00275697,1
170,3,155,793,80.8645,0.0025881,1
171,3,155,880,69.2258,0.00286613,1
172,3,155,789,99.9484,0.0025822,1
173,3,155,793,105.729,0.00260488,1
174,3,155,799,93.6452,0.00257876,1
175,6,192,1195,89.3854,0.00380171,1
176,6,192,1224,120.458,0.00389181,1
177,6,192,1222,91.8385,0.00381068,1
178,6,192,1178,109.302,0.00371286,1
179,6,192,1198,123.151,0.00372566,1
180,7,53,51,67.4828,0.000309049,1
181,7,53,65,62.3158,0.000308989,1
182,7,53,63,106.767,0.000294351,1
183,7,53,60,80.5385,0.000293399,1
184,7,53,62,0,0.000276537,1
185,5,131,383,86.2016,0.00139838,1
186,5,131,394,87.5271,0.00141087,1
187,5,131,432,76.229,0.00151359,1
188,5,131,391,63.8538,0.00140565,1
189,5,131,413,75.6462,0.00149112,1
190,3,106,341,116.094,0.00123716,1
191,3,106,339,151.179,0.00121285,1
192,3,106,331,110.74,0.00117497,1
193,3,106,336,166.981,0.00123117,1
194,3,106,369,174.381,0.00129782,1
195,5,157,593,138.51,0.00202752,1
196,5,157,567,139.692,0.00195926,1
197,5,157,515,153.135,0.00185108,1
198,5,157,553,152.28,0.0019241,1
199,5,157,541,119.647,0.00192832,1
200,6,79,210,74.2279,0.000774126,1
201,6,79,171,79.5733,0.000659016,1
202,6,79,179,94.1818,0.000690096,1
203,6,79,149,68.2763,0.000624441,1
204,6,79,161,115.654,0.000633067,1
205,8,109,366,148.661,0.00126816,1
206,8,109,350,140.385,0.0012408,1
207,8,109,362,84.0917,0.001254,1
208,8,109,355,135.991,0.00123184,1
209,8,109,362,141.157,0.00124399,1
210,5,68,147,156.134,0.000580437,1
211,5,68,148,99.3235,0.00056631,1
212,5,68,123,131.828,0.000516836,1
213,5,68,130,112.134,0.000545661,1
214,5,68,147,104.03,0.000570598,1
215,6,182,1073,117.049,0.00337593,1
216,6,182,1048,119.154,0.00329238,1
217,6,182,1021,128.423,0.00338653,1
218,6,182,1067,116.665,0.00338955,1
219,6,182,1105,118.527,0.00347521,1
220,5,74,173,92.589,0.000670057,1
221,5,74,218,58.7397,0.000806377,1
222,5,74,206,80.9324,0.0007556,1
223,5,74,196,71.7027,0.000717969,1
224,5,74,191,92.7534,0.000716145,1
225,6,117,472,76.3333,0.00160627,1
226,6,117,531,70.9569,0.00176294,1
227,6,117,505,60.3504,0.00169091,1
228,6,117,499,89.9231,0.00165479,1
229,6,117,507,104.069,0.00166208,1
230,3,170,1174,59.9647,0.00365143,1
231,3,170,1184,94.7235,0.00383164,1
232,3,170,1174,81.8647,0.00365618,1
233,3,170,1139,61.9059,0.00357056,1
234,3,170,1201,60.6471,0.00373942,1
235,3,151,1104,109.265,0.00336798,1
236,3,151,1162,121.755,0.00357531,1
237,3,151,1122,96.3046,0.00343084,1
238,3,151,1150,113.086,0.00356961,1
239,3,151,1154,104.815,0.00354353,1
240,5,91,286,91.2967,0.00100492,1
241,5,91,290,135.833,0.0010097,1
242,5,91,305,81.3736,0.00104112,1
243,5,91,275,123.56,0.000994125,1
244,5,91,296,64.5604,0.00107546,1
