index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,79,221,110.776,0.00063533,1
1,5,79,223,60.141,0.000646983,1
2,5,79,247,118.114,0.000669676,1
3,5,79,224,76.3026,0.000626925,1
4,5,79,216,78.8904,0.000601206,1
5,6,58,108,133.423,0.000364975,1
6,6,58,97,103.333,0.000329668,1
7,6,58,101,153.235,0.000337793,1
8,6,58,95,58.2857,0.000331432,1
9,6,58,110,117.722,0.000366289,1
10,3,106,457,96.3396,0.00113017,1
11,3,106,453,91.1132,0.00115963,1
12,3,106,482,76.5943,0.00117392,1
13,3,106,498,99.1604,0.00119185,1
14,3,106,470,82.434,0.00114551,1
15,8,154,382,94.3099,0.00111307,1
16,8,154,366,76.4865,0.00115846,1
17,8,154,346,120.906,0.001057,1
18,8,154,377,135.951,0.00110042,1
19,8,154,371,118.419,0.00112947,1
20,5,152,917,105.553,0.0020969,1
21,5,152,886,108.974,0.00208281,1
22,5,152,894,156.059,0.00207635,1
23,5,152,927,128.757,0.00212318,1
24,5,152,930,105.632,0.00211062,1
25,8,141,450,101.416,0.00120025,1
26,8,141,458,82.6547,0.00125413,1
27,8,141,434,93.562,0.00118918,1
28,8,141,454,122.281,0.00125219,1
29,8,141,470,81.4286,0.00124306,1
30,4,117,661,120.828,0.00158095,1
31,4,117,679,185.897,0.00154848,1
32,4,117,662,103.205,0.00151958,1
33,4,117,675,141.957,0.0015935,1
34,4,117,676,147.299,0.00157096,1
35,5,193,931,69.3368,0.00223204,1
36,5,193,939,83.1554,0.00227164,1
37,5,193,933,96.7382,0.00227532,1
38,5,193,949,70.4041,0.00228349,1
39,5,193,1000,65.1503,0.00233883,1
40,7,50,57,91.5128,0.000243043,1
41,7,50,54,207.828,0.000231742,1
42,7,50,64,204.387,0.000248543,1
43,7,50,61,142.583,0.000234277,1
44,7,50,51,120.815,0.000221802,1
45,3,92,369,120.923,0.000935563,1
46,3,92,352,145.293,0.00089755,1
47,3,92,349,147.626,0.000890277,1
48,3,92,386,101.25,0.000953107,1
49,3,92,353,148.12,0.000882702,1
50,6,153,515,80.9067,0.00137493,1
51,6,153,525,134.366,0.001375,1
52,6,153,488,92.1733,0.00133193,1
53,6,153,528,99.8851,0.00143033,1
54,6,153,509,95.7386,0.00142932,1
55,5,116,372,107.91,0.00105091,1
56,5,116,410,122.369,0.00108148,1
57,5,116,360,132.482,0.000984486,1
58,5,116,378,192.82,0.00101709,1
59,5,116,389,162.156,0.00102769,1
60,3,134,862,80.5522,0.00197899,1
61,3,134,857,85.7164,0.00196979,1
62,3,134,822,100.448,0.00188834,1
63,3,134,846,113.701,0.0019416,1
64,3,134,854,113.187,0.00199845,1
65,8,171,657,123.333,0.00170937,1
66,8,171,713,104.544,0.00177801,1
67,8,171,749,133.865,0.00188702,1
68,8,171,706,116.064,0.00176314,1
69,8,171,721,114.5,0.00183559,1
70,7,118,368,125.791,0.000989887,1
71,7,118,346,121.686,0.000942547,1
72,7,118,344,142.009,0.000952455,1
73,7,118,390,115.12,0.00102182,1
74,7,118,362,114.095,0.000987262,1
75,8,160,561,118.988,0.00145918,1
76,8,160,539,133.969,0.00149049,1
77,8,160,528,119.516,0.00141128,1
78,8,160,538,163.599,0.00142157,1
79,8,160,518,127.51,0.0013909,1
80,6,75,162,73.0147,0.000491247,1
81,6,75,161,87.0294,0.000506986,1
82,6,75,166,52.1324,0.000501205,1
83,6,75,177,56.5676,0.000552162,1
84,6,75,180,77.971,0.000542854,1
85,4,133,698,112.985,0.00164801,1
86,4,133,689,134.579,0.00166653,1
87,4,133,734,127.504,0.00171105,1
88,4,133,697,99,0.00163199,1
89,4,133,703,115.391,0.00165551,1
90,8,68,104,129.25,0.000377709,1
91,8,68,140,78.6949,0.000439688,1
92,8,68,121,149.55,0.00040413,1
93,8,68,122,114.032,0.000405884,1
94,8,68,100,82.1667,0.000377499,1
95,6,167,765,137.725,0.00187995,1
96,6,167,831,142.341,0.00196547,1
97,6,167,836,127.407,0.00196424,1
98,6,167,777,135.904,0.00189434,1
99,6,167,818,133.602,0.00195591,1
100,8,59,71,81.1923,0.000274744,1
101,8,59,51,38.375,0.000238094,1
102,8,59,73,144.297,0.000279913,1
103,8,59,68,94.3333,0.000275545,1
104,8,59,80,67.4783,0.000303979,1
105,4,192,1409,78.0208,0.0031375,1
106,4,192,1400,77.0885,0.00323747,1
