index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,79,221,143.769,0.00128121,1
1,5,79,223,77.0769,0.00133686,1
2,5,79,247,170.882,0.0015033,1
3,5,79,224,90.5263,0.00133059,1
4,5,79,216,199.417,0.00115357,1
5,6,58,108,134.619,0.000407086,1
6,6,58,97,157.357,0.000304029,1
7,6,58,101,163.19,0.000423928,1
8,6,58,95,71.8824,0.000366288,1
9,6,58,110,128.158,0.000423938,1
10,3,106,457,143.375,0.00177147,1
11,3,106,453,83.05,0.00171649,1
12,3,106,482,113.5,0.00192485,1
13,3,106,498,97.6111,0.00200069,1
14,3,106,470,96.2105,0.00180262,1
15,8,154,382,84.7812,0.00344073,1
16,8,154,366,90.8,0.00319156,1
17,8,154,346,117.947,0.00258868,1
18,8,154,377,184.719,0.00304223,1
19,8,154,371,111.071,0.00307726,1
20,5,152,917,61.9474,0.0140564,1
21,5,152,886,64.2292,0.0131015,1
22,5,152,894,79.5893,0.0136776,1
23,5,152,927,75.9787,0.0137262,1
24,5,152,930,69.766,0.0135817,1
25,8,141,450,110.514,0.00529439,1
26,8,141,458,98.2941,0.00626082,1
27,8,141,434,128.923,0.00558955,1
28,8,141,454,165.727,0.00642631,1
29,8,141,470,100.333,0.00581554,1
30,4,117,661,74.1111,0.00558132,1
31,4,117,679,81.7073,0.00599911,1
32,4,117,662,62.9773,0.00555698,1
33,4,117,675,71.9783,0.00595612,1
34,4,117,676,76.0769,0.00568553,1
35,5,193,931,95.28,0.0118068,1
36,5,193,939,74.5429,0.0110156,1
37,5,193,933,113.343,0.0111212,1
38,5,193,949,79.6216,0.0115631,1
39,5,193,1000,58.129,0.0137774,1
40,7,50,57,129.875,0.000189601,1
41,7,50,54,209.722,0.000180785,1
42,7,50,64,165.8,0.000245659,1
43,7,50,61,108.25,0.000163151,1
44,7,50,51,135.688,0.000149525,1
45,3,92,369,82.2963,0.00137199,1
46,3,92,352,94.9583,0.00126982,1
47,3,92,349,119.45,0.00114967,1
48,3,92,386,86.9583,0.00143683,1
49,3,92,353,98.619,0.00122428,1
50,6,153,515,114.194,0.00480989,1
51,6,153,525,113.929,0.00506876,1
52,6,153,488,102.52,0.00440821,1
53,6,153,528,122.161,0.00571366,1
54,6,153,509,110.654,0.00509537,1
55,5,116,372,83,0.00322194,1
56,5,116,410,88.1143,0.00373901,1
57,5,116,360,96.0541,0.00285438,1
58,5,116,378,105.371,0.00346929,1
59,5,116,389,100.568,0.00312498,1
60,3,134,862,89.875,0.00464175,1
61,3,134,857,89.5,0.00437856,1
62,3,134,822,78.5417,0.00772852,1
63,3,134,846,93.04,0.00611835,1
64,3,134,854,107.045,0.00608722,1
65,8,171,657,101.733,0.0177367,1
66,8,171,713,68.6818,0.0231211,1
67,8,171,749,95.4394,0.0174671,1
68,8,171,706,100.646,0.0145496,1
69,8,171,721,90.8852,0.0153581,1
70,7,118,368,115.189,0.00321259,1
71,7,118,346,146.63,0.00306341,1
72,7,118,344,152.296,0.0027796,1
73,7,118,390,108.129,0.00450081,1
74,7,118,362,98.0698,0.00316996,1
75,8,160,561,99.3261,0.00811155,1
76,8,160,539,95.1163,0.00789113,1
77,8,160,528,119.591,0.00884236,1
78,8,160,538,115.261,0.00743256,1
79,8,160,518,125.641,0.00628759,1
80,6,75,162,68.5652,0.000699704,1
81,6,75,161,84.5667,0.000617146,1
82,6,75,166,57.5,0.000857524,1
83,6,75,177,93,0.000973114,1
84,6,75,180,99.7368,0.00103476,1
85,4,133,698,63.6739,0.00559593,1
86,4,133,689,88.2778,0.00531662,1
87,4,133,734,93.1875,0.00640457,1
88,4,133,697,60.1364,0.00542351,1
89,4,133,703,86.8889,0.00556149,1
90,8,68,104,205.684,0.000395193,1
91,8,68,140,67.5714,0.000717187,1
92,8,68,121,171.81,0.000586318,1
93,8,68,122,124.652,0.00050366,1
94,8,68,100,134.429,0.000367791,1
95,6,167,765,96.4773,0.0123649,1
